Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,79.17,80.00,78.63,79.98,1759000
2018-07-02 20:00:00-04:00,80.15,81.21,79.86,80.38,1283500
2018-07-04 20:00:00-04:00,80.98,81.05,79.97,80.45,2474600
2018-07-05 20:00:00-04:00,80.84,81.34,80.40,81.11,2073600
2018-07-08 20:00:00-04:00,81.15,81.91,80.89,81.70,1836800
2018-07-09 20:00:00-04:00,81.26,81.56,80.39,80.52,2894800
2018-07-10 20:00:00-04:00,80.37,80.46,78.90,78.91,2960500
2018-07-11 20:00:00-04:00,79.27,80.04,78.98,79.82,3629000
2018-07-12 20:00:00-04:00,79.83,80.58,79.68,80.44,1948300
2018-07-15 20:00:00-04:00,80.60,80.60,78.91,78.98,2473300
2018-07-16 20:00:00-04:00,78.75,80.38,78.75,80.10,2269600
2018-07-17 20:00:00-04:00,79.97,80.39,79.67,80.26,1699800
2018-07-18 20:00:00-04:00,79.85,80.07,79.29,79.89,1405800
2018-07-19 20:00:00-04:00,79.68,80.34,79.51,79.76,1977600
2018-07-22 20:00:00-04:00,79.62,79.64,78.37,78.52,3026900
2018-07-23 20:00:00-04:00,79.04,79.48,77.91,78.09,2952500
2018-07-24 20:00:00-04:00,77.86,80.22,77.86,80.09,2496200
2018-07-25 20:00:00-04:00,80.23,80.57,79.63,80.00,2717400
2018-07-26 20:00:00-04:00,80.08,80.10,78.93,79.68,2998200
2018-07-29 20:00:00-04:00,79.71,79.87,78.75,79.02,2174900
2018-07-30 20:00:00-04:00,79.33,81.13,79.33,80.88,3692500
2018-07-31 20:00:00-04:00,80.48,81.52,80.40,80.45,2775900
2018-08-01 20:00:00-04:00,80.22,85.85,79.49,85.51,4942800
2018-08-02 20:00:00-04:00,85.51,86.03,83.48,85.69,4377700
2018-08-05 20:00:00-04:00,85.97,86.84,85.30,86.58,2644900
2018-08-06 20:00:00-04:00,86.92,87.00,86.01,86.50,2051900
2018-08-07 20:00:00-04:00,86.51,87.51,86.27,87.19,1918000
2018-08-08 20:00:00-04:00,87.32,87.60,86.07,86.41,2347000
2018-08-09 20:00:00-04:00,86.21,86.70,85.55,85.76,1684600
2018-08-12 20:00:00-04:00,85.77,86.46,85.25,85.35,1439300
2018-08-13 20:00:00-04:00,85.70,85.95,85.21,85.45,2385100
2018-08-14 20:00:00-04:00,85.17,85.37,84.55,84.96,2017300
2018-08-15 20:00:00-04:00,85.39,86.12,84.99,85.61,2462400
2018-08-16 20:00:00-04:00,85.52,85.84,84.80,85.54,2712500
2018-08-19 20:00:00-04:00,85.67,86.59,85.67,86.19,1175900
2018-08-20 20:00:00-04:00,86.55,86.95,85.92,86.12,1220400
2018-08-21 20:00:00-04:00,83.76,84.55,83.37,83.86,2831000
2018-08-22 20:00:00-04:00,83.98,84.36,83.47,83.86,1899800
2018-08-23 20:00:00-04:00,84.00,84.36,83.52,83.80,1655600
2018-08-26 20:00:00-04:00,84.09,84.20,83.51,83.59,1536900
2018-08-27 20:00:00-04:00,83.71,83.78,82.92,83.75,2129900
2018-08-28 20:00:00-04:00,83.71,84.26,83.26,84.01,1667100
2018-08-29 20:00:00-04:00,83.95,84.65,83.52,83.99,1443000
2018-08-30 20:00:00-04:00,83.95,84.89,83.87,84.73,2018400
2018-09-03 20:00:00-04:00,84.93,85.30,83.88,84.14,1939000
2018-09-04 20:00:00-04:00,83.95,83.95,83.09,83.29,2167200
2018-09-05 20:00:00-04:00,83.52,84.14,83.20,83.93,1883500
2018-09-06 20:00:00-04:00,83.56,83.85,83.16,83.64,1987000
2018-09-09 20:00:00-04:00,84.01,84.23,82.85,83.11,1289600
2018-09-10 20:00:00-04:00,82.82,83.12,82.23,82.52,2094600
2018-09-11 20:00:00-04:00,82.72,83.25,82.30,83.04,1631100
2018-09-12 20:00:00-04:00,83.44,84.07,83.08,83.89,2277900
2018-09-13 20:00:00-04:00,83.90,83.91,83.09,83.24,2607900
2018-09-16 20:00:00-04:00,83.29,83.50,82.33,82.58,1667200
2018-09-17 20:00:00-04:00,82.46,83.69,82.44,83.40,1722300
2018-09-18 20:00:00-04:00,83.37,83.88,83.04,83.31,2273400
2018-09-19 20:00:00-04:00,83.91,84.64,83.53,84.23,3428300
2018-09-20 20:00:00-04:00,84.20,85.04,83.97,84.01,3448400
2018-09-23 20:00:00-04:00,83.76,84.14,83.23,83.84,1526200
2018-09-24 20:00:00-04:00,84.42,84.98,84.29,84.41,1800500
2018-09-25 20:00:00-04:00,84.59,85.41,84.41,84.51,2336200
2018-09-26 20:00:00-04:00,84.72,85.57,84.72,85.29,1411300
2018-09-27 20:00:00-04:00,85.18,85.84,84.89,85.63,1710900
