Date,Open,High,Low,Close,Volume
2020-12-09 19:00:00-05:00,146.00,165.00,141.25,144.71,70447500
2020-12-10 19:00:00-05:00,146.55,151.50,135.10,139.25,26980800
2020-12-13 19:00:00-05:00,135.00,135.30,125.16,130.00,16966100
2020-12-14 19:00:00-05:00,126.69,127.60,121.50,124.80,10914400
2020-12-15 19:00:00-05:00,125.83,142.00,124.91,137.99,20409600
2020-12-16 19:00:00-05:00,143.00,152.45,142.67,147.05,15054700
2020-12-17 19:00:00-05:00,150.45,159.00,150.30,157.30,15954200
2020-12-20 19:00:00-05:00,155.31,172.00,145.11,163.02,17788100
2020-12-21 19:00:00-05:00,170.00,174.97,161.05,163.19,9872600
2020-12-22 19:00:00-05:00,162.81,168.25,155.50,158.01,5852500
2020-12-23 19:00:00-05:00,159.16,162.79,154.11,154.84,3621400
2020-12-27 19:00:00-05:00,158.60,163.64,147.52,149.00,6229200
2020-12-28 19:00:00-05:00,150.00,151.65,143.12,150.00,5402300
2020-12-29 19:00:00-05:00,151.34,152.81,145.60,148.43,3462400
2020-12-30 19:00:00-05:00,146.90,147.89,144.51,146.80,2795800
2021-01-03 19:00:00-05:00,150.99,151.01,137.00,139.15,6409900
2021-01-04 19:00:00-05:00,138.28,149.00,137.25,148.30,5974200
2021-01-05 19:00:00-05:00,145.75,148.35,141.11,142.77,4213900
2021-01-06 19:00:00-05:00,146.37,154.42,145.26,151.27,4482800
2021-01-07 19:00:00-05:00,153.45,155.54,147.25,149.77,4615600
2021-01-10 19:00:00-05:00,147.99,150.50,144.02,148.13,2801900
2021-01-11 19:00:00-05:00,148.08,163.88,143.61,160.80,8123600
2021-01-12 19:00:00-05:00,160.81,178.62,159.35,169.99,12529700
2021-01-13 19:00:00-05:00,175.54,187.42,174.98,180.50,9926500
2021-01-14 19:00:00-05:00,184.58,185.99,164.86,169.27,8575700
2021-01-18 19:00:00-05:00,173.00,178.60,166.60,173.69,4685400
2021-01-19 19:00:00-05:00,176.01,176.31,161.00,161.83,8517400
2021-01-20 19:00:00-05:00,164.99,183.47,155.33,180.40,17618400
2021-01-21 19:00:00-05:00,178.09,185.31,175.19,181.87,7136800
2021-01-24 19:00:00-05:00,186.05,192.47,170.03,177.53,7472900
2021-01-25 19:00:00-05:00,180.00,193.00,177.30,192.74,6460900
2021-01-26 19:00:00-05:00,187.64,216.00,185.50,201.25,11019800
2021-01-27 19:00:00-05:00,202.60,212.84,187.05,187.37,7077700
2021-01-28 19:00:00-05:00,190.71,193.50,179.31,183.63,4529800
2021-01-31 19:00:00-05:00,187.48,188.82,179.74,180.44,3877400
2021-02-01 19:00:00-05:00,183.22,186.48,177.11,179.17,4413600
2021-02-02 19:00:00-05:00,181.98,190.90,180.00,185.72,4169000
2021-02-03 19:00:00-05:00,187.07,195.99,186.19,195.80,3631500
2021-02-04 19:00:00-05:00,197.00,197.25,190.25,195.31,2869700
2021-02-07 19:00:00-05:00,199.93,201.96,191.50,200.43,3488100
2021-02-08 19:00:00-05:00,199.20,209.22,196.16,199.88,4725800
2021-02-09 19:00:00-05:00,205.48,214.72,202.10,211.66,5257200
2021-02-10 19:00:00-05:00,213.50,219.94,207.00,216.84,3595200
2021-02-11 19:00:00-05:00,214.46,216.94,209.00,212.68,3041700
2021-02-15 19:00:00-05:00,216.24,218.78,209.09,209.86,3487900
2021-02-16 19:00:00-05:00,207.05,208.76,196.02,201.96,4090600
2021-02-17 19:00:00-05:00,199.01,200.36,192.17,198.04,2791400
2021-02-18 19:00:00-05:00,203.95,205.55,200.18,201.07,2605800
2021-02-21 19:00:00-05:00,200.70,205.00,193.50,195.34,3674200
2021-02-22 19:00:00-05:00,189.00,191.67,175.00,187.59,5902400
2021-02-23 19:00:00-05:00,190.98,208.15,189.00,200.20,5983500
2021-02-24 19:00:00-05:00,197.41,199.80,180.00,182.06,11568500
2021-02-25 19:00:00-05:00,194.18,214.10,185.75,206.35,19368600
2021-02-28 19:00:00-05:00,195.82,199.69,192.62,196.42,15798500
2021-03-01 19:00:00-05:00,195.63,200.00,188.50,189.90,9144900
2021-03-02 19:00:00-05:00,186.97,188.48,178.80,180.40,10592900
2021-03-03 19:00:00-05:00,178.64,183.90,170.87,180.23,9993700
2021-03-04 19:00:00-05:00,182.52,183.50,161.90,179.81,8788500
2021-03-07 19:00:00-05:00,179.99,186.40,177.03,180.81,4988500
2021-03-08 19:00:00-05:00,184.99,189.46,180.72,183.11,6079900
2021-03-09 19:00:00-05:00,184.57,191.00,181.55,183.79,6145600
2021-03-10 19:00:00-05:00,189.90,201.00,188.50,197.87,6031200
2021-03-11 19:00:00-05:00,196.27,208.70,192.20,206.74,5556500
2021-03-14 20:00:00-04:00,209.54,213.74,203.81,209.99,4329400
2021-03-15 20:00:00-04:00,209.11,215.49,198.18,200.01,4605600
2021-03-16 20:00:00-04:00,195.63,203.46,194.44,201.36,3781900
2021-03-17 20:00:00-04:00,196.80,199.90,190.68,191.45,3711500
2021-03-18 20:00:00-04:00,193.01,196.49,187.81,194.39,4444600
2021-03-21 20:00:00-04:00,196.85,203.30,194.71,195.00,3740400
2021-03-22 20:00:00-04:00,195.50,196.75,185.74,187.14,3460600
2021-03-23 20:00:00-04:00,189.00,189.78,178.51,178.85,3756100
2021-03-24 20:00:00-04:00,173.10,179.54,170.50,176.16,5264100
