Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,110.23,111.34,109.09,111.11,5485100
2022-04-06 20:00:00-04:00,110.79,115.06,110.50,114.28,5863500
2022-04-07 20:00:00-04:00,114.33,115.20,113.12,114.17,5093900
2022-04-10 20:00:00-04:00,114.38,114.40,110.96,111.20,4071100
2022-04-11 20:00:00-04:00,110.97,111.73,109.05,109.67,4432300
2022-04-12 20:00:00-04:00,109.33,111.43,109.05,111.12,4407900
2022-04-13 20:00:00-04:00,111.65,111.84,109.33,109.46,3140000
2022-04-17 20:00:00-04:00,108.83,110.05,107.46,108.15,4115900
2022-04-18 20:00:00-04:00,108.52,111.82,108.49,111.59,5120900
2022-04-19 20:00:00-04:00,111.12,115.37,109.28,114.06,8334200
2022-04-20 20:00:00-04:00,114.56,115.65,114.07,114.74,7321100
2022-04-21 20:00:00-04:00,114.41,114.56,111.19,111.27,6710100
2022-04-24 20:00:00-04:00,110.82,111.89,109.60,111.61,4503500
2022-04-25 20:00:00-04:00,110.31,111.27,108.79,108.79,3366300
2022-04-26 20:00:00-04:00,109.08,110.28,108.00,108.55,4178700
2022-04-27 20:00:00-04:00,109.33,110.43,108.66,109.75,4960000
2022-04-28 20:00:00-04:00,108.87,109.53,105.21,105.56,6815900
2022-05-01 20:00:00-04:00,105.56,106.04,102.56,104.94,4905000
2022-05-02 20:00:00-04:00,105.14,106.34,104.00,104.56,4491500
2022-05-03 20:00:00-04:00,104.63,108.19,103.35,107.61,5347400
2022-05-04 20:00:00-04:00,106.82,106.95,103.87,105.10,5703300
2022-05-05 20:00:00-04:00,104.68,105.72,103.21,104.42,4966800
2022-05-08 20:00:00-04:00,102.95,103.42,99.46,99.88,6478200
2022-05-09 20:00:00-04:00,101.29,101.96,98.78,99.28,6248300
2022-05-10 20:00:00-04:00,99.20,100.46,98.27,98.43,6636100
2022-05-11 20:00:00-04:00,98.12,100.46,97.31,100.42,8516100
2022-05-12 20:00:00-04:00,100.78,102.78,100.78,102.19,6159300
2022-05-15 20:00:00-04:00,101.75,102.79,100.27,102.03,7459000
2022-05-16 20:00:00-04:00,103.78,107.35,103.78,106.53,9172000
2022-05-17 20:00:00-04:00,105.48,106.67,104.38,104.85,6933900
2022-05-18 20:00:00-04:00,104.19,105.10,102.79,104.57,6304800
2022-05-19 20:00:00-04:00,105.47,105.76,103.07,105.32,4509600
2022-05-22 20:00:00-04:00,105.88,107.29,105.04,106.98,4357000
2022-05-23 20:00:00-04:00,107.10,107.10,104.01,105.81,5272600
2022-05-24 20:00:00-04:00,105.28,106.90,104.49,105.27,3921700
2022-05-25 20:00:00-04:00,105.82,107.43,105.29,106.83,4027800
2022-05-26 20:00:00-04:00,107.96,108.74,107.40,108.53,3884800
2022-05-30 20:00:00-04:00,107.47,109.83,106.40,109.24,10563500
2022-05-31 20:00:00-04:00,109.60,109.74,106.52,107.03,4890200
2022-06-01 20:00:00-04:00,107.22,109.38,105.31,109.29,3856600
2022-06-02 20:00:00-04:00,108.61,109.33,108.19,108.41,3778200
2022-06-05 20:00:00-04:00,109.17,109.96,107.92,108.27,4205600
2022-06-06 20:00:00-04:00,107.98,109.03,107.16,108.70,3285600
2022-06-07 20:00:00-04:00,107.64,108.02,106.34,106.67,3683400
2022-06-08 20:00:00-04:00,106.62,107.36,104.80,104.82,3424700
2022-06-09 20:00:00-04:00,103.06,103.68,101.47,101.96,4805600
2022-06-12 20:00:00-04:00,100.15,100.54,97.97,98.50,5215300
2022-06-13 20:00:00-04:00,97.75,98.03,94.82,95.74,5890100
2022-06-14 20:00:00-04:00,97.02,98.66,95.48,97.47,5278100
2022-06-15 20:00:00-04:00,95.24,95.56,94.16,94.93,4793600
2022-06-16 20:00:00-04:00,94.16,96.44,94.16,95.36,10249200
2022-06-20 20:00:00-04:00,97.52,97.61,96.10,97.10,5338300
2022-06-21 20:00:00-04:00,96.31,99.12,96.06,98.06,5511600
2022-06-22 20:00:00-04:00,98.54,99.31,97.72,98.78,5064800
2022-06-23 20:00:00-04:00,99.51,101.97,98.98,101.79,14301600
2022-06-26 20:00:00-04:00,102.21,102.40,100.72,101.45,3804100
2022-06-27 20:00:00-04:00,101.61,102.24,99.42,99.49,4185500
2022-06-28 20:00:00-04:00,99.94,102.00,99.27,101.47,4552100
2022-06-29 20:00:00-04:00,100.52,101.45,99.85,101.05,6070900
2022-06-30 20:00:00-04:00,100.64,102.74,100.12,102.51,3291700
2022-07-04 20:00:00-04:00,101.13,101.83,99.70,101.65,4752300
2022-07-05 20:00:00-04:00,101.22,101.84,100.56,101.09,3975300
2022-07-06 20:00:00-04:00,100.89,101.95,100.63,101.83,4149000
2022-07-07 20:00:00-04:00,101.12,102.23,100.96,101.62,3115500
2022-07-10 20:00:00-04:00,101.00,101.75,100.52,101.27,4041100
2022-07-11 20:00:00-04:00,100.91,102.65,100.16,100.72,5756300
2022-07-12 20:00:00-04:00,99.36,99.49,98.29,98.78,5087700
2022-07-13 20:00:00-04:00,97.74,98.95,96.93,98.75,4993600
2022-07-14 20:00:00-04:00,100.34,101.81,100.20,101.66,4617900
2022-07-17 20:00:00-04:00,101.41,101.79,99.68,99.97,4499900
2022-07-18 20:00:00-04:00,101.29,102.76,100.85,102.69,5788400
2022-07-19 20:00:00-04:00,99.95,101.66,99.84,101.11,7300200
2022-07-20 20:00:00-04:00,101.47,103.43,101.27,103.40,5698000
2022-07-21 20:00:00-04:00,104.63,104.63,101.20,102.01,4733900
2022-07-24 20:00:00-04:00,101.91,102.13,100.40,101.36,3905600
2022-07-25 20:00:00-04:00,101.55,102.65,101.17,101.91,4824000
2022-07-26 20:00:00-04:00,102.18,103.36,101.47,102.75,3303500
2022-07-27 20:00:00-04:00,102.85,104.02,101.39,103.09,4736100
2022-07-28 20:00:00-04:00,102.60,102.64,101.41,101.67,4922900
2022-07-31 20:00:00-04:00,101.25,102.67,100.99,102.31,3871900
2022-08-01 20:00:00-04:00,102.40,103.60,101.39,101.49,3093800
2022-08-02 20:00:00-04:00,101.93,102.73,101.14,102.39,3866200
2022-08-03 20:00:00-04:00,103.14,103.34,102.37,102.50,2794000
2022-08-04 20:00:00-04:00,101.59,102.12,101.25,102.06,2789600
2022-08-07 20:00:00-04:00,102.56,102.74,101.44,101.82,2283800
2022-08-08 20:00:00-04:00,100.97,101.64,100.47,100.81,3943500
2022-08-09 20:00:00-04:00,102.53,103.11,102.01,103.01,3960900
2022-08-10 20:00:00-04:00,103.54,104.75,103.12,103.22,3281400
2022-08-11 20:00:00-04:00,103.56,104.19,103.17,104.14,2813300
2022-08-14 20:00:00-04:00,103.98,104.92,103.71,104.53,2949500
2022-08-15 20:00:00-04:00,104.12,105.12,104.09,104.65,2897400
2022-08-16 20:00:00-04:00,104.28,104.75,103.10,103.27,3053500
2022-08-17 20:00:00-04:00,103.63,103.63,101.63,102.72,4143600
2022-08-18 20:00:00-04:00,103.21,103.51,102.20,102.81,5092700
2022-08-21 20:00:00-04:00,101.80,102.11,99.85,100.38,3496800
2022-08-22 20:00:00-04:00,99.79,99.83,98.57,99.03,4203000
2022-08-23 20:00:00-04:00,98.93,99.18,98.20,98.50,4278200
2022-08-24 20:00:00-04:00,98.31,98.98,97.67,98.92,5249200
2022-08-25 20:00:00-04:00,98.97,99.30,94.94,95.19,5440700
2022-08-28 20:00:00-04:00,94.82,95.86,94.55,95.14,4229900
2022-08-29 20:00:00-04:00,95.69,95.96,95.14,95.47,4629700
2022-08-30 20:00:00-04:00,96.19,97.20,95.85,95.89,7600700
2022-08-31 20:00:00-04:00,95.62,97.99,95.31,97.94,4397900
2022-09-01 20:00:00-04:00,98.51,98.69,95.27,95.75,4103200
2022-09-05 20:00:00-04:00,95.75,97.09,95.51,95.95,4670400
2022-09-06 20:00:00-04:00,96.11,98.06,95.98,97.81,5100800
2022-09-07 20:00:00-04:00,96.81,100.49,96.77,99.95,8700700
2022-09-08 20:00:00-04:00,100.08,101.89,99.98,101.34,5781200
2022-09-11 20:00:00-04:00,101.62,102.45,101.37,102.10,4358100
