Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,143.92,145.27,143.39,145.10,2279400
2018-07-02 20:00:00-04:00,145.71,147.05,144.91,145.20,1919100
2018-07-04 20:00:00-04:00,145.52,146.54,145.04,146.50,2427900
2018-07-05 20:00:00-04:00,146.47,146.83,144.91,146.24,1840400
2018-07-08 20:00:00-04:00,146.68,147.80,146.68,147.68,1651600
2018-07-09 20:00:00-04:00,148.01,149.14,147.87,147.97,2071000
2018-07-10 20:00:00-04:00,147.03,148.54,146.33,147.84,1307100
2018-07-11 20:00:00-04:00,148.92,149.48,148.44,149.37,1717000
2018-07-12 20:00:00-04:00,149.12,149.79,149.01,149.42,1420300
2018-07-15 20:00:00-04:00,149.48,149.76,148.79,149.02,1522800
2018-07-16 20:00:00-04:00,148.52,150.19,148.45,149.40,2315300
2018-07-17 20:00:00-04:00,148.87,148.87,147.54,147.90,2206500
2018-07-18 20:00:00-04:00,147.75,148.69,147.13,148.36,2055100
2018-07-19 20:00:00-04:00,148.09,148.44,147.85,148.03,1110200
2018-07-22 20:00:00-04:00,147.50,147.96,147.13,147.53,1783300
2018-07-23 20:00:00-04:00,147.86,148.03,146.06,146.83,2545500
2018-07-24 20:00:00-04:00,146.68,148.56,146.68,148.52,2285200
2018-07-25 20:00:00-04:00,148.81,149.44,146.73,146.83,2228000
2018-07-26 20:00:00-04:00,147.00,147.34,143.22,144.03,2704000
2018-07-29 20:00:00-04:00,144.22,144.38,140.52,141.71,2553200
2018-07-30 20:00:00-04:00,142.50,143.39,141.24,141.63,2722700
2018-07-31 20:00:00-04:00,142.51,143.47,141.42,141.97,2060600
2018-08-01 20:00:00-04:00,140.72,142.50,140.31,142.36,1774700
2018-08-02 20:00:00-04:00,142.67,143.07,141.31,142.56,1478500
2018-08-05 20:00:00-04:00,142.47,143.13,141.86,142.75,1135800
2018-08-06 20:00:00-04:00,143.28,143.93,143.12,143.30,1415700
2018-08-07 20:00:00-04:00,143.21,143.70,143.03,143.24,1123400
2018-08-08 20:00:00-04:00,143.23,143.78,142.71,142.80,1722100
2018-08-09 20:00:00-04:00,142.27,143.54,142.12,142.83,1354200
2018-08-12 20:00:00-04:00,142.88,143.92,142.27,142.43,1590100
2018-08-13 20:00:00-04:00,142.31,143.68,142.13,143.33,2083200
2018-08-14 20:00:00-04:00,142.73,143.51,142.02,142.59,1669400
2018-08-15 20:00:00-04:00,143.83,145.12,143.57,144.80,1957000
2018-08-16 20:00:00-04:00,145.31,146.83,144.95,146.58,2717500
2018-08-19 20:00:00-04:00,146.98,147.24,146.50,146.78,1285800
2018-08-20 20:00:00-04:00,147.12,147.48,146.25,146.33,1291600
2018-08-21 20:00:00-04:00,146.40,147.44,146.09,146.60,1184400
2018-08-22 20:00:00-04:00,146.66,147.99,146.66,146.85,1299200
2018-08-23 20:00:00-04:00,147.48,148.27,146.68,147.46,1768200
2018-08-26 20:00:00-04:00,148.26,148.68,147.69,148.34,1406800
2018-08-27 20:00:00-04:00,148.79,149.25,148.08,149.05,1668500
2018-08-28 20:00:00-04:00,148.94,151.05,148.94,150.92,1370800
2018-08-29 20:00:00-04:00,150.73,150.92,149.46,149.90,1480000
