Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,146.92,153.32,146.78,149.59,6036000
2022-04-06 20:00:00-04:00,148.64,152.04,148.52,150.49,3161800
2022-04-07 20:00:00-04:00,149.75,150.27,147.83,148.15,3025000
2022-04-10 20:00:00-04:00,147.15,147.54,144.37,144.55,3693700
2022-04-11 20:00:00-04:00,146.83,148.91,144.65,145.12,2580000
2022-04-12 20:00:00-04:00,146.26,148.35,144.85,147.57,2335200
2022-04-13 20:00:00-04:00,147.80,149.19,145.86,146.06,5228700
2022-04-17 20:00:00-04:00,145.85,150.49,145.75,149.64,2728500
2022-04-18 20:00:00-04:00,149.64,151.94,148.03,151.49,2674700
2022-04-19 20:00:00-04:00,153.49,154.51,149.83,150.61,2582400
2022-04-20 20:00:00-04:00,151.66,153.69,147.43,148.12,3555000
2022-04-21 20:00:00-04:00,147.44,148.98,144.82,144.89,2640400
2022-04-24 20:00:00-04:00,143.90,148.53,143.50,148.32,4487500
2022-04-25 20:00:00-04:00,146.46,146.82,142.55,142.61,3661200
2022-04-26 20:00:00-04:00,139.99,145.34,139.69,141.60,3077300
2022-04-27 20:00:00-04:00,143.85,151.44,143.47,149.74,4156000
2022-04-28 20:00:00-04:00,147.49,149.06,143.95,144.08,4835800
2022-05-01 20:00:00-04:00,144.97,147.96,142.59,147.60,2865900
2022-05-02 20:00:00-04:00,147.35,149.05,146.07,148.27,2441900
2022-05-03 20:00:00-04:00,148.09,153.92,143.97,153.78,3940400
2022-05-04 20:00:00-04:00,151.21,152.47,146.07,147.68,3961500
2022-05-05 20:00:00-04:00,146.10,148.18,144.05,145.71,2710400
2022-05-08 20:00:00-04:00,143.91,145.62,141.65,142.09,4123100
2022-05-09 20:00:00-04:00,145.53,147.93,142.46,144.86,3157800
2022-05-10 20:00:00-04:00,143.19,146.81,141.62,141.85,3861700
2022-05-11 20:00:00-04:00,140.96,143.43,139.96,142.69,3117700
2022-05-12 20:00:00-04:00,144.69,149.04,143.61,148.15,4783200
2022-05-15 20:00:00-04:00,146.74,148.56,145.20,146.93,2328400
2022-05-16 20:00:00-04:00,150.25,153.41,149.90,152.91,4952200
2022-05-17 20:00:00-04:00,155.23,155.23,148.61,149.25,5684400
2022-05-18 20:00:00-04:00,150.12,153.22,148.47,150.20,3812600
2022-05-19 20:00:00-04:00,152.68,154.14,146.26,151.60,3977400
2022-05-22 20:00:00-04:00,150.84,152.59,149.21,150.77,2291100
2022-05-23 20:00:00-04:00,149.21,152.36,148.21,151.05,3172000
2022-05-24 20:00:00-04:00,149.76,152.35,148.71,151.49,2500300
2022-05-25 20:00:00-04:00,151.53,154.82,150.64,153.06,3820100
2022-05-26 20:00:00-04:00,155.17,157.67,153.93,157.10,4942300
2022-05-30 20:00:00-04:00,156.49,159.01,153.39,157.89,5102500
2022-05-31 20:00:00-04:00,158.63,158.75,153.13,154.49,3283600
2022-06-01 20:00:00-04:00,154.25,158.84,153.47,158.68,2637700
2022-06-02 20:00:00-04:00,156.20,156.56,154.53,154.93,2539100
2022-06-05 20:00:00-04:00,156.91,158.30,154.29,154.96,2273800
2022-06-06 20:00:00-04:00,153.53,156.90,152.68,156.54,2108000
2022-06-07 20:00:00-04:00,155.51,157.48,153.70,154.72,2928800
2022-06-08 20:00:00-04:00,153.76,156.61,151.43,151.53,3144800
2022-06-09 20:00:00-04:00,148.47,150.19,147.03,147.13,3369800
2022-06-12 20:00:00-04:00,143.67,144.80,138.14,138.55,5861600
2022-06-13 20:00:00-04:00,139.90,140.77,136.94,137.99,2765000
2022-06-14 20:00:00-04:00,139.86,142.96,137.58,140.72,3263200
2022-06-15 20:00:00-04:00,137.23,137.23,132.85,134.51,4722800
2022-06-16 20:00:00-04:00,135.04,136.42,132.94,135.61,6723900
2022-06-20 20:00:00-04:00,138.14,140.91,138.10,139.10,3085600
2022-06-21 20:00:00-04:00,137.78,139.69,136.76,138.44,3720400
2022-06-22 20:00:00-04:00,139.72,139.90,134.96,136.46,2946000
2022-06-23 20:00:00-04:00,138.38,140.69,138.02,140.35,5108900
2022-06-26 20:00:00-04:00,141.67,142.83,140.21,141.20,2048300
2022-06-27 20:00:00-04:00,141.96,143.61,139.11,139.23,2786500
2022-06-28 20:00:00-04:00,137.75,138.31,135.72,138.08,2586600
2022-06-29 20:00:00-04:00,136.38,139.91,134.36,136.98,4158000
2022-06-30 20:00:00-04:00,134.96,136.05,131.75,134.00,3175000
2022-07-04 20:00:00-04:00,131.17,134.24,129.86,134.15,3792500
2022-07-05 20:00:00-04:00,134.68,136.81,133.17,135.67,2708600
2022-07-06 20:00:00-04:00,138.50,140.34,138.05,139.30,2742600
2022-07-07 20:00:00-04:00,138.20,141.15,136.63,140.59,1997900
2022-07-10 20:00:00-04:00,138.94,139.95,137.14,138.36,2684900
2022-07-11 20:00:00-04:00,139.20,140.81,138.20,138.81,2305800
2022-07-12 20:00:00-04:00,136.41,140.61,136.13,139.88,2306900
2022-07-13 20:00:00-04:00,139.47,144.54,138.04,143.75,3794000
2022-07-14 20:00:00-04:00,144.24,148.41,143.77,148.12,3736600
2022-07-17 20:00:00-04:00,148.93,149.45,144.74,145.57,2930000
2022-07-18 20:00:00-04:00,147.14,151.89,147.05,151.38,3582000
2022-07-19 20:00:00-04:00,149.69,153.51,148.86,152.94,3126000
2022-07-20 20:00:00-04:00,154.13,154.93,152.16,154.89,2990800
2022-07-21 20:00:00-04:00,155.33,155.33,152.18,153.08,2944900
2022-07-24 20:00:00-04:00,152.78,152.97,150.27,152.87,3085800
2022-07-25 20:00:00-04:00,153.35,154.02,151.20,151.69,3151300
2022-07-26 20:00:00-04:00,153.08,159.05,153.08,157.83,4672500
2022-07-27 20:00:00-04:00,158.19,160.29,156.86,159.09,3880200
