Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,84.43,86.45,84.31,86.12,1735800
2022-04-06 20:00:00-04:00,86.01,86.11,85.06,85.83,1314100
2022-04-07 20:00:00-04:00,86.22,86.47,85.49,86.07,1352300
2022-04-10 20:00:00-04:00,86.19,86.55,85.33,85.55,1097100
2022-04-11 20:00:00-04:00,85.34,86.20,84.94,85.79,847600
2022-04-12 20:00:00-04:00,85.79,86.03,84.94,85.34,1132300
2022-04-13 20:00:00-04:00,85.65,85.95,85.26,85.34,795300
2022-04-17 20:00:00-04:00,85.62,86.01,84.78,85.19,758600
2022-04-18 20:00:00-04:00,85.60,85.85,85.31,85.67,1111300
2022-04-19 20:00:00-04:00,86.47,87.45,86.19,87.35,1253300
2022-04-20 20:00:00-04:00,87.33,87.96,86.59,86.73,1182900
2022-04-21 20:00:00-04:00,86.62,86.89,85.72,85.90,1111100
2022-04-24 20:00:00-04:00,86.11,86.42,84.09,85.05,1397900
2022-04-25 20:00:00-04:00,84.90,85.74,84.15,84.16,884300
2022-04-26 20:00:00-04:00,84.18,84.85,83.14,83.64,1038400
2022-04-27 20:00:00-04:00,83.92,84.80,83.36,84.63,1155400
2022-04-28 20:00:00-04:00,84.18,84.23,82.27,82.37,1537500
2022-05-01 20:00:00-04:00,82.83,83.37,80.61,81.57,1254500
2022-05-02 20:00:00-04:00,82.12,83.19,81.49,81.95,1174000
2022-05-03 20:00:00-04:00,82.20,83.39,82.00,83.22,1136300
2022-05-04 20:00:00-04:00,82.85,83.32,82.06,82.68,1272300
2022-05-05 20:00:00-04:00,82.12,82.82,81.33,82.15,1800600
2022-05-08 20:00:00-04:00,81.74,82.80,80.84,82.18,1699100
2022-05-09 20:00:00-04:00,82.18,83.29,80.57,82.36,2522800
2022-05-10 20:00:00-04:00,82.26,84.11,82.17,82.83,1635800
2022-05-11 20:00:00-04:00,82.94,83.14,80.85,82.12,1439100
2022-05-12 20:00:00-04:00,82.54,82.73,81.22,82.56,1413500
2022-05-15 20:00:00-04:00,82.79,82.89,81.68,82.44,1196600
2022-05-16 20:00:00-04:00,82.86,83.28,81.62,82.90,1389200
2022-05-17 20:00:00-04:00,83.24,83.26,81.84,82.28,1414800
2022-05-18 20:00:00-04:00,82.04,82.28,81.03,82.00,1392400
2022-05-19 20:00:00-04:00,82.33,82.43,81.40,82.14,2045300
2022-05-22 20:00:00-04:00,83.01,83.24,81.89,82.67,1176300
2022-05-23 20:00:00-04:00,82.86,84.95,82.43,84.69,1415500
2022-05-24 20:00:00-04:00,84.86,84.86,84.18,84.67,1278700
2022-05-25 20:00:00-04:00,85.41,85.73,84.98,85.01,1164800
2022-05-26 20:00:00-04:00,84.78,85.77,84.48,85.61,1116300
2022-05-30 20:00:00-04:00,84.68,85.15,83.84,84.40,1581300
2022-05-31 20:00:00-04:00,84.52,84.52,83.42,83.68,1312100
2022-06-01 20:00:00-04:00,84.01,84.16,82.35,83.45,2610500
2022-06-02 20:00:00-04:00,83.45,83.87,82.68,82.74,1615100
2022-06-05 20:00:00-04:00,83.02,83.37,82.36,82.59,1713800
2022-06-06 20:00:00-04:00,82.21,83.97,82.05,83.63,2733600
2022-06-07 20:00:00-04:00,83.38,83.38,82.14,82.40,2412400
2022-06-08 20:00:00-04:00,82.44,82.73,80.20,80.26,1094200
2022-06-09 20:00:00-04:00,79.44,80.30,79.11,79.63,970700
2022-06-12 20:00:00-04:00,78.73,78.97,75.96,76.37,1563200
2022-06-13 20:00:00-04:00,76.35,76.71,73.69,74.33,1544000
2022-06-14 20:00:00-04:00,74.82,75.48,73.47,74.30,1263900
2022-06-15 20:00:00-04:00,73.31,73.56,72.46,73.17,1332500
2022-06-16 20:00:00-04:00,73.36,73.74,71.91,72.63,2183300
