Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,52.48,52.99,52.25,52.95,2211700
2018-07-02 20:00:00-04:00,52.90,53.63,52.67,53.29,2132100
2018-07-04 20:00:00-04:00,53.20,53.79,52.89,53.77,4157000
2018-07-05 20:00:00-04:00,53.70,54.22,53.52,54.10,2315100
2018-07-08 20:00:00-04:00,53.99,54.01,51.78,52.06,4302600
2018-07-09 20:00:00-04:00,51.89,53.08,51.59,52.75,3829500
2018-07-10 20:00:00-04:00,52.97,53.61,52.92,53.48,2815400
2018-07-11 20:00:00-04:00,53.58,53.65,52.97,53.20,4186400
2018-07-12 20:00:00-04:00,53.30,53.49,52.83,53.18,2432200
2018-07-15 20:00:00-04:00,53.32,53.35,52.83,53.23,2367000
2018-07-16 20:00:00-04:00,53.47,53.48,53.14,53.25,2411700
2018-07-17 20:00:00-04:00,53.26,53.40,52.85,53.10,2561000
2018-07-18 20:00:00-04:00,53.26,53.80,53.20,53.40,2055100
2018-07-19 20:00:00-04:00,53.40,53.59,52.70,53.23,2440900
2018-07-22 20:00:00-04:00,53.17,53.26,52.33,52.49,2754800
2018-07-23 20:00:00-04:00,52.27,52.34,51.50,52.21,4202000
2018-07-24 20:00:00-04:00,51.97,52.80,51.78,52.45,2581500
2018-07-25 20:00:00-04:00,52.75,53.71,52.52,53.70,4758200
2018-07-26 20:00:00-04:00,53.72,54.34,53.51,53.78,3276100
2018-07-29 20:00:00-04:00,53.57,53.57,52.99,53.22,2004700
2018-07-30 20:00:00-04:00,53.50,53.83,53.20,53.78,3219000
2018-07-31 20:00:00-04:00,53.39,53.39,52.64,53.14,2172700
2018-08-01 20:00:00-04:00,52.97,53.44,52.40,53.29,2404500
2018-08-02 20:00:00-04:00,53.33,54.04,52.93,53.81,1563900
2018-08-05 20:00:00-04:00,53.80,54.20,53.76,53.88,1622200
2018-08-06 20:00:00-04:00,53.90,53.94,53.18,53.85,1781600
2018-08-07 20:00:00-04:00,53.62,53.81,53.38,53.62,2040000
