Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,169.44,172.57,169.13,172.28,458800
2022-04-06 20:00:00-04:00,172.32,174.12,170.48,173.38,367700
2022-04-07 20:00:00-04:00,174.65,175.38,173.46,173.81,329100
2022-04-10 20:00:00-04:00,174.71,176.63,173.86,174.41,285500
2022-04-11 20:00:00-04:00,174.20,176.03,173.13,173.60,299300
2022-04-12 20:00:00-04:00,172.63,175.35,172.58,175.27,241800
2022-04-13 20:00:00-04:00,175.68,177.53,175.67,176.70,310400
2022-04-17 20:00:00-04:00,176.18,178.21,176.10,176.72,215700
2022-04-18 20:00:00-04:00,176.63,178.24,176.15,176.91,525400
2022-04-19 20:00:00-04:00,177.71,180.70,177.55,180.27,326100
2022-04-20 20:00:00-04:00,181.09,181.20,177.34,177.66,332000
2022-04-21 20:00:00-04:00,176.85,177.84,174.03,174.15,364800
2022-04-24 20:00:00-04:00,172.92,175.15,170.30,174.70,383700
2022-04-25 20:00:00-04:00,173.64,175.27,172.27,172.58,506200
2022-04-26 20:00:00-04:00,172.54,175.68,171.75,173.64,445600
2022-04-27 20:00:00-04:00,174.21,174.27,171.51,173.83,388600
2022-04-28 20:00:00-04:00,173.15,174.30,169.20,169.77,480500
2022-05-01 20:00:00-04:00,170.37,171.31,166.10,168.80,496000
2022-05-02 20:00:00-04:00,169.70,173.04,169.59,170.89,439500
2022-05-03 20:00:00-04:00,170.18,174.66,166.56,174.43,587200
2022-05-04 20:00:00-04:00,173.53,177.90,173.53,176.82,498300
2022-05-05 20:00:00-04:00,176.39,178.03,174.78,176.03,565200
2022-05-08 20:00:00-04:00,174.45,175.45,168.10,168.93,510200
2022-05-09 20:00:00-04:00,169.52,171.53,166.36,169.70,603500
2022-05-10 20:00:00-04:00,170.34,173.14,168.30,168.50,504700
2022-05-11 20:00:00-04:00,168.23,169.08,164.60,167.41,437900
2022-05-12 20:00:00-04:00,167.96,169.89,167.71,169.53,310200
2022-05-15 20:00:00-04:00,169.54,169.89,167.32,168.47,327400
2022-05-16 20:00:00-04:00,170.47,172.17,168.64,172.16,483800
2022-05-17 20:00:00-04:00,171.72,175.56,171.16,174.41,481800
2022-05-18 20:00:00-04:00,172.96,173.96,167.25,168.43,588600
2022-05-19 20:00:00-04:00,169.41,169.84,162.35,164.44,607100
2022-05-22 20:00:00-04:00,166.81,167.97,165.77,166.61,539800
2022-05-23 20:00:00-04:00,166.43,169.52,165.52,168.72,578100
2022-05-24 20:00:00-04:00,168.43,170.82,167.50,169.21,560500
2022-05-25 20:00:00-04:00,170.89,170.89,167.51,168.07,461000
2022-05-26 20:00:00-04:00,168.13,169.98,167.69,169.98,476200
2022-05-30 20:00:00-04:00,168.23,169.30,165.31,165.56,1555900
2022-05-31 20:00:00-04:00,165.86,167.61,163.48,167.00,577500
2022-06-01 20:00:00-04:00,167.11,168.61,165.57,168.59,420600
2022-06-02 20:00:00-04:00,167.96,169.77,166.73,169.02,413800
2022-06-05 20:00:00-04:00,170.02,171.83,169.06,171.64,347600
2022-06-06 20:00:00-04:00,171.47,174.25,171.24,173.88,410400
2022-06-07 20:00:00-04:00,172.73,173.42,170.72,170.99,309100
2022-06-08 20:00:00-04:00,171.09,171.50,167.49,167.49,302900
2022-06-09 20:00:00-04:00,164.52,165.52,162.90,162.94,442000
2022-06-12 20:00:00-04:00,160.77,163.98,160.30,161.81,601800
2022-06-13 20:00:00-04:00,163.56,165.92,161.72,164.92,664800
2022-06-14 20:00:00-04:00,166.02,166.98,159.99,162.32,497700
2022-06-15 20:00:00-04:00,160.67,161.20,157.75,158.42,533500
2022-06-16 20:00:00-04:00,158.18,160.30,157.93,159.15,1167100
2022-06-20 20:00:00-04:00,161.36,161.80,160.50,160.86,513000
2022-06-21 20:00:00-04:00,158.24,161.10,157.96,160.41,492500
2022-06-22 20:00:00-04:00,160.82,161.29,156.54,158.64,842200
2022-06-23 20:00:00-04:00,158.18,162.32,158.04,161.97,804800
2022-06-26 20:00:00-04:00,162.50,163.09,161.24,162.11,427700
2022-06-27 20:00:00-04:00,163.47,165.25,162.07,162.10,376800
2022-06-28 20:00:00-04:00,162.37,162.37,159.99,160.10,342600
2022-06-29 20:00:00-04:00,158.80,162.33,157.80,161.96,458600
2022-06-30 20:00:00-04:00,162.30,164.08,161.28,163.97,275700
2022-07-04 20:00:00-04:00,162.20,162.20,158.91,161.69,316500
2022-07-05 20:00:00-04:00,161.69,165.12,161.14,163.67,481300
2022-07-06 20:00:00-04:00,165.13,166.45,163.63,164.08,381800
2022-07-07 20:00:00-04:00,164.98,165.35,162.86,164.06,395100
2022-07-10 20:00:00-04:00,163.41,166.38,163.41,166.30,533500
2022-07-11 20:00:00-04:00,165.49,167.49,161.96,162.22,384400
2022-07-12 20:00:00-04:00,160.88,164.67,160.88,163.53,373800
2022-07-13 20:00:00-04:00,160.32,160.83,155.71,156.93,333900
2022-07-14 20:00:00-04:00,158.75,158.75,155.96,156.36,338800
2022-07-17 20:00:00-04:00,156.98,157.37,153.18,153.92,368000
2022-07-18 20:00:00-04:00,154.79,158.27,154.79,157.68,255200
2022-07-19 20:00:00-04:00,157.27,158.32,155.86,157.80,295400
2022-07-20 20:00:00-04:00,157.23,158.24,155.78,158.14,231400
2022-07-21 20:00:00-04:00,158.97,159.83,157.81,159.04,226200
2022-07-24 20:00:00-04:00,159.63,161.47,159.16,161.12,169800
2022-07-25 20:00:00-04:00,161.20,162.44,160.70,161.10,307200
2022-07-26 20:00:00-04:00,161.01,161.87,159.10,161.29,758500
2022-07-27 20:00:00-04:00,161.11,161.39,157.33,161.30,321800
2022-07-28 20:00:00-04:00,161.86,165.20,161.31,164.70,446000
2022-07-31 20:00:00-04:00,163.48,164.52,162.23,163.61,415300
2022-08-01 20:00:00-04:00,164.00,164.44,160.17,160.76,483700
2022-08-02 20:00:00-04:00,156.49,158.18,144.09,144.39,1091400
2022-08-03 20:00:00-04:00,143.43,146.39,140.08,146.39,844400
2022-08-04 20:00:00-04:00,145.84,147.85,144.12,145.50,522500
2022-08-07 20:00:00-04:00,146.16,148.65,146.16,148.11,443800
2022-08-08 20:00:00-04:00,148.97,149.92,147.15,148.16,506600
2022-08-09 20:00:00-04:00,149.35,151.76,149.21,151.71,301600
2022-08-10 20:00:00-04:00,152.80,153.63,152.01,153.14,402100
2022-08-11 20:00:00-04:00,153.54,155.81,153.25,155.80,374000
2022-08-14 20:00:00-04:00,154.61,157.30,153.96,156.72,343700
2022-08-15 20:00:00-04:00,156.33,159.99,156.20,159.50,398000
2022-08-16 20:00:00-04:00,158.54,162.09,158.54,160.73,447800
2022-08-17 20:00:00-04:00,161.25,161.41,160.25,160.95,287100
2022-08-18 20:00:00-04:00,160.95,161.77,160.27,161.02,518700
2022-08-21 20:00:00-04:00,159.32,159.49,154.26,154.45,423800
