Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,58.42,59.01,58.39,58.63,1026200
2018-07-02 20:00:00-04:00,59.02,59.62,58.79,58.87,457000
2018-07-04 20:00:00-04:00,59.11,59.40,58.75,59.37,754200
2018-07-05 20:00:00-04:00,59.43,60.39,59.30,60.02,878700
2018-07-08 20:00:00-04:00,60.11,61.30,60.11,61.24,721400
2018-07-09 20:00:00-04:00,61.04,61.19,60.83,61.13,664500
2018-07-10 20:00:00-04:00,61.00,61.39,60.97,61.26,783800
2018-07-11 20:00:00-04:00,61.54,61.73,61.18,61.68,754800
2018-07-12 20:00:00-04:00,61.63,61.92,61.46,61.86,564300
2018-07-15 20:00:00-04:00,61.88,62.50,61.83,62.40,810800
2018-07-16 20:00:00-04:00,62.67,62.77,62.16,62.61,585800
2018-07-17 20:00:00-04:00,62.62,63.37,62.48,63.34,887300
2018-07-18 20:00:00-04:00,63.01,63.46,63.01,63.16,932400
2018-07-19 20:00:00-04:00,62.94,63.40,62.78,63.24,875600
2018-07-22 20:00:00-04:00,63.24,63.78,63.00,63.60,918300
2018-07-23 20:00:00-04:00,63.78,63.78,63.23,63.34,863200
2018-07-24 20:00:00-04:00,63.23,64.00,63.22,63.93,901200
2018-07-25 20:00:00-04:00,64.07,64.17,63.79,63.96,1401800
2018-07-26 20:00:00-04:00,64.23,65.68,63.60,63.69,1329500
2018-07-29 20:00:00-04:00,63.82,64.41,63.77,63.91,935500
2018-07-30 20:00:00-04:00,64.00,64.19,63.79,64.10,1493100
2018-07-31 20:00:00-04:00,64.13,64.16,63.67,64.09,912200
2018-08-01 20:00:00-04:00,63.66,63.99,63.21,63.92,923300
2018-08-02 20:00:00-04:00,63.92,64.20,63.68,64.20,534300
2018-08-05 20:00:00-04:00,64.23,64.43,64.10,64.27,651500
2018-08-06 20:00:00-04:00,64.32,64.59,64.13,64.31,732700
2018-08-07 20:00:00-04:00,64.34,64.66,64.05,64.37,671300
2018-08-08 20:00:00-04:00,64.49,64.58,64.07,64.11,537300
2018-08-09 20:00:00-04:00,63.80,63.82,63.40,63.67,645600
2018-08-12 20:00:00-04:00,63.69,63.93,63.01,63.27,714100
2018-08-13 20:00:00-04:00,63.30,63.65,63.25,63.48,518600
2018-08-14 20:00:00-04:00,63.18,63.96,62.95,63.89,702200
2018-08-15 20:00:00-04:00,64.14,64.89,64.10,64.60,767800
2018-08-16 20:00:00-04:00,64.55,65.02,64.54,64.87,795300
2018-08-19 20:00:00-04:00,65.11,65.19,64.63,64.66,590500
2018-08-20 20:00:00-04:00,64.61,65.16,64.55,65.01,554000
2018-08-21 20:00:00-04:00,64.91,64.96,64.35,64.39,516600
2018-08-22 20:00:00-04:00,64.41,64.52,64.20,64.46,418200
2018-08-23 20:00:00-04:00,64.68,64.85,64.38,64.82,381600
2018-08-26 20:00:00-04:00,65.09,65.27,64.92,64.95,470600
