Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,84.28,85.04,83.42,83.87,1182400
2018-07-02 20:00:00-04:00,86.72,87.76,86.02,86.69,1726500
2018-07-04 20:00:00-04:00,86.92,87.36,83.71,85.04,1850900
2018-07-05 20:00:00-04:00,84.68,86.37,84.19,85.72,1171900
2018-07-08 20:00:00-04:00,85.91,86.60,85.66,86.11,1003600
2018-07-09 20:00:00-04:00,86.11,86.88,85.27,85.96,1124600
2018-07-10 20:00:00-04:00,85.23,85.42,84.43,84.95,1173300
2018-07-11 20:00:00-04:00,86.10,86.39,85.12,85.55,996500
2018-07-12 20:00:00-04:00,85.68,86.13,85.11,85.74,847300
2018-07-15 20:00:00-04:00,85.67,85.87,84.94,85.20,2343000
2018-07-16 20:00:00-04:00,85.10,87.29,84.78,87.00,1103900
2018-07-17 20:00:00-04:00,86.95,87.80,86.18,86.79,1394600
2018-07-18 20:00:00-04:00,86.12,86.62,85.27,86.32,976000
2018-07-19 20:00:00-04:00,85.83,85.87,83.94,84.25,1803800
2018-07-22 20:00:00-04:00,84.10,84.10,80.77,81.57,2490600
2018-07-23 20:00:00-04:00,82.40,82.93,81.34,81.55,1318400
2018-07-24 20:00:00-04:00,81.23,82.48,81.03,82.35,1115600
2018-07-25 20:00:00-04:00,82.45,83.82,81.76,83.49,1209000
2018-07-26 20:00:00-04:00,83.68,84.46,82.55,83.67,889900
2018-07-29 20:00:00-04:00,83.67,83.67,82.20,82.92,1272200
2018-07-30 20:00:00-04:00,83.11,84.81,82.82,84.52,989500
2018-07-31 20:00:00-04:00,84.34,84.48,80.83,81.65,1763100
2018-08-01 20:00:00-04:00,81.33,82.86,80.82,82.56,1494900
2018-08-02 20:00:00-04:00,82.77,83.36,82.37,83.09,786700
2018-08-05 20:00:00-04:00,82.81,83.38,82.43,83.13,1110100
2018-08-06 20:00:00-04:00,83.44,84.09,83.08,83.27,1603600
2018-08-07 20:00:00-04:00,87.40,90.16,86.60,88.62,5215100
2018-08-08 20:00:00-04:00,88.96,92.51,88.48,90.40,3463900
2018-08-09 20:00:00-04:00,89.76,90.44,88.11,88.37,1340100
2018-08-12 20:00:00-04:00,88.04,88.30,85.73,85.80,2108700
2018-08-13 20:00:00-04:00,85.91,87.40,85.77,87.32,1152900
2018-08-14 20:00:00-04:00,86.28,86.76,83.92,85.72,1930600
2018-08-15 20:00:00-04:00,86.57,88.06,86.57,87.08,1116900
2018-08-16 20:00:00-04:00,86.68,86.78,84.59,85.63,1334900
2018-08-19 20:00:00-04:00,85.77,86.43,85.52,85.72,1129700
2018-08-20 20:00:00-04:00,85.65,85.78,84.73,85.09,1384300
2018-08-21 20:00:00-04:00,85.23,85.55,84.61,84.81,1236100
2018-08-22 20:00:00-04:00,84.78,84.87,82.91,84.13,3337400
2018-08-23 20:00:00-04:00,84.57,87.01,84.34,86.13,1612700
2018-08-26 20:00:00-04:00,86.40,87.92,86.22,86.93,883900
2018-08-27 20:00:00-04:00,86.97,88.02,86.47,86.97,1058300
2018-08-28 20:00:00-04:00,86.85,87.23,85.75,86.78,753800
2018-08-29 20:00:00-04:00,86.30,86.54,84.84,85.28,985200
2018-08-30 20:00:00-04:00,84.97,86.52,84.74,85.70,762900
2018-09-03 20:00:00-04:00,87.03,87.55,85.24,86.64,1488400
2018-09-04 20:00:00-04:00,86.64,86.90,85.29,86.53,1333800
2018-09-05 20:00:00-04:00,86.75,88.36,86.70,87.62,1355700
2018-09-06 20:00:00-04:00,86.94,87.90,85.93,87.20,1280100
2018-09-09 20:00:00-04:00,87.40,87.85,86.88,87.38,1227000
2018-09-10 20:00:00-04:00,87.10,89.23,86.48,88.68,1536400
2018-09-11 20:00:00-04:00,88.66,89.79,88.06,89.23,1221000
2018-09-12 20:00:00-04:00,89.90,91.14,89.66,90.57,1415100
2018-09-13 20:00:00-04:00,90.81,91.42,89.55,90.83,1250400
2018-09-16 20:00:00-04:00,90.83,93.16,90.59,92.23,1769500
2018-09-17 20:00:00-04:00,92.23,92.89,91.13,92.78,1301500
2018-09-18 20:00:00-04:00,93.04,95.74,93.03,94.96,1644800
2018-09-19 20:00:00-04:00,95.06,96.32,94.89,95.96,1523400
2018-09-20 20:00:00-04:00,96.30,96.70,94.11,94.90,2066900
2018-09-23 20:00:00-04:00,94.65,95.51,94.04,94.47,1230600
2018-09-24 20:00:00-04:00,94.79,94.93,92.11,92.30,1454700
2018-09-25 20:00:00-04:00,91.89,92.35,91.04,91.21,1491500
2018-09-26 20:00:00-04:00,91.29,91.61,89.78,90.88,1079100
2018-09-27 20:00:00-04:00,90.69,91.07,89.77,89.82,1421000
2018-09-30 20:00:00-04:00,90.63,91.04,90.11,90.78,758200
2018-10-01 20:00:00-04:00,91.05,91.83,90.54,91.69,1035500
2018-10-02 20:00:00-04:00,91.85,94.52,91.62,93.66,1352400
2018-10-03 20:00:00-04:00,93.62,94.26,92.37,93.82,1168100
2018-10-04 20:00:00-04:00,93.77,94.75,91.80,92.78,1521000
2018-10-07 20:00:00-04:00,91.94,92.29,90.50,92.05,2145400
2018-10-08 20:00:00-04:00,91.10,91.10,87.29,87.57,2716200
2018-10-09 20:00:00-04:00,87.54,87.64,85.95,86.12,1833300
2018-10-10 20:00:00-04:00,85.16,86.78,84.65,84.95,1614000
2018-10-11 20:00:00-04:00,86.04,86.53,84.72,85.60,1048200
2018-10-14 20:00:00-04:00,85.67,87.06,85.61,86.47,759200
2018-10-15 20:00:00-04:00,86.84,87.70,85.88,87.45,993400
2018-10-16 20:00:00-04:00,86.85,87.65,86.50,86.71,1183100
2018-10-17 20:00:00-04:00,86.64,87.19,85.12,86.12,1202400
2018-10-18 20:00:00-04:00,86.03,86.68,85.58,86.09,880100
2018-10-21 20:00:00-04:00,86.66,88.24,85.86,87.56,1317800
2018-10-22 20:00:00-04:00,86.09,87.12,84.41,86.57,1497800
2018-10-23 20:00:00-04:00,86.66,86.79,84.15,84.30,1538100
2018-10-24 20:00:00-04:00,84.95,86.03,84.33,85.89,1135900
2018-10-25 20:00:00-04:00,84.63,86.21,83.41,85.74,1621200
2018-10-28 20:00:00-04:00,86.87,88.13,84.59,85.67,1448600
2018-10-29 20:00:00-04:00,85.52,87.65,84.33,87.43,1305700
2018-10-30 20:00:00-04:00,88.30,90.25,88.11,89.32,2166800
2018-10-31 20:00:00-04:00,90.36,95.28,90.02,94.90,2981900
2018-11-01 20:00:00-04:00,95.25,97.65,95.05,95.82,1710800
2018-11-04 19:00:00-05:00,95.53,96.19,94.51,95.61,829800
2018-11-05 19:00:00-05:00,95.65,97.13,95.51,97.04,1222100
2018-11-06 19:00:00-05:00,97.22,97.89,96.02,97.22,1751800
2018-11-07 19:00:00-05:00,93.89,96.32,91.46,95.31,2643900
2018-11-08 19:00:00-05:00,93.62,94.07,90.46,92.16,1455000
2018-11-11 19:00:00-05:00,92.06,92.07,88.18,88.29,1241600
2018-11-12 19:00:00-05:00,88.56,90.86,88.52,89.30,1453900
2018-11-13 19:00:00-05:00,90.02,90.94,89.55,89.97,785700
2018-11-14 19:00:00-05:00,89.78,93.06,89.19,92.45,1139600
2018-11-15 19:00:00-05:00,91.91,92.53,89.90,90.90,1379700
2018-11-18 19:00:00-05:00,90.60,92.00,89.40,89.67,981100
2018-11-19 19:00:00-05:00,88.10,88.35,85.56,86.19,1643800
2018-11-20 19:00:00-05:00,86.43,87.02,83.98,85.99,1202700
2018-11-22 19:00:00-05:00,85.48,88.29,85.18,87.11,482900
2018-11-25 19:00:00-05:00,87.63,88.23,86.32,86.97,977600
2018-11-26 19:00:00-05:00,86.12,87.28,85.18,85.91,1014200
2018-11-27 19:00:00-05:00,85.66,87.04,84.65,86.98,1093400
2018-11-28 19:00:00-05:00,87.05,87.20,84.97,86.80,894300
2018-11-29 19:00:00-05:00,86.42,87.58,85.72,86.71,1037800
2018-12-02 19:00:00-05:00,88.75,90.35,87.86,88.64,1698000
2018-12-03 19:00:00-05:00,88.38,89.86,83.73,83.89,2421500
2018-12-05 19:00:00-05:00,82.86,82.86,79.24,82.09,2034900
2018-12-06 19:00:00-05:00,82.21,83.03,79.29,79.80,1523500
2018-12-09 19:00:00-05:00,80.10,80.85,78.54,80.16,1088000
2018-12-10 19:00:00-05:00,81.95,82.90,79.86,80.19,1060200
2018-12-11 19:00:00-05:00,81.26,81.51,79.86,79.92,973000
2018-12-12 19:00:00-05:00,80.06,80.51,78.81,79.47,955700
2018-12-13 19:00:00-05:00,78.68,79.19,75.91,76.78,1719900
2018-12-16 19:00:00-05:00,76.38,76.46,72.02,72.75,2762400
2018-12-17 19:00:00-05:00,73.39,74.70,72.87,73.22,1690000
2018-12-18 19:00:00-05:00,73.49,74.68,71.45,72.11,1764700
2018-12-19 19:00:00-05:00,70.09,70.61,66.57,68.82,4684500
2018-12-20 19:00:00-05:00,68.97,70.18,67.41,67.63,2776000
2018-12-23 19:00:00-05:00,66.83,67.62,65.46,66.08,870200
2018-12-25 19:00:00-05:00,66.35,68.96,64.96,68.93,1500300
2018-12-26 19:00:00-05:00,68.03,69.86,66.87,69.78,1657000
2018-12-27 19:00:00-05:00,70.10,70.84,68.78,69.34,1202500
2018-12-30 19:00:00-05:00,69.58,70.26,68.70,69.64,1040100
2019-01-01 19:00:00-05:00,68.50,71.41,67.89,70.58,1052300
2019-01-02 19:00:00-05:00,69.44,69.47,65.59,65.69,1968100
2019-01-03 19:00:00-05:00,67.38,69.83,67.20,68.89,2089500
2019-01-06 19:00:00-05:00,68.94,69.71,68.09,69.20,1413300
2019-01-07 19:00:00-05:00,69.83,70.22,69.22,69.88,1622800
2019-01-08 19:00:00-05:00,70.28,70.56,68.61,69.44,1113900
2019-01-09 19:00:00-05:00,68.88,70.47,68.26,69.82,1929400
2019-01-10 19:00:00-05:00,69.33,70.35,68.11,69.95,1526200
2019-01-13 19:00:00-05:00,69.22,70.01,68.76,69.55,1374900
2019-01-14 19:00:00-05:00,67.75,68.69,66.08,66.54,2128200
2019-01-15 19:00:00-05:00,66.80,67.71,66.42,66.81,2634300
2019-01-16 19:00:00-05:00,66.72,68.43,66.46,68.03,2020800
2019-01-17 19:00:00-05:00,68.52,69.81,68.47,69.25,1457300
2019-01-21 19:00:00-05:00,68.22,68.41,66.96,68.11,1435800
2019-01-22 19:00:00-05:00,68.35,68.53,66.40,66.80,1271100
2019-01-23 19:00:00-05:00,66.84,67.94,66.55,66.89,1660300
2019-01-24 19:00:00-05:00,68.48,69.91,68.31,69.20,2234900
2019-01-27 19:00:00-05:00,68.88,70.07,68.69,69.66,1273500
2019-01-28 19:00:00-05:00,70.02,71.19,70.02,70.77,1815100
2019-01-29 19:00:00-05:00,71.47,72.72,70.80,72.48,1592500
2019-01-30 19:00:00-05:00,72.96,73.69,71.93,72.95,1971400
2019-01-31 19:00:00-05:00,73.09,74.00,72.75,73.47,969200
2019-02-03 19:00:00-05:00,73.47,74.10,73.17,74.04,885100
2019-02-04 19:00:00-05:00,73.42,74.04,72.42,73.48,1410600
2019-02-05 19:00:00-05:00,73.13,74.89,73.06,74.27,1154500
2019-02-06 19:00:00-05:00,73.53,73.90,71.65,72.87,1222800
2019-02-07 19:00:00-05:00,72.14,73.22,71.86,73.20,712500
2019-02-10 19:00:00-05:00,73.71,74.00,72.57,73.07,659900
2019-02-11 19:00:00-05:00,72.60,73.10,70.86,72.70,1947500
2019-02-12 19:00:00-05:00,73.21,74.24,73.16,73.85,886600
2019-02-13 19:00:00-05:00,73.56,73.97,72.65,72.67,1362500
2019-02-14 19:00:00-05:00,73.92,73.92,72.59,73.53,1549800
