Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,334.90,341.05,332.01,340.28,1047100
2018-07-02 20:00:00-04:00,341.10,344.52,337.11,338.68,475400
2018-07-04 20:00:00-04:00,342.18,343.23,333.57,341.38,737500
2018-07-05 20:00:00-04:00,341.39,349.70,338.80,347.47,641600
2018-07-08 20:00:00-04:00,350.58,354.12,345.44,348.97,784900
2018-07-09 20:00:00-04:00,350.00,352.83,347.25,351.45,594600
2018-07-10 20:00:00-04:00,346.98,352.40,345.50,348.87,433400
2018-07-11 20:00:00-04:00,350.31,363.04,350.31,362.82,810200
2018-07-12 20:00:00-04:00,364.00,368.97,361.29,363.45,734000
2018-07-15 20:00:00-04:00,365.00,366.32,358.02,362.28,400600
2018-07-16 20:00:00-04:00,359.59,371.05,357.46,370.53,558900
2018-07-17 20:00:00-04:00,373.86,375.33,367.81,372.31,452100
2018-07-18 20:00:00-04:00,369.88,373.49,365.00,370.32,560000
2018-07-19 20:00:00-04:00,371.06,378.98,369.58,375.38,755500
2018-07-22 20:00:00-04:00,375.50,385.00,368.74,377.50,722100
2018-07-23 20:00:00-04:00,378.96,384.75,369.76,372.59,937400
2018-07-24 20:00:00-04:00,374.69,383.46,373.00,381.77,975500
2018-07-25 20:00:00-04:00,377.61,380.00,354.74,363.02,1834800
2018-07-26 20:00:00-04:00,364.51,365.55,349.13,353.77,837800
2018-07-29 20:00:00-04:00,353.50,356.03,341.24,348.58,1262800
2018-07-30 20:00:00-04:00,348.88,358.56,341.91,356.65,1286200
2018-07-31 20:00:00-04:00,356.65,361.29,352.60,353.70,871200
2018-08-01 20:00:00-04:00,351.00,369.02,350.51,367.92,803900
2018-08-02 20:00:00-04:00,368.52,369.49,356.13,363.51,712900
2018-08-05 20:00:00-04:00,362.11,370.45,362.11,369.55,526700
2018-08-06 20:00:00-04:00,369.55,373.66,365.00,365.58,615900
2018-08-07 20:00:00-04:00,366.13,367.35,363.31,366.21,462400
2018-08-08 20:00:00-04:00,366.81,371.61,363.50,366.87,529800
2018-08-09 20:00:00-04:00,363.71,369.67,362.48,364.53,389700
2018-08-12 20:00:00-04:00,364.48,369.04,361.54,362.28,364600
2018-08-13 20:00:00-04:00,361.28,368.80,361.28,368.66,559600
2018-08-14 20:00:00-04:00,366.73,368.49,349.80,350.45,1074700
2018-08-15 20:00:00-04:00,353.00,355.00,344.35,351.20,950500
