Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,67.74,68.21,67.11,68.17,1244100
2018-07-02 20:00:00-04:00,68.66,69.01,67.71,67.85,532300
2018-07-04 20:00:00-04:00,68.31,68.38,67.59,68.24,961200
2018-07-05 20:00:00-04:00,68.09,68.47,67.88,68.15,613100
2018-07-08 20:00:00-04:00,68.20,69.30,68.20,69.23,769700
2018-07-09 20:00:00-04:00,69.63,69.89,69.33,69.55,1442100
2018-07-10 20:00:00-04:00,68.85,69.14,68.07,68.31,976400
2018-07-11 20:00:00-04:00,68.89,69.50,68.41,69.40,824200
2018-07-12 20:00:00-04:00,69.30,70.07,69.30,69.87,550200
2018-07-15 20:00:00-04:00,69.92,70.06,68.99,69.18,515400
2018-07-16 20:00:00-04:00,69.06,69.55,68.87,69.37,804200
2018-07-17 20:00:00-04:00,69.54,70.02,69.28,69.92,733600
2018-07-18 20:00:00-04:00,69.65,69.94,69.46,69.81,639800
2018-07-19 20:00:00-04:00,69.51,70.18,69.38,69.74,763100
2018-07-22 20:00:00-04:00,69.63,69.63,68.86,68.93,809600
2018-07-23 20:00:00-04:00,69.41,70.05,69.32,69.62,1025300
2018-07-24 20:00:00-04:00,69.55,71.51,69.47,71.40,1580300
2018-07-25 20:00:00-04:00,71.26,73.13,71.26,73.09,1446900
2018-07-26 20:00:00-04:00,73.19,73.41,72.44,72.85,948100
2018-07-29 20:00:00-04:00,72.94,73.70,71.92,72.11,2009100
2018-07-30 20:00:00-04:00,72.45,73.95,71.31,73.75,1946300
2018-07-31 20:00:00-04:00,73.80,73.84,72.51,72.83,2060000
2018-08-01 20:00:00-04:00,72.45,73.16,72.11,72.77,1225500
2018-08-02 20:00:00-04:00,72.85,73.10,71.99,72.59,1013400
2018-08-05 20:00:00-04:00,72.75,72.81,72.15,72.35,794900
2018-08-06 20:00:00-04:00,72.60,73.57,72.59,73.46,1075500
2018-08-07 20:00:00-04:00,73.49,73.53,73.02,73.16,724400
2018-08-08 20:00:00-04:00,73.23,73.52,72.50,72.67,1295100
2018-08-09 20:00:00-04:00,72.25,72.35,71.64,71.93,1453000
2018-08-12 20:00:00-04:00,72.05,72.48,71.36,71.73,1313400
2018-08-13 20:00:00-04:00,71.85,72.18,71.66,71.88,990500
2018-08-14 20:00:00-04:00,71.38,71.56,70.63,71.20,1165200
2018-08-15 20:00:00-04:00,71.56,72.24,71.37,71.79,876700
2018-08-16 20:00:00-04:00,71.79,72.49,71.58,72.34,1422600
2018-08-19 20:00:00-04:00,72.42,72.84,72.33,72.60,960200
2018-08-20 20:00:00-04:00,72.76,73.14,72.63,73.00,1455800
2018-08-21 20:00:00-04:00,72.77,72.86,71.98,72.16,564800
2018-08-22 20:00:00-04:00,72.16,72.34,71.70,71.89,867800
2018-08-23 20:00:00-04:00,72.15,72.29,71.69,72.25,764300
2018-08-26 20:00:00-04:00,72.59,73.36,72.50,73.05,637400
2018-08-27 20:00:00-04:00,73.37,73.78,73.21,73.31,751800
2018-08-28 20:00:00-04:00,73.57,73.57,73.02,73.30,736800
2018-08-29 20:00:00-04:00,73.20,73.35,72.32,72.47,743400
2018-08-30 20:00:00-04:00,72.26,73.02,72.16,72.96,852300
2018-09-03 20:00:00-04:00,72.75,72.91,71.98,72.73,1163000
2018-09-04 20:00:00-04:00,72.59,74.08,72.45,73.94,1515200
2018-09-05 20:00:00-04:00,74.07,74.79,74.01,74.22,1306800
2018-09-06 20:00:00-04:00,74.07,74.63,73.57,74.03,1273400
2018-09-09 20:00:00-04:00,74.48,75.59,74.30,75.25,1449100
2018-09-10 20:00:00-04:00,74.99,76.04,74.80,75.36,1529300
2018-09-11 20:00:00-04:00,75.31,75.75,74.89,75.59,1127400
2018-09-12 20:00:00-04:00,75.88,76.79,75.81,76.63,1012800
2018-09-13 20:00:00-04:00,76.53,77.09,76.34,76.76,721900
2018-09-16 20:00:00-04:00,76.80,77.08,76.39,76.72,839200
2018-09-17 20:00:00-04:00,76.92,77.44,76.34,77.40,1230500
2018-09-18 20:00:00-04:00,77.54,77.54,76.86,76.89,1474400
2018-09-19 20:00:00-04:00,77.23,77.41,76.43,77.28,940900
2018-09-20 20:00:00-04:00,77.47,77.80,77.17,77.43,1507200
2018-09-23 20:00:00-04:00,77.27,77.27,76.39,76.49,929500
2018-09-24 20:00:00-04:00,76.29,76.35,75.73,76.01,1317900
2018-09-25 20:00:00-04:00,75.96,76.22,75.30,75.39,987800
2018-09-26 20:00:00-04:00,75.49,75.80,74.94,74.96,652100
2018-09-27 20:00:00-04:00,74.85,75.61,74.76,75.14,959200
2018-09-30 20:00:00-04:00,75.66,75.94,75.32,75.70,1034600
2018-10-01 20:00:00-04:00,75.80,76.14,75.56,75.67,687700
2018-10-02 20:00:00-04:00,75.92,76.02,75.52,75.80,1071800
2018-10-03 20:00:00-04:00,75.64,76.28,74.96,75.26,813400
2018-10-04 20:00:00-04:00,75.27,75.43,74.16,74.69,805700
2018-10-07 20:00:00-04:00,74.45,74.52,73.31,74.00,1048000
2018-10-08 20:00:00-04:00,73.88,74.00,72.90,72.93,1036100
2018-10-09 20:00:00-04:00,72.65,72.84,70.40,70.45,1623800
2018-10-10 20:00:00-04:00,70.27,70.38,68.04,68.23,1716500
2018-10-11 20:00:00-04:00,69.46,69.68,68.13,69.14,1427300
2018-10-14 20:00:00-04:00,69.03,69.46,68.46,68.62,1433300
2018-10-15 20:00:00-04:00,69.12,69.91,68.13,69.76,2508400
2018-10-16 20:00:00-04:00,69.64,69.97,69.05,69.62,1646500
2018-10-17 20:00:00-04:00,69.29,69.46,67.54,67.68,1375100
2018-10-18 20:00:00-04:00,67.79,67.90,66.57,67.06,1586900
2018-10-21 20:00:00-04:00,67.30,67.41,66.73,66.95,1527800
2018-10-22 20:00:00-04:00,65.72,65.72,63.94,64.59,1712600
2018-10-23 20:00:00-04:00,64.25,64.76,61.94,62.09,2277600
2018-10-24 20:00:00-04:00,62.65,63.67,62.46,63.09,1553600
2018-10-25 20:00:00-04:00,62.10,64.27,62.00,63.37,1649900
2018-10-28 20:00:00-04:00,64.27,64.56,61.64,62.39,1520900
2018-10-29 20:00:00-04:00,62.21,63.26,61.91,63.04,1690800
2018-10-30 20:00:00-04:00,63.82,64.65,63.58,63.70,1919200
2018-10-31 20:00:00-04:00,66.31,68.33,66.31,68.02,2780100
2018-11-01 20:00:00-04:00,68.81,69.53,68.04,68.97,2742500
2018-11-04 19:00:00-05:00,69.32,70.10,68.73,69.81,2659200
2018-11-05 19:00:00-05:00,69.54,71.15,69.34,70.88,2348700
2018-11-06 19:00:00-05:00,71.26,71.75,70.41,71.45,1938600
