Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,116.57,116.89,115.26,116.84,1559500
2018-07-02 20:00:00-04:00,116.86,117.14,115.30,115.52,1669600
2018-07-04 20:00:00-04:00,116.12,117.68,115.81,117.65,1512400
2018-07-05 20:00:00-04:00,117.55,118.19,117.04,117.77,1376600
2018-07-08 20:00:00-04:00,116.97,117.13,114.46,114.83,2334400
2018-07-09 20:00:00-04:00,114.28,116.34,112.40,115.93,3775300
2018-07-10 20:00:00-04:00,115.48,116.62,115.25,115.83,1250400
2018-07-11 20:00:00-04:00,115.96,116.91,115.55,116.11,1504600
2018-07-12 20:00:00-04:00,116.12,116.80,115.44,115.68,953700
2018-07-15 20:00:00-04:00,114.93,115.46,114.05,114.49,1644500
2018-07-16 20:00:00-04:00,114.53,114.90,113.81,114.83,2995100
2018-07-17 20:00:00-04:00,114.83,115.07,113.60,114.19,2046400
2018-07-18 20:00:00-04:00,113.86,115.13,113.69,114.42,1505900
2018-07-19 20:00:00-04:00,114.14,114.70,113.17,113.38,1786500
2018-07-22 20:00:00-04:00,113.70,113.86,112.60,113.75,1457900
2018-07-23 20:00:00-04:00,113.43,114.43,111.87,114.34,3230400
2018-07-24 20:00:00-04:00,114.07,115.78,113.98,115.45,1572200
2018-07-25 20:00:00-04:00,115.63,116.98,115.36,116.72,1619000
2018-07-26 20:00:00-04:00,117.14,117.22,116.29,116.61,1424800
2018-07-29 20:00:00-04:00,116.33,116.75,114.64,115.27,1963200
2018-07-30 20:00:00-04:00,118.61,121.81,117.60,119.73,3924400
2018-07-31 20:00:00-04:00,119.27,121.54,118.93,121.29,2766300
2018-08-01 20:00:00-04:00,120.98,121.44,119.65,119.70,1877100
2018-08-02 20:00:00-04:00,120.00,122.11,119.53,121.95,1673000
2018-08-05 20:00:00-04:00,122.20,122.47,120.93,121.88,1272700
2018-08-06 20:00:00-04:00,121.85,121.85,120.09,121.17,1418100
2018-08-07 20:00:00-04:00,121.37,121.37,120.08,120.60,1060300
2018-08-08 20:00:00-04:00,120.77,121.71,120.44,121.61,1231700
2018-08-09 20:00:00-04:00,121.28,122.27,120.41,120.49,1260000
2018-08-12 20:00:00-04:00,120.34,121.01,120.01,120.35,957900
2018-08-13 20:00:00-04:00,120.47,121.04,120.00,120.43,1433500
2018-08-14 20:00:00-04:00,120.41,121.04,119.87,120.78,1413900
2018-08-15 20:00:00-04:00,121.13,121.60,120.76,120.92,1154200
2018-08-16 20:00:00-04:00,121.06,122.13,120.92,122.09,1542000
2018-08-19 20:00:00-04:00,122.46,122.70,121.57,121.79,1496300
2018-08-20 20:00:00-04:00,121.64,121.81,120.29,120.57,1520000
2018-08-21 20:00:00-04:00,120.56,120.90,119.13,119.62,1134400
2018-08-22 20:00:00-04:00,119.88,120.12,118.88,119.03,1206600
2018-08-23 20:00:00-04:00,119.03,119.96,119.03,119.58,1339900
2018-08-26 20:00:00-04:00,119.99,120.38,119.33,119.83,1072800
2018-08-27 20:00:00-04:00,119.57,121.24,119.45,121.23,1192400
2018-08-28 20:00:00-04:00,121.38,122.17,121.29,121.51,1309000
2018-08-29 20:00:00-04:00,121.66,121.86,120.02,120.29,1034100
2018-08-30 20:00:00-04:00,120.45,121.29,120.13,120.44,965400
2018-09-03 20:00:00-04:00,120.12,120.39,119.18,119.66,1171000
2018-09-04 20:00:00-04:00,119.56,119.62,118.35,119.21,1667200
2018-09-05 20:00:00-04:00,119.37,119.87,118.97,119.61,1304000
2018-09-06 20:00:00-04:00,119.19,119.70,118.21,118.36,1510900
2018-09-09 20:00:00-04:00,118.93,119.82,118.78,118.99,1312300
2018-09-10 20:00:00-04:00,118.88,119.15,118.35,118.73,1194900
2018-09-11 20:00:00-04:00,118.94,119.09,118.27,118.98,1359900
2018-09-12 20:00:00-04:00,119.53,120.67,119.33,120.12,1676600
2018-09-13 20:00:00-04:00,119.96,120.05,118.49,118.88,1182700
2018-09-16 20:00:00-04:00,118.79,119.86,118.23,119.33,1507800
2018-09-17 20:00:00-04:00,118.82,119.93,118.67,119.06,1108300
2018-09-18 20:00:00-04:00,119.20,119.74,118.99,119.19,1247500
2018-09-19 20:00:00-04:00,119.22,120.23,118.61,120.12,1021400
2018-09-20 20:00:00-04:00,119.95,120.83,119.79,119.93,2793300
2018-09-23 20:00:00-04:00,119.53,119.60,117.85,118.23,1258000
2018-09-24 20:00:00-04:00,118.15,118.44,117.50,117.68,1127500
2018-09-25 20:00:00-04:00,117.52,117.86,116.05,116.26,1378400
2018-09-26 20:00:00-04:00,116.71,117.44,116.38,116.45,1530500
2018-09-27 20:00:00-04:00,116.42,118.11,116.42,118.00,1523400
2018-09-30 20:00:00-04:00,118.64,118.64,116.91,116.97,971200
2018-10-01 20:00:00-04:00,116.98,117.43,116.22,117.05,1043400
2018-10-02 20:00:00-04:00,117.07,118.37,115.93,116.87,1910000
2018-10-03 20:00:00-04:00,116.73,117.60,115.61,117.30,1507900
2018-10-04 20:00:00-04:00,117.60,118.81,117.20,117.55,1625900
2018-10-07 20:00:00-04:00,117.80,119.32,117.76,118.40,1760800
2018-10-08 20:00:00-04:00,118.60,120.10,118.06,119.91,1782200
2018-10-09 20:00:00-04:00,119.04,119.99,118.16,118.16,3517100
2018-10-10 20:00:00-04:00,118.45,118.77,114.02,114.25,2484300
2018-10-11 20:00:00-04:00,115.39,116.77,114.36,115.36,2219700
2018-10-14 20:00:00-04:00,115.14,117.15,114.92,115.91,1289600
2018-10-15 20:00:00-04:00,116.25,118.86,115.88,118.32,1303100
2018-10-16 20:00:00-04:00,117.94,119.49,117.29,119.12,1737000
2018-10-17 20:00:00-04:00,118.97,120.32,118.38,119.21,1515800
2018-10-18 20:00:00-04:00,119.50,122.59,119.30,121.94,2450700
2018-10-21 20:00:00-04:00,121.90,122.37,120.97,121.21,1996800
2018-10-22 20:00:00-04:00,121.09,122.86,120.54,122.51,2179100
2018-10-23 20:00:00-04:00,122.32,124.15,121.61,123.42,3056300
2018-10-24 20:00:00-04:00,123.36,125.02,122.16,124.67,2628100
2018-10-25 20:00:00-04:00,123.82,124.07,120.79,121.50,3639000
2018-10-28 20:00:00-04:00,122.38,124.80,122.08,124.11,3072700
2018-10-29 20:00:00-04:00,125.07,131.33,121.93,130.71,5553600
2018-10-30 20:00:00-04:00,129.94,130.64,126.08,126.54,3841200
2018-10-31 20:00:00-04:00,127.13,127.91,124.13,124.27,3963600
2018-11-01 20:00:00-04:00,124.11,124.25,121.20,123.49,3978700
2018-11-04 19:00:00-05:00,124.17,126.57,123.82,126.45,2301400
2018-11-05 19:00:00-05:00,126.53,127.10,125.70,126.82,1285000
2018-11-06 19:00:00-05:00,127.93,128.14,126.73,127.46,1803400
2018-11-07 19:00:00-05:00,127.47,129.45,127.24,129.42,1707900
2018-11-08 19:00:00-05:00,129.36,130.18,129.28,130.05,2279800
2018-11-11 19:00:00-05:00,130.02,131.53,130.02,130.78,2059600
2018-11-12 19:00:00-05:00,131.04,131.37,129.74,131.00,1496800
2018-11-13 19:00:00-05:00,131.50,132.85,130.49,132.71,1940900
2018-11-14 19:00:00-05:00,132.17,132.25,130.47,131.67,1987800
2018-11-15 19:00:00-05:00,131.47,133.38,131.26,133.17,1987400
2018-11-18 19:00:00-05:00,133.59,135.10,133.09,135.00,2171500
2018-11-19 19:00:00-05:00,134.13,135.70,130.39,130.46,3449900
2018-11-20 19:00:00-05:00,130.41,131.09,129.15,130.19,2009700
2018-11-22 19:00:00-05:00,129.74,130.90,129.02,130.26,746900
2018-11-25 19:00:00-05:00,130.74,131.38,129.33,131.23,1447200
2018-11-26 19:00:00-05:00,131.08,131.69,129.92,131.63,1390200
2018-11-27 19:00:00-05:00,130.94,132.29,130.74,131.56,2332200
2018-11-28 19:00:00-05:00,131.56,133.17,130.85,132.15,2063300
2018-11-29 19:00:00-05:00,132.55,133.72,131.47,133.59,2741400
2018-12-02 19:00:00-05:00,134.02,134.12,131.17,132.44,2651600
2018-12-03 19:00:00-05:00,132.59,134.36,132.41,132.77,2468800
2018-12-05 19:00:00-05:00,132.22,136.31,130.86,136.14,2809300
2018-12-06 19:00:00-05:00,135.92,136.91,134.68,135.16,3357400
2018-12-09 19:00:00-05:00,134.78,135.54,132.17,134.97,1908700
2018-12-10 19:00:00-05:00,135.40,135.88,134.41,135.33,2033000
2018-12-11 19:00:00-05:00,136.02,136.07,133.30,133.72,2675000
2018-12-12 19:00:00-05:00,134.11,136.14,133.54,135.46,2153800
2018-12-13 19:00:00-05:00,135.23,135.62,134.02,135.30,2193400
2018-12-16 19:00:00-05:00,135.58,135.75,130.24,130.70,2743400
2018-12-17 19:00:00-05:00,131.44,132.75,130.90,131.81,2475300
2018-12-18 19:00:00-05:00,131.95,133.75,131.38,132.00,1912300
2018-12-19 19:00:00-05:00,131.85,133.16,130.34,131.19,2570400
2018-12-20 19:00:00-05:00,131.19,133.67,128.01,128.31,4385700
2018-12-23 19:00:00-05:00,127.75,127.92,123.95,124.73,1968500
2018-12-25 19:00:00-05:00,125.26,128.64,123.03,128.64,1981500
2018-12-26 19:00:00-05:00,127.98,129.63,125.18,129.51,1641700
2018-12-27 19:00:00-05:00,130.43,131.97,128.82,129.70,1740000
2018-12-30 19:00:00-05:00,130.38,130.46,127.50,129.18,2044600
2019-01-01 19:00:00-05:00,128.29,128.29,125.70,127.99,2030600
2019-01-02 19:00:00-05:00,127.89,130.69,127.74,128.76,2467400
2019-01-03 19:00:00-05:00,129.11,130.71,128.77,129.27,2530000
2019-01-06 19:00:00-05:00,129.41,131.16,129.04,130.07,1708000
2019-01-07 19:00:00-05:00,130.47,131.58,129.49,131.54,2502700
2019-01-08 19:00:00-05:00,132.19,132.21,129.31,130.39,1797300
2019-01-09 19:00:00-05:00,130.22,132.28,129.53,132.17,1986600
2019-01-10 19:00:00-05:00,131.51,132.50,130.57,131.80,1878800
2019-01-13 19:00:00-05:00,131.50,132.74,131.35,131.80,1435400
2019-01-14 19:00:00-05:00,131.66,133.36,131.17,133.14,1597100
2019-01-15 19:00:00-05:00,133.47,134.17,132.96,133.74,1495200
2019-01-16 19:00:00-05:00,133.74,134.68,133.15,134.23,1322800
2019-01-17 19:00:00-05:00,134.94,134.94,133.41,134.47,1763000
2019-01-21 19:00:00-05:00,134.34,135.07,133.24,134.48,1503900
2019-01-22 19:00:00-05:00,134.34,135.39,134.20,135.38,1700200
2019-01-23 19:00:00-05:00,134.58,135.42,134.01,135.27,1275900
2019-01-24 19:00:00-05:00,135.96,137.29,135.38,136.70,1482100
2019-01-27 19:00:00-05:00,136.32,137.23,135.28,137.23,1180500
2019-01-28 19:00:00-05:00,136.92,138.43,136.82,138.36,1849700
2019-01-29 19:00:00-05:00,138.11,140.04,138.01,139.20,2159500
2019-01-30 19:00:00-05:00,138.65,142.04,138.21,141.14,4046100
2019-01-31 19:00:00-05:00,141.39,141.39,138.44,139.17,3446200
2019-02-03 19:00:00-05:00,138.98,139.60,137.90,139.59,2846800
