Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,84.14,85.69,83.90,85.69,63714000
2018-07-02 20:00:00-04:00,86.20,86.25,84.62,84.70,43546000
2018-07-04 20:00:00-04:00,85.27,85.53,84.11,84.99,59662000
2018-07-05 20:00:00-04:00,84.80,85.76,84.58,85.53,53006000
2018-07-08 20:00:00-04:00,86.20,86.98,85.81,86.95,60240000
2018-07-09 20:00:00-04:00,86.93,87.50,86.55,87.15,60058000
2018-07-10 20:00:00-04:00,86.90,87.85,86.70,87.75,64196000
2018-07-11 20:00:00-04:00,88.23,89.90,88.11,89.83,90654000
2018-07-12 20:00:00-04:00,90.20,90.76,89.76,90.65,87664000
2018-07-15 20:00:00-04:00,91.10,92.10,90.72,91.12,109324000
2018-07-16 20:00:00-04:00,90.58,92.58,89.87,92.20,113658000
2018-07-17 20:00:00-04:00,92.40,92.94,91.56,92.15,97238000
2018-07-18 20:00:00-04:00,91.47,92.05,90.56,90.65,93538000
2018-07-19 20:00:00-04:00,91.25,91.74,90.50,90.68,77688000
2018-07-22 20:00:00-04:00,90.61,90.95,88.50,90.10,77770000
2018-07-23 20:00:00-04:00,91.45,92.00,90.47,91.46,85574000
2018-07-24 20:00:00-04:00,91.46,93.19,91.13,93.18,74764000
2018-07-25 20:00:00-04:00,91.95,92.23,90.22,90.40,198488000
2018-07-26 20:00:00-04:00,93.80,94.00,90.33,90.86,193620000
2018-07-29 20:00:00-04:00,91.37,91.47,88.30,88.96,131246000
2018-07-30 20:00:00-04:00,89.32,90.09,86.97,88.87,114774000
2018-07-31 20:00:00-04:00,89.20,89.92,88.80,89.86,83062000
2018-08-01 20:00:00-04:00,89.44,91.83,89.30,91.72,87094000
2018-08-02 20:00:00-04:00,91.89,92.05,91.07,91.16,69210000
2018-08-05 20:00:00-04:00,91.29,92.39,90.95,92.39,67836000
2018-08-06 20:00:00-04:00,92.73,93.49,92.31,93.12,67550000
2018-08-07 20:00:00-04:00,93.05,94.58,92.72,94.33,79260000
2018-08-08 20:00:00-04:00,94.10,95.73,93.87,94.93,97208000
2018-08-09 20:00:00-04:00,94.43,94.97,93.91,94.32,72798000
2018-08-12 20:00:00-04:00,94.93,96.25,94.68,94.81,110630000
2018-08-13 20:00:00-04:00,95.97,96.05,95.00,95.98,79722000
2018-08-14 20:00:00-04:00,95.48,95.81,93.49,94.13,154014000
2018-08-15 20:00:00-04:00,95.20,95.25,94.18,94.33,79142000
2018-08-16 20:00:00-04:00,94.29,94.40,92.78,94.11,82086000
2018-08-19 20:00:00-04:00,94.53,94.59,93.30,93.84,57240000
2018-08-20 20:00:00-04:00,94.00,94.89,93.72,94.17,62112000
2018-08-21 20:00:00-04:00,93.83,95.29,93.83,95.25,61610000
2018-08-22 20:00:00-04:00,95.36,95.97,95.04,95.14,71260000
2018-08-23 20:00:00-04:00,95.53,95.80,95.13,95.27,56018000
2018-08-26 20:00:00-04:00,95.75,96.39,95.46,96.38,71380000
2018-08-27 20:00:00-04:00,96.89,97.09,96.44,96.64,62014000
2018-08-28 20:00:00-04:00,97.67,99.93,97.45,99.90,130636000
2018-08-29 20:00:00-04:00,99.87,101.28,99.35,100.12,145546000
2018-08-30 20:00:00-04:00,100.35,101.12,100.24,100.64,84088000
2018-09-03 20:00:00-04:00,101.32,102.53,100.65,101.98,114422000
2018-09-04 20:00:00-04:00,101.91,102.02,99.49,99.74,164412000
2018-09-05 20:00:00-04:00,100.33,100.38,96.76,97.92,149774000
2018-09-06 20:00:00-04:00,96.94,98.76,96.87,97.60,97852000
2018-09-09 20:00:00-04:00,98.55,98.65,96.58,96.95,90896000
2018-09-10 20:00:00-04:00,96.41,99.44,95.85,99.36,100672000
2018-09-11 20:00:00-04:00,99.70,100.00,98.12,99.50,88280000
2018-09-12 20:00:00-04:00,100.00,100.44,99.10,99.49,72430000
2018-09-13 20:00:00-04:00,99.65,99.68,97.96,98.51,72840000
2018-09-16 20:00:00-04:00,97.74,97.84,94.37,95.40,141004000
2018-09-17 20:00:00-04:00,95.93,97.91,95.77,97.05,85374000
2018-09-18 20:00:00-04:00,97.03,97.04,95.25,96.32,81136000
2018-09-19 20:00:00-04:00,96.93,97.75,96.61,97.21,63098000
2018-09-20 20:00:00-04:00,97.71,97.87,95.53,95.75,137118000
2018-09-23 20:00:00-04:00,95.19,96.84,93.25,96.72,84274000
2018-09-24 20:00:00-04:00,97.14,98.80,96.94,98.73,90768000
2018-09-25 20:00:00-04:00,98.43,99.76,98.08,98.74,86270000
2018-09-26 20:00:00-04:00,99.66,100.81,99.43,100.65,86588000
2018-09-27 20:00:00-04:00,100.22,101.33,99.82,100.15,81702000
2018-09-30 20:00:00-04:00,101.10,101.66,100.18,100.22,69210000
2018-10-01 20:00:00-04:00,100.00,100.67,98.29,98.57,108014000
2018-10-02 20:00:00-04:00,99.08,99.49,97.49,97.64,105062000
2018-10-03 20:00:00-04:00,97.45,97.80,94.83,95.47,145140000
2018-10-04 20:00:00-04:00,95.90,96.45,93.14,94.48,136446000
2018-10-07 20:00:00-04:00,93.70,95.10,91.53,93.22,147864000
2018-10-08 20:00:00-04:00,93.00,94.83,92.62,93.52,95458000
2018-10-09 20:00:00-04:00,92.89,92.93,87.72,87.76,219778000
2018-10-10 20:00:00-04:00,86.20,87.77,84.25,85.97,278718000
2018-10-11 20:00:00-04:00,90.40,90.45,87.13,89.43,188892000
2018-10-14 20:00:00-04:00,89.75,89.75,86.71,88.05,128744000
2018-10-15 20:00:00-04:00,89.18,91.19,88.08,91.00,117198000
2018-10-16 20:00:00-04:00,92.14,92.25,90.35,91.59,105904000
2018-10-17 20:00:00-04:00,91.07,91.51,88.39,88.54,117480000
2018-10-18 20:00:00-04:00,89.26,90.46,87.65,88.20,118144000
2018-10-21 20:00:00-04:00,89.20,90.47,87.80,89.46,90000000
2018-10-22 20:00:00-04:00,87.11,88.82,85.70,88.43,134478000
2018-10-23 20:00:00-04:00,88.68,88.89,82.83,83.21,138568000
2018-10-24 20:00:00-04:00,85.17,89.74,84.60,89.11,205714000
2018-10-25 20:00:00-04:00,82.48,84.92,80.15,82.14,299276000
2018-10-28 20:00:00-04:00,83.00,83.29,74.75,76.94,277322000
2018-10-29 20:00:00-04:00,74.31,77.05,73.82,76.52,249202000
2018-10-30 20:00:00-04:00,78.50,81.20,78.25,79.90,187804000
2018-10-31 20:00:00-04:00,81.18,83.52,79.92,83.28,162710000
2018-11-01 20:00:00-04:00,83.93,84.87,82.59,83.28,139110000
2018-11-04 19:00:00-05:00,82.88,82.90,79.82,81.39,112494000
2018-11-05 19:00:00-05:00,80.92,83.25,80.73,82.14,85148000
2018-11-06 19:00:00-05:00,83.65,87.96,83.20,87.77,163844000
2018-11-07 19:00:00-05:00,87.75,89.20,86.26,87.75,130698000
2018-11-08 19:00:00-05:00,86.62,87.20,85.09,85.62,118044000
2018-11-11 19:00:00-05:00,84.91,85.43,81.50,81.84,136124000
2018-11-12 19:00:00-05:00,82.46,83.85,80.69,81.56,118666000
2018-11-13 19:00:00-05:00,82.82,83.65,79.85,79.95,129738000
2018-11-14 19:00:00-05:00,79.05,81.24,77.33,80.97,168546000
2018-11-15 19:00:00-05:00,79.38,80.72,78.66,79.67,121322000
2018-11-18 19:00:00-05:00,78.85,79.06,75.17,75.61,155800000
2018-11-19 19:00:00-05:00,71.88,76.74,71.00,74.77,217576000
2018-11-20 19:00:00-05:00,77.15,77.50,75.75,75.84,114336000
2018-11-22 19:00:00-05:00,75.85,76.81,75.09,75.10,54152000
2018-11-25 19:00:00-05:00,76.95,79.24,76.21,79.07,125154000
2018-11-26 19:00:00-05:00,78.80,79.88,77.90,79.07,115664000
2018-11-27 19:00:00-05:00,80.70,84.07,80.06,83.89,169174000
2018-11-28 19:00:00-05:00,83.75,84.50,82.62,83.68,132264000
2018-11-29 19:00:00-05:00,83.97,84.80,83.32,84.51,115236000
2018-12-02 19:00:00-05:00,88.47,88.92,86.50,88.62,137246000
2018-12-03 19:00:00-05:00,87.80,88.52,83.25,83.42,173890000
2018-12-05 19:00:00-05:00,80.74,85.05,80.49,84.96,175788000
2018-12-06 19:00:00-05:00,85.25,85.95,81.27,81.46,151522000
2018-12-09 19:00:00-05:00,81.19,82.90,79.54,82.05,149896000
2018-12-10 19:00:00-05:00,83.90,83.97,80.98,82.16,124894000
2018-12-11 19:00:00-05:00,83.45,85.25,83.01,83.18,131960000
2018-12-12 19:00:00-05:00,84.00,84.61,82.07,82.92,105426000
2018-12-13 19:00:00-05:00,81.90,82.13,79.25,79.60,127344000
2018-12-16 19:00:00-05:00,78.30,78.81,75.25,76.05,176596000
2018-12-17 19:00:00-05:00,77.00,78.38,76.15,77.57,130460000
2018-12-18 19:00:00-05:00,77.15,79.23,74.16,74.75,175844000
2018-12-19 19:00:00-05:00,74.20,75.47,71.63,73.04,199836000
2018-12-20 19:00:00-05:00,73.25,74.00,68.20,68.87,272806000
2018-12-23 19:00:00-05:00,67.30,69.80,65.35,67.20,144400000
2018-12-25 19:00:00-05:00,68.44,73.66,68.15,73.54,208236000
2018-12-26 19:00:00-05:00,72.71,73.45,69.52,73.08,194440000
2018-12-27 19:00:00-05:00,73.67,75.67,72.45,73.90,176580000
2018-12-30 19:00:00-05:00,75.54,76.04,74.35,75.10,139090000
2019-01-01 19:00:00-05:00,73.26,77.67,73.05,76.96,159662000
2019-01-02 19:00:00-05:00,76.00,76.90,74.86,75.01,139512000
2019-01-03 19:00:00-05:00,76.50,79.70,75.92,78.77,183652000
2019-01-06 19:00:00-05:00,80.12,81.73,79.46,81.48,159864000
2019-01-07 19:00:00-05:00,83.23,83.83,80.83,82.83,177628000
2019-01-08 19:00:00-05:00,82.65,83.39,82.07,82.97,126976000
2019-01-09 19:00:00-05:00,82.05,83.16,81.08,82.81,130154000
2019-01-10 19:00:00-05:00,82.03,83.01,81.81,82.03,93724000
2019-01-13 19:00:00-05:00,80.75,82.41,79.76,80.86,120118000
2019-01-14 19:00:00-05:00,81.60,83.76,81.30,83.73,119970000
2019-01-15 19:00:00-05:00,84.21,85.25,83.79,84.19,127338000
2019-01-16 19:00:00-05:00,84.00,85.01,83.88,84.66,84178000
2019-01-17 19:00:00-05:00,85.60,85.81,84.58,84.81,120410000
2019-01-21 19:00:00-05:00,84.05,84.09,80.51,81.61,128336000
2019-01-22 19:00:00-05:00,82.80,82.87,80.60,82.00,104504000
2019-01-23 19:00:00-05:00,82.05,82.86,81.59,82.75,81798000
2019-01-24 19:00:00-05:00,83.53,84.17,83.08,83.53,98918000
2019-01-27 19:00:00-05:00,82.18,82.25,80.70,81.89,96754000
2019-01-28 19:00:00-05:00,81.56,81.62,79.54,79.69,92656000
2019-01-29 19:00:00-05:00,81.15,83.85,80.98,83.52,115676000
2019-01-30 19:00:00-05:00,84.64,86.82,83.95,85.94,218206000
2019-01-31 19:00:00-05:00,81.94,83.65,81.10,81.31,230124000
2019-02-03 19:00:00-05:00,81.15,82.48,80.68,81.67,98582000
2019-02-04 19:00:00-05:00,82.17,83.26,82.12,82.94,89062000
2019-02-05 19:00:00-05:00,83.54,83.61,81.67,82.01,78798000
2019-02-06 19:00:00-05:00,81.25,81.28,79.65,80.72,92532000
2019-02-07 19:00:00-05:00,79.30,79.43,78.34,79.41,113150000
2019-02-10 19:00:00-05:00,80.05,80.46,79.30,79.55,66346000
2019-02-11 19:00:00-05:00,80.20,81.97,79.94,81.90,97172000
2019-02-12 19:00:00-05:00,82.35,82.82,81.86,82.00,71206000
2019-02-13 19:00:00-05:00,81.22,81.89,80.30,81.13,82410000
