Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,127.81,128.74,127.73,128.38,777600
2018-07-02 20:00:00-04:00,128.65,129.49,128.08,128.22,411000
2018-07-04 20:00:00-04:00,128.36,129.41,128.07,129.28,710800
2018-07-05 20:00:00-04:00,129.51,131.34,129.39,130.59,837400
2018-07-08 20:00:00-04:00,130.85,133.40,130.85,133.32,984600
2018-07-09 20:00:00-04:00,133.22,133.91,133.03,133.59,700600
2018-07-10 20:00:00-04:00,133.27,133.82,132.65,133.28,709300
2018-07-11 20:00:00-04:00,134.07,134.61,133.56,134.58,679600
2018-07-12 20:00:00-04:00,134.55,135.03,134.19,134.88,662700
2018-07-15 20:00:00-04:00,134.93,136.30,134.93,135.82,740100
2018-07-16 20:00:00-04:00,135.82,136.47,135.20,136.21,555300
2018-07-17 20:00:00-04:00,136.15,138.00,135.87,137.81,629900
2018-07-18 20:00:00-04:00,137.22,138.10,136.51,136.70,649400
2018-07-19 20:00:00-04:00,136.55,136.98,136.17,136.71,670400
2018-07-22 20:00:00-04:00,136.74,137.71,136.23,137.67,797100
2018-07-23 20:00:00-04:00,137.96,138.47,137.27,137.68,788500
2018-07-24 20:00:00-04:00,137.51,138.24,137.04,138.16,877900
2018-07-25 20:00:00-04:00,138.69,138.69,137.69,138.61,1049900
2018-07-26 20:00:00-04:00,137.32,138.54,134.88,135.16,1345300
2018-07-29 20:00:00-04:00,135.07,135.98,134.00,134.12,986400
2018-07-30 20:00:00-04:00,134.04,134.78,133.43,134.65,1141000
2018-07-31 20:00:00-04:00,134.68,135.02,133.29,133.49,748000
2018-08-01 20:00:00-04:00,132.95,132.95,131.27,132.63,1062600
2018-08-02 20:00:00-04:00,132.46,134.33,132.25,134.24,849500
2018-08-05 20:00:00-04:00,134.31,135.42,134.12,134.86,766200
2018-08-06 20:00:00-04:00,134.72,135.66,134.40,134.52,572800
2018-08-07 20:00:00-04:00,134.70,134.84,133.92,134.49,425600
2018-08-08 20:00:00-04:00,134.97,135.13,134.22,134.49,431800
2018-08-09 20:00:00-04:00,133.76,133.76,132.75,133.34,659600
2018-08-12 20:00:00-04:00,133.39,134.35,131.49,132.13,852900
2018-08-13 20:00:00-04:00,132.44,132.88,131.64,132.48,600000
2018-08-14 20:00:00-04:00,131.84,133.05,131.77,132.74,567800
2018-08-15 20:00:00-04:00,133.09,134.83,133.03,134.34,822400
2018-08-16 20:00:00-04:00,134.40,135.39,134.31,134.93,895000
2018-08-19 20:00:00-04:00,134.94,135.33,134.45,134.51,759700
2018-08-20 20:00:00-04:00,134.56,136.18,134.20,135.78,799000
2018-08-21 20:00:00-04:00,135.21,135.78,134.20,134.64,643000
2018-08-22 20:00:00-04:00,134.50,135.16,134.34,134.65,761400
2018-08-23 20:00:00-04:00,134.86,136.87,134.65,136.80,1319200
2018-08-26 20:00:00-04:00,137.04,137.27,136.03,136.70,465500
2018-08-27 20:00:00-04:00,136.94,136.94,136.08,136.43,550000
2018-08-28 20:00:00-04:00,136.23,137.83,136.23,137.46,509800
2018-08-29 20:00:00-04:00,137.42,137.42,135.35,135.80,534800
2018-08-30 20:00:00-04:00,135.63,137.01,135.33,136.91,881800
2018-09-03 20:00:00-04:00,136.72,138.17,136.24,138.14,820000
2018-09-04 20:00:00-04:00,138.22,139.09,138.02,138.95,925800
2018-09-05 20:00:00-04:00,139.11,141.86,139.11,141.49,1025800
2018-09-06 20:00:00-04:00,141.32,141.70,140.79,141.11,820600
2018-09-09 20:00:00-04:00,141.22,141.56,140.74,140.84,565800
2018-09-10 20:00:00-04:00,140.77,142.35,140.48,142.05,766900
2018-09-11 20:00:00-04:00,141.81,142.36,141.59,142.10,763600
2018-09-12 20:00:00-04:00,142.71,142.71,142.11,142.41,657000
2018-09-13 20:00:00-04:00,142.39,142.98,141.88,142.94,766400
2018-09-16 20:00:00-04:00,143.26,143.59,142.18,143.11,820600
2018-09-17 20:00:00-04:00,142.92,143.90,142.01,143.80,1203500
2018-09-18 20:00:00-04:00,143.91,146.19,143.68,146.02,1233700
2018-09-19 20:00:00-04:00,146.26,146.26,145.57,145.94,904800
2018-09-20 20:00:00-04:00,146.59,147.40,146.08,147.17,1483500
2018-09-23 20:00:00-04:00,147.16,147.16,145.48,145.94,1117500
2018-09-24 20:00:00-04:00,147.20,147.56,145.92,146.55,1260400
2018-09-25 20:00:00-04:00,146.56,146.73,145.10,145.45,854800
2018-09-26 20:00:00-04:00,145.61,149.34,145.17,146.43,849200
2018-09-27 20:00:00-04:00,145.83,146.37,144.50,144.64,960200
2018-09-30 20:00:00-04:00,145.36,146.05,144.72,145.65,475800
2018-10-01 20:00:00-04:00,146.48,147.28,145.65,146.97,662300
2018-10-02 20:00:00-04:00,147.25,148.61,147.06,147.57,1441200
2018-10-03 20:00:00-04:00,147.65,148.59,147.32,148.07,892800
2018-10-04 20:00:00-04:00,147.83,148.56,146.08,146.28,1003300
2018-10-07 20:00:00-04:00,146.00,147.20,145.77,146.93,634700
2018-10-08 20:00:00-04:00,146.98,148.17,145.88,147.79,647600
2018-10-09 20:00:00-04:00,147.49,147.75,142.13,142.16,1076900
2018-10-10 20:00:00-04:00,141.78,143.00,139.35,139.41,1367300
2018-10-11 20:00:00-04:00,140.83,141.36,137.54,139.06,1080600
2018-10-14 20:00:00-04:00,138.91,139.79,138.27,138.44,631900
2018-10-15 20:00:00-04:00,139.05,141.04,138.74,140.95,635100
2018-10-16 20:00:00-04:00,141.06,142.26,140.35,141.52,775000
2018-10-17 20:00:00-04:00,141.40,142.45,139.86,140.63,468400
2018-10-18 20:00:00-04:00,140.66,143.04,140.54,142.12,737000
2018-10-21 20:00:00-04:00,142.48,143.01,142.06,142.44,805700
2018-10-22 20:00:00-04:00,140.94,141.37,139.04,140.63,658000
2018-10-23 20:00:00-04:00,140.19,140.47,137.35,137.61,857500
2018-10-24 20:00:00-04:00,138.52,141.87,138.23,141.07,1427900
2018-10-25 20:00:00-04:00,142.97,144.82,140.74,143.26,2578200
2018-10-28 20:00:00-04:00,145.79,147.90,144.58,145.97,1712800
2018-10-29 20:00:00-04:00,147.25,149.68,145.42,149.27,2344900
2018-10-30 20:00:00-04:00,150.54,150.61,147.18,147.27,1551700
2018-10-31 20:00:00-04:00,147.19,147.40,145.25,146.82,941100
2018-11-01 20:00:00-04:00,148.00,148.62,145.38,147.27,739600
2018-11-04 19:00:00-05:00,147.53,149.67,147.06,149.16,591600
2018-11-05 19:00:00-05:00,149.14,150.55,148.95,150.49,902000
2018-11-06 19:00:00-05:00,150.87,154.01,150.70,153.75,1085200
2018-11-07 19:00:00-05:00,153.43,155.46,153.43,155.43,1133000
2018-11-08 19:00:00-05:00,155.23,156.00,154.54,155.16,911300
2018-11-11 19:00:00-05:00,155.39,155.50,153.36,153.60,1152000
2018-11-12 19:00:00-05:00,153.49,155.41,153.07,153.99,957200
2018-11-13 19:00:00-05:00,155.17,155.17,151.37,152.78,977900
2018-11-14 19:00:00-05:00,151.42,154.33,151.02,153.76,924800
