Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,50.57,50.93,50.07,50.87,1792100
2018-07-02 20:00:00-04:00,51.32,51.58,50.54,50.65,855600
2018-07-04 20:00:00-04:00,50.92,51.80,50.59,51.70,1829300
2018-07-05 20:00:00-04:00,51.66,51.89,51.31,51.63,799400
2018-07-08 20:00:00-04:00,51.98,52.95,51.76,52.78,996000
2018-07-09 20:00:00-04:00,52.85,52.98,52.49,52.94,959600
2018-07-10 20:00:00-04:00,50.35,52.51,50.35,50.75,1495700
2018-07-11 20:00:00-04:00,51.04,51.73,50.90,51.56,1144000
2018-07-12 20:00:00-04:00,51.66,52.29,51.58,51.94,1015300
2018-07-15 20:00:00-04:00,51.79,51.86,50.96,51.29,1288500
2018-07-16 20:00:00-04:00,51.20,51.75,50.76,51.60,2256100
2018-07-17 20:00:00-04:00,51.78,51.97,50.97,51.47,1957900
2018-07-18 20:00:00-04:00,51.26,52.04,50.94,51.79,1339900
2018-07-19 20:00:00-04:00,51.63,52.23,51.54,51.77,1564800
2018-07-22 20:00:00-04:00,51.74,51.74,50.85,51.00,1533900
2018-07-23 20:00:00-04:00,51.51,52.05,51.13,51.41,2007900
2018-07-24 20:00:00-04:00,50.66,51.39,48.55,50.38,4045100
2018-07-25 20:00:00-04:00,50.41,51.98,50.41,51.26,1892100
2018-07-26 20:00:00-04:00,51.37,51.73,50.72,50.99,1291700
2018-07-29 20:00:00-04:00,51.19,51.87,50.68,50.74,1365600
2018-07-30 20:00:00-04:00,50.97,51.89,50.97,51.49,1981900
2018-07-31 20:00:00-04:00,51.33,51.49,50.59,50.75,1042500
2018-08-01 20:00:00-04:00,50.56,50.99,50.24,50.83,681900
2018-08-02 20:00:00-04:00,51.00,51.14,50.27,50.82,985700
2018-08-05 20:00:00-04:00,50.85,51.15,50.52,50.74,1533300
2018-08-06 20:00:00-04:00,51.03,51.68,50.90,51.15,1150400
2018-08-07 20:00:00-04:00,51.11,51.11,50.52,50.59,852600
2018-08-08 20:00:00-04:00,50.65,51.00,50.20,50.28,1335500
2018-08-09 20:00:00-04:00,50.01,50.11,49.57,49.70,1142500
2018-08-12 20:00:00-04:00,49.69,49.80,49.00,49.09,1166700
2018-08-13 20:00:00-04:00,49.24,50.14,49.22,49.93,1253700
2018-08-14 20:00:00-04:00,49.64,50.24,49.30,50.15,1459700
2018-08-15 20:00:00-04:00,50.35,50.72,50.23,50.36,781900
2018-08-16 20:00:00-04:00,50.28,50.55,50.19,50.46,1318700
2018-08-19 20:00:00-04:00,50.59,51.04,50.59,50.72,861500
2018-08-20 20:00:00-04:00,50.72,51.23,50.72,51.16,957300
2018-08-21 20:00:00-04:00,51.10,51.10,50.51,50.55,747800
2018-08-22 20:00:00-04:00,50.50,50.50,49.90,50.27,1214400
2018-08-23 20:00:00-04:00,50.55,50.67,50.36,50.51,577200
2018-08-26 20:00:00-04:00,50.78,51.45,50.78,51.32,743300
2018-08-27 20:00:00-04:00,51.45,51.49,50.99,51.23,763700
2018-08-28 20:00:00-04:00,51.30,51.46,50.94,51.35,813600
2018-08-29 20:00:00-04:00,51.23,51.29,50.19,50.59,899800
2018-08-30 20:00:00-04:00,50.39,50.60,50.08,50.24,909500
2018-09-03 20:00:00-04:00,49.86,49.97,49.44,49.95,1187900
2018-09-04 20:00:00-04:00,49.74,50.09,49.62,50.05,1546600
2018-09-05 20:00:00-04:00,50.09,50.70,49.92,50.15,872500
2018-09-06 20:00:00-04:00,49.98,50.61,49.95,50.60,977700
2018-09-09 20:00:00-04:00,50.82,51.39,50.78,51.08,1142800
2018-09-10 20:00:00-04:00,50.98,50.98,50.52,50.58,678300
2018-09-11 20:00:00-04:00,50.52,51.09,50.08,51.04,1043100
2018-09-12 20:00:00-04:00,51.34,51.58,50.79,51.10,803400
2018-09-13 20:00:00-04:00,51.10,51.68,51.10,51.35,730500
2018-09-16 20:00:00-04:00,51.38,51.61,51.09,51.41,1242400
2018-09-17 20:00:00-04:00,51.47,51.55,50.97,51.31,1092000
2018-09-18 20:00:00-04:00,51.31,52.60,51.30,52.45,1736200
2018-09-19 20:00:00-04:00,52.82,52.83,52.19,52.32,1303200
2018-09-20 20:00:00-04:00,52.47,52.77,51.57,51.66,2342300
2018-09-23 20:00:00-04:00,51.47,51.48,50.24,50.27,1198100
2018-09-24 20:00:00-04:00,49.94,50.00,47.77,48.28,2956300
2018-09-25 20:00:00-04:00,48.44,48.44,46.73,47.58,3643300
2018-09-26 20:00:00-04:00,47.67,47.77,46.70,46.80,2202100
2018-09-27 20:00:00-04:00,46.75,46.85,46.03,46.17,3237500
2018-09-30 20:00:00-04:00,46.52,47.32,46.47,46.59,2401600
2018-10-01 20:00:00-04:00,45.65,46.16,45.12,45.26,2571800
2018-10-02 20:00:00-04:00,45.51,46.24,45.23,45.91,1297900
2018-10-03 20:00:00-04:00,45.85,45.90,44.96,45.25,1573800
2018-10-04 20:00:00-04:00,45.34,45.45,44.14,44.57,1552500
2018-10-07 20:00:00-04:00,44.57,44.80,44.25,44.78,1093900
2018-10-08 20:00:00-04:00,44.86,44.86,43.08,43.13,1723700
2018-10-09 20:00:00-04:00,42.81,43.06,41.92,41.94,3337500
2018-10-10 20:00:00-04:00,41.99,42.58,41.22,41.41,3999100
2018-10-11 20:00:00-04:00,42.11,42.31,40.93,41.31,2878100
2018-10-14 20:00:00-04:00,41.32,41.50,41.14,41.14,1809900
2018-10-15 20:00:00-04:00,41.42,42.17,41.27,42.07,2754500
2018-10-16 20:00:00-04:00,41.99,42.09,41.00,41.19,1472100
2018-10-17 20:00:00-04:00,40.98,41.04,39.92,40.18,1889400
2018-10-18 20:00:00-04:00,40.25,40.46,39.00,39.08,2300700
2018-10-21 20:00:00-04:00,39.21,39.77,39.14,39.35,4464600
2018-10-22 20:00:00-04:00,38.65,39.49,38.33,39.10,2980400
2018-10-23 20:00:00-04:00,38.93,39.61,38.30,38.35,2613700
2018-10-24 20:00:00-04:00,38.70,39.40,38.60,39.08,1949500
2018-10-25 20:00:00-04:00,38.53,38.74,37.69,37.84,3326000
2018-10-28 20:00:00-04:00,38.45,38.76,36.11,36.57,4916900
2018-10-29 20:00:00-04:00,35.49,39.87,35.08,39.75,6189400
2018-10-30 20:00:00-04:00,40.13,41.01,39.20,39.59,6521900
2018-10-31 20:00:00-04:00,39.88,42.54,39.57,41.82,4644500
2018-11-01 20:00:00-04:00,42.17,42.46,41.13,41.82,3111500
2018-11-04 19:00:00-05:00,41.95,41.95,40.92,41.30,2115900
2018-11-05 19:00:00-05:00,41.16,41.73,40.92,41.34,1561200
2018-11-06 19:00:00-05:00,41.74,41.83,40.17,41.48,2046000
2018-11-07 19:00:00-05:00,41.35,41.69,40.53,40.70,2022400
2018-11-08 19:00:00-05:00,40.49,40.82,39.30,39.79,3173400
2018-11-11 19:00:00-05:00,39.73,39.95,39.30,39.42,2496300
2018-11-12 19:00:00-05:00,39.71,40.78,39.61,39.75,1845300
2018-11-13 19:00:00-05:00,40.11,40.49,39.08,39.33,2213900
2018-11-14 19:00:00-05:00,38.96,40.50,38.82,40.22,1387600
2018-11-15 19:00:00-05:00,40.02,40.38,39.75,40.01,1083400
2018-11-18 19:00:00-05:00,39.86,40.35,39.61,39.69,1024400
2018-11-19 19:00:00-05:00,39.16,40.20,39.02,39.50,1798400
2018-11-20 19:00:00-05:00,39.77,40.41,39.69,39.76,932000
2018-11-22 19:00:00-05:00,39.57,40.05,39.49,39.69,683200
2018-11-25 19:00:00-05:00,40.00,40.40,39.84,40.37,1626000
2018-11-26 19:00:00-05:00,41.13,41.29,39.87,40.09,1338100
2018-11-27 19:00:00-05:00,40.26,41.06,39.52,41.06,1500900
2018-11-28 19:00:00-05:00,40.85,41.02,40.25,40.73,1000100
2018-11-29 19:00:00-05:00,40.72,41.38,40.43,41.20,1808800
2018-12-02 19:00:00-05:00,42.07,42.86,41.14,41.77,1993200
2018-12-03 19:00:00-05:00,41.46,41.71,39.17,39.28,1492900
2018-12-05 19:00:00-05:00,38.67,38.81,37.62,38.78,2334500
2018-12-06 19:00:00-05:00,38.78,39.42,38.12,38.18,1220700
2018-12-09 19:00:00-05:00,38.09,38.29,36.71,37.36,1729500
2018-12-10 19:00:00-05:00,37.97,38.22,36.98,37.09,1205200
2018-12-11 19:00:00-05:00,37.69,37.84,36.99,37.02,1134900
2018-12-12 19:00:00-05:00,37.26,37.43,36.51,36.73,1068600
2018-12-13 19:00:00-05:00,36.27,36.92,35.84,36.01,1427500
