Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,35.44,35.54,35.02,35.21,5251600
2022-04-06 20:00:00-04:00,35.18,35.81,35.00,35.65,4699800
2022-04-07 20:00:00-04:00,35.54,35.68,35.16,35.32,3304400
2022-04-10 20:00:00-04:00,35.11,35.21,34.51,34.58,4420600
2022-04-11 20:00:00-04:00,34.86,35.18,34.44,34.61,5720000
2022-04-12 20:00:00-04:00,34.62,34.79,34.49,34.66,4907200
2022-04-13 20:00:00-04:00,34.66,34.75,33.89,33.92,6106000
2022-04-17 20:00:00-04:00,33.81,34.24,33.67,33.95,6188800
2022-04-18 20:00:00-04:00,34.04,34.36,33.86,34.27,12284200
2022-04-19 20:00:00-04:00,34.64,35.32,34.64,34.96,5300200
2022-04-20 20:00:00-04:00,35.40,35.47,34.43,34.52,3813400
2022-04-21 20:00:00-04:00,34.31,34.57,33.44,33.47,4081000
2022-04-24 20:00:00-04:00,33.29,34.14,32.93,34.08,4703800
2022-04-25 20:00:00-04:00,33.90,34.01,33.01,33.04,5693600
2022-04-26 20:00:00-04:00,33.44,34.62,33.13,33.82,5461400
2022-04-27 20:00:00-04:00,34.38,35.61,34.19,35.45,7674200
2022-04-28 20:00:00-04:00,35.13,35.49,34.41,34.46,7644800
2022-05-01 20:00:00-04:00,34.42,34.78,33.68,34.51,5106600
2022-05-02 20:00:00-04:00,34.61,34.95,34.44,34.69,3855400
2022-05-03 20:00:00-04:00,34.78,35.67,34.45,35.64,4436400
2022-05-04 20:00:00-04:00,35.22,35.30,33.92,34.30,3357600
2022-05-05 20:00:00-04:00,33.99,34.13,33.32,33.94,4804600
2022-05-08 20:00:00-04:00,33.46,33.97,33.18,33.30,4898400
2022-05-09 20:00:00-04:00,33.90,34.00,32.85,33.28,4556400
2022-05-10 20:00:00-04:00,33.18,33.81,32.89,32.95,4727800
2022-05-11 20:00:00-04:00,32.77,33.24,32.49,33.08,4556200
2022-05-12 20:00:00-04:00,33.39,34.20,33.33,33.97,3819600
2022-05-15 20:00:00-04:00,33.62,33.83,33.25,33.52,3133600
2022-05-16 20:00:00-04:00,34.24,34.35,33.83,34.27,3598600
2022-05-17 20:00:00-04:00,33.84,34.10,32.67,32.76,4013400
2022-05-18 20:00:00-04:00,32.46,32.96,32.29,32.58,6403200
2022-05-19 20:00:00-04:00,32.96,33.03,32.15,32.98,5394200
2022-05-22 20:00:00-04:00,33.23,33.56,32.93,33.45,4250200
2022-05-23 20:00:00-04:00,33.27,33.45,32.66,33.25,3789400
2022-05-24 20:00:00-04:00,33.05,33.41,32.77,33.14,5315800
2022-05-25 20:00:00-04:00,33.28,33.90,33.07,33.70,4431000
2022-05-26 20:00:00-04:00,34.10,34.60,34.10,34.38,6475600
2022-05-30 20:00:00-04:00,34.17,34.43,33.73,34.15,7559200
2022-05-31 20:00:00-04:00,34.22,34.33,33.21,33.39,5932200
2022-06-01 20:00:00-04:00,33.48,34.71,33.32,34.69,3711000
2022-06-02 20:00:00-04:00,34.22,34.37,34.01,34.16,4054000
2022-06-05 20:00:00-04:00,34.51,34.91,34.25,34.34,3196800
2022-06-06 20:00:00-04:00,34.03,34.53,33.89,34.51,3292000
2022-06-07 20:00:00-04:00,34.24,34.42,33.87,33.98,2650800
2022-06-08 20:00:00-04:00,33.82,34.06,33.27,33.32,2947200
2022-06-09 20:00:00-04:00,32.74,32.95,32.19,32.56,4857000
2022-06-12 20:00:00-04:00,31.85,32.16,31.31,31.44,5579600
2022-06-13 20:00:00-04:00,31.60,31.82,31.33,31.58,5036400
