Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,112.80,112.80,109.47,111.39,2220800
2022-04-06 20:00:00-04:00,110.14,111.07,107.39,110.22,1572500
2022-04-07 20:00:00-04:00,109.35,111.17,108.17,108.37,1581200
2022-04-10 20:00:00-04:00,107.28,112.45,106.67,108.21,2282300
2022-04-11 20:00:00-04:00,110.54,113.20,109.86,110.86,2105100
2022-04-12 20:00:00-04:00,110.16,111.70,108.58,108.90,1981200
2022-04-13 20:00:00-04:00,109.14,110.12,107.15,107.51,1180700
2022-04-17 20:00:00-04:00,103.21,107.03,103.21,105.78,1427800
2022-04-18 20:00:00-04:00,106.37,110.83,106.37,110.47,1122000
2022-04-19 20:00:00-04:00,111.63,113.73,110.99,111.04,1419800
2022-04-20 20:00:00-04:00,114.51,115.24,109.05,109.46,1202100
2022-04-21 20:00:00-04:00,107.55,109.24,106.25,106.48,1289900
2022-04-24 20:00:00-04:00,106.13,107.94,104.01,107.63,1599000
2022-04-25 20:00:00-04:00,106.08,107.27,101.77,102.51,1621400
2022-04-26 20:00:00-04:00,102.96,105.77,102.34,103.71,1274500
2022-04-27 20:00:00-04:00,106.01,108.50,103.07,107.84,1395400
2022-04-28 20:00:00-04:00,107.40,109.90,106.08,106.40,1423100
2022-05-01 20:00:00-04:00,106.12,108.84,103.99,108.69,1486000
2022-05-02 20:00:00-04:00,108.49,109.20,106.54,107.61,3006900
2022-05-03 20:00:00-04:00,107.29,110.64,105.56,110.42,2978300
2022-05-04 20:00:00-04:00,106.08,110.94,103.40,104.63,2492000
2022-05-05 20:00:00-04:00,104.47,104.70,98.96,101.84,2474500
2022-05-08 20:00:00-04:00,99.94,100.82,94.72,95.21,2133400
2022-05-09 20:00:00-04:00,97.98,98.18,92.17,95.90,2841600
2022-05-10 20:00:00-04:00,96.35,98.01,90.59,90.74,2837200
2022-05-11 20:00:00-04:00,89.53,93.61,88.15,91.49,2683000
2022-05-12 20:00:00-04:00,94.05,98.67,93.26,98.13,1536800
2022-05-15 20:00:00-04:00,96.09,96.83,92.26,95.12,2998700
2022-05-16 20:00:00-04:00,98.08,99.25,96.83,99.17,1696700
2022-05-17 20:00:00-04:00,96.91,98.39,93.95,94.15,1911100
2022-05-18 20:00:00-04:00,93.93,97.32,92.94,94.93,2330500
2022-05-19 20:00:00-04:00,97.25,97.66,90.63,93.58,1812100
2022-05-22 20:00:00-04:00,95.33,95.33,92.41,94.00,2036000
2022-05-23 20:00:00-04:00,93.11,93.54,90.36,91.07,1691900
2022-05-24 20:00:00-04:00,90.51,94.19,89.84,93.50,1208800
2022-05-25 20:00:00-04:00,95.48,102.46,95.46,101.75,3394500
2022-05-26 20:00:00-04:00,103.21,105.45,103.00,104.35,2486700
2022-05-30 20:00:00-04:00,104.35,107.30,102.36,106.24,3235200
2022-05-31 20:00:00-04:00,106.77,108.47,105.19,107.52,2510800
2022-06-01 20:00:00-04:00,108.00,110.99,107.53,110.89,1781100
2022-06-02 20:00:00-04:00,108.11,109.26,106.02,106.28,1253300
2022-06-05 20:00:00-04:00,108.52,111.03,107.44,109.89,1745400
2022-06-06 20:00:00-04:00,108.23,111.11,107.34,109.66,1298300
2022-06-07 20:00:00-04:00,109.35,111.37,107.92,109.77,1055100
2022-06-08 20:00:00-04:00,108.67,109.74,107.18,107.22,813600
2022-06-09 20:00:00-04:00,104.50,105.96,101.10,101.32,1485600
2022-06-12 20:00:00-04:00,97.78,98.21,93.54,95.24,1796500
2022-06-13 20:00:00-04:00,95.63,96.62,94.05,94.92,1721000
2022-06-14 20:00:00-04:00,96.65,97.84,91.18,95.46,3937900
2022-06-15 20:00:00-04:00,92.03,92.33,85.28,86.16,2731500
2022-06-16 20:00:00-04:00,85.89,88.43,84.14,86.84,3739500
2022-06-20 20:00:00-04:00,90.04,91.33,88.46,90.69,2218300
2022-06-21 20:00:00-04:00,89.69,93.64,89.38,90.96,1861300
2022-06-22 20:00:00-04:00,90.83,92.40,89.75,92.14,2723800
2022-06-23 20:00:00-04:00,93.00,97.16,92.75,97.09,2437000
2022-06-26 20:00:00-04:00,97.90,99.09,96.14,97.50,2209400
2022-06-27 20:00:00-04:00,97.63,100.33,95.52,95.61,1679900
2022-06-28 20:00:00-04:00,94.59,94.97,91.63,92.77,1285000
2022-06-29 20:00:00-04:00,90.44,90.54,86.51,89.07,2450500
2022-06-30 20:00:00-04:00,89.08,92.50,88.65,91.45,1878300
2022-07-04 20:00:00-04:00,87.90,90.68,85.92,90.63,1832400
2022-07-05 20:00:00-04:00,90.24,91.66,86.99,87.54,1621600
2022-07-06 20:00:00-04:00,89.84,92.97,89.12,92.70,1668200
2022-07-07 20:00:00-04:00,92.74,93.62,90.75,92.46,1218700
2022-07-10 20:00:00-04:00,91.08,91.94,87.26,87.51,1757800
2022-07-11 20:00:00-04:00,87.79,91.46,87.35,89.91,2568200
2022-07-12 20:00:00-04:00,87.61,90.41,86.04,89.65,1571300
2022-07-13 20:00:00-04:00,87.80,88.75,85.06,87.58,1737600
2022-07-14 20:00:00-04:00,90.10,91.92,88.47,91.47,1827100
2022-07-17 20:00:00-04:00,93.17,94.18,90.38,90.82,1082200
2022-07-18 20:00:00-04:00,93.08,97.19,93.08,97.11,1635500
