Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,71.00,71.21,68.55,70.08,719100
2022-04-06 20:00:00-04:00,69.36,70.94,68.77,70.57,641900
2022-04-07 20:00:00-04:00,70.28,71.94,70.20,70.89,666500
2022-04-10 20:00:00-04:00,69.94,70.03,67.87,67.96,1032100
2022-04-11 20:00:00-04:00,68.66,69.89,66.59,67.04,721100
2022-04-12 20:00:00-04:00,67.39,69.51,67.39,69.37,588200
2022-04-13 20:00:00-04:00,69.52,70.22,68.17,68.18,546700
2022-04-17 20:00:00-04:00,67.56,68.16,66.86,67.63,587500
2022-04-18 20:00:00-04:00,67.49,71.21,67.41,70.75,676400
2022-04-19 20:00:00-04:00,70.37,72.73,70.37,72.34,668100
2022-04-20 20:00:00-04:00,72.55,73.58,68.14,68.46,879900
2022-04-21 20:00:00-04:00,68.11,68.48,65.93,66.70,961100
2022-04-24 20:00:00-04:00,65.90,67.74,64.57,67.51,785600
2022-04-25 20:00:00-04:00,66.73,66.73,63.09,63.24,1274200
2022-04-26 20:00:00-04:00,63.28,64.29,61.96,61.99,800000
2022-04-27 20:00:00-04:00,62.37,63.13,59.44,62.63,1096800
2022-04-28 20:00:00-04:00,62.09,62.56,58.29,58.41,1170400
2022-05-01 20:00:00-04:00,58.41,60.50,57.86,59.65,1360300
2022-05-02 20:00:00-04:00,59.56,61.42,58.68,61.13,879800
2022-05-03 20:00:00-04:00,61.21,63.71,59.66,63.51,926900
2022-05-04 20:00:00-04:00,62.36,63.17,59.99,61.05,862100
2022-05-05 20:00:00-04:00,60.62,60.73,58.58,59.88,858700
2022-05-08 20:00:00-04:00,58.00,59.75,55.56,55.83,894900
2022-05-09 20:00:00-04:00,57.19,57.99,54.49,56.85,979200
2022-05-10 20:00:00-04:00,56.73,58.23,55.44,55.60,1477900
2022-05-11 20:00:00-04:00,54.98,57.04,54.35,56.32,1022400
2022-05-12 20:00:00-04:00,57.40,60.64,57.40,60.45,928700
2022-05-15 20:00:00-04:00,59.86,60.63,59.27,59.33,586400
2022-05-16 20:00:00-04:00,61.05,61.85,59.34,61.56,455000
2022-05-17 20:00:00-04:00,60.00,61.17,58.30,58.91,525700
2022-05-18 20:00:00-04:00,58.74,59.98,58.00,58.82,516000
2022-05-19 20:00:00-04:00,59.66,60.02,57.37,58.89,946800
2022-05-22 20:00:00-04:00,59.72,60.47,58.77,60.15,806200
2022-05-23 20:00:00-04:00,59.20,59.84,57.06,58.57,440600
2022-05-24 20:00:00-04:00,57.81,60.27,57.81,59.79,466100
2022-05-25 20:00:00-04:00,59.70,62.34,59.70,62.15,659800
2022-05-26 20:00:00-04:00,62.88,64.32,62.61,64.14,444600
2022-05-30 20:00:00-04:00,63.71,63.91,61.92,62.78,887200
2022-05-31 20:00:00-04:00,62.78,63.73,60.65,61.60,613400
2022-06-01 20:00:00-04:00,61.74,64.22,61.15,63.86,773500
2022-06-02 20:00:00-04:00,62.64,65.05,62.47,64.67,978500
2022-06-05 20:00:00-04:00,65.41,66.54,64.46,64.72,663500
2022-06-06 20:00:00-04:00,64.08,65.11,63.54,64.55,591000
2022-06-07 20:00:00-04:00,63.73,65.03,63.46,63.96,416500
2022-06-08 20:00:00-04:00,63.52,63.56,62.16,62.16,494000
2022-06-09 20:00:00-04:00,60.58,60.80,57.91,58.00,1082100
2022-06-12 20:00:00-04:00,55.39,55.87,51.55,51.95,2210900
2022-06-13 20:00:00-04:00,52.05,52.92,51.25,52.12,1500900
2022-06-14 20:00:00-04:00,52.83,53.26,51.26,52.28,1595500
