Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,73.25,73.94,73.01,73.87,674900
2018-07-02 20:00:00-04:00,73.97,74.86,73.73,74.36,336000
2018-07-04 20:00:00-04:00,74.50,74.96,74.03,74.95,682700
2018-07-05 20:00:00-04:00,74.98,75.97,74.98,75.73,608300
2018-07-08 20:00:00-04:00,75.89,75.89,72.82,72.99,869400
2018-07-09 20:00:00-04:00,72.67,74.13,72.08,73.81,685900
2018-07-10 20:00:00-04:00,74.01,74.91,73.83,74.67,509700
2018-07-11 20:00:00-04:00,74.68,74.74,74.10,74.68,947400
2018-07-12 20:00:00-04:00,74.78,75.12,74.37,75.06,452900
2018-07-15 20:00:00-04:00,75.06,75.16,74.51,74.95,620700
2018-07-16 20:00:00-04:00,74.43,75.44,74.36,75.05,813100
2018-07-17 20:00:00-04:00,75.05,75.13,74.37,74.96,680700
2018-07-18 20:00:00-04:00,75.10,75.94,74.88,75.77,519700
2018-07-19 20:00:00-04:00,75.54,75.81,74.56,74.93,754800
2018-07-22 20:00:00-04:00,75.09,75.29,74.32,74.70,489400
2018-07-23 20:00:00-04:00,74.43,75.01,73.64,74.82,516300
2018-07-24 20:00:00-04:00,74.86,75.27,74.51,74.91,369700
2018-07-25 20:00:00-04:00,75.43,75.90,75.36,75.77,361400
2018-07-26 20:00:00-04:00,75.75,76.13,75.38,75.63,371300
2018-07-29 20:00:00-04:00,75.58,75.71,74.77,74.95,393300
2018-07-30 20:00:00-04:00,75.31,76.01,74.99,75.53,829300
2018-07-31 20:00:00-04:00,75.25,75.31,73.97,74.09,776700
2018-08-01 20:00:00-04:00,74.38,75.30,73.89,74.92,660600
2018-08-02 20:00:00-04:00,75.10,75.74,74.45,75.36,572400
2018-08-05 20:00:00-04:00,75.73,75.93,75.20,75.54,430200
2018-08-06 20:00:00-04:00,75.45,75.47,74.67,75.39,437200
2018-08-07 20:00:00-04:00,75.27,75.63,75.07,75.42,414500
2018-08-08 20:00:00-04:00,75.39,75.96,75.25,75.90,436700
2018-08-09 20:00:00-04:00,75.97,76.40,75.39,75.40,365000
2018-08-12 20:00:00-04:00,75.57,75.75,75.03,75.19,636300
2018-08-13 20:00:00-04:00,75.33,75.70,75.19,75.36,453300
