Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,136.76,136.76,130.12,131.17,340700
2022-04-06 20:00:00-04:00,130.13,133.57,130.13,132.79,286700
2022-04-07 20:00:00-04:00,132.64,133.01,127.81,127.82,284100
2022-04-10 20:00:00-04:00,126.40,128.01,124.32,124.40,384900
2022-04-11 20:00:00-04:00,126.00,128.09,124.39,125.63,385300
2022-04-12 20:00:00-04:00,125.63,127.47,124.01,125.27,454800
2022-04-13 20:00:00-04:00,125.40,125.44,122.03,123.22,285500
2022-04-17 20:00:00-04:00,122.14,122.52,118.01,122.33,312600
2022-04-18 20:00:00-04:00,122.05,130.47,121.92,130.00,379400
2022-04-19 20:00:00-04:00,129.36,129.42,124.43,124.64,487500
2022-04-20 20:00:00-04:00,126.76,128.05,120.14,120.65,404700
2022-04-21 20:00:00-04:00,121.35,123.51,118.01,118.02,406800
2022-04-24 20:00:00-04:00,117.13,121.18,115.64,120.79,338100
2022-04-25 20:00:00-04:00,119.61,119.92,113.34,113.34,338700
2022-04-26 20:00:00-04:00,113.82,115.86,112.33,113.64,294700
2022-04-27 20:00:00-04:00,114.98,116.28,111.38,116.06,637300
2022-04-28 20:00:00-04:00,115.33,118.65,111.78,112.20,238900
2022-05-01 20:00:00-04:00,112.35,116.67,110.74,116.26,292600
2022-05-02 20:00:00-04:00,116.03,118.17,114.03,114.85,225700
2022-05-03 20:00:00-04:00,116.17,116.76,108.47,115.54,359600
2022-05-04 20:00:00-04:00,116.76,116.81,96.32,99.51,922900
2022-05-05 20:00:00-04:00,97.50,99.00,94.80,95.99,529400
2022-05-08 20:00:00-04:00,93.91,93.91,87.35,87.89,1076000
2022-05-09 20:00:00-04:00,92.68,94.00,85.88,89.46,671200
2022-05-10 20:00:00-04:00,87.16,93.42,83.58,84.37,890700
2022-05-11 20:00:00-04:00,83.60,89.36,82.49,87.04,600700
2022-05-12 20:00:00-04:00,90.37,100.16,90.37,98.22,640300
2022-05-15 20:00:00-04:00,95.84,97.87,93.00,95.44,441700
2022-05-16 20:00:00-04:00,98.01,99.98,93.91,96.80,499200
2022-05-17 20:00:00-04:00,95.37,97.84,94.78,96.25,465000
2022-05-18 20:00:00-04:00,96.06,99.97,96.06,98.58,459700
2022-05-19 20:00:00-04:00,100.99,101.31,96.82,99.40,412600
2022-05-22 20:00:00-04:00,95.77,97.08,90.81,94.74,525900
