Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,35.87,36.11,35.52,35.83,54159800
2022-04-06 20:00:00-04:00,36.01,36.09,35.07,35.55,54585000
2022-04-07 20:00:00-04:00,35.64,36.19,35.49,35.81,41018900
2022-04-10 20:00:00-04:00,35.64,36.47,35.55,35.73,34198700
2022-04-11 20:00:00-04:00,35.72,36.18,35.07,35.36,42855300
2022-04-12 20:00:00-04:00,34.75,35.21,34.62,35.04,45484200
2022-04-13 20:00:00-04:00,34.74,35.17,33.78,33.91,79032000
2022-04-17 20:00:00-04:00,33.78,35.48,33.60,35.07,80080300
2022-04-18 20:00:00-04:00,35.39,36.00,35.30,35.72,53714200
2022-04-19 20:00:00-04:00,36.24,36.44,35.75,35.80,47064300
2022-04-20 20:00:00-04:00,36.10,36.29,34.86,35.12,46245900
2022-04-21 20:00:00-04:00,35.03,35.07,33.85,33.90,50409800
2022-04-24 20:00:00-04:00,33.30,33.76,32.43,33.66,64301100
2022-04-25 20:00:00-04:00,33.29,33.88,32.87,32.90,44809900
2022-04-26 20:00:00-04:00,32.74,33.32,32.65,32.72,39824900
2022-04-27 20:00:00-04:00,33.15,33.35,32.64,33.23,39567800
2022-04-28 20:00:00-04:00,33.17,33.51,32.08,32.21,47385200
2022-05-01 20:00:00-04:00,32.52,32.75,31.95,32.62,46652200
2022-05-02 20:00:00-04:00,32.80,33.97,32.79,33.51,48926000
2022-05-03 20:00:00-04:00,33.73,34.98,33.65,34.86,57860300
2022-05-04 20:00:00-04:00,34.34,34.49,33.28,33.88,48860600
2022-05-05 20:00:00-04:00,33.73,33.96,33.04,33.80,50440100
2022-05-08 20:00:00-04:00,33.28,33.45,32.55,32.83,51242000
2022-05-09 20:00:00-04:00,33.17,33.51,31.75,32.28,60235300
2022-05-10 20:00:00-04:00,32.40,33.32,32.05,32.11,54969300
2022-05-11 20:00:00-04:00,31.60,31.98,30.92,31.65,61231500
2022-05-12 20:00:00-04:00,32.07,32.25,31.37,31.74,49117900
