Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,22.18,22.27,21.61,21.72,2936000
2022-04-06 20:00:00-04:00,21.58,21.69,20.73,21.37,3191500
2022-04-07 20:00:00-04:00,21.36,21.73,21.06,21.30,3145000
2022-04-10 20:00:00-04:00,21.19,21.63,21.16,21.22,2648500
2022-04-11 20:00:00-04:00,21.09,21.44,20.75,20.89,4854000
2022-04-12 20:00:00-04:00,20.73,21.27,20.63,21.22,2807600
2022-04-13 20:00:00-04:00,21.32,21.50,20.71,20.73,2671500
2022-04-17 20:00:00-04:00,20.67,20.95,20.53,20.82,3338500
2022-04-18 20:00:00-04:00,20.89,21.74,20.82,21.69,2455400
2022-04-19 20:00:00-04:00,21.92,22.07,21.61,21.63,2302200
2022-04-20 20:00:00-04:00,21.93,22.10,21.35,21.46,3099200
2022-04-21 20:00:00-04:00,21.40,21.79,21.31,21.39,4297100
2022-04-24 20:00:00-04:00,21.25,21.59,20.73,21.59,3678100
2022-04-25 20:00:00-04:00,21.32,21.44,20.72,20.90,3668100
2022-04-26 20:00:00-04:00,20.88,21.12,20.70,20.78,2926000
2022-04-27 20:00:00-04:00,21.07,21.16,20.51,21.03,3698900
2022-04-28 20:00:00-04:00,20.95,21.15,19.88,19.93,12256600
2022-05-01 20:00:00-04:00,19.95,20.55,19.82,20.53,5203300
2022-05-02 20:00:00-04:00,20.32,21.37,20.21,20.71,7039800
2022-05-03 20:00:00-04:00,20.63,21.81,20.38,21.72,4484700
2022-05-04 20:00:00-04:00,21.22,21.38,19.87,20.30,5083800
2022-05-05 20:00:00-04:00,20.30,20.54,19.86,20.27,3261700
2022-05-08 20:00:00-04:00,19.98,20.44,19.88,20.13,4526900
2022-05-09 20:00:00-04:00,20.35,20.64,19.49,19.88,3717000
2022-05-10 20:00:00-04:00,19.75,19.92,19.24,19.36,3704700
2022-05-11 20:00:00-04:00,19.22,19.92,19.15,19.88,3463600
2022-05-12 20:00:00-04:00,20.19,20.49,20.04,20.34,2623000
2022-05-15 20:00:00-04:00,20.15,20.38,19.79,20.21,2207500
2022-05-16 20:00:00-04:00,20.71,21.02,20.43,20.95,2344500
2022-05-17 20:00:00-04:00,20.67,20.92,20.35,20.45,3190300
2022-05-18 20:00:00-04:00,20.12,20.66,20.07,20.35,3062400
2022-05-19 20:00:00-04:00,20.66,20.93,20.35,20.91,3319100
2022-05-22 20:00:00-04:00,21.27,21.35,20.90,21.08,2507300
2022-05-23 20:00:00-04:00,20.93,21.11,20.35,21.04,2672700
2022-05-24 20:00:00-04:00,20.88,21.56,20.88,21.44,2272100
2022-05-25 20:00:00-04:00,21.57,22.16,21.47,22.06,2019000
2022-05-26 20:00:00-04:00,22.19,22.36,22.10,22.33,1720000
2022-05-30 20:00:00-04:00,22.18,22.35,21.83,21.95,5173200
2022-05-31 20:00:00-04:00,21.89,22.06,21.25,21.53,2132000
2022-06-01 20:00:00-04:00,21.59,21.78,21.37,21.77,1598700
2022-06-02 20:00:00-04:00,21.53,21.67,21.42,21.45,1334000
2022-06-05 20:00:00-04:00,21.60,22.02,21.49,21.71,1543300
2022-06-06 20:00:00-04:00,21.58,21.85,21.37,21.84,2799100
2022-06-07 20:00:00-04:00,21.55,21.73,20.95,20.98,2348100
2022-06-08 20:00:00-04:00,20.94,21.16,20.76,20.79,2010600
2022-06-09 20:00:00-04:00,20.26,20.35,19.90,19.91,3340700
2022-06-12 20:00:00-04:00,19.27,19.47,18.62,18.70,3139000
2022-06-13 20:00:00-04:00,18.81,18.99,18.55,18.71,3068100
2022-06-14 20:00:00-04:00,18.94,19.54,18.89,19.28,2965500
2022-06-15 20:00:00-04:00,18.74,18.80,18.45,18.76,3484600
2022-06-16 20:00:00-04:00,18.97,19.16,18.59,18.89,4612600
2022-06-20 20:00:00-04:00,19.40,19.71,19.23,19.60,2708900
2022-06-21 20:00:00-04:00,19.28,19.69,19.28,19.53,1823100
2022-06-22 20:00:00-04:00,19.53,19.79,19.34,19.75,1877800
2022-06-23 20:00:00-04:00,19.99,20.63,19.98,20.54,3264500
2022-06-26 20:00:00-04:00,20.61,20.68,20.22,20.37,2207000
2022-06-27 20:00:00-04:00,20.53,20.78,19.99,20.01,3212300
2022-06-28 20:00:00-04:00,19.64,19.69,18.87,19.09,4906800
2022-06-29 20:00:00-04:00,18.61,19.37,18.55,19.12,3988100
2022-06-30 20:00:00-04:00,19.05,19.46,18.96,19.34,2866000
2022-07-04 20:00:00-04:00,18.89,19.55,18.67,19.54,2151000
