Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,404.27,408.74,401.41,408.74,564000
2018-07-02 20:00:00-04:00,411.22,411.84,401.69,402.00,307500
2018-07-04 20:00:00-04:00,408.26,408.26,399.81,402.57,513900
2018-07-05 20:00:00-04:00,402.16,406.71,399.32,402.33,556300
2018-07-08 20:00:00-04:00,405.00,413.37,404.17,412.48,748400
2018-07-09 20:00:00-04:00,413.15,418.06,411.53,413.16,484800
2018-07-10 20:00:00-04:00,409.03,413.98,408.82,411.50,468600
2018-07-11 20:00:00-04:00,414.42,414.96,407.53,414.59,574500
2018-07-12 20:00:00-04:00,419.14,419.36,412.75,414.93,786500
2018-07-15 20:00:00-04:00,409.13,414.41,407.31,412.37,1212800
2018-07-16 20:00:00-04:00,410.19,414.00,410.16,413.12,758800
2018-07-17 20:00:00-04:00,413.15,418.64,413.12,418.01,487600
2018-07-18 20:00:00-04:00,415.50,417.56,410.80,413.13,684100
2018-07-19 20:00:00-04:00,410.44,413.08,409.96,411.40,812400
2018-07-22 20:00:00-04:00,410.85,418.36,410.85,416.09,646700
2018-07-23 20:00:00-04:00,418.85,419.77,414.56,416.40,688300
2018-07-24 20:00:00-04:00,415.62,419.65,411.67,419.35,492800
2018-07-25 20:00:00-04:00,419.53,419.53,413.06,413.31,407600
2018-07-26 20:00:00-04:00,413.77,414.38,409.17,411.52,571600
2018-07-29 20:00:00-04:00,412.16,412.77,407.85,409.28,492100
2018-07-30 20:00:00-04:00,411.92,413.45,409.70,411.39,512900
2018-07-31 20:00:00-04:00,413.37,417.20,389.96,392.31,1716500
2018-08-01 20:00:00-04:00,388.08,389.33,382.25,388.93,1637700
2018-08-02 20:00:00-04:00,389.59,396.79,389.11,394.73,824100
2018-08-05 20:00:00-04:00,394.72,397.79,392.02,395.59,639300
2018-08-06 20:00:00-04:00,397.53,404.96,396.49,398.87,1000900
2018-08-07 20:00:00-04:00,397.71,400.44,396.45,398.53,535200
2018-08-08 20:00:00-04:00,397.97,398.49,395.63,396.12,634600
2018-08-09 20:00:00-04:00,392.01,395.73,388.94,391.90,646600
2018-08-12 20:00:00-04:00,392.06,393.87,387.55,388.99,382700
2018-08-13 20:00:00-04:00,389.93,391.62,387.85,390.48,408600
2018-08-14 20:00:00-04:00,387.02,388.68,381.32,385.25,721000
2018-08-15 20:00:00-04:00,387.39,393.35,386.45,388.35,681600
2018-08-16 20:00:00-04:00,388.09,389.15,385.20,387.98,472800
2018-08-19 20:00:00-04:00,389.86,390.32,387.67,389.13,465500
2018-08-20 20:00:00-04:00,388.26,390.78,387.59,388.61,640100
2018-08-21 20:00:00-04:00,388.36,392.56,386.85,391.14,603500
2018-08-22 20:00:00-04:00,390.47,391.21,384.65,384.96,579200
2018-08-23 20:00:00-04:00,387.57,390.85,385.00,390.73,580800
2018-08-26 20:00:00-04:00,391.90,398.54,391.90,395.72,607000
2018-08-27 20:00:00-04:00,395.95,397.18,394.28,395.50,517400
2018-08-28 20:00:00-04:00,395.94,397.84,390.92,397.03,634600
2018-08-29 20:00:00-04:00,396.13,397.27,386.92,388.89,559800
2018-08-30 20:00:00-04:00,387.67,392.61,387.33,391.99,506700
2018-09-03 20:00:00-04:00,389.68,391.76,385.58,389.31,499400
2018-09-04 20:00:00-04:00,388.81,393.53,388.26,391.32,544700
2018-09-05 20:00:00-04:00,392.53,393.34,387.10,388.73,670900
2018-09-06 20:00:00-04:00,387.37,389.07,385.81,388.30,666400
2018-09-09 20:00:00-04:00,391.24,393.70,388.74,390.20,453000
2018-09-10 20:00:00-04:00,388.73,389.77,385.87,388.04,495400
2018-09-11 20:00:00-04:00,387.94,389.62,386.22,387.12,579700
2018-09-12 20:00:00-04:00,389.76,390.78,384.89,386.27,528600
2018-09-13 20:00:00-04:00,387.44,394.31,387.44,392.11,416700
2018-09-16 20:00:00-04:00,392.89,392.89,386.78,387.86,443300
2018-09-17 20:00:00-04:00,389.41,391.24,386.32,388.93,557500
2018-09-18 20:00:00-04:00,390.16,399.89,389.68,398.27,418700
2018-09-19 20:00:00-04:00,400.89,405.23,397.88,401.23,480400
2018-09-20 20:00:00-04:00,403.16,403.22,399.30,401.62,700100
2018-09-23 20:00:00-04:00,399.86,401.12,395.00,397.06,433600
2018-09-24 20:00:00-04:00,398.78,399.61,393.18,394.60,382800
2018-09-25 20:00:00-04:00,396.16,396.70,390.67,391.09,416700
2018-09-26 20:00:00-04:00,392.73,396.55,390.16,393.61,344400
2018-09-27 20:00:00-04:00,390.84,393.30,387.66,388.21,532200
2018-09-30 20:00:00-04:00,390.71,392.97,388.23,389.97,395500
2018-10-01 20:00:00-04:00,389.33,393.61,388.15,393.05,363700
2018-10-02 20:00:00-04:00,396.06,396.78,389.03,390.71,645800
2018-10-03 20:00:00-04:00,390.98,394.92,387.53,390.53,917200
2018-10-04 20:00:00-04:00,392.30,397.39,387.21,387.82,712000
2018-10-07 20:00:00-04:00,392.88,392.88,384.75,388.32,560400
2018-10-08 20:00:00-04:00,387.92,387.92,378.12,378.64,875400
2018-10-09 20:00:00-04:00,376.41,377.58,351.08,351.50,2075300
2018-10-10 20:00:00-04:00,349.34,352.42,342.10,344.02,1737100
2018-10-11 20:00:00-04:00,354.99,360.32,346.10,352.27,1593400
2018-10-14 20:00:00-04:00,352.31,355.23,348.27,351.65,992900
2018-10-15 20:00:00-04:00,337.70,342.93,331.59,336.05,2053500
2018-10-16 20:00:00-04:00,334.09,344.23,333.69,339.22,1821100
2018-10-17 20:00:00-04:00,337.99,339.70,328.63,329.35,1735800
2018-10-18 20:00:00-04:00,329.62,336.30,329.03,330.82,1029100
2018-10-21 20:00:00-04:00,332.03,333.45,323.04,323.17,1036000
2018-10-22 20:00:00-04:00,316.26,322.26,309.95,319.15,1300500
2018-10-23 20:00:00-04:00,319.65,320.01,311.40,311.88,1229800
2018-10-24 20:00:00-04:00,313.64,326.72,313.17,322.84,1393000
2018-10-25 20:00:00-04:00,318.06,322.75,315.53,318.69,1006300
2018-10-28 20:00:00-04:00,324.18,327.75,316.41,321.76,952600
2018-10-29 20:00:00-04:00,323.18,334.57,321.93,332.61,1489700
2018-10-30 20:00:00-04:00,336.76,343.69,334.99,338.86,1415200
2018-10-31 20:00:00-04:00,340.78,343.68,337.75,340.16,1021600
2018-11-01 20:00:00-04:00,343.44,345.26,334.38,337.50,869900
2018-11-04 19:00:00-05:00,337.31,339.85,336.25,338.52,761400
2018-11-05 19:00:00-05:00,339.67,340.97,337.96,340.52,882100
2018-11-06 19:00:00-05:00,343.96,350.05,337.97,349.83,1078300
2018-11-07 19:00:00-05:00,347.27,350.38,345.68,347.08,698800
2018-11-08 19:00:00-05:00,340.17,345.63,336.83,340.95,617100
2018-11-11 19:00:00-05:00,340.12,340.12,333.42,333.92,577400
2018-11-12 19:00:00-05:00,336.69,340.99,334.78,335.48,582900
2018-11-13 19:00:00-05:00,338.12,340.12,327.28,331.09,746900
2018-11-14 19:00:00-05:00,327.16,335.87,325.12,335.13,685200
2018-11-15 19:00:00-05:00,332.88,338.76,329.85,338.52,738100
2018-11-18 19:00:00-05:00,337.78,339.54,330.78,335.87,725500
2018-11-19 19:00:00-05:00,330.20,336.42,327.19,331.86,632300
2018-11-20 19:00:00-05:00,336.08,339.63,332.15,335.73,673700
2018-11-22 19:00:00-05:00,332.47,338.44,332.20,334.90,299400
2018-11-25 19:00:00-05:00,340.28,349.41,338.89,344.69,815000
2018-11-26 19:00:00-05:00,342.02,343.95,340.95,343.59,626000
2018-11-27 19:00:00-05:00,347.29,352.28,341.01,351.92,701500
2018-11-28 19:00:00-05:00,350.05,351.85,344.87,348.35,616000
2018-11-29 19:00:00-05:00,347.00,352.53,345.11,352.53,1066400
2018-12-02 19:00:00-05:00,359.76,360.97,354.45,358.18,998600
2018-12-03 19:00:00-05:00,356.09,356.56,333.11,336.67,859700
2018-12-05 19:00:00-05:00,331.82,332.37,316.55,332.19,1383100
2018-12-06 19:00:00-05:00,332.68,340.16,325.49,326.27,969500
2018-12-09 19:00:00-05:00,324.43,327.39,315.11,326.41,876100
2018-12-10 19:00:00-05:00,332.19,332.91,317.10,320.10,793700
2018-12-11 19:00:00-05:00,325.81,330.09,322.56,323.76,736800
2018-12-12 19:00:00-05:00,325.51,325.69,319.13,321.43,595200
2018-12-13 19:00:00-05:00,317.92,323.09,315.93,317.31,678700
2018-12-16 19:00:00-05:00,315.40,322.87,312.45,313.95,900200
2018-12-17 19:00:00-05:00,316.85,322.69,315.23,318.18,997100
