Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,87.64,87.84,86.24,87.24,688900
2018-07-02 20:00:00-04:00,87.17,88.21,86.75,87.16,397200
2018-07-04 20:00:00-04:00,87.22,88.27,86.95,88.20,719800
2018-07-05 20:00:00-04:00,88.36,88.79,88.04,88.36,478000
2018-07-08 20:00:00-04:00,88.41,88.66,87.51,88.18,574500
2018-07-09 20:00:00-04:00,88.15,88.50,87.80,88.05,555400
2018-07-10 20:00:00-04:00,88.01,88.43,87.79,88.11,439400
2018-07-11 20:00:00-04:00,88.28,88.91,87.81,88.83,538500
2018-07-12 20:00:00-04:00,89.03,89.64,88.76,89.08,625700
2018-07-15 20:00:00-04:00,88.72,89.11,88.03,88.80,677500
2018-07-16 20:00:00-04:00,88.92,89.01,87.62,87.92,686500
2018-07-17 20:00:00-04:00,87.77,88.45,87.23,87.57,469700
2018-07-18 20:00:00-04:00,87.51,89.15,87.30,88.71,509500
2018-07-19 20:00:00-04:00,88.40,88.55,87.49,87.59,379200
2018-07-22 20:00:00-04:00,87.44,87.50,86.29,86.91,364100
2018-07-23 20:00:00-04:00,86.92,87.64,86.26,87.23,537800
2018-07-24 20:00:00-04:00,87.42,87.80,87.02,87.36,467700
2018-07-25 20:00:00-04:00,87.60,88.09,87.03,87.12,622400
2018-07-26 20:00:00-04:00,87.43,87.64,85.77,85.96,442900
2018-07-29 20:00:00-04:00,85.80,86.05,85.19,85.40,482200
2018-07-30 20:00:00-04:00,86.00,88.01,85.35,87.82,1031800
2018-07-31 20:00:00-04:00,85.60,90.97,85.60,90.84,1011900
2018-08-01 20:00:00-04:00,90.34,91.32,89.72,90.18,1066800
2018-08-02 20:00:00-04:00,89.92,90.77,89.34,90.32,685000
2018-08-05 20:00:00-04:00,90.36,91.01,90.26,90.65,674800
2018-08-06 20:00:00-04:00,90.85,90.99,90.07,90.77,680800
2018-08-07 20:00:00-04:00,90.85,90.96,90.07,90.71,488200
2018-08-08 20:00:00-04:00,90.71,90.78,90.23,90.47,890800
2018-08-09 20:00:00-04:00,90.20,90.92,89.98,90.21,875200
2018-08-12 20:00:00-04:00,90.48,91.01,90.34,90.60,819900
2018-08-13 20:00:00-04:00,90.81,91.32,90.17,90.81,1241500
2018-08-14 20:00:00-04:00,90.90,91.87,90.55,91.43,605800
2018-08-15 20:00:00-04:00,91.46,92.41,91.31,92.09,738800
2018-08-16 20:00:00-04:00,92.26,92.78,91.95,92.46,755100
2018-08-19 20:00:00-04:00,92.77,92.92,92.04,92.07,625500
2018-08-20 20:00:00-04:00,91.82,92.02,90.81,90.81,653400
2018-08-21 20:00:00-04:00,91.18,91.31,90.26,90.44,708600
2018-08-22 20:00:00-04:00,90.67,90.71,89.80,89.98,530000
2018-08-23 20:00:00-04:00,89.83,90.55,89.52,90.28,803800
2018-08-26 20:00:00-04:00,90.35,90.50,89.34,89.99,573900
2018-08-27 20:00:00-04:00,90.09,91.64,89.76,91.53,769000
2018-08-28 20:00:00-04:00,91.71,91.74,91.30,91.39,472800
2018-08-29 20:00:00-04:00,91.66,91.67,90.99,91.13,448400
2018-08-30 20:00:00-04:00,91.42,91.63,91.06,91.27,477700
2018-09-03 20:00:00-04:00,91.01,91.75,89.87,90.34,596100
2018-09-04 20:00:00-04:00,90.05,91.92,89.85,91.69,1097100
2018-09-05 20:00:00-04:00,91.93,91.93,90.87,90.87,1405000
2018-09-06 20:00:00-04:00,90.25,90.60,89.93,89.99,463900
2018-09-09 20:00:00-04:00,90.44,91.15,89.86,89.92,479000
2018-09-10 20:00:00-04:00,89.43,90.23,89.43,89.50,571100
2018-09-11 20:00:00-04:00,89.66,90.04,89.20,89.20,534000
2018-09-12 20:00:00-04:00,89.59,89.59,88.95,89.23,628800
2018-09-13 20:00:00-04:00,89.02,89.19,87.66,88.13,656500
2018-09-16 20:00:00-04:00,88.42,88.89,87.83,88.86,502600
2018-09-17 20:00:00-04:00,88.71,89.36,88.20,88.25,478000
2018-09-18 20:00:00-04:00,88.43,88.45,86.83,86.93,532600
2018-09-19 20:00:00-04:00,87.00,88.10,86.65,87.92,585300
2018-09-20 20:00:00-04:00,87.82,89.02,87.53,88.76,1250800
2018-09-23 20:00:00-04:00,88.50,88.66,85.87,86.44,560100
2018-09-24 20:00:00-04:00,86.48,87.20,86.00,86.75,593000
2018-09-25 20:00:00-04:00,86.96,87.03,84.83,84.92,1003700
2018-09-26 20:00:00-04:00,85.06,85.88,85.06,85.13,780200
2018-09-27 20:00:00-04:00,85.32,86.85,85.32,86.80,1166100
2018-09-30 20:00:00-04:00,86.71,87.21,85.26,85.29,826800
2018-10-01 20:00:00-04:00,85.32,85.92,85.13,85.18,713400
2018-10-02 20:00:00-04:00,85.32,85.99,84.15,84.72,772600
2018-10-03 20:00:00-04:00,84.17,84.67,83.57,84.03,575200
2018-10-04 20:00:00-04:00,84.60,84.67,83.63,83.81,634900
2018-10-07 20:00:00-04:00,83.87,84.96,83.87,84.45,784300
2018-10-08 20:00:00-04:00,84.48,85.01,83.86,84.84,792700
2018-10-09 20:00:00-04:00,84.72,85.34,83.81,83.96,620300
2018-10-10 20:00:00-04:00,84.24,84.24,80.61,80.65,1043200
2018-10-11 20:00:00-04:00,81.29,81.85,80.37,80.88,780500
2018-10-14 20:00:00-04:00,81.48,82.64,81.44,81.78,837300
2018-10-15 20:00:00-04:00,81.90,83.49,81.71,83.22,682700
2018-10-16 20:00:00-04:00,83.12,83.29,82.17,82.87,600700
2018-10-17 20:00:00-04:00,82.89,83.67,81.95,82.14,758000
2018-10-18 20:00:00-04:00,82.34,82.92,82.28,82.47,815600
2018-10-21 20:00:00-04:00,82.75,83.05,81.02,81.10,552300
2018-10-22 20:00:00-04:00,80.72,81.80,80.42,81.26,845000
2018-10-23 20:00:00-04:00,81.26,82.45,81.10,81.47,1069900
2018-10-24 20:00:00-04:00,81.58,83.00,81.13,82.47,713900
2018-10-25 20:00:00-04:00,82.17,82.23,80.35,81.03,952300
2018-10-28 20:00:00-04:00,81.87,83.05,81.61,82.51,760100
2018-10-29 20:00:00-04:00,82.79,83.75,81.99,82.49,810000
2018-10-30 20:00:00-04:00,84.06,86.90,83.34,85.15,1917600
2018-10-31 20:00:00-04:00,85.11,86.68,84.15,84.56,1129600
2018-11-01 20:00:00-04:00,84.67,84.77,83.02,83.92,900300
2018-11-04 19:00:00-05:00,84.54,85.83,84.54,85.29,786300
2018-11-05 19:00:00-05:00,85.54,86.70,84.72,86.34,613900
2018-11-06 19:00:00-05:00,86.94,87.34,86.30,87.26,508600
2018-11-07 19:00:00-05:00,87.23,88.24,86.82,87.75,704700
2018-11-08 19:00:00-05:00,87.77,88.24,86.95,87.62,525300
2018-11-11 19:00:00-05:00,87.62,88.45,87.61,87.75,525100
2018-11-12 19:00:00-05:00,87.95,88.35,87.31,88.01,746000
2018-11-13 19:00:00-05:00,88.14,88.43,87.35,87.76,426600
2018-11-14 19:00:00-05:00,87.27,87.58,86.16,87.56,672300
2018-11-15 19:00:00-05:00,87.49,88.59,86.94,88.55,584400
2018-11-18 19:00:00-05:00,88.97,89.47,87.71,88.59,770600
2018-11-19 19:00:00-05:00,88.42,88.99,88.00,88.45,899700
2018-11-20 19:00:00-05:00,88.45,89.84,87.97,88.59,710000
2018-11-22 19:00:00-05:00,88.61,89.06,87.74,88.57,197900
2018-11-25 19:00:00-05:00,89.10,89.16,87.97,88.60,674400
2018-11-26 19:00:00-05:00,88.39,89.96,88.36,89.62,1103900
2018-11-27 19:00:00-05:00,89.54,91.65,89.43,91.65,1253300
2018-11-28 19:00:00-05:00,91.51,91.94,90.77,91.54,921100
2018-11-29 19:00:00-05:00,91.63,92.56,91.20,92.52,1286600
2018-12-02 19:00:00-05:00,92.75,93.30,90.91,93.22,864200
2018-12-03 19:00:00-05:00,93.04,93.59,91.49,91.80,1004500
2018-12-05 19:00:00-05:00,91.30,93.52,89.90,93.42,1121000
2018-12-06 19:00:00-05:00,93.21,93.30,90.66,91.02,1189100
2018-12-09 19:00:00-05:00,90.79,90.79,88.55,89.54,1124100
2018-12-10 19:00:00-05:00,90.03,91.14,89.59,89.61,677900
2018-12-11 19:00:00-05:00,90.43,90.59,87.58,87.70,717100
2018-12-12 19:00:00-05:00,87.95,89.77,87.87,88.74,571600
2018-12-13 19:00:00-05:00,88.47,88.85,87.97,88.67,588600
2018-12-16 19:00:00-05:00,88.72,88.95,84.30,84.65,953100
2018-12-17 19:00:00-05:00,85.46,85.75,84.55,85.01,604700
2018-12-18 19:00:00-05:00,85.00,85.00,82.74,83.22,921400
2018-12-19 19:00:00-05:00,83.09,83.29,80.62,81.10,1093200
2018-12-20 19:00:00-05:00,81.17,82.46,79.92,80.01,1442100
2018-12-23 19:00:00-05:00,80.05,80.58,76.90,76.92,448000
2018-12-25 19:00:00-05:00,77.24,79.50,76.04,79.50,658800
2018-12-26 19:00:00-05:00,78.74,79.46,77.04,79.46,796000
2018-12-27 19:00:00-05:00,80.25,80.53,78.52,79.60,721300
2018-12-30 19:00:00-05:00,79.80,80.04,78.44,80.04,563600
2019-01-01 19:00:00-05:00,79.43,79.43,76.76,77.62,815000
2019-01-02 19:00:00-05:00,77.51,79.17,77.39,77.95,708400
2019-01-03 19:00:00-05:00,78.68,79.95,78.25,79.30,600900
2019-01-06 19:00:00-05:00,79.52,80.35,79.17,79.80,760900
2019-01-07 19:00:00-05:00,80.12,82.19,80.00,82.16,1241900
2019-01-08 19:00:00-05:00,83.31,83.70,82.19,83.52,879800
2019-01-09 19:00:00-05:00,83.27,85.00,83.13,84.78,654700
2019-01-10 19:00:00-05:00,84.48,84.85,84.06,84.73,431900
2019-01-13 19:00:00-05:00,84.42,84.83,83.72,84.01,476100
2019-01-14 19:00:00-05:00,84.04,84.84,83.95,84.68,422800
2019-01-15 19:00:00-05:00,84.79,85.26,84.21,85.22,545100
2019-01-16 19:00:00-05:00,85.17,85.97,84.88,85.64,608900
2019-01-17 19:00:00-05:00,85.81,86.48,85.25,86.42,822000
2019-01-21 19:00:00-05:00,86.37,86.50,85.32,86.20,856000
2019-01-22 19:00:00-05:00,85.85,86.37,85.27,85.89,621400
2019-01-23 19:00:00-05:00,85.41,86.24,84.80,86.10,518900
2019-01-24 19:00:00-05:00,86.74,87.86,86.42,87.81,722100
2019-01-27 19:00:00-05:00,87.67,89.11,87.08,88.80,607100
2019-01-28 19:00:00-05:00,88.66,89.92,88.27,89.88,590800
2019-01-29 19:00:00-05:00,90.67,92.81,89.75,92.78,1111000
2019-01-30 19:00:00-05:00,92.69,93.92,91.77,93.78,880400
2019-01-31 19:00:00-05:00,93.93,93.93,91.99,93.29,1128200
2019-02-03 19:00:00-05:00,93.19,94.20,92.63,94.20,1031700
2019-02-04 19:00:00-05:00,94.23,94.23,93.39,93.91,1198100
2019-02-05 19:00:00-05:00,94.02,94.06,92.92,93.59,711200
2019-02-06 19:00:00-05:00,93.19,94.35,92.48,94.30,823200
2019-02-07 19:00:00-05:00,93.74,94.32,93.46,94.16,505000
2019-02-10 19:00:00-05:00,94.28,94.91,94.01,94.81,507100
2019-02-11 19:00:00-05:00,94.78,95.09,94.08,94.36,592500
2019-02-12 19:00:00-05:00,94.26,95.31,94.14,95.09,461200
2019-02-13 19:00:00-05:00,94.95,95.23,94.33,94.66,517000
2019-02-14 19:00:00-05:00,95.39,95.46,94.67,95.02,661600
2019-02-18 19:00:00-05:00,94.97,95.95,94.75,95.73,408200
2019-02-19 19:00:00-05:00,95.54,95.54,94.45,95.20,425200
2019-02-20 19:00:00-05:00,94.82,95.81,93.92,95.69,401200
2019-02-21 19:00:00-05:00,96.00,96.71,95.46,96.48,453200
2019-02-24 19:00:00-05:00,96.79,96.87,95.68,95.81,457900
2019-02-25 19:00:00-05:00,96.17,96.17,95.22,95.30,475400
2019-02-26 19:00:00-05:00,94.75,94.97,93.38,94.16,701000
2019-02-27 19:00:00-05:00,94.23,95.91,93.91,94.36,883300
2019-02-28 19:00:00-05:00,94.50,94.77,93.32,93.75,995700
2019-03-03 19:00:00-05:00,94.02,94.50,93.41,94.08,877800
