Date,Open,High,Low,Close,Volume
2020-03-18 20:00:00-04:00,11.06,11.06,11.06,11.06,100
2020-03-19 20:00:00-04:00,11.98,11.98,11.06,11.75,2300
2020-03-22 20:00:00-04:00,11.75,11.75,10.60,10.63,18700
2020-03-23 20:00:00-04:00,11.89,11.89,10.60,10.78,96100
2020-03-24 20:00:00-04:00,10.87,12.39,10.87,12.39,19200
2020-03-25 20:00:00-04:00,12.90,14.24,12.90,14.24,76400
2020-03-26 20:00:00-04:00,13.82,14.74,13.41,13.41,486500
2020-03-29 20:00:00-04:00,14.05,15.20,14.05,14.65,210000
2020-03-30 20:00:00-04:00,15.10,15.90,13.42,15.90,461500
2020-03-31 20:00:00-04:00,14.74,14.74,13.42,13.87,2998900
2020-04-01 20:00:00-04:00,14.43,14.65,11.17,12.24,15966300
2020-04-02 20:00:00-04:00,12.67,15.67,12.33,15.59,66934300
2020-04-05 20:00:00-04:00,15.72,15.80,13.68,14.23,37138000
2020-04-06 20:00:00-04:00,14.01,14.56,13.41,14.05,23486000
2020-04-07 20:00:00-04:00,13.36,14.05,12.65,13.14,49372700
2020-04-08 20:00:00-04:00,12.90,14.28,12.81,13.62,34992600
2020-04-12 20:00:00-04:00,13.36,13.36,12.88,12.89,21497400
2020-04-13 20:00:00-04:00,12.90,13.09,12.70,12.78,22350000
2020-04-14 20:00:00-04:00,12.47,12.58,11.92,12.31,14990700
2020-04-15 20:00:00-04:00,12.12,12.21,11.30,11.88,21745200
2020-04-16 20:00:00-04:00,12.26,12.74,11.91,12.66,21336500
2020-04-19 20:00:00-04:00,12.44,13.58,12.42,13.32,20032200
2020-04-20 20:00:00-04:00,13.10,14.05,13.07,13.54,16235900
2020-04-21 20:00:00-04:00,13.78,13.97,13.10,13.63,12539500
2020-04-22 20:00:00-04:00,13.55,14.67,13.46,14.49,12226000
2020-04-23 20:00:00-04:00,14.38,15.36,14.09,14.97,17390000
2020-04-26 20:00:00-04:00,14.90,15.49,14.72,15.48,12186100
2020-04-27 20:00:00-04:00,15.55,16.36,15.31,15.67,12983800
2020-04-28 20:00:00-04:00,16.09,16.66,15.82,16.26,12523200
2020-04-29 20:00:00-04:00,15.87,16.44,15.65,16.32,19094100
2020-04-30 20:00:00-04:00,15.97,15.99,15.32,15.45,10727200
2020-05-03 20:00:00-04:00,14.88,15.22,14.46,15.11,9700300
2020-05-04 20:00:00-04:00,15.37,15.44,14.60,14.72,16298000
2020-05-05 20:00:00-04:00,14.74,15.08,14.22,15.01,10647200
2020-05-06 20:00:00-04:00,14.94,15.70,14.63,15.12,12454100
2020-05-07 20:00:00-04:00,15.70,16.96,15.61,16.92,17693300
