Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,42.95,43.79,42.84,43.77,1202300
2018-07-02 20:00:00-04:00,44.04,44.36,43.78,43.81,809500
2018-07-04 20:00:00-04:00,43.96,44.47,43.73,44.46,1677100
2018-07-05 20:00:00-04:00,44.54,45.04,44.52,44.88,1539900
2018-07-08 20:00:00-04:00,45.10,45.38,44.53,44.87,1637200
2018-07-09 20:00:00-04:00,44.71,44.94,44.54,44.78,1420400
2018-07-10 20:00:00-04:00,44.52,44.67,44.28,44.60,1023600
2018-07-11 20:00:00-04:00,44.77,45.64,44.77,45.57,1375400
2018-07-12 20:00:00-04:00,45.67,45.73,45.20,45.29,978400
2018-07-15 20:00:00-04:00,45.31,45.37,44.97,45.07,756600
2018-07-16 20:00:00-04:00,44.83,45.76,44.81,45.66,1642900
2018-07-17 20:00:00-04:00,45.56,45.72,45.25,45.52,994400
2018-07-18 20:00:00-04:00,45.27,45.52,44.88,45.23,850000
2018-07-19 20:00:00-04:00,45.15,45.60,45.00,45.14,1667700
2018-07-22 20:00:00-04:00,44.98,45.21,44.81,45.15,1359100
2018-07-23 20:00:00-04:00,45.80,46.55,45.24,45.50,3037500
2018-07-24 20:00:00-04:00,45.60,46.82,45.56,46.80,2340900
2018-07-25 20:00:00-04:00,46.81,46.99,46.23,46.26,2199900
2018-07-26 20:00:00-04:00,46.25,46.45,44.83,45.24,1527700
2018-07-29 20:00:00-04:00,45.02,45.29,43.86,43.91,1848600
2018-07-30 20:00:00-04:00,44.20,44.48,43.83,44.09,1928200
2018-07-31 20:00:00-04:00,44.21,44.58,43.87,43.99,1948900
2018-08-01 20:00:00-04:00,43.68,44.74,43.57,44.70,1599500
2018-08-02 20:00:00-04:00,44.81,44.96,44.38,44.77,777000
2018-08-05 20:00:00-04:00,44.74,45.30,44.61,45.09,962300
2018-08-06 20:00:00-04:00,45.08,45.47,45.04,45.16,926100
2018-08-07 20:00:00-04:00,45.07,45.33,44.86,45.07,1275500
2018-08-08 20:00:00-04:00,45.19,45.58,44.97,45.33,1080200
2018-08-09 20:00:00-04:00,45.12,45.52,45.04,45.20,835700
2018-08-12 20:00:00-04:00,45.31,45.68,45.09,45.36,2240000
2018-08-13 20:00:00-04:00,45.66,46.10,45.42,46.00,1345700
2018-08-14 20:00:00-04:00,45.61,45.82,45.10,45.44,1520000
2018-08-15 20:00:00-04:00,45.58,45.73,45.27,45.37,1379300
2018-08-16 20:00:00-04:00,45.22,45.38,44.69,45.18,978200
