Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,48.08,48.27,47.81,48.02,1516300
2018-07-02 20:00:00-04:00,48.36,48.53,47.90,48.33,916100
2018-07-04 20:00:00-04:00,48.47,49.30,48.42,49.27,2722400
2018-07-05 20:00:00-04:00,49.37,49.67,49.18,49.58,1943600
2018-07-08 20:00:00-04:00,49.31,49.51,48.44,48.49,2128400
2018-07-09 20:00:00-04:00,48.49,49.48,48.22,49.41,2115300
2018-07-10 20:00:00-04:00,49.70,49.82,49.28,49.58,2501300
2018-07-11 20:00:00-04:00,49.58,49.94,49.37,49.83,2116300
2018-07-12 20:00:00-04:00,49.89,50.74,49.81,50.70,1942300
2018-07-15 20:00:00-04:00,50.73,50.73,49.67,49.77,2418400
2018-07-16 20:00:00-04:00,49.77,50.00,49.59,49.68,1704600
2018-07-17 20:00:00-04:00,49.47,49.67,48.55,48.79,2308200
2018-07-18 20:00:00-04:00,48.79,49.46,48.21,49.11,1614500
2018-07-19 20:00:00-04:00,49.03,49.92,48.99,49.87,2448300
2018-07-22 20:00:00-04:00,49.92,50.06,49.41,49.68,1075400
2018-07-23 20:00:00-04:00,49.41,49.86,49.09,49.59,1259700
2018-07-24 20:00:00-04:00,49.61,49.90,49.07,49.85,1854800
2018-07-25 20:00:00-04:00,49.96,50.35,49.67,50.17,1240000
2018-07-26 20:00:00-04:00,50.02,50.40,49.83,50.22,1379200
2018-07-29 20:00:00-04:00,50.02,50.50,49.77,50.16,1467000
2018-07-30 20:00:00-04:00,50.16,51.03,49.85,50.71,2316600
2018-07-31 20:00:00-04:00,50.64,50.64,49.47,50.03,2581800
2018-08-01 20:00:00-04:00,50.46,52.22,50.13,51.52,3159500
2018-08-02 20:00:00-04:00,51.74,52.64,51.71,51.86,1722200
2018-08-05 20:00:00-04:00,51.79,52.27,51.67,52.12,1316900
2018-08-06 20:00:00-04:00,51.81,51.85,50.99,51.23,2313700
2018-08-07 20:00:00-04:00,51.10,51.30,50.71,50.74,1677600
2018-08-08 20:00:00-04:00,50.65,50.84,50.14,50.41,2300200
2018-08-09 20:00:00-04:00,50.44,51.03,50.37,50.56,855300
2018-08-12 20:00:00-04:00,50.74,50.87,50.35,50.70,1336600
2018-08-13 20:00:00-04:00,50.79,51.11,50.46,50.50,1628200
2018-08-14 20:00:00-04:00,50.57,51.13,50.36,51.05,1187300
2018-08-15 20:00:00-04:00,51.13,51.86,51.06,51.77,1030500
2018-08-16 20:00:00-04:00,51.77,52.17,51.71,52.05,1321500
2018-08-19 20:00:00-04:00,52.18,52.70,52.17,52.48,3026800
2018-08-20 20:00:00-04:00,52.30,52.46,51.39,51.72,1541200
2018-08-21 20:00:00-04:00,51.69,51.71,51.20,51.33,932200
2018-08-22 20:00:00-04:00,51.23,51.60,51.10,51.47,719800
2018-08-23 20:00:00-04:00,51.46,51.47,51.19,51.30,963500
2018-08-26 20:00:00-04:00,51.49,51.58,50.75,51.18,653200
2018-08-27 20:00:00-04:00,51.45,52.00,51.26,51.41,842100
2018-08-28 20:00:00-04:00,51.54,51.67,51.12,51.45,661700
2018-08-29 20:00:00-04:00,51.45,51.77,51.24,51.34,580400
2018-08-30 20:00:00-04:00,51.46,51.79,51.30,51.53,1116900
2018-09-03 20:00:00-04:00,51.06,51.95,51.05,51.44,1155700
2018-09-04 20:00:00-04:00,51.27,52.65,51.15,52.55,1997700
2018-09-05 20:00:00-04:00,52.36,53.08,52.12,52.93,1305300
2018-09-06 20:00:00-04:00,52.66,53.68,52.62,53.45,1342800
2018-09-09 20:00:00-04:00,53.73,53.98,53.24,53.26,934800
2018-09-10 20:00:00-04:00,53.31,53.78,52.98,53.73,1147700
2018-09-11 20:00:00-04:00,53.68,54.27,53.60,54.12,1205700
2018-09-12 20:00:00-04:00,54.07,54.15,53.50,54.14,846100
2018-09-13 20:00:00-04:00,54.11,54.40,53.78,54.23,1035900
2018-09-16 20:00:00-04:00,54.30,54.64,54.09,54.46,921700
2018-09-17 20:00:00-04:00,54.39,54.50,53.80,54.39,1142800
2018-09-18 20:00:00-04:00,54.26,54.43,53.55,53.72,1013900
2018-09-19 20:00:00-04:00,53.85,54.43,53.79,54.33,1018400
2018-09-20 20:00:00-04:00,54.60,55.00,54.45,54.68,1988600
2018-09-23 20:00:00-04:00,54.67,54.75,53.63,53.82,1374200
2018-09-24 20:00:00-04:00,54.01,54.32,53.68,53.74,884200
2018-09-25 20:00:00-04:00,53.91,54.51,53.70,54.09,1211900
2018-09-26 20:00:00-04:00,54.03,54.19,53.58,53.63,870100
2018-09-27 20:00:00-04:00,53.66,54.09,53.59,54.07,1039600
2018-09-30 20:00:00-04:00,54.11,54.42,54.05,54.23,716000
2018-10-01 20:00:00-04:00,54.28,55.02,54.28,54.77,916200
2018-10-02 20:00:00-04:00,54.95,54.95,53.78,53.81,2239400
2018-10-03 20:00:00-04:00,53.47,53.47,52.51,53.09,1593900
2018-10-04 20:00:00-04:00,53.03,54.04,53.03,53.90,928900
2018-10-07 20:00:00-04:00,53.85,54.56,53.79,54.46,1316900
2018-10-08 20:00:00-04:00,54.43,54.79,53.99,54.11,968700
2018-10-09 20:00:00-04:00,52.04,53.00,50.85,50.96,3130500
2018-10-10 20:00:00-04:00,50.78,51.15,49.60,49.97,2542600
2018-10-11 20:00:00-04:00,50.54,51.25,50.12,51.06,1470000
2018-10-14 20:00:00-04:00,51.05,52.35,51.00,51.95,1552600
2018-10-15 20:00:00-04:00,52.43,53.49,52.14,53.28,1568600
2018-10-16 20:00:00-04:00,53.15,53.54,52.59,53.28,1286500
2018-10-17 20:00:00-04:00,53.27,54.33,52.88,53.79,1381300
2018-10-18 20:00:00-04:00,55.01,55.81,54.38,54.94,1721900
2018-10-21 20:00:00-04:00,55.15,55.15,53.82,54.54,1059400
2018-10-22 20:00:00-04:00,54.34,54.48,53.37,54.15,1208700
2018-10-23 20:00:00-04:00,54.27,55.43,54.08,54.57,1732700
2018-10-24 20:00:00-04:00,54.76,54.76,53.53,53.99,2084500
