Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,91.97,92.71,90.55,90.70,1820500
2022-04-06 20:00:00-04:00,91.37,91.93,89.65,91.74,1458200
2022-04-07 20:00:00-04:00,94.90,95.24,91.70,92.80,1668700
2022-04-10 20:00:00-04:00,92.45,94.33,92.35,93.33,1404700
2022-04-11 20:00:00-04:00,93.29,94.62,92.06,92.23,1102700
2022-04-12 20:00:00-04:00,92.54,92.55,90.67,92.46,1344000
2022-04-13 20:00:00-04:00,91.99,94.27,91.99,93.93,826500
2022-04-17 20:00:00-04:00,93.38,94.53,92.77,93.45,810200
2022-04-18 20:00:00-04:00,93.70,94.66,92.94,94.03,1030600
2022-04-19 20:00:00-04:00,94.59,95.35,93.74,93.86,1124200
2022-04-20 20:00:00-04:00,94.29,95.14,93.46,93.90,907900
2022-04-21 20:00:00-04:00,93.41,94.53,92.72,92.90,797800
2022-04-24 20:00:00-04:00,92.52,93.88,91.60,93.83,1150700
2022-04-25 20:00:00-04:00,93.91,95.19,92.10,92.19,1382300
2022-04-26 20:00:00-04:00,92.35,94.03,92.13,93.52,1880300
2022-04-27 20:00:00-04:00,97.08,100.45,96.65,100.35,2138200
2022-04-28 20:00:00-04:00,100.35,102.00,96.34,96.54,1584100
2022-05-01 20:00:00-04:00,95.84,100.02,95.84,98.50,1179900
2022-05-02 20:00:00-04:00,99.13,100.34,98.23,98.78,1379300
2022-05-03 20:00:00-04:00,99.23,100.88,98.91,100.54,1142300
2022-05-04 20:00:00-04:00,100.08,101.36,95.87,96.74,1465700
2022-05-05 20:00:00-04:00,96.87,99.76,96.12,97.29,1327900
2022-05-08 20:00:00-04:00,96.76,98.93,96.22,98.18,973400
2022-05-09 20:00:00-04:00,99.08,100.57,97.76,100.31,1522800
2022-05-10 20:00:00-04:00,100.29,100.65,97.48,98.47,1186000
2022-05-11 20:00:00-04:00,98.50,98.52,95.60,97.96,1285800
2022-05-12 20:00:00-04:00,98.31,98.93,95.89,96.22,1172100
2022-05-15 20:00:00-04:00,96.61,98.40,96.11,97.19,1056600
2022-05-16 20:00:00-04:00,97.50,100.09,97.10,99.77,744700
2022-05-17 20:00:00-04:00,99.43,99.82,93.62,93.83,1715500
2022-05-18 20:00:00-04:00,93.04,93.40,90.52,92.03,1348000
2022-05-19 20:00:00-04:00,93.12,95.30,91.61,92.70,1533100
2022-05-22 20:00:00-04:00,93.14,95.35,92.71,94.99,746300
2022-05-23 20:00:00-04:00,94.56,95.78,93.52,95.31,1420300
2022-05-24 20:00:00-04:00,95.19,97.22,94.92,96.57,1004400
2022-05-25 20:00:00-04:00,96.97,98.18,96.92,97.87,975000
2022-05-26 20:00:00-04:00,98.53,99.08,96.86,97.72,1349700
2022-05-30 20:00:00-04:00,97.03,99.18,95.70,98.69,2447900
2022-05-31 20:00:00-04:00,99.02,100.02,98.67,99.08,990100
2022-06-01 20:00:00-04:00,99.87,100.09,97.49,98.33,1152000
2022-06-02 20:00:00-04:00,98.12,99.83,97.89,98.74,782200
2022-06-05 20:00:00-04:00,98.92,100.68,98.28,99.95,775200
2022-06-06 20:00:00-04:00,99.42,99.42,97.70,97.89,807700
2022-06-07 20:00:00-04:00,97.02,97.34,94.34,94.82,917700
2022-06-08 20:00:00-04:00,94.30,95.82,93.31,93.35,826500
2022-06-09 20:00:00-04:00,92.57,93.85,92.00,92.99,856100
2022-06-12 20:00:00-04:00,91.48,93.19,90.68,91.70,1709200
2022-06-13 20:00:00-04:00,95.38,106.03,95.12,97.22,4031200
2022-06-14 20:00:00-04:00,96.82,98.00,93.30,94.28,1765500
2022-06-15 20:00:00-04:00,93.48,94.17,91.90,92.41,1242400
2022-06-16 20:00:00-04:00,92.21,92.48,89.88,90.50,2513800
2022-06-20 20:00:00-04:00,91.88,92.58,91.05,92.55,825300
2022-06-21 20:00:00-04:00,91.41,91.94,90.44,91.32,771900
2022-06-22 20:00:00-04:00,92.27,92.27,90.40,91.68,619200
2022-06-23 20:00:00-04:00,92.36,95.47,92.36,94.94,1215500
2022-06-26 20:00:00-04:00,95.55,96.69,95.29,96.11,573000
2022-06-27 20:00:00-04:00,95.32,96.13,92.14,92.39,1053300
2022-06-28 20:00:00-04:00,92.61,93.38,91.70,92.74,585100
2022-06-29 20:00:00-04:00,92.52,93.43,91.71,92.66,1482800
2022-06-30 20:00:00-04:00,92.74,93.76,91.66,93.29,955700
2022-07-04 20:00:00-04:00,93.48,93.60,89.60,90.92,1174800
2022-07-05 20:00:00-04:00,91.41,92.72,89.41,92.36,1628300
2022-07-06 20:00:00-04:00,93.22,93.99,90.90,91.65,1481800
