Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,59.12,59.44,57.62,58.19,750400
2022-04-06 20:00:00-04:00,58.30,58.69,57.16,58.16,781500
2022-04-07 20:00:00-04:00,58.14,58.51,57.38,58.22,1005900
2022-04-10 20:00:00-04:00,57.63,58.38,57.12,57.17,813000
2022-04-11 20:00:00-04:00,57.16,58.18,56.01,56.32,995400
2022-04-12 20:00:00-04:00,56.15,57.47,56.06,57.26,941000
2022-04-13 20:00:00-04:00,57.29,57.63,55.84,55.84,1701200
2022-04-17 20:00:00-04:00,55.76,56.47,55.55,55.84,794700
2022-04-18 20:00:00-04:00,55.60,57.11,55.53,57.08,1482100
2022-04-19 20:00:00-04:00,57.61,58.36,57.31,57.69,753800
2022-04-20 20:00:00-04:00,58.07,58.71,57.10,57.30,1120100
2022-04-21 20:00:00-04:00,56.98,57.54,56.25,56.32,927100
2022-04-24 20:00:00-04:00,56.13,57.74,55.65,57.72,1222200
2022-04-25 20:00:00-04:00,57.40,57.55,55.37,55.40,1264500
2022-04-26 20:00:00-04:00,55.01,55.46,54.06,54.73,1433100
2022-04-27 20:00:00-04:00,55.51,57.19,55.15,57.01,1026700
2022-04-28 20:00:00-04:00,56.40,57.33,55.03,55.17,969500
2022-05-01 20:00:00-04:00,55.29,56.57,55.10,56.47,1030500
2022-05-02 20:00:00-04:00,55.95,57.02,55.94,56.31,1253800
2022-05-03 20:00:00-04:00,56.00,57.46,55.16,57.45,1755700
2022-05-04 20:00:00-04:00,56.51,56.54,54.20,54.74,1373100
2022-05-05 20:00:00-04:00,54.01,54.66,53.49,54.25,1461300
2022-05-08 20:00:00-04:00,53.70,54.01,51.57,51.85,989400
2022-05-09 20:00:00-04:00,52.36,52.86,50.56,51.96,1756800
2022-05-10 20:00:00-04:00,51.46,52.86,50.71,50.80,1407600
2022-05-11 20:00:00-04:00,50.41,51.28,49.52,50.46,1026200
2022-05-12 20:00:00-04:00,51.10,52.69,50.98,52.36,930600
2022-05-15 20:00:00-04:00,52.23,52.45,51.27,51.37,1190400
2022-05-16 20:00:00-04:00,51.70,53.67,51.70,53.65,1367700
2022-05-17 20:00:00-04:00,53.07,53.37,50.77,51.17,995200
2022-05-18 20:00:00-04:00,49.00,50.56,48.78,49.82,2223400
2022-05-19 20:00:00-04:00,50.77,50.77,48.57,49.84,2039900
2022-05-22 20:00:00-04:00,50.27,50.60,49.53,50.19,1290900
2022-05-23 20:00:00-04:00,49.83,50.10,48.16,48.87,935600
2022-05-24 20:00:00-04:00,48.64,49.87,48.41,49.58,1402100
2022-05-25 20:00:00-04:00,49.34,51.24,48.89,50.57,1602400
2022-05-26 20:00:00-04:00,51.12,52.33,50.71,52.33,2525900
2022-05-30 20:00:00-04:00,51.65,51.97,50.64,50.82,2028700
2022-05-31 20:00:00-04:00,51.25,51.70,49.86,51.35,1883400
2022-06-01 20:00:00-04:00,47.00,51.41,46.60,50.68,4459900
2022-06-02 20:00:00-04:00,50.68,50.68,48.07,48.74,2185300
2022-06-05 20:00:00-04:00,49.12,51.18,48.90,49.36,2629600
2022-06-06 20:00:00-04:00,48.99,49.54,48.29,48.65,1230200
2022-06-07 20:00:00-04:00,48.26,49.46,47.89,48.47,1163100
2022-06-08 20:00:00-04:00,48.27,48.77,46.76,46.76,1493200
2022-06-09 20:00:00-04:00,45.76,46.40,44.90,45.22,1390400
2022-06-12 20:00:00-04:00,44.28,44.59,43.16,43.56,1918900
2022-06-13 20:00:00-04:00,43.19,43.69,42.24,42.60,2100000
2022-06-14 20:00:00-04:00,43.73,44.89,43.19,44.49,2275800
2022-06-15 20:00:00-04:00,43.17,43.61,41.63,42.04,1818500
2022-06-16 20:00:00-04:00,42.86,44.54,42.41,43.56,3153400
2022-06-20 20:00:00-04:00,44.20,45.15,44.00,44.56,2817200
2022-06-21 20:00:00-04:00,44.06,44.56,43.89,44.18,1696400
2022-06-22 20:00:00-04:00,44.50,46.41,44.47,46.14,2477300
2022-06-23 20:00:00-04:00,46.31,46.95,45.88,46.94,2001600
2022-06-26 20:00:00-04:00,47.13,47.19,45.88,46.63,1358200
2022-06-27 20:00:00-04:00,46.87,47.37,45.92,45.92,1486100
2022-06-28 20:00:00-04:00,45.76,45.89,45.25,45.60,820600
2022-06-29 20:00:00-04:00,45.11,46.45,44.66,45.70,1672600
2022-06-30 20:00:00-04:00,45.34,46.03,44.75,45.64,1079400
2022-07-04 20:00:00-04:00,44.89,45.53,43.79,45.52,1073300
2022-07-05 20:00:00-04:00,45.54,46.33,45.28,45.95,1309400
2022-07-06 20:00:00-04:00,45.90,46.93,45.90,46.51,894000
2022-07-07 20:00:00-04:00,46.16,47.64,45.98,47.49,1466700
2022-07-10 20:00:00-04:00,47.11,47.54,46.78,47.01,1058300
2022-07-11 20:00:00-04:00,47.03,47.95,46.32,46.48,1237700
2022-07-12 20:00:00-04:00,45.51,47.34,45.26,47.11,929900
2022-07-13 20:00:00-04:00,46.14,46.93,45.31,46.61,819700
2022-07-14 20:00:00-04:00,47.17,47.53,46.63,47.50,729800
2022-07-17 20:00:00-04:00,47.63,48.00,47.01,47.10,852500
2022-07-18 20:00:00-04:00,47.77,49.31,47.49,49.25,1204800
2022-07-19 20:00:00-04:00,48.46,49.75,48.46,49.49,1375200
2022-07-20 20:00:00-04:00,49.49,49.88,49.11,49.86,787900
2022-07-21 20:00:00-04:00,49.58,49.71,47.99,48.44,1171200
2022-07-24 20:00:00-04:00,48.64,48.67,47.59,48.42,1056800
2022-07-25 20:00:00-04:00,48.62,48.95,48.27,48.33,1117300
2022-07-26 20:00:00-04:00,48.77,49.82,48.50,49.65,1181700
2022-07-27 20:00:00-04:00,50.00,51.56,49.86,51.22,1427300
2022-07-28 20:00:00-04:00,51.05,51.78,50.41,51.60,784300
2022-07-31 20:00:00-04:00,51.15,52.23,50.67,51.74,1009600
2022-08-01 20:00:00-04:00,51.73,51.90,51.14,51.59,639100
2022-08-02 20:00:00-04:00,51.77,52.79,51.61,52.20,977400
2022-08-03 20:00:00-04:00,52.59,52.61,52.11,52.49,1036900
2022-08-04 20:00:00-04:00,52.12,52.91,51.79,52.89,760600
2022-08-07 20:00:00-04:00,53.14,53.75,52.45,52.55,917200
2022-08-08 20:00:00-04:00,52.30,52.63,51.52,51.74,843900
2022-08-09 20:00:00-04:00,52.82,54.13,52.60,53.97,1110800
2022-08-10 20:00:00-04:00,53.94,54.40,52.70,52.89,914200
2022-08-11 20:00:00-04:00,54.48,54.85,54.08,54.70,1291800
2022-08-14 20:00:00-04:00,54.21,55.30,54.20,55.17,1037000
2022-08-15 20:00:00-04:00,54.71,55.90,54.66,55.63,1002800
2022-08-16 20:00:00-04:00,54.96,55.20,54.21,54.67,1219000
2022-08-17 20:00:00-04:00,54.62,56.38,54.58,56.37,882800
2022-08-18 20:00:00-04:00,55.96,55.96,55.01,55.79,1522400
2022-08-21 20:00:00-04:00,55.50,55.50,54.39,54.42,1041700
2022-08-22 20:00:00-04:00,53.97,55.08,53.80,54.12,750700
2022-08-23 20:00:00-04:00,53.97,54.31,53.44,54.02,860500
2022-08-24 20:00:00-04:00,54.34,55.76,54.23,55.49,956200
2022-08-25 20:00:00-04:00,55.44,55.59,53.62,53.62,679000
