Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,121.68,122.11,121.31,122.06,917800
2018-07-02 20:00:00-04:00,122.07,123.29,119.65,119.92,512000
2018-07-04 20:00:00-04:00,120.16,120.49,118.61,119.31,1334500
2018-07-05 20:00:00-04:00,119.15,120.23,118.72,119.41,1574300
2018-07-08 20:00:00-04:00,119.99,121.92,119.83,121.72,1651900
2018-07-09 20:00:00-04:00,121.80,122.73,120.99,122.19,1399700
2018-07-10 20:00:00-04:00,121.23,123.40,120.70,123.13,1407600
2018-07-11 20:00:00-04:00,123.88,124.60,122.80,124.08,1236300
2018-07-12 20:00:00-04:00,124.27,124.43,122.91,124.23,1021100
2018-07-15 20:00:00-04:00,124.17,125.39,123.67,125.21,721000
2018-07-16 20:00:00-04:00,125.21,125.92,124.54,125.80,889000
2018-07-17 20:00:00-04:00,126.13,127.64,125.86,127.29,1029200
2018-07-18 20:00:00-04:00,127.12,127.63,125.63,125.68,1290600
2018-07-19 20:00:00-04:00,125.33,125.90,124.54,125.79,979400
2018-07-22 20:00:00-04:00,125.79,126.33,125.07,126.01,1314700
2018-07-23 20:00:00-04:00,125.76,126.18,124.80,125.39,1403300
2018-07-24 20:00:00-04:00,125.04,126.47,124.93,126.17,1657000
2018-07-25 20:00:00-04:00,127.94,128.01,123.75,123.90,2283100
2018-07-26 20:00:00-04:00,123.55,124.22,123.10,123.18,1530500
2018-07-29 20:00:00-04:00,123.18,123.38,119.68,119.99,1267200
2018-07-30 20:00:00-04:00,120.20,120.49,117.86,118.43,1547400
2018-07-31 20:00:00-04:00,118.98,121.76,118.40,120.15,1529900
2018-08-01 20:00:00-04:00,120.15,120.73,118.24,119.86,1350500
2018-08-02 20:00:00-04:00,119.96,120.84,119.08,120.30,959300
2018-08-05 20:00:00-04:00,120.30,121.00,120.07,120.48,1106600
2018-08-06 20:00:00-04:00,121.06,121.95,120.64,121.63,1011800
2018-08-07 20:00:00-04:00,121.62,122.20,120.63,121.87,1187800
