Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,63.07,64.98,62.80,64.91,3617600
2022-04-06 20:00:00-04:00,64.38,64.54,63.36,63.85,3050700
2022-04-07 20:00:00-04:00,64.16,64.39,63.63,63.99,1834100
2022-04-10 20:00:00-04:00,64.13,64.58,63.56,63.75,1634300
2022-04-11 20:00:00-04:00,63.54,64.45,63.23,64.27,1473900
2022-04-12 20:00:00-04:00,64.22,64.47,63.39,63.45,1701400
2022-04-13 20:00:00-04:00,63.61,63.86,63.13,63.14,2472100
2022-04-17 20:00:00-04:00,63.36,63.69,62.82,63.04,1017800
2022-04-18 20:00:00-04:00,63.15,64.02,63.14,63.81,1707300
2022-04-19 20:00:00-04:00,64.37,64.64,63.92,64.45,1481500
2022-04-20 20:00:00-04:00,64.33,65.09,64.04,64.28,1311100
2022-04-21 20:00:00-04:00,64.22,64.23,63.21,63.32,1360300
2022-04-24 20:00:00-04:00,63.56,63.70,61.69,62.29,2958600
2022-04-25 20:00:00-04:00,61.97,63.06,61.97,62.11,1593000
2022-04-26 20:00:00-04:00,62.12,62.84,61.67,61.96,1391300
2022-04-27 20:00:00-04:00,62.10,62.73,61.56,62.54,2037000
2022-04-28 20:00:00-04:00,62.23,62.30,60.49,60.62,2110700
2022-05-01 20:00:00-04:00,61.03,61.38,59.32,59.83,2015400
2022-05-02 20:00:00-04:00,59.99,61.04,59.47,59.56,2112100
2022-05-03 20:00:00-04:00,59.59,60.89,59.55,60.75,2247400
2022-05-04 20:00:00-04:00,60.60,60.87,59.51,59.95,1370900
2022-05-05 20:00:00-04:00,59.70,60.42,59.45,60.19,2060700
2022-05-08 20:00:00-04:00,59.92,61.91,59.69,61.46,2055600
2022-05-09 20:00:00-04:00,61.43,62.36,60.11,60.66,1880100
2022-05-10 20:00:00-04:00,60.60,61.94,60.54,60.93,1345400
2022-05-11 20:00:00-04:00,60.94,61.34,60.15,60.93,2882600
2022-05-12 20:00:00-04:00,61.39,61.89,60.80,61.70,2445800
2022-05-15 20:00:00-04:00,61.94,61.97,61.14,61.37,1953500
2022-05-16 20:00:00-04:00,61.55,61.74,60.64,61.57,1409500
2022-05-17 20:00:00-04:00,61.79,61.89,61.07,61.21,1575200
2022-05-18 20:00:00-04:00,61.04,61.67,60.54,61.48,1679700
2022-05-19 20:00:00-04:00,61.60,61.64,60.59,61.15,2142000
2022-05-22 20:00:00-04:00,61.97,62.12,61.06,61.86,1548700
2022-05-23 20:00:00-04:00,62.08,63.79,61.82,63.71,1634000
2022-05-24 20:00:00-04:00,63.75,63.78,62.42,62.67,2113400
2022-05-25 20:00:00-04:00,63.07,63.35,62.68,62.91,1535700
2022-05-26 20:00:00-04:00,62.73,63.60,62.60,63.49,1544700
2022-05-30 20:00:00-04:00,62.78,63.39,62.30,63.11,3033500
2022-05-31 20:00:00-04:00,63.38,63.47,62.58,62.92,1866200
2022-06-01 20:00:00-04:00,63.29,63.39,61.94,63.32,1573700
2022-06-02 20:00:00-04:00,63.15,63.49,63.01,63.20,1954600
2022-06-05 20:00:00-04:00,63.43,63.62,63.13,63.25,1833900
