Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,52.87,53.19,52.33,52.62,4952800
2018-07-02 20:00:00-04:00,53.22,54.81,53.22,53.37,5338400
2018-07-04 20:00:00-04:00,53.74,54.14,52.66,52.89,5719800
2018-07-05 20:00:00-04:00,52.70,53.56,52.53,53.44,4429600
2018-07-08 20:00:00-04:00,53.82,54.47,53.61,54.47,5271400
2018-07-09 20:00:00-04:00,54.85,55.24,54.75,55.04,5246400
2018-07-10 20:00:00-04:00,54.41,55.06,53.27,53.74,5636400
2018-07-11 20:00:00-04:00,54.37,55.01,54.02,54.82,6386700
2018-07-12 20:00:00-04:00,54.76,55.68,54.74,55.24,6313300
2018-07-15 20:00:00-04:00,54.38,54.93,53.35,54.15,6216200
2018-07-16 20:00:00-04:00,53.87,54.24,53.02,53.92,5724000
2018-07-17 20:00:00-04:00,53.31,54.09,52.79,53.97,5667700
2018-07-18 20:00:00-04:00,53.81,54.04,53.31,53.47,5959200
2018-07-19 20:00:00-04:00,53.73,54.03,53.69,53.93,5617200
2018-07-22 20:00:00-04:00,54.31,54.40,53.84,53.91,7936900
2018-07-23 20:00:00-04:00,54.47,55.12,54.21,54.58,4709100
2018-07-24 20:00:00-04:00,54.64,55.16,54.30,55.09,5148300
2018-07-25 20:00:00-04:00,54.87,55.42,54.40,55.31,7360100
2018-07-26 20:00:00-04:00,55.07,55.68,54.84,55.04,5587200
2018-07-29 20:00:00-04:00,55.70,56.19,55.58,55.68,4934100
2018-07-30 20:00:00-04:00,55.88,56.07,55.37,55.60,5422200
2018-07-31 20:00:00-04:00,55.10,55.51,54.63,55.32,5313200
2018-08-01 20:00:00-04:00,54.97,55.22,54.68,55.13,4669400
2018-08-02 20:00:00-04:00,54.89,55.07,54.40,54.92,4028500
2018-08-05 20:00:00-04:00,55.04,55.58,54.75,55.26,7177600
2018-08-06 20:00:00-04:00,55.89,56.82,55.77,56.16,5631400
2018-08-07 20:00:00-04:00,55.64,55.88,54.49,55.00,5784400
2018-08-08 20:00:00-04:00,55.62,55.96,55.10,55.27,5975600
2018-08-09 20:00:00-04:00,55.16,55.49,54.88,55.42,4855500
2018-08-12 20:00:00-04:00,55.40,55.87,54.70,54.75,4322200
2018-08-13 20:00:00-04:00,55.41,56.00,55.24,55.58,5223300
2018-08-14 20:00:00-04:00,54.91,54.98,52.16,52.25,7944500
2018-08-15 20:00:00-04:00,52.59,53.66,52.56,53.47,5453000
2018-08-16 20:00:00-04:00,53.83,54.01,53.40,53.75,4435200
