Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,35.27,35.60,34.83,35.34,819400
2022-04-06 20:00:00-04:00,35.58,35.69,35.12,35.58,836200
2022-04-07 20:00:00-04:00,36.25,36.61,36.04,36.07,789900
2022-04-10 20:00:00-04:00,36.53,36.83,36.12,36.14,704000
2022-04-11 20:00:00-04:00,36.19,36.37,35.43,35.63,746500
2022-04-12 20:00:00-04:00,36.12,36.62,36.07,36.58,620100
2022-04-13 20:00:00-04:00,36.62,36.79,36.16,36.18,349500
2022-04-17 20:00:00-04:00,36.02,36.33,35.83,35.98,235900
2022-04-18 20:00:00-04:00,36.26,36.81,36.24,36.78,736900
2022-04-19 20:00:00-04:00,38.21,40.07,38.10,39.36,2981200
2022-04-20 20:00:00-04:00,39.65,39.84,38.58,38.70,1687900
2022-04-21 20:00:00-04:00,38.86,38.91,37.88,37.89,589200
2022-04-24 20:00:00-04:00,37.79,38.09,37.14,38.04,635800
2022-04-25 20:00:00-04:00,38.21,38.31,36.72,36.74,530900
2022-04-26 20:00:00-04:00,36.85,37.25,36.56,36.87,451600
2022-04-27 20:00:00-04:00,36.91,37.67,36.36,37.48,618600
2022-04-28 20:00:00-04:00,37.40,37.61,36.62,36.68,552000
2022-05-01 20:00:00-04:00,36.65,36.83,35.98,36.83,466100
2022-05-02 20:00:00-04:00,37.57,37.84,37.10,37.59,950100
2022-05-03 20:00:00-04:00,37.36,38.47,37.06,38.43,705900
2022-05-04 20:00:00-04:00,37.48,37.62,36.11,36.71,599300
2022-05-05 20:00:00-04:00,36.63,36.72,35.99,36.37,656300
2022-05-08 20:00:00-04:00,35.83,36.03,35.33,35.57,1179800
2022-05-09 20:00:00-04:00,35.92,36.04,34.79,35.36,1427100
2022-05-10 20:00:00-04:00,35.78,36.30,34.80,34.88,794600
2022-05-11 20:00:00-04:00,35.07,35.69,34.72,35.43,791700
2022-05-12 20:00:00-04:00,35.80,36.56,35.67,36.34,516400
2022-05-15 20:00:00-04:00,35.74,36.28,35.38,35.99,404700
2022-05-16 20:00:00-04:00,37.30,37.56,36.95,37.49,429900
2022-05-17 20:00:00-04:00,36.68,36.89,36.01,36.18,393200
2022-05-18 20:00:00-04:00,35.79,36.79,35.79,36.43,673300
2022-05-19 20:00:00-04:00,36.94,36.99,36.12,36.76,383700
2022-05-22 20:00:00-04:00,36.92,37.53,36.89,37.42,522600
2022-05-23 20:00:00-04:00,37.21,37.45,36.82,37.37,549000
2022-05-24 20:00:00-04:00,37.22,37.96,37.20,37.75,358700
2022-05-25 20:00:00-04:00,37.71,38.38,37.70,38.22,407700
2022-05-26 20:00:00-04:00,38.48,38.80,38.41,38.80,319800
2022-05-30 20:00:00-04:00,38.29,38.80,38.25,38.45,1053500
2022-05-31 20:00:00-04:00,38.41,38.42,37.54,37.92,349000
2022-06-01 20:00:00-04:00,38.53,39.02,38.32,38.98,346200
2022-06-02 20:00:00-04:00,38.54,38.66,38.31,38.43,299200
2022-06-05 20:00:00-04:00,38.62,38.83,38.43,38.58,469700
2022-06-06 20:00:00-04:00,38.18,38.84,38.09,38.81,326700
2022-06-07 20:00:00-04:00,37.97,38.12,37.30,37.40,361400
2022-06-08 20:00:00-04:00,37.22,37.38,36.83,36.83,211400
2022-06-09 20:00:00-04:00,35.26,35.32,34.19,34.32,1094300
2022-06-12 20:00:00-04:00,32.77,33.45,32.76,33.09,823300
2022-06-13 20:00:00-04:00,33.12,33.32,32.60,32.84,526600
2022-06-14 20:00:00-04:00,33.57,33.85,32.90,33.51,535400
2022-06-15 20:00:00-04:00,32.89,33.21,32.67,32.95,750900
2022-06-16 20:00:00-04:00,33.07,33.27,32.66,33.02,572100
2022-06-20 20:00:00-04:00,32.39,32.62,32.15,32.26,604000
2022-06-21 20:00:00-04:00,31.76,32.13,31.64,31.82,579200
2022-06-22 20:00:00-04:00,31.49,31.86,31.30,31.79,743700
2022-06-23 20:00:00-04:00,32.24,32.75,32.24,32.67,481400
2022-06-26 20:00:00-04:00,32.50,32.81,32.31,32.54,450200
2022-06-27 20:00:00-04:00,32.36,32.62,31.75,31.86,899100
2022-06-28 20:00:00-04:00,31.95,32.09,31.55,32.00,594700
2022-06-29 20:00:00-04:00,31.61,32.47,31.31,32.26,993300
2022-06-30 20:00:00-04:00,31.77,32.44,31.51,32.42,888500
2022-07-04 20:00:00-04:00,30.97,31.39,30.70,31.35,1109100
2022-07-05 20:00:00-04:00,31.41,31.62,31.13,31.55,1085000
2022-07-06 20:00:00-04:00,31.72,32.02,31.67,31.94,650100
2022-07-07 20:00:00-04:00,32.63,32.82,32.23,32.35,806600
2022-07-10 20:00:00-04:00,31.96,32.25,31.76,32.04,496600
2022-07-11 20:00:00-04:00,31.79,32.55,31.79,32.21,647200
2022-07-12 20:00:00-04:00,31.69,32.18,31.42,31.93,568100
2022-07-13 20:00:00-04:00,31.28,31.86,30.98,31.78,451800
2022-07-14 20:00:00-04:00,32.08,32.29,31.74,32.29,348500
2022-07-17 20:00:00-04:00,32.67,32.94,32.30,32.40,468400
2022-07-18 20:00:00-04:00,33.05,34.06,33.00,33.88,1486900
2022-07-19 20:00:00-04:00,33.25,33.41,33.00,33.10,1227900
2022-07-20 20:00:00-04:00,33.07,33.56,32.97,33.53,567600
2022-07-21 20:00:00-04:00,33.56,33.70,33.16,33.36,376600
2022-07-24 20:00:00-04:00,33.80,33.91,33.44,33.68,443500
2022-07-25 20:00:00-04:00,32.96,33.25,32.90,33.02,593300
2022-07-26 20:00:00-04:00,33.81,34.55,33.74,34.43,529600
2022-07-27 20:00:00-04:00,34.65,35.20,34.50,35.15,429400
2022-07-28 20:00:00-04:00,35.21,35.90,35.16,35.76,403500
