Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,287.16,287.16,276.94,286.02,462800
2022-04-06 20:00:00-04:00,286.51,303.83,284.48,302.02,647400
2022-04-07 20:00:00-04:00,299.95,308.15,298.77,302.40,567400
2022-04-10 20:00:00-04:00,302.39,302.39,288.84,290.67,448400
2022-04-11 20:00:00-04:00,296.57,296.57,283.48,286.65,498800
2022-04-12 20:00:00-04:00,286.06,291.75,284.77,289.82,299700
2022-04-13 20:00:00-04:00,289.82,290.19,281.59,284.63,389200
2022-04-17 20:00:00-04:00,283.76,284.88,275.49,277.23,412700
2022-04-18 20:00:00-04:00,277.64,290.19,277.23,288.55,526800
2022-04-19 20:00:00-04:00,290.75,297.93,286.45,296.85,412000
2022-04-20 20:00:00-04:00,299.38,301.10,291.07,292.00,588100
2022-04-21 20:00:00-04:00,288.83,288.83,272.55,273.03,394300
2022-04-24 20:00:00-04:00,257.05,259.65,249.69,253.34,909200
2022-04-25 20:00:00-04:00,249.81,253.37,230.62,231.67,1170000
2022-04-26 20:00:00-04:00,234.29,241.66,232.45,238.95,950200
2022-04-27 20:00:00-04:00,235.00,245.91,234.61,242.17,819600
2022-04-28 20:00:00-04:00,242.22,252.06,240.54,241.51,640500
2022-05-01 20:00:00-04:00,239.76,245.91,234.80,245.88,836200
2022-05-02 20:00:00-04:00,246.23,254.49,245.49,251.19,1066500
2022-05-03 20:00:00-04:00,265.00,265.00,240.27,257.51,1065100
2022-05-04 20:00:00-04:00,257.47,257.50,245.35,248.19,755000
2022-05-05 20:00:00-04:00,247.38,247.91,239.63,241.96,606700
2022-05-08 20:00:00-04:00,238.62,240.12,227.29,228.85,783100
2022-05-09 20:00:00-04:00,234.12,236.62,225.25,229.25,608300
2022-05-10 20:00:00-04:00,227.71,231.22,221.54,222.31,734400
2022-05-11 20:00:00-04:00,219.48,229.50,217.20,226.71,704400
2022-05-12 20:00:00-04:00,232.25,239.59,232.01,235.81,470200
2022-05-15 20:00:00-04:00,233.24,237.27,229.95,231.20,288300
2022-05-16 20:00:00-04:00,237.70,239.80,231.00,236.21,354600
2022-05-17 20:00:00-04:00,231.53,234.39,223.96,225.02,439900
2022-05-18 20:00:00-04:00,224.32,234.84,223.92,231.77,412100
2022-05-19 20:00:00-04:00,234.15,236.06,226.08,232.64,368500
2022-05-22 20:00:00-04:00,234.49,234.49,225.93,231.24,503800
2022-05-23 20:00:00-04:00,229.59,230.99,221.12,223.35,468100
2022-05-24 20:00:00-04:00,221.90,225.39,219.18,223.48,403900
2022-05-25 20:00:00-04:00,225.50,231.27,224.16,230.21,411300
2022-05-26 20:00:00-04:00,232.62,244.44,231.69,244.41,447900
2022-05-30 20:00:00-04:00,242.77,242.77,231.51,234.08,496500
2022-05-31 20:00:00-04:00,235.21,237.91,224.17,229.69,297300
2022-06-01 20:00:00-04:00,229.96,245.35,227.81,245.25,475100
2022-06-02 20:00:00-04:00,240.64,245.20,239.09,242.98,732100
2022-06-05 20:00:00-04:00,246.63,247.65,242.40,245.02,291600
2022-06-06 20:00:00-04:00,243.14,248.02,242.71,247.21,342500
2022-06-07 20:00:00-04:00,231.80,239.91,228.92,236.90,999000
2022-06-08 20:00:00-04:00,234.63,235.65,225.41,225.71,650100
2022-06-09 20:00:00-04:00,221.82,221.82,214.67,219.50,549100
2022-06-12 20:00:00-04:00,211.54,213.48,208.73,210.68,726100
2022-06-13 20:00:00-04:00,210.69,211.39,203.37,209.50,570100
2022-06-14 20:00:00-04:00,214.77,217.12,208.33,212.89,489500
2022-06-15 20:00:00-04:00,208.34,208.37,203.44,205.11,398500
2022-06-16 20:00:00-04:00,206.51,210.81,204.05,204.13,782200
2022-06-20 20:00:00-04:00,207.63,210.17,206.04,208.58,422100
2022-06-21 20:00:00-04:00,206.28,211.71,205.98,209.82,300200
2022-06-22 20:00:00-04:00,210.00,222.48,210.00,220.58,451900
2022-06-23 20:00:00-04:00,222.75,226.43,220.23,226.32,497100
2022-06-26 20:00:00-04:00,226.84,227.59,223.57,225.49,355400
2022-06-27 20:00:00-04:00,225.86,226.89,217.29,217.50,320300
2022-06-28 20:00:00-04:00,217.50,219.96,213.37,219.46,381200
2022-06-29 20:00:00-04:00,217.91,218.00,212.59,213.97,596900
2022-06-30 20:00:00-04:00,214.87,219.38,214.09,218.83,275700
2022-07-04 20:00:00-04:00,214.79,223.16,213.82,222.72,275300
2022-07-05 20:00:00-04:00,223.74,228.14,220.62,226.01,568100
2022-07-06 20:00:00-04:00,223.26,230.00,223.26,229.43,388400
2022-07-07 20:00:00-04:00,228.99,234.63,228.12,231.42,590500
2022-07-10 20:00:00-04:00,228.04,230.08,223.45,224.56,258300
2022-07-11 20:00:00-04:00,223.16,226.97,216.53,217.52,284400
2022-07-12 20:00:00-04:00,212.43,216.33,211.60,214.39,394900
2022-07-13 20:00:00-04:00,210.26,212.52,203.72,210.43,458800
2022-07-14 20:00:00-04:00,215.61,221.04,212.00,219.75,443300
2022-07-17 20:00:00-04:00,221.18,223.49,211.45,212.60,446600
2022-07-18 20:00:00-04:00,217.86,226.32,214.18,226.01,445100
2022-07-19 20:00:00-04:00,226.18,231.59,224.64,230.22,381500
2022-07-20 20:00:00-04:00,231.43,238.82,229.53,238.04,518000
2022-07-21 20:00:00-04:00,237.96,238.24,233.19,237.01,446200
2022-07-24 20:00:00-04:00,236.84,237.64,232.01,235.32,323700
2022-07-25 20:00:00-04:00,233.72,233.72,226.02,232.73,320300
2022-07-26 20:00:00-04:00,234.65,238.75,229.53,237.36,475200
2022-07-27 20:00:00-04:00,239.45,247.40,235.61,245.81,486200
2022-07-28 20:00:00-04:00,247.50,250.69,243.32,250.54,425700
2022-07-31 20:00:00-04:00,247.32,250.82,245.52,249.68,456300
2022-08-01 20:00:00-04:00,247.51,250.23,242.97,243.66,908000
2022-08-02 20:00:00-04:00,218.91,225.86,216.24,221.38,1723200
2022-08-03 20:00:00-04:00,221.00,232.21,220.96,227.64,884200
2022-08-04 20:00:00-04:00,223.82,227.03,222.99,223.38,550900
2022-08-07 20:00:00-04:00,223.37,227.85,218.94,220.68,470200
2022-08-08 20:00:00-04:00,219.10,219.81,214.15,214.48,537600
2022-08-09 20:00:00-04:00,220.14,226.57,217.50,226.52,658200
2022-08-10 20:00:00-04:00,229.37,241.18,226.20,226.47,720700
2022-08-11 20:00:00-04:00,227.40,233.07,225.72,233.01,375100
2022-08-14 20:00:00-04:00,231.66,235.96,228.70,231.89,771800
2022-08-15 20:00:00-04:00,220.50,229.98,220.40,228.12,471700
2022-08-16 20:00:00-04:00,225.24,227.10,219.37,220.05,591300
2022-08-17 20:00:00-04:00,220.01,221.39,216.80,220.15,280300
2022-08-18 20:00:00-04:00,219.26,220.82,216.29,217.59,540800
2022-08-21 20:00:00-04:00,213.75,218.02,210.70,211.90,609600
2022-08-22 20:00:00-04:00,211.32,213.49,207.03,210.81,652600
2022-08-23 20:00:00-04:00,211.65,211.98,208.89,209.74,315000
2022-08-24 20:00:00-04:00,212.86,214.76,210.56,213.85,394300
2022-08-25 20:00:00-04:00,213.17,213.19,204.22,204.81,621600
2022-08-28 20:00:00-04:00,202.42,205.80,201.22,203.62,484000
2022-08-29 20:00:00-04:00,204.52,207.04,200.90,205.44,668000
2022-08-30 20:00:00-04:00,207.72,207.72,202.75,205.25,659100
2022-08-31 20:00:00-04:00,203.64,204.34,200.44,203.24,592700
2022-09-01 20:00:00-04:00,205.67,208.22,199.30,200.24,463200
2022-09-05 20:00:00-04:00,201.58,201.75,198.00,200.16,457500
2022-09-06 20:00:00-04:00,200.45,209.11,199.24,208.39,429400
2022-09-07 20:00:00-04:00,206.16,213.73,204.30,213.62,511600
2022-09-08 20:00:00-04:00,215.73,219.44,214.75,218.24,357800
2022-09-11 20:00:00-04:00,218.66,224.69,218.39,223.35,558700
2022-09-12 20:00:00-04:00,214.46,217.28,210.00,213.46,1081400
2022-09-13 20:00:00-04:00,213.47,214.18,201.45,202.32,567700
2022-09-14 20:00:00-04:00,202.11,210.05,201.28,203.61,877100
2022-09-15 20:00:00-04:00,202.00,203.23,196.90,199.71,865900
2022-09-18 20:00:00-04:00,197.00,200.04,195.12,199.85,526800
2022-09-19 20:00:00-04:00,196.55,197.86,191.27,194.18,444500
2022-09-20 20:00:00-04:00,195.49,197.36,190.53,190.81,504200
2022-09-21 20:00:00-04:00,189.80,190.04,183.23,184.83,565700
2022-09-22 20:00:00-04:00,183.31,188.08,182.02,187.51,800600
2022-09-25 20:00:00-04:00,187.11,190.00,181.43,185.16,559400
2022-09-26 20:00:00-04:00,188.08,189.55,181.36,182.44,526000
2022-09-27 20:00:00-04:00,183.93,189.28,183.92,187.42,432700
2022-09-28 20:00:00-04:00,185.43,190.40,183.75,190.01,731400
2022-09-29 20:00:00-04:00,196.51,206.19,195.49,196.80,1570500
2022-10-02 20:00:00-04:00,197.89,206.76,196.48,203.79,769500
2022-10-03 20:00:00-04:00,208.14,213.44,207.31,213.13,721400
2022-10-04 20:00:00-04:00,210.76,216.45,207.21,215.43,409200
2022-10-05 20:00:00-04:00,214.60,215.92,209.34,210.81,363300
2022-10-06 20:00:00-04:00,208.00,209.77,204.71,205.33,455800
2022-10-09 20:00:00-04:00,206.14,206.58,199.54,201.36,301900
2022-10-10 20:00:00-04:00,199.35,200.35,195.45,197.11,554300
2022-10-11 20:00:00-04:00,198.18,198.21,194.25,197.37,367700
2022-10-12 20:00:00-04:00,192.23,201.49,189.76,199.72,439100
2022-10-13 20:00:00-04:00,202.03,203.44,195.31,197.22,399900
2022-10-16 20:00:00-04:00,201.42,206.45,200.73,205.59,313500
2022-10-17 20:00:00-04:00,211.62,213.92,204.49,205.86,316200
2022-10-18 20:00:00-04:00,205.00,205.00,197.50,199.60,369900
2022-10-19 20:00:00-04:00,199.49,203.74,198.22,199.49,569100
2022-10-20 20:00:00-04:00,200.44,200.52,194.53,200.18,529500
2022-10-23 20:00:00-04:00,202.03,203.38,197.67,200.85,439700
2022-10-24 20:00:00-04:00,213.19,223.25,212.13,219.12,1051900
2022-10-25 20:00:00-04:00,218.23,224.01,216.69,221.18,559900
2022-10-26 20:00:00-04:00,221.82,221.82,208.05,208.97,981800
2022-10-27 20:00:00-04:00,208.88,214.52,207.66,214.47,331900
2022-10-30 20:00:00-04:00,211.98,215.21,210.27,212.25,430900
2022-10-31 20:00:00-04:00,216.99,216.99,203.43,207.29,1123000
2022-11-01 20:00:00-04:00,222.25,233.00,214.95,215.75,1222500
2022-11-02 20:00:00-04:00,211.01,219.82,204.46,217.16,658700
2022-11-03 20:00:00-04:00,219.78,220.91,211.39,220.34,733200
2022-11-06 19:00:00-05:00,221.95,226.91,220.56,226.03,610700
2022-11-07 19:00:00-05:00,225.74,229.15,221.26,222.48,443500
2022-11-08 19:00:00-05:00,220.53,228.54,219.79,221.09,415100
2022-11-09 19:00:00-05:00,231.84,240.35,231.84,237.70,1097900
2022-11-10 19:00:00-05:00,240.19,248.17,238.08,246.28,1074100
2022-11-13 19:00:00-05:00,243.80,248.04,242.31,242.99,342500
2022-11-14 19:00:00-05:00,247.58,252.40,244.72,250.07,585900
2022-11-15 19:00:00-05:00,248.59,248.95,239.30,239.39,468300
2022-11-16 19:00:00-05:00,234.37,238.36,221.73,237.53,1250100
2022-11-17 19:00:00-05:00,242.37,243.63,239.21,242.15,587200
2022-11-20 19:00:00-05:00,240.78,242.82,238.27,240.84,306200
2022-11-21 19:00:00-05:00,242.37,242.80,238.98,242.13,230300
2022-11-22 19:00:00-05:00,242.15,244.22,240.65,241.08,324100
2022-11-24 19:00:00-05:00,241.03,243.27,239.43,242.92,124500
2022-11-27 19:00:00-05:00,241.68,242.98,234.21,237.11,358000
2022-11-28 19:00:00-05:00,237.34,243.50,237.00,239.50,691700
2022-11-29 19:00:00-05:00,240.33,241.91,210.36,228.57,1994800
2022-11-30 19:00:00-05:00,231.49,232.49,222.70,226.20,1149700
2022-12-01 19:00:00-05:00,222.00,224.72,218.00,222.66,651700
2022-12-04 19:00:00-05:00,219.90,220.93,213.51,215.11,672600
2022-12-05 19:00:00-05:00,212.58,216.29,207.23,211.21,587800
2022-12-06 19:00:00-05:00,211.64,215.48,209.45,212.99,476400
2022-12-07 19:00:00-05:00,212.90,215.91,210.07,210.07,728600
2022-12-08 19:00:00-05:00,209.00,214.54,207.54,210.17,441200
2022-12-11 19:00:00-05:00,206.14,206.85,197.03,201.94,1060700
2022-12-12 19:00:00-05:00,211.27,211.61,205.59,209.61,753700
2022-12-13 19:00:00-05:00,207.52,215.24,205.66,214.33,887000
2022-12-14 19:00:00-05:00,213.34,234.47,213.28,218.50,1608000
2022-12-15 19:00:00-05:00,216.58,218.71,214.11,215.42,1178900
2022-12-18 19:00:00-05:00,214.54,219.89,211.09,216.53,663000
2022-12-19 19:00:00-05:00,216.65,218.26,212.72,213.01,463200
2022-12-20 19:00:00-05:00,214.94,221.00,214.14,220.31,378600
2022-12-21 19:00:00-05:00,218.07,218.95,212.24,218.36,354500
2022-12-22 19:00:00-05:00,218.32,219.11,216.22,218.50,285200
2022-12-26 19:00:00-05:00,218.11,221.48,215.14,218.92,423300
