Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,22.28,22.56,21.71,21.96,9789000
2022-04-06 20:00:00-04:00,22.35,22.45,21.75,22.21,9534300
2022-04-07 20:00:00-04:00,22.54,23.91,22.49,23.84,10196800
2022-04-10 20:00:00-04:00,23.73,23.97,23.40,23.61,7981000
2022-04-11 20:00:00-04:00,23.92,24.27,23.49,23.52,7097700
2022-04-12 20:00:00-04:00,24.05,24.25,23.52,24.15,6306300
2022-04-13 20:00:00-04:00,24.21,24.57,23.83,24.39,11146700
2022-04-17 20:00:00-04:00,24.88,26.05,24.66,25.51,9781500
2022-04-18 20:00:00-04:00,25.36,25.56,24.72,25.26,10060000
2022-04-19 20:00:00-04:00,25.41,25.72,25.04,25.65,5674900
2022-04-20 20:00:00-04:00,25.89,26.02,24.71,24.85,7591700
2022-04-21 20:00:00-04:00,24.53,24.85,23.71,24.01,10122500
2022-04-24 20:00:00-04:00,23.28,23.90,22.31,23.76,13569500
2022-04-25 20:00:00-04:00,24.12,24.83,23.66,23.67,8611800
2022-04-26 20:00:00-04:00,23.77,24.28,23.16,23.92,6862200
2022-04-27 20:00:00-04:00,24.00,24.37,23.27,24.17,7221900
2022-04-28 20:00:00-04:00,24.33,24.62,23.77,23.87,7195800
2022-05-01 20:00:00-04:00,23.58,24.07,23.35,23.98,9932300
2022-05-02 20:00:00-04:00,25.28,26.33,24.67,26.25,14685300
2022-05-03 20:00:00-04:00,26.85,27.20,25.65,27.17,11865400
2022-05-04 20:00:00-04:00,27.35,27.36,25.65,26.43,8602700
2022-05-05 20:00:00-04:00,27.24,27.28,26.23,26.99,10587400
2022-05-08 20:00:00-04:00,26.23,26.35,24.05,24.31,10663700
2022-05-09 20:00:00-04:00,25.11,25.27,23.96,24.56,10196700
2022-05-10 20:00:00-04:00,25.00,25.75,24.49,24.53,11052100
2022-05-11 20:00:00-04:00,24.38,24.76,23.85,24.60,8705500
2022-05-12 20:00:00-04:00,25.11,25.69,24.96,25.20,7622500
2022-05-15 20:00:00-04:00,25.31,26.18,25.28,25.86,7930700
2022-05-16 20:00:00-04:00,26.45,27.11,26.01,26.28,9510000
2022-05-17 20:00:00-04:00,26.52,26.55,25.54,25.97,8563300
2022-05-18 20:00:00-04:00,25.51,26.24,25.47,25.75,7915300
2022-05-19 20:00:00-04:00,26.05,26.48,25.58,25.97,9061800
2022-05-22 20:00:00-04:00,26.30,27.42,26.25,27.40,9299800
2022-05-23 20:00:00-04:00,27.04,27.84,26.87,27.59,9214200
2022-05-24 20:00:00-04:00,27.88,28.86,27.88,28.72,12640600
2022-05-25 20:00:00-04:00,29.06,30.28,28.96,29.33,11206100
2022-05-26 20:00:00-04:00,28.99,30.07,28.94,30.06,8413700
2022-05-30 20:00:00-04:00,30.52,30.85,28.89,29.05,22122700
2022-05-31 20:00:00-04:00,29.51,30.53,28.92,29.78,11208100
2022-06-01 20:00:00-04:00,29.67,30.07,29.28,29.60,7584700
2022-06-02 20:00:00-04:00,29.59,29.83,29.27,29.77,5816800
2022-06-05 20:00:00-04:00,30.26,30.52,29.96,30.43,7963000
2022-06-06 20:00:00-04:00,30.20,30.59,29.77,30.56,10103800
