Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,88.68,88.68,87.46,87.95,5073500
2018-07-02 20:00:00-04:00,88.80,89.67,88.16,88.29,3919600
2018-07-04 20:00:00-04:00,89.26,89.36,87.64,87.76,5926900
2018-07-05 20:00:00-04:00,87.43,88.14,87.20,87.87,4020000
2018-07-08 20:00:00-04:00,88.48,89.38,88.26,89.18,4602200
2018-07-09 20:00:00-04:00,90.13,90.96,89.72,90.31,5092100
2018-07-10 20:00:00-04:00,89.35,89.67,87.04,87.43,6631800
2018-07-11 20:00:00-04:00,88.08,88.44,87.48,87.95,3745200
2018-07-12 20:00:00-04:00,87.91,88.39,87.51,87.80,3352800
2018-07-15 20:00:00-04:00,87.07,87.68,86.27,87.05,4317800
2018-07-16 20:00:00-04:00,86.61,87.03,86.21,86.29,4135200
2018-07-17 20:00:00-04:00,85.82,86.12,84.70,86.02,6061300
2018-07-18 20:00:00-04:00,85.72,86.45,85.65,86.12,4471400
2018-07-19 20:00:00-04:00,85.82,86.60,85.65,86.54,5394700
2018-07-22 20:00:00-04:00,86.60,87.11,85.76,85.88,5359400
2018-07-23 20:00:00-04:00,86.26,87.88,86.25,87.66,4423500
2018-07-24 20:00:00-04:00,87.50,88.64,87.25,88.41,4278800
2018-07-25 20:00:00-04:00,88.27,88.75,87.63,87.73,5544100
2018-07-26 20:00:00-04:00,86.91,89.92,86.41,89.16,7580900
2018-07-29 20:00:00-04:00,89.72,90.89,89.34,90.48,5729300
2018-07-30 20:00:00-04:00,90.60,90.99,89.28,89.38,5894400
2018-07-31 20:00:00-04:00,88.70,89.13,88.30,88.75,4661000
2018-08-01 20:00:00-04:00,88.08,88.34,87.27,87.60,4639600
2018-08-02 20:00:00-04:00,87.88,87.95,87.30,87.80,5299400
2018-08-05 20:00:00-04:00,88.07,88.43,87.44,87.98,4455900
2018-08-06 20:00:00-04:00,88.86,88.97,88.30,88.60,4542000
2018-08-07 20:00:00-04:00,88.14,88.33,87.29,87.68,5957200
2018-08-08 20:00:00-04:00,87.74,88.03,86.54,86.73,5218300
2018-08-09 20:00:00-04:00,86.47,87.43,86.00,87.30,6128000
2018-08-12 20:00:00-04:00,87.28,87.54,86.54,86.67,4360000
2018-08-13 20:00:00-04:00,87.01,87.52,86.35,86.76,3622200
2018-08-14 20:00:00-04:00,86.14,86.16,83.12,83.48,9476700
2018-08-15 20:00:00-04:00,84.11,84.54,83.74,84.08,5455200
2018-08-16 20:00:00-04:00,84.43,84.74,83.67,84.18,6112900
2018-08-19 20:00:00-04:00,84.32,84.55,83.84,84.14,5403600
