Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,98.96,100.12,98.72,100.08,5488900
2018-07-02 20:00:00-04:00,100.60,100.67,98.34,98.85,2406300
2018-07-04 20:00:00-04:00,99.48,100.33,99.22,100.09,6202800
2018-07-05 20:00:00-04:00,100.09,100.60,99.65,100.35,4134500
2018-07-08 20:00:00-04:00,100.58,101.59,100.33,101.54,4725200
2018-07-09 20:00:00-04:00,101.76,102.07,100.40,101.55,4213600
2018-07-10 20:00:00-04:00,100.87,104.72,100.87,103.48,11753800
2018-07-11 20:00:00-04:00,103.49,104.59,103.27,103.68,5931400
2018-07-12 20:00:00-04:00,103.44,105.58,103.11,105.35,8188800
2018-07-15 20:00:00-04:00,105.18,105.79,104.18,105.55,8245900
2018-07-16 20:00:00-04:00,105.60,107.86,105.44,105.64,9075900
2018-07-17 20:00:00-04:00,105.65,106.37,105.02,106.02,6414100
2018-07-18 20:00:00-04:00,106.83,109.84,106.60,107.39,17796800
2018-07-19 20:00:00-04:00,107.41,107.46,106.15,106.77,11787900
2018-07-22 20:00:00-04:00,106.36,106.51,105.68,106.40,5447800
2018-07-23 20:00:00-04:00,107.12,107.16,105.87,106.02,5648800
2018-07-24 20:00:00-04:00,105.97,106.71,105.00,106.48,6756800
2018-07-25 20:00:00-04:00,107.41,109.72,106.96,108.72,9466400
2018-07-26 20:00:00-04:00,109.19,109.23,107.19,107.86,5717000
2018-07-29 20:00:00-04:00,107.46,108.55,107.32,107.87,5199300
2018-07-30 20:00:00-04:00,107.80,109.23,107.61,108.76,8421200
2018-07-31 20:00:00-04:00,108.88,109.02,107.84,108.20,6466600
2018-08-01 20:00:00-04:00,107.75,108.53,106.96,107.99,4027300
2018-08-02 20:00:00-04:00,108.42,109.28,107.65,109.27,4747500
2018-08-05 20:00:00-04:00,109.82,111.91,109.34,111.04,12715600
2018-08-06 20:00:00-04:00,111.65,112.92,111.33,111.64,15466900
2018-08-07 20:00:00-04:00,111.01,111.49,109.09,109.17,11722900
2018-08-08 20:00:00-04:00,109.23,109.95,108.05,109.34,7042000
2018-08-09 20:00:00-04:00,108.78,108.99,107.65,107.92,5740200
2018-08-12 20:00:00-04:00,107.90,108.07,107.00,107.38,6080900
2018-08-13 20:00:00-04:00,107.63,108.41,107.22,107.99,4326400
2018-08-14 20:00:00-04:00,107.44,108.34,106.76,108.08,5183200
2018-08-15 20:00:00-04:00,108.52,108.54,107.65,107.73,5082500
2018-08-16 20:00:00-04:00,107.76,108.09,107.16,107.73,4764500
2018-08-19 20:00:00-04:00,108.16,108.23,107.18,107.26,5167600
2018-08-20 20:00:00-04:00,107.51,108.23,107.27,107.64,4770400
2018-08-21 20:00:00-04:00,107.69,107.99,107.21,107.21,3213000
2018-08-22 20:00:00-04:00,107.21,107.40,106.82,107.27,4257400
2018-08-23 20:00:00-04:00,106.92,107.94,106.73,107.20,5049000
2018-08-26 20:00:00-04:00,107.74,108.12,107.34,107.59,4767700
2018-08-27 20:00:00-04:00,107.82,108.03,107.46,107.83,3131600
2018-08-28 20:00:00-04:00,107.83,107.96,107.29,107.70,4001500
2018-08-29 20:00:00-04:00,107.34,107.67,106.88,107.19,3481600
2018-08-30 20:00:00-04:00,107.17,107.54,106.85,107.29,4642800
2018-09-03 20:00:00-04:00,107.08,107.27,105.98,106.17,6391200
2018-09-04 20:00:00-04:00,105.91,106.14,105.07,105.23,6388300
2018-09-05 20:00:00-04:00,105.35,105.75,104.74,105.60,5267200
2018-09-06 20:00:00-04:00,105.43,106.65,105.36,106.28,4754800
2018-09-09 20:00:00-04:00,106.73,107.18,105.71,106.01,4636500
2018-09-10 20:00:00-04:00,105.83,105.94,104.89,104.97,5488600
2018-09-11 20:00:00-04:00,104.64,105.59,104.57,104.84,5236700
2018-09-12 20:00:00-04:00,104.92,106.04,104.75,106.00,5119400
2018-09-13 20:00:00-04:00,106.24,106.55,104.28,104.65,6012400
2018-09-16 20:00:00-04:00,104.95,105.24,104.02,104.74,5592900
2018-09-17 20:00:00-04:00,104.29,105.11,103.66,104.90,4937800
2018-09-18 20:00:00-04:00,105.00,105.53,104.86,105.15,5964600
2018-09-19 20:00:00-04:00,105.91,107.22,105.30,106.91,7121800
2018-09-20 20:00:00-04:00,107.22,107.25,105.74,105.74,25753600
2018-09-23 20:00:00-04:00,107.53,108.36,106.98,108.01,9232300
2018-09-24 20:00:00-04:00,108.52,109.87,107.89,108.83,12169400
2018-09-25 20:00:00-04:00,109.20,111.41,109.20,110.34,11141500
2018-09-26 20:00:00-04:00,110.33,111.68,110.24,111.14,5195300
2018-09-27 20:00:00-04:00,110.77,112.50,110.48,112.00,7366800
2018-09-30 20:00:00-04:00,112.33,112.44,110.79,111.33,8643900
2018-10-01 20:00:00-04:00,110.67,112.73,110.43,112.69,6441700
2018-10-02 20:00:00-04:00,112.97,113.11,111.81,111.97,6111700
2018-10-03 20:00:00-04:00,112.06,112.22,110.26,111.23,6442800
2018-10-04 20:00:00-04:00,111.10,111.66,109.88,109.93,5835700
2018-10-07 20:00:00-04:00,109.98,111.25,109.30,111.12,5652300
2018-10-08 20:00:00-04:00,111.69,112.80,111.14,111.95,6761400
2018-10-09 20:00:00-04:00,111.91,112.28,107.97,108.09,9006500
2018-10-10 20:00:00-04:00,107.75,108.47,105.66,106.46,10045400
2018-10-11 20:00:00-04:00,107.24,108.49,106.53,107.85,5963900
2018-10-14 20:00:00-04:00,107.20,109.78,107.16,108.65,6628800
2018-10-15 20:00:00-04:00,109.51,111.46,109.03,111.28,7619000
2018-10-16 20:00:00-04:00,111.20,112.27,110.56,112.18,7120600
2018-10-17 20:00:00-04:00,111.82,112.18,110.70,111.27,6056300
2018-10-18 20:00:00-04:00,112.46,114.14,112.27,113.88,10431000
2018-10-21 20:00:00-04:00,114.02,114.64,112.75,113.28,8406400
2018-10-22 20:00:00-04:00,112.01,113.49,110.54,112.87,8607400
2018-10-23 20:00:00-04:00,112.12,112.12,106.55,106.90,11630500
2018-10-24 20:00:00-04:00,107.86,109.85,107.38,109.34,7406900
2018-10-25 20:00:00-04:00,108.07,109.32,107.37,108.41,7984700
2018-10-28 20:00:00-04:00,109.62,110.09,107.23,108.27,9234100
2018-10-29 20:00:00-04:00,108.60,110.04,107.66,109.91,7365400
2018-10-30 20:00:00-04:00,111.32,111.60,109.84,109.98,9196700
2018-10-31 20:00:00-04:00,110.33,111.37,110.05,111.20,6779900
2018-11-01 20:00:00-04:00,111.90,112.01,109.54,110.32,6377900
2018-11-04 19:00:00-05:00,110.85,111.31,110.26,110.57,7920800
2018-11-05 19:00:00-05:00,110.85,111.91,110.57,111.78,5036600
2018-11-06 19:00:00-05:00,111.65,112.34,110.30,112.11,8249800
2018-11-07 19:00:00-05:00,112.49,112.85,110.34,111.10,11074800
2018-11-08 19:00:00-05:00,113.21,115.12,112.23,113.02,16878200
2018-11-11 19:00:00-05:00,113.02,113.46,111.68,111.77,9170600
2018-11-12 19:00:00-05:00,112.16,112.81,111.27,111.92,4650600
2018-11-13 19:00:00-05:00,112.48,113.23,111.52,112.17,7109100
2018-11-14 19:00:00-05:00,111.57,112.47,110.81,112.16,7088700
2018-11-15 19:00:00-05:00,111.61,112.38,111.09,111.28,7141900
2018-11-18 19:00:00-05:00,111.10,112.85,109.94,110.55,9714600
2018-11-19 19:00:00-05:00,108.73,109.75,106.81,107.15,11194600
2018-11-20 19:00:00-05:00,107.75,109.18,107.56,108.26,7242500
2018-11-22 19:00:00-05:00,107.50,108.03,107.02,107.35,3242300
2018-11-25 19:00:00-05:00,108.40,108.40,107.19,107.80,7002400
2018-11-26 19:00:00-05:00,108.81,109.28,107.66,109.09,7357500
2018-11-27 19:00:00-05:00,109.49,111.39,109.23,111.20,9039800
2018-11-28 19:00:00-05:00,110.86,112.19,110.34,111.69,10834700
2018-11-29 19:00:00-05:00,111.91,112.13,110.20,110.61,16857800
2018-12-02 19:00:00-05:00,111.72,111.98,110.06,110.85,9273300
2018-12-03 19:00:00-05:00,110.74,111.38,107.90,108.10,10806700
2018-12-05 19:00:00-05:00,107.33,109.51,106.47,109.50,10546200
2018-12-06 19:00:00-05:00,109.90,110.02,107.73,108.08,8305500
2018-12-09 19:00:00-05:00,108.09,108.38,105.72,107.97,7337500
2018-12-10 19:00:00-05:00,109.04,109.76,107.55,108.07,6861800
