Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,69.28,69.67,68.86,69.48,1114800
2018-07-02 20:00:00-04:00,69.47,69.75,69.05,69.17,827800
2018-07-04 20:00:00-04:00,69.24,69.65,68.64,69.27,1648200
2018-07-05 20:00:00-04:00,69.61,70.47,69.32,70.22,800700
2018-07-08 20:00:00-04:00,70.39,71.16,70.23,70.62,1667100
2018-07-09 20:00:00-04:00,70.79,71.42,70.49,70.60,1066100
2018-07-10 20:00:00-04:00,70.24,70.41,69.52,69.64,892100
2018-07-11 20:00:00-04:00,70.08,72.13,69.76,71.50,1571600
2018-07-12 20:00:00-04:00,71.30,72.12,71.30,71.77,827100
2018-07-15 20:00:00-04:00,71.77,71.91,71.32,71.71,929300
2018-07-16 20:00:00-04:00,71.60,71.81,71.24,71.32,801800
2018-07-17 20:00:00-04:00,71.00,71.27,70.40,70.61,766700
2018-07-18 20:00:00-04:00,70.16,70.73,69.57,70.57,831000
2018-07-19 20:00:00-04:00,70.19,70.82,69.83,69.98,951700
2018-07-22 20:00:00-04:00,70.16,70.98,70.08,70.88,809600
2018-07-23 20:00:00-04:00,71.57,71.71,69.90,70.07,1090700
2018-07-24 20:00:00-04:00,70.20,70.20,69.16,69.48,795500
2018-07-25 20:00:00-04:00,69.59,70.21,69.29,70.18,1203000
2018-07-26 20:00:00-04:00,70.18,70.42,69.41,69.67,670600
2018-07-29 20:00:00-04:00,69.66,70.03,69.35,69.81,885200
2018-07-30 20:00:00-04:00,69.92,70.36,69.43,70.28,1035200
2018-07-31 20:00:00-04:00,69.77,71.57,69.77,70.34,1562300
2018-08-01 20:00:00-04:00,70.92,74.72,70.52,74.10,2146000
2018-08-02 20:00:00-04:00,73.80,74.63,73.49,74.55,870000
2018-08-05 20:00:00-04:00,74.43,74.54,72.92,73.03,1011400
2018-08-06 20:00:00-04:00,72.74,72.96,71.32,72.84,822600
2018-08-07 20:00:00-04:00,72.85,73.54,72.56,73.34,864500
2018-08-08 20:00:00-04:00,73.40,73.43,72.64,72.65,862700
2018-08-09 20:00:00-04:00,72.46,72.47,71.52,71.79,773100
2018-08-12 20:00:00-04:00,71.88,72.18,71.20,72.05,769900
2018-08-13 20:00:00-04:00,71.97,72.99,71.76,72.18,1075000
2018-08-14 20:00:00-04:00,71.74,71.98,70.54,71.89,1024800
2018-08-15 20:00:00-04:00,72.08,73.69,71.89,72.87,1080900
2018-08-16 20:00:00-04:00,72.50,72.95,71.58,72.49,1443200
2018-08-19 20:00:00-04:00,72.71,72.81,71.98,72.46,1254100
2018-08-20 20:00:00-04:00,72.58,72.80,71.90,72.30,1192300
2018-08-21 20:00:00-04:00,72.06,72.95,71.84,72.05,954400
2018-08-22 20:00:00-04:00,72.28,72.58,71.07,72.02,775800
2018-08-23 20:00:00-04:00,72.41,73.04,71.52,72.83,871500
2018-08-26 20:00:00-04:00,72.90,72.90,72.14,72.16,1310400
2018-08-27 20:00:00-04:00,72.16,72.47,71.54,72.22,900400
2018-08-28 20:00:00-04:00,72.37,74.15,72.28,73.05,2202000
2018-08-29 20:00:00-04:00,68.70,69.60,65.54,66.51,5077700
2018-08-30 20:00:00-04:00,66.56,69.65,66.50,69.29,3387300
2018-09-03 20:00:00-04:00,69.44,69.67,67.44,67.68,1433700
2018-09-04 20:00:00-04:00,67.30,67.76,66.82,67.09,2222900
2018-09-05 20:00:00-04:00,67.26,68.52,67.26,67.83,1355800
2018-09-06 20:00:00-04:00,67.70,68.32,67.21,67.24,949200
2018-09-09 20:00:00-04:00,67.30,67.86,67.13,67.39,1095500
2018-09-10 20:00:00-04:00,67.20,67.39,66.19,66.56,989900
2018-09-11 20:00:00-04:00,66.77,67.68,66.66,67.56,1514700
2018-09-12 20:00:00-04:00,71.07,71.84,69.59,71.33,2625900
2018-09-13 20:00:00-04:00,71.40,71.47,70.40,70.78,1160700
2018-09-16 20:00:00-04:00,70.92,70.99,70.11,70.36,1120800
2018-09-17 20:00:00-04:00,70.16,71.45,70.16,70.71,1120400
2018-09-18 20:00:00-04:00,70.97,70.97,70.11,70.15,855700
2018-09-19 20:00:00-04:00,70.22,70.66,70.20,70.42,957000
2018-09-20 20:00:00-04:00,70.47,70.67,69.80,69.92,4253700
2018-09-23 20:00:00-04:00,70.00,70.36,69.22,70.14,1730200
2018-09-24 20:00:00-04:00,69.98,70.58,69.89,69.94,1105100
2018-09-25 20:00:00-04:00,70.04,71.01,69.92,70.13,882400
2018-09-26 20:00:00-04:00,70.22,72.00,70.22,71.24,1255000
2018-09-27 20:00:00-04:00,71.10,71.79,71.10,71.63,1564700
2018-09-30 20:00:00-04:00,73.00,75.43,73.00,74.04,3129200
2018-10-01 20:00:00-04:00,73.90,74.20,72.45,72.75,1243600
2018-10-02 20:00:00-04:00,73.02,73.13,71.88,72.42,1072100
2018-10-03 20:00:00-04:00,72.22,73.08,71.81,72.83,1043100
2018-10-04 20:00:00-04:00,72.80,72.96,71.79,72.05,762000
2018-10-07 20:00:00-04:00,72.19,73.43,71.76,73.30,1197000
2018-10-08 20:00:00-04:00,73.14,75.38,73.14,74.84,1399200
2018-10-09 20:00:00-04:00,74.56,74.91,72.89,73.01,1505600
2018-10-10 20:00:00-04:00,72.55,72.59,69.80,70.17,1671100
2018-10-11 20:00:00-04:00,70.67,71.08,68.01,68.93,2136500
2018-10-14 20:00:00-04:00,69.05,71.08,68.93,69.96,1146900
2018-10-15 20:00:00-04:00,70.13,70.65,69.56,70.43,1102200
2018-10-16 20:00:00-04:00,67.77,68.84,65.99,68.36,3569600
2018-10-17 20:00:00-04:00,68.36,69.71,67.42,68.95,2295700
2018-10-18 20:00:00-04:00,69.32,69.71,67.40,67.65,1023200
2018-10-21 20:00:00-04:00,67.56,68.08,66.70,66.99,1370900
2018-10-22 20:00:00-04:00,66.39,67.97,65.69,67.89,1266300
2018-10-23 20:00:00-04:00,67.32,68.22,65.17,65.33,2172400
2018-10-24 20:00:00-04:00,65.39,66.28,65.18,65.34,1883300
2018-10-25 20:00:00-04:00,64.97,65.95,63.93,65.08,1404200
2018-10-28 20:00:00-04:00,66.00,66.84,65.41,66.09,1892500
2018-10-29 20:00:00-04:00,66.34,66.90,65.61,66.76,1325500
2018-10-30 20:00:00-04:00,67.00,68.11,66.85,67.34,1873200
2018-10-31 20:00:00-04:00,67.75,68.87,67.50,68.53,1447500
2018-11-01 20:00:00-04:00,68.87,69.30,67.22,67.66,1670800
2018-11-04 19:00:00-05:00,67.94,68.87,67.66,68.57,2022600
2018-11-05 19:00:00-05:00,68.28,69.70,68.03,69.25,1344400
2018-11-06 19:00:00-05:00,75.04,79.11,74.99,76.08,6253700
2018-11-07 19:00:00-05:00,70.85,72.27,68.65,70.15,5964100
