Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,24.17,24.75,23.78,24.61,3508800
2018-07-02 20:00:00-04:00,24.61,24.84,24.15,24.53,2089200
2018-07-04 20:00:00-04:00,24.66,24.72,24.20,24.38,2902400
2018-07-05 20:00:00-04:00,24.43,24.86,24.07,24.74,2138800
2018-07-08 20:00:00-04:00,24.79,25.22,24.57,25.09,3314800
2018-07-09 20:00:00-04:00,25.19,25.62,24.89,25.00,4506400
2018-07-10 20:00:00-04:00,24.72,25.74,24.72,25.68,3208000
2018-07-11 20:00:00-04:00,25.75,26.36,25.53,26.16,3770400
2018-07-12 20:00:00-04:00,25.97,25.97,25.08,25.11,3920000
2018-07-15 20:00:00-04:00,25.18,25.18,24.65,24.86,2953600
2018-07-16 20:00:00-04:00,24.69,25.53,24.55,25.43,2569600
2018-07-17 20:00:00-04:00,25.50,25.94,25.28,25.88,3088800
2018-07-18 20:00:00-04:00,25.89,26.12,25.53,25.64,2026800
2018-07-19 20:00:00-04:00,25.74,25.87,25.50,25.56,1758800
2018-07-22 20:00:00-04:00,25.67,26.20,25.51,26.08,2129200
2018-07-23 20:00:00-04:00,26.07,26.20,25.39,25.44,2216800
2018-07-24 20:00:00-04:00,25.35,26.00,25.26,25.93,3192000
2018-07-25 20:00:00-04:00,25.82,25.85,25.20,25.50,2102800
2018-07-26 20:00:00-04:00,25.08,25.35,23.17,23.84,8923600
2018-07-29 20:00:00-04:00,23.83,24.01,23.08,23.35,4502800
2018-07-30 20:00:00-04:00,24.18,24.18,23.52,23.78,4168800
2018-07-31 20:00:00-04:00,23.53,24.12,23.51,23.86,4903200
2018-08-01 20:00:00-04:00,29.85,31.41,28.70,31.17,27736000
2018-08-02 20:00:00-04:00,29.85,31.25,29.75,30.83,5738400
2018-08-05 20:00:00-04:00,30.90,31.83,30.09,30.46,5446800
2018-08-06 20:00:00-04:00,30.61,31.64,30.55,31.19,5999600
2018-08-07 20:00:00-04:00,31.33,31.50,30.77,31.09,2831600
2018-08-08 20:00:00-04:00,31.01,31.50,30.79,30.80,4784400
2018-08-09 20:00:00-04:00,30.50,31.44,30.39,30.84,2696400
2018-08-12 20:00:00-04:00,30.71,31.24,30.50,30.97,1956000
2018-08-13 20:00:00-04:00,31.01,31.91,30.91,31.86,2413200
2018-08-14 20:00:00-04:00,31.98,32.27,30.85,30.98,4284400
2018-08-15 20:00:00-04:00,31.25,32.11,31.23,32.08,4230400
2018-08-16 20:00:00-04:00,31.92,32.78,31.90,32.74,2549200
2018-08-19 20:00:00-04:00,32.74,33.19,32.66,33.04,2778800
2018-08-20 20:00:00-04:00,33.19,34.08,33.15,34.01,5052800
2018-08-21 20:00:00-04:00,34.00,34.81,33.85,34.52,4186400
2018-08-22 20:00:00-04:00,35.69,36.15,34.51,35.55,6256800
2018-08-23 20:00:00-04:00,35.51,35.72,33.76,34.08,7632000
2018-08-26 20:00:00-04:00,34.25,35.27,34.10,35.16,4891600
2018-08-27 20:00:00-04:00,35.25,35.63,34.94,35.40,2821200
2018-08-28 20:00:00-04:00,35.33,36.01,35.18,35.56,3619200
2018-08-29 20:00:00-04:00,35.40,36.37,35.40,36.10,2398800
2018-08-30 20:00:00-04:00,36.18,36.49,36.00,36.10,1700000
2018-09-03 20:00:00-04:00,36.03,36.57,35.81,36.51,2428000
2018-09-04 20:00:00-04:00,36.55,36.56,35.02,35.50,4525600
2018-09-05 20:00:00-04:00,35.69,36.30,35.23,35.70,3477600
2018-09-06 20:00:00-04:00,35.33,36.78,35.27,35.87,2057200
2018-09-09 20:00:00-04:00,35.84,36.46,35.40,36.29,3345600
2018-09-10 20:00:00-04:00,36.34,37.12,36.13,36.72,2845200
2018-09-11 20:00:00-04:00,37.12,37.12,35.88,36.56,4024800
2018-09-12 20:00:00-04:00,36.77,37.14,36.16,36.25,3360000
2018-09-13 20:00:00-04:00,36.16,36.53,35.47,35.76,3891200
2018-09-16 20:00:00-04:00,35.71,36.00,34.18,34.48,6108800
2018-09-17 20:00:00-04:00,34.64,35.26,34.64,34.83,4389200
2018-09-18 20:00:00-04:00,34.91,35.31,33.80,34.77,5064800
2018-09-19 20:00:00-04:00,35.04,35.35,34.74,34.85,3716000
2018-09-20 20:00:00-04:00,34.54,35.09,34.54,34.88,6016800
2018-09-23 20:00:00-04:00,34.76,35.70,34.48,35.53,5688400
2018-09-24 20:00:00-04:00,35.74,36.42,35.58,36.20,4973600
2018-09-25 20:00:00-04:00,36.17,36.62,35.31,35.71,3393200
2018-09-26 20:00:00-04:00,35.86,36.12,35.29,35.99,2606800
2018-09-27 20:00:00-04:00,35.89,36.25,35.47,35.76,3313600
2018-09-30 20:00:00-04:00,35.22,35.43,32.87,33.44,8998400
2018-10-01 20:00:00-04:00,33.56,33.90,32.44,32.58,5424800
2018-10-02 20:00:00-04:00,32.62,32.75,31.23,31.53,9615600
2018-10-03 20:00:00-04:00,31.25,31.52,30.69,31.27,5440000
2018-10-04 20:00:00-04:00,31.09,32.34,30.65,31.61,5796800
2018-10-07 20:00:00-04:00,31.31,31.51,30.32,30.85,6011600
2018-10-08 20:00:00-04:00,30.76,31.73,30.40,30.62,3714800
2018-10-09 20:00:00-04:00,30.55,30.89,29.46,29.52,6498000
2018-10-10 20:00:00-04:00,29.30,31.10,29.00,30.60,6355600
2018-10-11 20:00:00-04:00,31.15,31.98,30.93,31.77,4513200
2018-10-14 20:00:00-04:00,31.88,32.00,30.95,31.29,2993200
2018-10-15 20:00:00-04:00,31.49,33.50,31.38,33.30,3748800
2018-10-16 20:00:00-04:00,33.21,33.67,32.65,33.16,4378000
2018-10-17 20:00:00-04:00,32.92,33.62,32.56,33.21,2976000
2018-10-18 20:00:00-04:00,34.00,34.14,32.18,32.25,3959600
2018-10-21 20:00:00-04:00,32.18,33.02,31.74,32.86,3371200
2018-10-22 20:00:00-04:00,32.44,32.90,31.55,32.79,3921200
2018-10-23 20:00:00-04:00,32.78,33.37,31.10,31.21,3333600
2018-10-24 20:00:00-04:00,31.18,31.85,29.83,31.42,4283600
2018-10-25 20:00:00-04:00,30.60,31.69,29.65,31.34,4685600
2018-10-28 20:00:00-04:00,31.83,32.59,30.70,31.16,4987200
2018-10-29 20:00:00-04:00,31.08,32.18,30.70,31.35,5617600
2018-10-30 20:00:00-04:00,31.64,33.97,31.25,33.19,6312400
2018-10-31 20:00:00-04:00,33.39,34.41,32.80,34.00,5085200
2018-11-01 20:00:00-04:00,34.28,34.50,32.79,33.17,4535600
2018-11-04 19:00:00-05:00,33.17,33.46,32.48,32.71,5434400
2018-11-05 19:00:00-05:00,32.88,33.38,32.24,33.23,7968800
2018-11-06 19:00:00-05:00,34.25,36.25,33.12,36.16,11910400
2018-11-07 19:00:00-05:00,35.90,38.03,35.75,37.10,5981600
2018-11-08 19:00:00-05:00,37.03,37.91,36.17,37.37,6406000
2018-11-11 19:00:00-05:00,36.82,37.38,35.14,35.45,6713600
2018-11-12 19:00:00-05:00,35.86,36.50,34.81,35.68,5825200
2018-11-13 19:00:00-05:00,35.77,36.24,34.42,34.71,5685600
2018-11-14 19:00:00-05:00,34.47,34.99,33.25,33.94,7707600
2018-11-15 19:00:00-05:00,33.73,35.04,33.38,34.54,8082400
2018-11-18 19:00:00-05:00,34.25,34.47,30.05,30.33,9932400
2018-11-19 19:00:00-05:00,29.33,30.67,28.88,29.96,8752800
2018-11-20 19:00:00-05:00,30.28,31.09,29.76,30.40,10101600
2018-11-22 19:00:00-05:00,29.91,31.25,29.91,31.07,2256000
