Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,58.53,58.86,58.20,58.79,1543900
2018-07-02 20:00:00-04:00,58.80,59.27,58.51,58.88,1008800
2018-07-04 20:00:00-04:00,58.99,59.28,58.70,59.28,1734000
2018-07-05 20:00:00-04:00,59.29,59.72,59.22,59.67,1322700
2018-07-08 20:00:00-04:00,59.67,59.67,57.43,57.68,2460900
2018-07-09 20:00:00-04:00,57.34,58.66,56.99,58.43,2177200
2018-07-10 20:00:00-04:00,58.55,59.40,58.46,59.31,2018100
2018-07-11 20:00:00-04:00,59.32,59.58,59.13,59.46,2095100
2018-07-12 20:00:00-04:00,59.56,59.79,59.13,59.64,1412700
2018-07-15 20:00:00-04:00,59.50,59.65,59.18,59.44,1353400
2018-07-16 20:00:00-04:00,59.61,59.64,59.21,59.26,1375100
2018-07-17 20:00:00-04:00,59.35,59.37,58.75,58.95,1559000
2018-07-18 20:00:00-04:00,59.03,59.49,58.85,59.13,1953200
2018-07-19 20:00:00-04:00,58.88,59.16,58.13,58.58,1438600
2018-07-22 20:00:00-04:00,58.64,58.70,57.86,58.13,992200
2018-07-23 20:00:00-04:00,57.97,58.39,57.05,58.25,1802100
2018-07-24 20:00:00-04:00,58.06,58.45,57.91,58.08,1296800
2018-07-25 20:00:00-04:00,58.44,59.10,58.43,58.76,1836700
2018-07-26 20:00:00-04:00,58.76,59.28,58.66,58.95,1483900
2018-07-29 20:00:00-04:00,58.75,58.95,58.31,58.66,1031800
2018-07-30 20:00:00-04:00,59.01,59.37,58.55,59.24,2439500
2018-07-31 20:00:00-04:00,58.85,58.90,57.98,58.37,1856100
2018-08-01 20:00:00-04:00,58.35,58.87,57.86,58.68,1763800
2018-08-02 20:00:00-04:00,58.73,59.73,58.29,59.37,1775200
2018-08-05 20:00:00-04:00,59.32,59.71,59.06,59.24,1650700
2018-08-06 20:00:00-04:00,59.13,59.21,58.43,58.93,1567500
2018-08-07 20:00:00-04:00,58.79,59.00,58.54,58.92,1069700
2018-08-08 20:00:00-04:00,59.03,59.29,58.78,59.25,710800
2018-08-09 20:00:00-04:00,59.43,59.75,58.97,59.04,1108000
2018-08-12 20:00:00-04:00,58.96,59.38,58.83,59.33,1684500
2018-08-13 20:00:00-04:00,59.29,59.82,59.16,59.47,1532000
2018-08-14 20:00:00-04:00,59.66,60.82,59.58,60.43,2081700
2018-08-15 20:00:00-04:00,60.36,61.20,60.13,61.13,2286900
2018-08-16 20:00:00-04:00,61.06,61.55,60.79,61.47,1986100
2018-08-19 20:00:00-04:00,61.61,61.75,60.79,60.82,1611900
2018-08-20 20:00:00-04:00,60.72,60.79,60.00,60.30,1497500
2018-08-21 20:00:00-04:00,60.45,60.49,59.55,59.78,1224800
2018-08-22 20:00:00-04:00,59.82,60.29,59.64,59.85,1382500
2018-08-23 20:00:00-04:00,59.85,60.28,59.63,60.17,908500
