Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,213.55,213.98,211.23,213.82,698000
2018-07-02 20:00:00-04:00,214.37,215.48,213.24,214.23,569100
2018-07-04 20:00:00-04:00,215.12,216.95,213.73,215.42,703300
2018-07-05 20:00:00-04:00,215.60,217.89,214.97,217.30,803000
2018-07-08 20:00:00-04:00,215.72,223.50,215.37,223.17,1607200
2018-07-09 20:00:00-04:00,224.35,224.87,223.18,223.92,1262700
2018-07-10 20:00:00-04:00,223.47,226.19,222.06,223.97,922300
2018-07-11 20:00:00-04:00,225.12,226.51,224.32,224.87,1451700
2018-07-12 20:00:00-04:00,224.51,225.17,224.09,224.81,1016000
2018-07-15 20:00:00-04:00,224.73,224.73,222.10,222.80,1027800
2018-07-16 20:00:00-04:00,218.54,221.67,217.17,220.79,1387700
2018-07-17 20:00:00-04:00,220.85,223.82,220.62,223.12,1090800
2018-07-18 20:00:00-04:00,223.07,223.66,221.25,223.13,947600
2018-07-19 20:00:00-04:00,220.90,223.71,220.77,223.02,863900
2018-07-22 20:00:00-04:00,222.90,225.33,222.28,223.30,1012400
2018-07-23 20:00:00-04:00,223.84,224.35,220.05,220.83,1468400
2018-07-24 20:00:00-04:00,222.02,223.23,215.63,222.49,2443000
2018-07-25 20:00:00-04:00,223.93,225.41,221.32,221.73,999400
2018-07-26 20:00:00-04:00,222.47,224.23,221.45,223.88,1056400
2018-07-29 20:00:00-04:00,223.66,227.84,223.66,226.33,1520600
2018-07-30 20:00:00-04:00,226.11,227.64,225.41,227.04,1336500
2018-07-31 20:00:00-04:00,228.84,230.07,224.36,226.39,1328400
2018-08-01 20:00:00-04:00,225.60,230.70,225.52,230.21,938800
2018-08-02 20:00:00-04:00,230.22,232.06,228.31,231.48,767500
2018-08-05 20:00:00-04:00,230.76,232.61,230.57,231.64,808700
2018-08-06 20:00:00-04:00,231.64,232.93,231.31,231.50,591400
2018-08-07 20:00:00-04:00,232.23,234.10,230.96,233.81,772300
2018-08-08 20:00:00-04:00,233.74,236.23,233.74,234.34,697100
2018-08-09 20:00:00-04:00,233.54,235.24,232.56,233.36,700500
2018-08-12 20:00:00-04:00,234.09,237.41,233.37,235.96,913600
2018-08-13 20:00:00-04:00,236.17,238.71,236.02,237.78,931100
2018-08-14 20:00:00-04:00,236.83,237.86,235.38,237.06,913700
2018-08-15 20:00:00-04:00,238.39,240.54,237.34,239.18,1073700
2018-08-16 20:00:00-04:00,239.53,239.87,236.79,236.87,940100
2018-08-19 20:00:00-04:00,236.87,236.88,235.49,236.17,870100
2018-08-20 20:00:00-04:00,235.83,236.71,235.03,235.66,727700
2018-08-21 20:00:00-04:00,235.84,236.44,234.05,235.96,661200
2018-08-22 20:00:00-04:00,235.83,238.31,235.43,237.16,761900
2018-08-23 20:00:00-04:00,237.23,238.71,236.81,238.15,883600
2018-08-26 20:00:00-04:00,239.05,239.49,237.55,238.91,815500
2018-08-27 20:00:00-04:00,239.84,240.24,238.98,239.34,691500
2018-08-28 20:00:00-04:00,239.57,240.62,238.52,239.72,650300
2018-08-29 20:00:00-04:00,239.62,239.62,237.19,237.82,769400
2018-08-30 20:00:00-04:00,237.20,238.16,236.18,237.57,1149100
2018-09-03 20:00:00-04:00,237.06,238.81,235.75,236.64,1164200
2018-09-04 20:00:00-04:00,239.95,240.75,238.01,240.37,2045000
2018-09-05 20:00:00-04:00,240.30,244.41,239.64,243.10,1502600
2018-09-06 20:00:00-04:00,242.85,245.79,242.39,244.68,1824000
2018-09-09 20:00:00-04:00,240.93,242.11,235.55,236.30,1984500
2018-09-10 20:00:00-04:00,235.72,237.82,234.69,237.72,1294200
2018-09-11 20:00:00-04:00,237.34,241.00,237.29,239.68,873700
2018-09-12 20:00:00-04:00,240.69,243.76,239.32,243.28,1204400
2018-09-13 20:00:00-04:00,243.15,245.00,242.76,243.67,1030200
2018-09-16 20:00:00-04:00,244.92,246.57,242.34,242.64,970000
2018-09-17 20:00:00-04:00,242.33,245.40,242.06,243.84,1080700
2018-09-18 20:00:00-04:00,244.55,245.36,243.33,244.63,1101000
2018-09-19 20:00:00-04:00,245.08,247.53,244.85,246.68,1267700
2018-09-20 20:00:00-04:00,246.77,248.37,245.24,245.24,2717000
2018-09-23 20:00:00-04:00,244.68,247.19,243.51,245.88,1047000
2018-09-24 20:00:00-04:00,246.33,246.87,242.70,243.19,1172400
2018-09-25 20:00:00-04:00,242.97,244.35,241.95,242.48,786600
2018-09-26 20:00:00-04:00,242.97,245.87,242.65,244.44,916900
2018-09-27 20:00:00-04:00,244.42,246.77,242.93,246.61,1053800
2018-09-30 20:00:00-04:00,247.25,250.27,246.36,248.55,1015300
2018-10-01 20:00:00-04:00,248.64,250.03,247.51,248.48,922500
2018-10-02 20:00:00-04:00,249.20,249.45,247.75,248.58,707200
