Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,44.12,44.49,43.94,44.44,1601600
2018-07-02 20:00:00-04:00,44.48,45.14,44.28,44.81,1338700
2018-07-04 20:00:00-04:00,44.88,45.00,44.54,44.97,2330800
2018-07-05 20:00:00-04:00,45.00,45.51,44.97,45.41,1555600
2018-07-08 20:00:00-04:00,45.64,45.69,43.85,44.02,2145900
2018-07-09 20:00:00-04:00,43.92,44.48,43.52,44.21,2001900
2018-07-10 20:00:00-04:00,44.32,44.65,44.23,44.61,1770500
2018-07-11 20:00:00-04:00,44.68,44.74,44.33,44.53,2399200
2018-07-12 20:00:00-04:00,44.53,44.78,44.28,44.53,1793600
2018-07-15 20:00:00-04:00,44.56,44.65,44.17,44.45,2393900
2018-07-16 20:00:00-04:00,44.55,44.61,44.18,44.33,1926200
2018-07-17 20:00:00-04:00,44.39,44.41,43.99,44.06,1478100
2018-07-18 20:00:00-04:00,44.26,44.72,44.17,44.54,1674600
2018-07-19 20:00:00-04:00,44.41,44.46,43.93,44.23,1737600
2018-07-22 20:00:00-04:00,44.24,44.33,43.78,44.02,1358900
2018-07-23 20:00:00-04:00,43.89,44.42,43.29,44.29,2083200
2018-07-24 20:00:00-04:00,44.36,44.83,44.22,44.68,2129000
2018-07-25 20:00:00-04:00,44.95,45.58,44.95,45.45,2278000
2018-07-26 20:00:00-04:00,45.31,45.62,45.09,45.24,1167800
2018-07-29 20:00:00-04:00,45.16,45.27,44.78,45.00,1863400
2018-07-30 20:00:00-04:00,45.18,45.79,44.91,45.72,2144400
2018-07-31 20:00:00-04:00,45.03,45.24,44.65,44.98,2446200
2018-08-01 20:00:00-04:00,44.95,45.38,44.69,45.18,1386400
2018-08-02 20:00:00-04:00,45.29,45.93,44.97,45.88,1328100
2018-08-05 20:00:00-04:00,45.81,46.28,45.80,46.00,990300
2018-08-06 20:00:00-04:00,46.00,46.09,45.46,45.92,1104100
2018-08-07 20:00:00-04:00,45.73,46.04,45.54,45.89,942700
2018-08-08 20:00:00-04:00,45.91,46.12,45.71,46.03,982400
2018-08-09 20:00:00-04:00,46.15,46.53,46.08,46.19,1192400
2018-08-12 20:00:00-04:00,46.29,46.52,46.10,46.49,1617200
2018-08-13 20:00:00-04:00,46.36,46.79,46.34,46.53,1091600
2018-08-14 20:00:00-04:00,46.62,47.25,46.52,46.94,1294400
2018-08-15 20:00:00-04:00,46.90,47.43,46.76,47.43,1773600
2018-08-16 20:00:00-04:00,47.35,47.79,47.26,47.62,1020600
2018-08-19 20:00:00-04:00,47.67,47.83,47.37,47.52,871200
2018-08-20 20:00:00-04:00,47.49,47.49,47.10,47.29,954600
2018-08-21 20:00:00-04:00,47.37,47.49,46.75,46.95,1195800
2018-08-22 20:00:00-04:00,46.94,47.25,46.87,47.01,727800
2018-08-23 20:00:00-04:00,47.07,47.29,46.73,47.25,882800
2018-08-26 20:00:00-04:00,47.38,47.38,46.57,46.84,1023600
2018-08-27 20:00:00-04:00,46.79,46.86,46.45,46.56,1302400
2018-08-28 20:00:00-04:00,46.76,46.85,46.49,46.82,847600
2018-08-29 20:00:00-04:00,47.07,47.31,46.85,47.16,1356400
2018-08-30 20:00:00-04:00,47.10,47.31,46.76,47.01,1291900
2018-09-03 20:00:00-04:00,47.04,47.40,46.91,47.00,1314100
2018-09-04 20:00:00-04:00,47.04,47.77,47.01,47.72,953000
2018-09-05 20:00:00-04:00,47.66,48.07,47.49,47.82,1061600
2018-09-06 20:00:00-04:00,47.45,47.71,47.16,47.29,1187800
2018-09-09 20:00:00-04:00,47.37,47.84,47.28,47.66,1032400
2018-09-10 20:00:00-04:00,47.78,47.95,47.49,47.64,1048200
2018-09-11 20:00:00-04:00,47.62,48.00,47.55,47.59,1276100
2018-09-12 20:00:00-04:00,47.58,47.90,47.36,47.89,868600
2018-09-13 20:00:00-04:00,47.69,47.86,47.20,47.83,1120100
2018-09-16 20:00:00-04:00,47.86,48.04,47.59,48.01,984000
2018-09-17 20:00:00-04:00,47.90,48.10,47.70,47.92,807600
2018-09-18 20:00:00-04:00,47.89,47.89,46.44,46.70,1391900
2018-09-19 20:00:00-04:00,46.62,46.91,46.34,46.89,1265500
2018-09-20 20:00:00-04:00,46.74,47.42,46.56,47.19,2685800
2018-09-23 20:00:00-04:00,47.06,47.27,46.63,46.67,1131300
2018-09-24 20:00:00-04:00,46.66,46.72,45.87,46.06,1484400
2018-09-25 20:00:00-04:00,46.24,46.38,45.66,45.70,1511500
2018-09-26 20:00:00-04:00,45.85,46.31,45.72,45.97,1072400
2018-09-27 20:00:00-04:00,46.18,46.66,46.09,46.64,1697400
2018-09-30 20:00:00-04:00,46.51,46.76,46.37,46.70,922500
2018-10-01 20:00:00-04:00,46.75,47.31,46.75,47.19,1177700
2018-10-02 20:00:00-04:00,47.14,47.30,45.97,46.37,1473000
2018-10-03 20:00:00-04:00,46.32,46.90,46.01,46.72,906800
2018-10-04 20:00:00-04:00,46.72,47.53,46.72,47.37,1493800
2018-10-07 20:00:00-04:00,47.56,48.00,47.25,47.69,1316200
2018-10-08 20:00:00-04:00,47.79,48.28,47.61,48.10,1440800
2018-10-09 20:00:00-04:00,48.05,48.60,47.82,47.85,1841900
2018-10-10 20:00:00-04:00,48.12,48.23,46.69,46.82,2396200
2018-10-11 20:00:00-04:00,46.78,46.87,46.29,46.70,1660600
2018-10-14 20:00:00-04:00,46.69,47.03,46.53,46.59,1615900
2018-10-15 20:00:00-04:00,46.62,47.37,46.37,47.03,1769900
2018-10-16 20:00:00-04:00,47.12,47.72,47.06,47.44,1930500
2018-10-17 20:00:00-04:00,47.54,47.63,46.92,47.20,1654400
2018-10-18 20:00:00-04:00,47.33,48.37,47.25,48.07,1300100
2018-10-21 20:00:00-04:00,48.07,48.36,47.79,47.98,1147100
2018-10-22 20:00:00-04:00,48.09,48.44,47.71,48.05,1542000
2018-10-23 20:00:00-04:00,48.26,49.56,48.01,49.24,1483300
2018-10-24 20:00:00-04:00,48.84,48.91,48.07,48.33,1691200
2018-10-25 20:00:00-04:00,48.51,48.95,47.23,47.65,1627600
2018-10-28 20:00:00-04:00,47.85,48.60,47.73,48.53,1045800
2018-10-29 20:00:00-04:00,48.80,48.89,47.94,48.61,1459000
2018-10-30 20:00:00-04:00,48.36,48.51,47.65,48.02,1839100
2018-10-31 20:00:00-04:00,47.89,48.08,47.46,47.59,1583800
2018-11-01 20:00:00-04:00,48.26,48.61,46.74,47.21,2104500
2018-11-04 19:00:00-05:00,47.39,48.01,47.23,47.76,1459300
2018-11-05 19:00:00-05:00,47.80,48.22,47.72,48.18,733600
2018-11-06 19:00:00-05:00,48.40,48.93,48.20,48.87,1150000
2018-11-07 19:00:00-05:00,48.96,49.08,48.61,48.99,1317100
2018-11-08 19:00:00-05:00,48.89,49.72,48.87,49.45,1222300
2018-11-11 19:00:00-05:00,49.14,50.30,49.02,49.71,1042200
2018-11-12 19:00:00-05:00,49.81,50.07,49.36,49.93,1376800
