Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,30.38,30.52,30.16,30.51,3304200
2018-07-02 20:00:00-04:00,30.46,30.70,30.37,30.49,1149400
2018-07-04 20:00:00-04:00,30.55,30.72,30.37,30.71,3964000
2018-07-05 20:00:00-04:00,30.70,31.02,30.63,30.93,2448200
2018-07-08 20:00:00-04:00,30.97,30.97,29.92,30.03,3988200
2018-07-09 20:00:00-04:00,30.03,30.47,29.80,30.32,2444200
2018-07-10 20:00:00-04:00,30.37,30.88,30.33,30.80,3619200
2018-07-11 20:00:00-04:00,30.69,30.90,30.62,30.79,4215000
2018-07-12 20:00:00-04:00,30.71,30.86,30.55,30.68,2507800
2018-07-15 20:00:00-04:00,30.64,30.72,30.41,30.65,2448000
2018-07-16 20:00:00-04:00,30.71,30.78,30.60,30.61,1841800
2018-07-17 20:00:00-04:00,30.63,30.66,30.08,30.18,4864400
2018-07-18 20:00:00-04:00,30.24,30.54,30.22,30.35,2586400
2018-07-19 20:00:00-04:00,30.36,30.41,29.98,30.16,5002200
2018-07-22 20:00:00-04:00,30.20,30.30,29.66,29.75,2366000
2018-07-23 20:00:00-04:00,29.64,29.64,29.07,29.59,4449000
2018-07-24 20:00:00-04:00,29.56,29.81,29.49,29.69,2293200
2018-07-25 20:00:00-04:00,29.82,30.39,29.82,30.13,3807800
2018-07-26 20:00:00-04:00,30.18,30.42,30.06,30.18,1619600
2018-07-29 20:00:00-04:00,30.14,30.22,29.91,30.07,5557600
2018-07-30 20:00:00-04:00,30.21,30.49,30.01,30.45,4512000
2018-07-31 20:00:00-04:00,30.36,31.09,30.24,30.66,5231000
2018-08-01 20:00:00-04:00,30.74,31.24,30.48,31.01,3529000
2018-08-02 20:00:00-04:00,31.17,31.58,30.90,31.39,3618600
2018-08-05 20:00:00-04:00,31.33,31.52,31.22,31.27,2859200
2018-08-06 20:00:00-04:00,31.38,31.41,30.82,31.19,3631200
2018-08-07 20:00:00-04:00,31.12,31.37,31.07,31.29,2244400
2018-08-08 20:00:00-04:00,31.28,31.60,31.21,31.56,2929600
2018-08-09 20:00:00-04:00,31.65,31.88,31.57,31.58,2340400
2018-08-12 20:00:00-04:00,31.58,31.71,31.44,31.68,4530800
2018-08-13 20:00:00-04:00,31.70,31.90,31.54,31.80,5815800
2018-08-14 20:00:00-04:00,31.90,32.23,31.74,31.87,4679200
2018-08-15 20:00:00-04:00,31.86,32.26,31.70,32.24,3878200
2018-08-16 20:00:00-04:00,32.18,32.43,32.12,32.31,2553400
2018-08-19 20:00:00-04:00,32.31,32.37,32.11,32.28,1925800
2018-08-20 20:00:00-04:00,32.25,32.25,31.95,32.15,2836200
2018-08-21 20:00:00-04:00,32.19,32.31,31.82,31.92,1735000
2018-08-22 20:00:00-04:00,31.93,32.14,31.87,32.05,1828000
2018-08-23 20:00:00-04:00,32.02,32.24,31.86,32.23,1203800
2018-08-26 20:00:00-04:00,32.27,32.27,31.72,31.77,2432800
2018-08-27 20:00:00-04:00,31.76,31.80,31.55,31.67,2737000
2018-08-28 20:00:00-04:00,31.63,31.74,31.38,31.60,3133000
2018-08-29 20:00:00-04:00,31.73,32.01,31.66,31.94,2857800
2018-08-30 20:00:00-04:00,31.89,32.06,31.54,31.66,2681400
2018-09-03 20:00:00-04:00,31.64,31.93,31.64,31.93,2509000
2018-09-04 20:00:00-04:00,31.98,32.20,31.86,32.18,1815200
2018-09-05 20:00:00-04:00,32.23,32.50,32.09,32.39,1811000
2018-09-06 20:00:00-04:00,32.15,32.34,32.03,32.08,1808000
2018-09-09 20:00:00-04:00,32.18,32.43,32.07,32.26,1704200
2018-09-10 20:00:00-04:00,32.32,32.40,31.96,32.00,3263200
2018-09-11 20:00:00-04:00,32.02,32.16,31.80,31.83,2581400
2018-09-12 20:00:00-04:00,31.83,31.97,31.62,31.90,3167600
2018-09-13 20:00:00-04:00,31.85,31.87,31.42,31.72,2857800
2018-09-16 20:00:00-04:00,31.77,32.03,31.65,31.97,2003600
2018-09-17 20:00:00-04:00,31.93,32.01,31.69,31.79,1989800
2018-09-18 20:00:00-04:00,31.85,31.85,30.91,31.02,2012400
2018-09-19 20:00:00-04:00,30.94,31.29,30.74,31.24,2063400
2018-09-20 20:00:00-04:00,31.15,31.40,30.96,31.27,4265400
2018-09-23 20:00:00-04:00,31.21,31.29,30.90,30.92,2132000
2018-09-24 20:00:00-04:00,30.91,30.91,30.31,30.37,2514200
2018-09-25 20:00:00-04:00,30.48,30.48,29.91,29.95,3714000
2018-09-26 20:00:00-04:00,30.02,30.37,29.92,30.27,2952400
2018-09-27 20:00:00-04:00,30.36,30.78,30.36,30.73,2242000
2018-09-30 20:00:00-04:00,30.66,30.73,30.43,30.54,1331400
2018-10-01 20:00:00-04:00,30.65,31.11,30.65,30.99,2002400
2018-10-02 20:00:00-04:00,30.93,31.06,30.17,30.42,1573000
2018-10-03 20:00:00-04:00,30.39,30.77,30.13,30.75,2097200
2018-10-04 20:00:00-04:00,30.79,31.39,30.77,31.34,2448600
2018-10-07 20:00:00-04:00,31.36,31.94,31.33,31.68,2189200
2018-10-08 20:00:00-04:00,31.73,31.96,31.37,31.60,2355400
2018-10-09 20:00:00-04:00,31.59,32.03,31.39,31.41,3420600
2018-10-10 20:00:00-04:00,31.56,31.62,30.67,30.75,3196800
2018-10-11 20:00:00-04:00,30.72,30.92,30.31,30.81,3274000
2018-10-14 20:00:00-04:00,30.83,31.34,30.76,31.00,5572600
2018-10-15 20:00:00-04:00,30.95,31.56,30.89,31.33,4715000
2018-10-16 20:00:00-04:00,31.24,31.44,31.01,31.29,1898200
2018-10-17 20:00:00-04:00,31.32,31.51,31.14,31.29,2229800
2018-10-18 20:00:00-04:00,31.33,32.06,31.33,31.86,1749600
2018-10-21 20:00:00-04:00,31.86,31.97,31.54,31.57,3739400
2018-10-22 20:00:00-04:00,31.69,31.94,31.27,31.49,3724600
2018-10-23 20:00:00-04:00,31.67,32.57,31.51,32.35,4487800
2018-10-24 20:00:00-04:00,32.08,32.08,31.38,31.62,2837600
2018-10-25 20:00:00-04:00,31.81,31.94,31.08,31.22,3600000
2018-10-28 20:00:00-04:00,31.23,32.12,31.23,31.82,4102400
2018-10-29 20:00:00-04:00,31.93,32.00,31.22,31.41,3686400
2018-10-30 20:00:00-04:00,31.10,32.16,30.68,31.79,5353800
2018-10-31 20:00:00-04:00,31.93,31.93,31.32,31.44,3551800
2018-11-01 20:00:00-04:00,31.52,31.68,31.09,31.53,2558800
2018-11-04 19:00:00-05:00,31.65,32.08,31.57,31.95,2897400
2018-11-05 19:00:00-05:00,32.04,32.38,31.94,32.35,2595600
2018-11-06 19:00:00-05:00,32.42,32.76,32.22,32.65,2807000
2018-11-07 19:00:00-05:00,32.68,32.75,32.28,32.59,2251600
2018-11-08 19:00:00-05:00,32.57,32.84,32.40,32.75,4818200
2018-11-11 19:00:00-05:00,32.60,33.42,32.50,32.89,3274600
2018-11-12 19:00:00-05:00,32.92,32.98,32.62,32.88,2268000
2018-11-13 19:00:00-05:00,32.74,32.99,32.59,32.73,2585600
2018-11-14 19:00:00-05:00,32.59,33.19,32.32,32.91,2924800
2018-11-15 19:00:00-05:00,33.30,33.30,32.69,33.04,2722000
2018-11-18 19:00:00-05:00,32.99,33.39,32.83,33.21,2315200
2018-11-19 19:00:00-05:00,33.38,33.63,32.92,33.05,3418000
2018-11-20 19:00:00-05:00,32.92,33.04,32.56,32.67,1965800
2018-11-22 19:00:00-05:00,32.74,32.78,32.55,32.68,842600
2018-11-25 19:00:00-05:00,32.68,32.93,32.54,32.87,1687000
2018-11-26 19:00:00-05:00,32.89,33.09,32.63,33.03,2675000
2018-11-27 19:00:00-05:00,33.15,33.15,32.71,32.95,2329200
