Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,41.59,42.14,41.57,42.08,1952100
2018-07-02 20:00:00-04:00,42.08,42.28,41.68,41.89,849500
2018-07-04 20:00:00-04:00,41.89,42.03,41.45,41.90,1523900
2018-07-05 20:00:00-04:00,41.82,42.29,41.79,42.05,1242400
2018-07-08 20:00:00-04:00,42.00,42.03,40.45,40.57,1308700
2018-07-09 20:00:00-04:00,40.28,40.77,40.13,40.74,1776400
2018-07-10 20:00:00-04:00,40.88,41.59,40.69,41.46,1061900
2018-07-11 20:00:00-04:00,41.27,41.54,41.00,41.30,1423300
2018-07-12 20:00:00-04:00,41.34,41.54,41.15,41.42,888700
2018-07-15 20:00:00-04:00,41.31,41.55,41.15,41.48,740500
2018-07-16 20:00:00-04:00,41.66,41.78,41.37,41.51,1213400
2018-07-17 20:00:00-04:00,41.36,41.51,40.88,41.15,680400
2018-07-18 20:00:00-04:00,41.22,41.91,41.22,41.60,874500
2018-07-19 20:00:00-04:00,41.31,41.60,41.16,41.27,817300
2018-07-22 20:00:00-04:00,41.33,41.34,40.69,40.78,1459900
2018-07-23 20:00:00-04:00,40.68,40.97,40.28,40.74,1560800
2018-07-24 20:00:00-04:00,40.71,41.14,40.62,40.77,1937700
2018-07-25 20:00:00-04:00,40.97,41.40,40.82,41.10,951600
2018-07-26 20:00:00-04:00,41.06,41.28,40.67,40.99,1013200
2018-07-29 20:00:00-04:00,40.97,41.40,40.61,41.05,951400
2018-07-30 20:00:00-04:00,41.12,41.65,40.78,41.55,1155700
2018-07-31 20:00:00-04:00,41.34,41.51,40.70,41.19,914600
2018-08-01 20:00:00-04:00,41.14,41.57,41.02,41.35,1081300
2018-08-02 20:00:00-04:00,41.40,41.96,41.07,41.62,1089800
2018-08-05 20:00:00-04:00,41.61,42.15,41.45,41.60,1159100
2018-08-06 20:00:00-04:00,41.60,42.05,41.42,41.94,1412100
2018-08-07 20:00:00-04:00,41.79,41.94,41.57,41.76,1111500
2018-08-08 20:00:00-04:00,41.19,42.46,41.12,42.24,1610100
2018-08-09 20:00:00-04:00,42.31,42.96,42.31,42.73,1507500
2018-08-12 20:00:00-04:00,42.56,42.82,42.23,42.68,1977300
2018-08-13 20:00:00-04:00,42.70,42.94,42.48,42.55,1033200
2018-08-14 20:00:00-04:00,42.57,43.13,42.42,42.74,1423600
2018-08-15 20:00:00-04:00,42.65,42.88,42.45,42.73,1828500
2018-08-16 20:00:00-04:00,42.65,43.13,42.50,42.87,3784600
2018-08-19 20:00:00-04:00,42.87,43.14,42.70,42.85,1413400
2018-08-20 20:00:00-04:00,42.71,42.73,42.46,42.53,1729300
2018-08-21 20:00:00-04:00,42.62,42.69,42.08,42.22,1304400
2018-08-22 20:00:00-04:00,42.16,42.53,42.09,42.18,996000
2018-08-23 20:00:00-04:00,42.20,42.61,41.94,42.56,1137900
2018-08-26 20:00:00-04:00,42.54,42.79,42.00,42.20,2003800
2018-08-27 20:00:00-04:00,42.15,42.78,42.02,42.49,1428900
2018-08-28 20:00:00-04:00,42.43,42.80,42.36,42.65,1266100
2018-08-29 20:00:00-04:00,42.78,43.02,42.66,42.83,994100
2018-08-30 20:00:00-04:00,42.91,43.05,42.52,42.61,1422200
2018-09-03 20:00:00-04:00,42.77,43.08,42.59,42.95,1135300
2018-09-04 20:00:00-04:00,43.04,43.78,43.04,43.70,1872000
2018-09-05 20:00:00-04:00,43.62,44.27,43.62,44.02,1559600
2018-09-06 20:00:00-04:00,43.64,43.96,43.52,43.54,1598400
2018-09-09 20:00:00-04:00,43.64,44.05,43.54,43.67,1660000
2018-09-10 20:00:00-04:00,43.57,43.88,43.57,43.62,1194800
2018-09-11 20:00:00-04:00,43.58,43.76,43.31,43.43,1221600
2018-09-12 20:00:00-04:00,43.49,43.56,43.17,43.39,1289100
2018-09-13 20:00:00-04:00,43.37,43.37,42.78,43.14,1268800
2018-09-16 20:00:00-04:00,43.26,43.41,42.93,43.09,1355100
2018-09-17 20:00:00-04:00,42.92,43.17,42.14,42.93,1420600
2018-09-18 20:00:00-04:00,42.94,42.94,41.61,41.75,3316000
2018-09-19 20:00:00-04:00,41.66,41.87,41.34,41.65,2740600
2018-09-20 20:00:00-04:00,41.53,41.94,41.28,41.72,7317000
2018-09-23 20:00:00-04:00,41.78,41.81,41.31,41.56,2633500
2018-09-24 20:00:00-04:00,41.49,41.52,41.02,41.09,2801200
2018-09-25 20:00:00-04:00,41.18,41.39,40.47,40.50,1548300
2018-09-26 20:00:00-04:00,40.53,40.90,40.49,40.56,2383100
2018-09-27 20:00:00-04:00,40.70,41.04,40.58,41.02,2879400
2018-09-30 20:00:00-04:00,41.05,41.34,40.94,41.17,1159300
2018-10-01 20:00:00-04:00,41.18,41.55,41.16,41.40,1495600
2018-10-02 20:00:00-04:00,41.34,41.55,40.52,40.99,1927100
2018-10-03 20:00:00-04:00,40.88,41.44,40.52,41.26,1303800
2018-10-04 20:00:00-04:00,41.14,41.72,41.13,41.61,1660600
2018-10-07 20:00:00-04:00,41.64,42.14,41.63,41.91,2176100
2018-10-08 20:00:00-04:00,42.03,42.38,41.82,42.11,1290900
2018-10-09 20:00:00-04:00,41.96,42.55,41.87,41.90,1870100
2018-10-10 20:00:00-04:00,42.05,42.23,41.24,41.48,2516900
2018-10-11 20:00:00-04:00,41.42,41.72,40.99,41.54,1758300
2018-10-14 20:00:00-04:00,41.55,41.91,41.55,41.62,1239500
2018-10-15 20:00:00-04:00,41.50,42.15,41.36,41.93,1639900
2018-10-16 20:00:00-04:00,41.85,42.05,41.70,41.83,1169600
2018-10-17 20:00:00-04:00,41.87,42.04,41.69,42.02,1178500
2018-10-18 20:00:00-04:00,42.00,42.70,41.91,42.58,1519000
2018-10-21 20:00:00-04:00,42.58,42.62,42.20,42.43,1479400
2018-10-22 20:00:00-04:00,42.46,42.75,41.90,42.14,1596200
2018-10-23 20:00:00-04:00,42.29,43.08,42.13,42.80,1493400
2018-10-24 20:00:00-04:00,42.59,42.59,42.20,42.38,1185700
2018-10-25 20:00:00-04:00,42.52,42.75,41.51,41.91,1783300
2018-10-28 20:00:00-04:00,41.97,42.61,41.97,42.25,1290400
2018-10-29 20:00:00-04:00,42.40,42.52,41.72,42.03,1448700
2018-10-30 20:00:00-04:00,41.88,42.12,41.38,41.81,2117200
2018-10-31 20:00:00-04:00,41.77,41.99,41.60,41.90,1778100
2018-11-01 20:00:00-04:00,41.98,42.27,41.44,41.69,983300
2018-11-04 19:00:00-05:00,41.55,42.39,41.51,42.08,1330900
2018-11-05 19:00:00-05:00,42.09,42.67,41.98,42.58,1085400
2018-11-06 19:00:00-05:00,42.70,42.91,42.37,42.70,1299500
2018-11-07 19:00:00-05:00,43.32,43.32,41.98,42.67,1772200
2018-11-08 19:00:00-05:00,42.73,43.70,42.59,43.58,1391500
2018-11-11 19:00:00-05:00,43.46,44.65,43.42,44.29,1353500
2018-11-12 19:00:00-05:00,44.24,44.70,43.81,44.61,1456900
2018-11-13 19:00:00-05:00,44.41,45.00,44.25,44.76,1822200
2018-11-14 19:00:00-05:00,44.58,44.97,44.12,44.88,1887700
2018-11-15 19:00:00-05:00,45.35,45.63,44.70,44.90,2070500
2018-11-18 19:00:00-05:00,44.85,44.94,44.20,44.70,1640700
2018-11-19 19:00:00-05:00,44.95,45.30,44.44,44.59,1745300
2018-11-20 19:00:00-05:00,44.46,44.65,43.65,43.80,853600
2018-11-22 19:00:00-05:00,43.80,43.91,43.27,43.86,539500
2018-11-25 19:00:00-05:00,43.74,44.47,43.74,44.46,1615800
2018-11-26 19:00:00-05:00,44.47,44.80,44.08,44.79,1537400
2018-11-27 19:00:00-05:00,44.78,45.10,44.29,44.51,1381000
2018-11-28 19:00:00-05:00,44.59,44.60,43.74,44.28,1656900
2018-11-29 19:00:00-05:00,44.41,44.83,44.02,44.69,2113100
2018-12-02 19:00:00-05:00,44.56,44.96,44.17,44.95,1294900
2018-12-03 19:00:00-05:00,45.12,45.89,45.07,45.20,2045400
2018-12-05 19:00:00-05:00,45.39,45.78,44.74,45.75,2016200
2018-12-06 19:00:00-05:00,45.78,45.85,45.11,45.40,1682700
2018-12-09 19:00:00-05:00,45.39,45.63,44.44,45.55,1917800
2018-12-10 19:00:00-05:00,45.54,45.92,45.35,45.64,1365500
2018-12-11 19:00:00-05:00,45.60,45.92,44.96,45.04,1495800
2018-12-12 19:00:00-05:00,45.01,45.75,44.94,45.34,1858900
2018-12-13 19:00:00-05:00,45.42,45.82,45.22,45.57,1573000
2018-12-16 19:00:00-05:00,45.72,45.87,43.86,43.92,2480500
2018-12-17 19:00:00-05:00,44.23,44.75,43.65,43.85,1881400
2018-12-18 19:00:00-05:00,43.94,44.17,43.42,43.72,1911600
2018-12-19 19:00:00-05:00,43.63,44.60,42.99,43.67,2751700
2018-12-20 19:00:00-05:00,43.69,44.85,43.35,43.87,5400800
2018-12-23 19:00:00-05:00,44.00,44.29,42.03,42.09,1332000
2018-12-25 19:00:00-05:00,42.09,42.61,41.54,42.59,1573100
2018-12-26 19:00:00-05:00,42.60,42.80,41.79,42.71,1993900
2018-12-27 19:00:00-05:00,42.87,43.32,42.43,42.55,1638400
2018-12-30 19:00:00-05:00,42.62,42.74,42.16,42.74,1623500
2019-01-01 19:00:00-05:00,42.69,42.77,41.89,42.07,1619600
2019-01-02 19:00:00-05:00,41.97,42.54,41.85,41.91,1447800
2019-01-03 19:00:00-05:00,41.74,42.25,41.50,42.07,2342100
2019-01-06 19:00:00-05:00,41.82,42.31,41.70,42.12,1419100
2019-01-07 19:00:00-05:00,42.07,42.76,42.07,42.61,1485500
2019-01-08 19:00:00-05:00,42.47,42.68,41.85,42.20,1880900
2019-01-09 19:00:00-05:00,42.43,43.02,42.21,42.80,1334900
2019-01-10 19:00:00-05:00,42.73,42.87,42.40,42.51,2056800
2019-01-13 19:00:00-05:00,42.31,42.39,41.65,42.19,3078600
2019-01-14 19:00:00-05:00,42.10,42.78,42.10,42.42,2722900
2019-01-15 19:00:00-05:00,42.24,42.45,42.11,42.37,2222600
2019-01-16 19:00:00-05:00,42.40,42.77,42.19,42.61,1602600
2019-01-17 19:00:00-05:00,42.69,42.92,42.51,42.65,2314200
2019-01-21 19:00:00-05:00,42.71,43.10,42.40,42.77,1436000
2019-01-22 19:00:00-05:00,42.73,43.10,42.68,42.85,1982500
2019-01-23 19:00:00-05:00,42.86,43.56,42.64,43.01,1635500
2019-01-24 19:00:00-05:00,42.82,43.10,42.64,42.74,1929400
2019-01-27 19:00:00-05:00,42.83,43.02,42.52,42.69,1295600
2019-01-28 19:00:00-05:00,42.87,42.99,42.34,42.55,1494400
2019-01-29 19:00:00-05:00,42.36,42.99,42.36,42.68,1482600
2019-01-30 19:00:00-05:00,42.69,43.28,42.13,43.15,1966900
2019-01-31 19:00:00-05:00,43.14,43.39,42.64,43.07,1447200
2019-02-03 19:00:00-05:00,42.89,43.22,42.44,43.22,1411500
2019-02-04 19:00:00-05:00,43.38,43.38,42.95,43.24,1311800
2019-02-05 19:00:00-05:00,43.19,43.19,42.83,43.07,1505800
2019-02-06 19:00:00-05:00,43.15,43.53,43.10,43.39,1648800
2019-02-07 19:00:00-05:00,43.40,43.83,43.23,43.74,1006200
2019-02-10 19:00:00-05:00,43.58,43.89,43.58,43.71,926500
2019-02-11 19:00:00-05:00,44.28,44.38,43.70,43.89,1629000
2019-02-12 19:00:00-05:00,43.77,44.03,43.57,44.00,925600
