Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,66.06,67.01,66.06,66.73,1017800
2018-07-02 20:00:00-04:00,67.15,67.15,65.61,65.71,718800
2018-07-04 20:00:00-04:00,65.86,66.30,65.03,65.78,1781600
2018-07-05 20:00:00-04:00,65.61,65.76,64.65,65.35,1562900
2018-07-08 20:00:00-04:00,66.09,66.91,65.74,66.67,1694800
2018-07-09 20:00:00-04:00,66.81,66.81,65.67,66.38,1153700
2018-07-10 20:00:00-04:00,65.00,66.50,65.00,65.96,1059500
2018-07-11 20:00:00-04:00,66.17,66.61,65.71,66.37,825800
2018-07-12 20:00:00-04:00,66.43,67.11,66.02,66.61,943100
2018-07-15 20:00:00-04:00,66.87,67.23,65.50,65.79,1110900
2018-07-16 20:00:00-04:00,65.68,66.03,65.23,65.71,1057400
2018-07-17 20:00:00-04:00,65.98,66.75,65.82,66.56,955500
2018-07-18 20:00:00-04:00,66.20,66.65,65.87,66.45,635900
2018-07-19 20:00:00-04:00,66.39,66.98,65.98,66.78,1033400
2018-07-22 20:00:00-04:00,66.99,67.41,66.53,67.17,1090800
2018-07-23 20:00:00-04:00,67.72,68.44,66.68,67.21,1465500
2018-07-24 20:00:00-04:00,67.27,69.27,67.21,69.17,2092200
2018-07-25 20:00:00-04:00,68.70,69.30,67.91,68.78,1655800
2018-07-26 20:00:00-04:00,68.79,68.96,68.01,68.49,622000
2018-07-29 20:00:00-04:00,68.74,69.18,67.36,67.95,747500
2018-07-30 20:00:00-04:00,68.37,69.64,68.04,69.28,1192200
2018-07-31 20:00:00-04:00,69.52,69.70,68.49,69.28,1145300
2018-08-01 20:00:00-04:00,68.90,70.13,68.90,69.73,1046900
2018-08-02 20:00:00-04:00,69.86,70.11,69.44,69.64,1397200
2018-08-05 20:00:00-04:00,69.69,70.70,69.67,70.48,1620500
2018-08-06 20:00:00-04:00,64.23,69.12,63.40,66.33,4466800
2018-08-07 20:00:00-04:00,66.10,67.33,65.60,66.75,1653400
2018-08-08 20:00:00-04:00,66.87,67.21,66.36,66.62,1366200
2018-08-09 20:00:00-04:00,66.18,66.81,65.79,66.47,1408400
2018-08-12 20:00:00-04:00,66.31,66.31,64.93,65.37,1410700
2018-08-13 20:00:00-04:00,65.69,66.01,65.39,65.49,937100
2018-08-14 20:00:00-04:00,65.05,66.69,64.80,66.51,1765500
2018-08-15 20:00:00-04:00,67.28,67.70,66.86,67.22,1103600
2018-08-16 20:00:00-04:00,67.27,67.51,66.19,67.31,711600
2018-08-19 20:00:00-04:00,67.29,67.98,67.12,67.82,1038300
2018-08-20 20:00:00-04:00,67.82,68.35,67.03,68.28,750400
2018-08-21 20:00:00-04:00,68.13,68.13,67.53,67.65,660800
2018-08-22 20:00:00-04:00,67.64,67.93,66.92,67.06,550800
2018-08-23 20:00:00-04:00,67.32,67.32,66.70,67.03,466400
2018-08-26 20:00:00-04:00,67.29,67.95,67.28,67.51,604900
2018-08-27 20:00:00-04:00,67.51,68.22,65.95,66.68,570600
2018-08-28 20:00:00-04:00,66.48,67.07,66.46,66.78,882400
2018-08-29 20:00:00-04:00,66.72,66.72,66.12,66.39,999100
2018-08-30 20:00:00-04:00,66.35,66.81,66.09,66.65,1213900
2018-09-03 20:00:00-04:00,66.55,67.21,66.05,66.61,859100
2018-09-04 20:00:00-04:00,66.41,68.27,66.41,68.21,1338400
2018-09-05 20:00:00-04:00,68.17,69.16,67.89,68.65,1284500
2018-09-06 20:00:00-04:00,68.32,68.86,67.67,68.04,899500
2018-09-09 20:00:00-04:00,68.17,69.28,68.02,69.02,956100
2018-09-10 20:00:00-04:00,68.76,68.99,67.89,68.67,923900
2018-09-11 20:00:00-04:00,68.80,68.92,68.07,68.35,740000
2018-09-12 20:00:00-04:00,68.32,68.64,67.20,67.53,1013300
2018-09-13 20:00:00-04:00,67.63,68.66,67.63,68.57,749300
2018-09-16 20:00:00-04:00,68.51,68.67,66.86,67.11,931600
2018-09-17 20:00:00-04:00,67.06,67.39,65.96,67.21,1377100
2018-09-18 20:00:00-04:00,69.71,69.71,67.07,67.32,807100
2018-09-19 20:00:00-04:00,67.52,67.83,66.86,67.01,799200
2018-09-20 20:00:00-04:00,67.03,67.49,66.34,67.01,1430200
2018-09-23 20:00:00-04:00,66.86,67.01,65.53,65.62,1055400
2018-09-24 20:00:00-04:00,65.93,66.11,65.39,65.67,851400
2018-09-25 20:00:00-04:00,65.88,67.11,65.40,66.50,861200
2018-09-26 20:00:00-04:00,66.51,66.73,65.96,66.09,748400
2018-09-27 20:00:00-04:00,66.05,66.97,65.77,66.88,1059000
2018-09-30 20:00:00-04:00,67.16,67.51,66.05,66.34,799200
2018-10-01 20:00:00-04:00,66.14,66.48,65.75,66.02,851400
2018-10-02 20:00:00-04:00,66.27,66.92,65.98,66.51,943100
2018-10-03 20:00:00-04:00,66.63,67.05,66.01,66.36,903700
2018-10-04 20:00:00-04:00,66.38,66.56,65.66,66.11,700800
2018-10-07 20:00:00-04:00,65.91,66.48,65.23,65.79,584600
