Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,113.33,114.20,110.16,111.46,1650800
2022-04-06 20:00:00-04:00,113.32,114.03,109.71,113.02,1877300
2022-04-07 20:00:00-04:00,112.55,117.51,112.55,117.18,2257300
2022-04-10 20:00:00-04:00,114.67,114.86,110.21,111.51,2391300
2022-04-11 20:00:00-04:00,113.29,117.27,113.29,114.86,1659800
2022-04-12 20:00:00-04:00,116.61,117.84,114.45,115.82,1626000
2022-04-13 20:00:00-04:00,114.72,116.30,113.60,114.25,1589200
2022-04-17 20:00:00-04:00,115.19,116.41,113.41,115.54,1716300
2022-04-18 20:00:00-04:00,114.67,116.02,113.08,113.82,1950700
2022-04-19 20:00:00-04:00,114.75,117.32,113.44,117.11,1882600
2022-04-20 20:00:00-04:00,118.53,120.47,112.81,113.35,2427300
2022-04-21 20:00:00-04:00,112.88,113.45,106.93,107.37,2228000
2022-04-24 20:00:00-04:00,103.37,104.71,98.84,103.84,2901100
2022-04-25 20:00:00-04:00,103.48,106.92,102.95,103.48,1587200
2022-04-26 20:00:00-04:00,104.39,105.70,100.36,104.52,1549900
2022-04-27 20:00:00-04:00,105.57,108.56,101.71,106.85,1896300
2022-04-28 20:00:00-04:00,107.16,108.98,103.42,104.18,1748800
2022-05-01 20:00:00-04:00,102.34,105.34,101.14,105.23,2298000
2022-05-02 20:00:00-04:00,110.48,112.89,105.93,112.33,3555100
2022-05-03 20:00:00-04:00,115.75,117.90,112.69,117.60,2581900
2022-05-04 20:00:00-04:00,118.51,119.62,111.81,114.38,2854100
2022-05-05 20:00:00-04:00,116.76,118.51,113.56,117.96,2732200
2022-05-08 20:00:00-04:00,114.39,115.11,105.56,106.87,3314700
2022-05-09 20:00:00-04:00,109.45,112.03,103.16,107.16,3144900
2022-05-10 20:00:00-04:00,109.09,112.51,105.64,105.87,2705600
2022-05-11 20:00:00-04:00,104.38,107.91,102.96,107.37,3362800
2022-05-12 20:00:00-04:00,109.75,114.75,109.67,112.77,2781600
2022-05-15 20:00:00-04:00,112.48,114.20,110.82,110.97,3959200
2022-05-16 20:00:00-04:00,113.13,113.13,109.42,111.09,2993400
2022-05-17 20:00:00-04:00,111.64,111.77,106.83,108.48,3284800
2022-05-18 20:00:00-04:00,105.49,111.67,105.38,109.72,2942600
2022-05-19 20:00:00-04:00,110.50,113.19,107.50,110.11,3060100
2022-05-22 20:00:00-04:00,111.14,115.13,109.72,115.03,3308000
2022-05-23 20:00:00-04:00,114.15,115.46,111.37,114.75,2542900
2022-05-24 20:00:00-04:00,116.51,120.55,115.96,119.80,3404000
2022-05-25 20:00:00-04:00,121.52,125.02,121.11,123.76,3329200
2022-05-26 20:00:00-04:00,123.41,129.37,122.94,129.02,3007600
2022-05-30 20:00:00-04:00,132.70,134.96,127.29,128.48,5259000
2022-05-31 20:00:00-04:00,130.15,132.17,127.52,129.21,3194600
2022-06-01 20:00:00-04:00,127.91,131.59,126.14,130.07,2084900
2022-06-02 20:00:00-04:00,129.87,131.61,129.35,130.71,1787700
2022-06-05 20:00:00-04:00,131.64,132.57,129.52,131.68,1561900
2022-06-06 20:00:00-04:00,130.77,136.12,130.52,135.56,2588100
2022-06-07 20:00:00-04:00,136.53,137.12,134.23,135.49,2131500
2022-06-08 20:00:00-04:00,134.94,136.27,133.25,133.39,2012400
2022-06-09 20:00:00-04:00,131.18,133.57,129.21,131.41,2074600
2022-06-12 20:00:00-04:00,126.34,127.16,120.14,124.91,3571800
2022-06-13 20:00:00-04:00,128.28,130.39,124.43,126.46,2928600
2022-06-14 20:00:00-04:00,125.85,127.62,121.80,124.03,3256400
2022-06-15 20:00:00-04:00,119.73,121.42,112.07,112.98,4887500
2022-06-16 20:00:00-04:00,111.65,112.62,101.05,103.35,9385900
2022-06-20 20:00:00-04:00,107.55,112.74,107.33,111.80,4853800
2022-06-21 20:00:00-04:00,104.38,109.03,103.37,106.57,4888000
2022-06-22 20:00:00-04:00,107.33,108.47,99.20,100.78,4647300
2022-06-23 20:00:00-04:00,102.73,106.33,99.77,101.16,8195200
2022-06-26 20:00:00-04:00,102.26,106.41,101.27,105.13,3281100
2022-06-27 20:00:00-04:00,108.81,111.08,106.32,109.70,3428400
2022-06-28 20:00:00-04:00,110.87,112.08,103.18,103.37,3422600
2022-06-29 20:00:00-04:00,100.77,104.78,100.21,102.39,2875400
2022-06-30 20:00:00-04:00,102.97,104.00,98.16,102.44,2392300
2022-07-04 20:00:00-04:00,99.09,99.85,93.84,96.47,4823400
2022-07-05 20:00:00-04:00,94.94,97.12,89.80,93.20,4696800
2022-07-06 20:00:00-04:00,96.46,99.64,96.46,98.29,3716200
2022-07-07 20:00:00-04:00,99.96,100.23,96.04,98.32,2328100
2022-07-10 20:00:00-04:00,96.74,98.04,94.39,96.68,1796900
2022-07-11 20:00:00-04:00,93.25,94.91,91.19,93.31,2649200
2022-07-12 20:00:00-04:00,91.98,96.04,91.98,93.46,1872500
2022-07-13 20:00:00-04:00,89.59,91.19,87.65,90.19,3025100
2022-07-14 20:00:00-04:00,92.15,92.79,90.52,92.24,1941300
2022-07-17 20:00:00-04:00,95.32,96.71,94.50,95.10,2007800
2022-07-18 20:00:00-04:00,95.17,98.93,94.54,98.49,1652800
2022-07-19 20:00:00-04:00,97.24,100.94,96.23,100.38,1655900
2022-07-20 20:00:00-04:00,97.26,98.54,95.19,98.01,1392500
2022-07-21 20:00:00-04:00,98.57,99.30,95.21,95.87,1710400
2022-07-24 20:00:00-04:00,98.81,102.36,96.63,101.41,2881300
2022-07-25 20:00:00-04:00,103.28,103.94,98.21,99.96,1921700
2022-07-26 20:00:00-04:00,100.42,104.72,100.20,104.20,2038800
2022-07-27 20:00:00-04:00,105.37,106.13,103.08,104.47,1874700
2022-07-28 20:00:00-04:00,106.89,108.75,105.32,108.20,2478300
2022-07-31 20:00:00-04:00,106.34,107.59,103.53,106.42,2799800
2022-08-01 20:00:00-04:00,105.35,109.00,104.28,107.79,3512000
2022-08-02 20:00:00-04:00,109.37,109.53,102.01,102.58,2596600
2022-08-03 20:00:00-04:00,101.27,102.31,98.04,98.42,3202700
2022-08-04 20:00:00-04:00,97.10,103.96,96.65,102.58,2479600
2022-08-07 20:00:00-04:00,102.60,105.35,102.09,104.07,2461600
2022-08-08 20:00:00-04:00,106.05,107.87,104.40,105.25,2718000
2022-08-09 20:00:00-04:00,105.10,107.54,102.63,106.52,2571400
2022-08-10 20:00:00-04:00,108.87,113.55,108.75,112.22,2690000
2022-08-11 20:00:00-04:00,111.24,112.79,109.98,112.51,2517200
2022-08-14 20:00:00-04:00,108.29,111.23,105.72,110.65,2960700
2022-08-15 20:00:00-04:00,111.43,112.25,107.13,108.63,2159800
2022-08-16 20:00:00-04:00,108.72,111.02,107.77,108.79,1905600
2022-08-17 20:00:00-04:00,110.05,113.37,109.85,112.51,2334700
2022-08-18 20:00:00-04:00,111.28,113.82,110.92,112.78,1786900
2022-08-21 20:00:00-04:00,111.58,113.82,108.35,113.47,1885900
2022-08-22 20:00:00-04:00,116.31,120.32,115.99,116.87,3278200
2022-08-23 20:00:00-04:00,116.60,119.38,116.26,118.20,3554400
2022-08-24 20:00:00-04:00,119.33,119.49,116.06,117.88,2759900
2022-08-25 20:00:00-04:00,117.27,119.03,115.41,115.84,2587000
2022-08-28 20:00:00-04:00,115.88,122.63,114.84,120.46,3585500
2022-08-29 20:00:00-04:00,117.43,117.76,113.70,115.97,2509300
2022-08-30 20:00:00-04:00,112.77,117.52,111.85,115.28,2777500
2022-08-31 20:00:00-04:00,112.88,113.54,110.54,112.70,2306300
2022-09-01 20:00:00-04:00,116.55,117.62,114.38,115.79,1756400
2022-09-05 20:00:00-04:00,117.89,118.48,114.70,115.91,2783300
2022-09-06 20:00:00-04:00,112.32,114.74,111.63,113.80,2227000
2022-09-07 20:00:00-04:00,113.90,114.69,112.42,114.34,1653600
2022-09-08 20:00:00-04:00,117.16,118.04,115.91,116.79,1732300
2022-09-11 20:00:00-04:00,119.21,120.83,117.90,118.82,2061400
2022-09-12 20:00:00-04:00,117.50,121.35,116.04,116.52,1939500
2022-09-13 20:00:00-04:00,118.47,122.07,118.21,121.24,2149300
2022-09-14 20:00:00-04:00,117.96,119.50,116.16,116.45,1963300
2022-09-15 20:00:00-04:00,114.66,115.21,111.36,114.71,5496100
2022-09-18 20:00:00-04:00,109.61,114.65,109.43,113.25,1987500
2022-09-19 20:00:00-04:00,112.35,113.99,110.24,113.13,2355600
2022-09-20 20:00:00-04:00,115.63,116.21,111.36,111.41,1969000
2022-09-21 20:00:00-04:00,113.99,114.61,109.41,109.45,1569600
2022-09-22 20:00:00-04:00,104.70,104.77,98.31,99.64,3556600
2022-09-25 20:00:00-04:00,98.74,100.16,95.99,96.19,2549500
2022-09-26 20:00:00-04:00,98.36,99.95,96.64,98.16,3214900
2022-09-27 20:00:00-04:00,98.81,104.05,98.42,103.28,2517900
2022-09-28 20:00:00-04:00,102.48,104.87,100.29,104.58,1725600
2022-09-29 20:00:00-04:00,103.16,105.25,102.06,104.19,2004000
2022-10-02 20:00:00-04:00,109.33,113.31,108.66,112.03,2517000
2022-10-03 20:00:00-04:00,115.46,118.35,113.49,117.89,2452800
2022-10-04 20:00:00-04:00,116.53,121.49,116.52,120.55,3323900
2022-10-05 20:00:00-04:00,119.49,123.83,119.37,123.11,2422400
2022-10-06 20:00:00-04:00,123.26,124.62,121.34,123.20,2081000
2022-10-09 20:00:00-04:00,122.00,124.74,119.39,121.36,1731300
2022-10-10 20:00:00-04:00,117.99,122.76,117.66,120.55,2605500
2022-10-11 20:00:00-04:00,120.33,123.38,118.53,122.11,2969900
2022-10-12 20:00:00-04:00,120.20,127.58,119.85,125.66,2637200
2022-10-13 20:00:00-04:00,124.83,126.86,120.31,120.54,3216900
2022-10-16 20:00:00-04:00,123.08,125.03,120.26,120.63,1925100
2022-10-17 20:00:00-04:00,122.34,123.49,119.87,122.70,1645600
2022-10-18 20:00:00-04:00,122.31,127.26,122.31,126.31,2078800
2022-10-19 20:00:00-04:00,127.94,128.85,125.91,126.80,1743200
2022-10-20 20:00:00-04:00,127.25,131.84,126.76,131.75,2486500
2022-10-23 20:00:00-04:00,130.87,134.77,130.41,132.56,2026600
2022-10-24 20:00:00-04:00,132.23,133.91,131.25,132.65,1711100
2022-10-25 20:00:00-04:00,133.39,136.23,132.78,134.40,1690100
2022-10-26 20:00:00-04:00,137.12,137.21,132.35,132.64,2421100
2022-10-27 20:00:00-04:00,134.76,135.48,129.56,133.05,2005400
2022-10-30 20:00:00-04:00,131.32,137.43,131.15,135.89,2053300
2022-10-31 20:00:00-04:00,138.39,139.14,136.25,137.21,1773700
2022-11-01 20:00:00-04:00,136.40,137.16,132.88,133.92,1988900
2022-11-02 20:00:00-04:00,133.37,139.04,132.86,137.12,2226700
2022-11-03 20:00:00-04:00,140.55,140.81,136.35,139.58,2899900
2022-11-06 19:00:00-05:00,140.73,143.30,139.77,141.41,3424400
2022-11-07 19:00:00-05:00,140.87,143.91,139.26,141.46,2653400
2022-11-08 19:00:00-05:00,139.69,140.59,135.54,136.28,2815400
2022-11-09 19:00:00-05:00,138.02,138.80,135.69,138.64,2117600
2022-11-10 19:00:00-05:00,141.85,144.00,141.11,142.16,2691200
2022-11-13 19:00:00-05:00,141.23,144.09,141.00,141.48,1865000
2022-11-14 19:00:00-05:00,142.02,146.14,140.62,144.48,3313800
2022-11-15 19:00:00-05:00,143.18,143.92,139.09,139.40,3438600
2022-11-16 19:00:00-05:00,137.17,141.97,136.36,141.85,2038000
2022-11-17 19:00:00-05:00,137.21,137.54,133.41,136.98,3815400
2022-11-20 19:00:00-05:00,133.20,133.44,124.63,131.52,4481900
2022-11-21 19:00:00-05:00,133.63,134.85,131.35,132.79,2863300
2022-11-22 19:00:00-05:00,130.43,132.03,128.81,131.52,2309800
2022-11-24 19:00:00-05:00,132.66,133.18,130.72,130.93,984100
2022-11-27 19:00:00-05:00,125.93,128.15,125.17,126.03,3470000
2022-11-28 19:00:00-05:00,128.51,130.00,127.30,128.67,2099200
2022-11-29 19:00:00-05:00,130.59,131.05,126.74,129.79,2796600
2022-11-30 19:00:00-05:00,130.82,131.36,126.53,126.88,2171600
2022-12-01 19:00:00-05:00,126.63,128.38,125.12,127.54,2402900
2022-12-04 19:00:00-05:00,129.96,131.44,123.26,124.51,2496400
2022-12-05 19:00:00-05:00,123.07,125.91,120.58,121.19,2009500
2022-12-06 19:00:00-05:00,121.70,123.38,119.66,119.74,1795200
2022-12-07 19:00:00-05:00,123.05,123.86,116.15,116.51,3625400
2022-12-08 19:00:00-05:00,116.27,118.52,113.54,113.64,2872100
2022-12-11 19:00:00-05:00,114.60,117.92,113.72,117.68,3968200
2022-12-12 19:00:00-05:00,119.42,121.54,118.29,119.53,4811300
2022-12-13 19:00:00-05:00,120.56,122.70,119.14,119.99,4133300
2022-12-14 19:00:00-05:00,118.37,121.07,117.77,120.46,2998200
2022-12-15 19:00:00-05:00,117.81,119.90,116.45,117.78,12724100
2022-12-18 19:00:00-05:00,118.08,119.54,116.27,117.13,1879400
2022-12-19 19:00:00-05:00,116.79,119.42,116.40,118.32,1668400
2022-12-20 19:00:00-05:00,120.87,121.11,118.81,120.13,2396500
2022-12-21 19:00:00-05:00,120.48,120.58,113.70,116.51,2354400
2022-12-22 19:00:00-05:00,118.46,120.21,117.50,120.15,1759500
2022-12-26 19:00:00-05:00,120.70,121.17,119.62,120.63,1560200
2022-12-27 19:00:00-05:00,120.41,120.54,117.42,117.91,1719700
2022-12-28 19:00:00-05:00,116.59,120.28,116.19,119.49,1406400
2022-12-29 19:00:00-05:00,118.86,120.35,118.37,119.93,1487000
2023-01-02 19:00:00-05:00,118.35,119.53,113.65,115.20,2406400
2023-01-03 19:00:00-05:00,113.21,116.78,112.30,114.53,1724400
2023-01-04 19:00:00-05:00,114.93,118.58,114.22,117.53,2407600
2023-01-05 19:00:00-05:00,119.69,122.21,118.99,121.13,2473700
2023-01-08 19:00:00-05:00,123.49,125.70,122.99,124.06,2453400
2023-01-09 19:00:00-05:00,124.97,125.49,122.55,124.47,1756100
2023-01-10 19:00:00-05:00,126.44,126.76,122.97,124.72,2199600
2023-01-11 19:00:00-05:00,124.99,128.66,124.99,127.43,1959900
2023-01-12 19:00:00-05:00,127.61,128.02,126.15,127.35,1526600
2023-01-16 19:00:00-05:00,128.17,129.14,127.46,127.78,1883600
2023-01-17 19:00:00-05:00,128.40,131.21,126.18,126.35,2183500
2023-01-18 19:00:00-05:00,125.59,128.81,124.31,128.39,1808100
2023-01-19 19:00:00-05:00,128.59,129.67,127.31,129.38,1534600
2023-01-22 19:00:00-05:00,130.65,131.71,130.04,130.95,1467200
2023-01-23 19:00:00-05:00,131.48,131.96,128.46,129.10,1213300
2023-01-24 19:00:00-05:00,129.29,129.30,125.65,128.96,1646200
2023-01-25 19:00:00-05:00,130.91,131.52,128.51,131.43,2409400
2023-01-26 19:00:00-05:00,131.52,133.97,131.14,132.37,1632700
2023-01-29 19:00:00-05:00,130.38,130.65,127.32,127.44,2423400
2023-01-30 19:00:00-05:00,127.19,129.42,126.15,128.12,1632700
2023-01-31 19:00:00-05:00,127.14,127.69,123.56,125.69,2554200
2023-02-01 19:00:00-05:00,125.36,125.36,120.15,120.63,2727100
2023-02-02 19:00:00-05:00,121.35,123.93,120.70,121.35,1553300
2023-02-05 19:00:00-05:00,121.08,122.76,118.42,120.23,1748300
2023-02-06 19:00:00-05:00,121.20,126.00,119.69,125.88,2406600
2023-02-07 19:00:00-05:00,127.03,127.37,124.97,126.52,2029300
2023-02-08 19:00:00-05:00,126.47,126.83,123.83,124.04,1997500
2023-02-09 19:00:00-05:00,126.29,130.97,125.90,130.90,2817400
2023-02-12 19:00:00-05:00,129.70,131.87,129.08,129.97,2778100
2023-02-13 19:00:00-05:00,128.31,132.16,128.02,131.41,1617600
2023-02-14 19:00:00-05:00,129.38,129.50,126.14,127.70,3966400
2023-02-15 19:00:00-05:00,126.97,127.95,124.25,124.30,2541700
2023-02-16 19:00:00-05:00,122.12,122.12,116.88,118.09,4160500
