Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,171.30,174.56,169.70,174.48,449200
2018-07-02 20:00:00-04:00,175.37,175.89,174.18,174.73,271800
2018-07-04 20:00:00-04:00,175.48,176.85,174.37,176.57,652700
2018-07-05 20:00:00-04:00,176.83,177.91,175.47,177.25,317700
2018-07-08 20:00:00-04:00,177.76,177.99,175.77,177.91,487000
2018-07-09 20:00:00-04:00,177.30,179.22,176.65,178.62,571900
2018-07-10 20:00:00-04:00,176.90,176.90,170.12,174.93,942800
2018-07-11 20:00:00-04:00,176.08,178.38,175.79,177.35,504000
2018-07-12 20:00:00-04:00,177.68,178.98,174.12,176.03,662500
2018-07-15 20:00:00-04:00,176.64,178.47,175.11,175.68,528200
2018-07-16 20:00:00-04:00,174.95,177.68,174.95,176.75,613900
2018-07-17 20:00:00-04:00,176.73,180.11,176.70,179.45,694200
2018-07-18 20:00:00-04:00,173.33,174.95,169.71,171.69,961400
2018-07-19 20:00:00-04:00,172.46,173.82,171.58,172.38,868100
2018-07-22 20:00:00-04:00,171.68,173.60,170.97,172.62,657900
2018-07-23 20:00:00-04:00,173.66,174.78,171.65,172.46,857500
2018-07-24 20:00:00-04:00,173.49,175.57,172.08,175.20,855500
2018-07-25 20:00:00-04:00,178.99,178.99,169.00,177.08,1236200
2018-07-26 20:00:00-04:00,177.71,178.44,173.24,174.23,639100
2018-07-29 20:00:00-04:00,173.46,173.93,169.40,170.13,688200
2018-07-30 20:00:00-04:00,171.35,172.85,170.34,171.38,678700
2018-07-31 20:00:00-04:00,171.86,174.12,170.06,170.60,617400
2018-08-01 20:00:00-04:00,168.99,173.07,168.77,172.26,788400
2018-08-02 20:00:00-04:00,172.15,174.07,172.15,172.23,588500
2018-08-05 20:00:00-04:00,171.69,175.77,170.58,175.44,649900
2018-08-06 20:00:00-04:00,175.28,177.86,175.28,176.71,535400
2018-08-07 20:00:00-04:00,176.67,180.00,176.30,179.00,724400
2018-08-08 20:00:00-04:00,179.00,181.09,179.00,179.91,617900
2018-08-09 20:00:00-04:00,179.15,180.52,178.71,179.98,345100
2018-08-12 20:00:00-04:00,180.00,182.32,179.68,179.85,423700
2018-08-13 20:00:00-04:00,180.48,182.48,179.62,181.55,479100
2018-08-14 20:00:00-04:00,180.31,181.48,176.00,178.96,563400
2018-08-15 20:00:00-04:00,180.77,181.67,178.23,178.62,529200
2018-08-16 20:00:00-04:00,177.97,180.89,177.97,180.68,574100
2018-08-19 20:00:00-04:00,181.71,184.05,181.64,183.22,642900
2018-08-20 20:00:00-04:00,182.99,184.58,180.68,183.67,416100
2018-08-21 20:00:00-04:00,183.85,185.00,182.84,184.82,376600
2018-08-22 20:00:00-04:00,184.69,186.21,183.57,185.63,419200
2018-08-23 20:00:00-04:00,186.37,188.62,185.75,187.64,445900
2018-08-26 20:00:00-04:00,188.50,189.53,188.04,188.40,378700
2018-08-27 20:00:00-04:00,188.40,189.65,188.32,189.65,327900
2018-08-28 20:00:00-04:00,189.98,191.16,189.54,190.43,691300
