Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,67.06,67.56,65.70,66.41,4918500
2022-04-06 20:00:00-04:00,66.25,68.90,66.25,67.62,5227500
2022-04-07 20:00:00-04:00,67.02,68.34,66.78,67.17,3617500
2022-04-10 20:00:00-04:00,66.14,66.77,64.93,65.61,4485000
2022-04-11 20:00:00-04:00,67.06,68.34,65.49,66.02,3894000
2022-04-12 20:00:00-04:00,66.40,68.54,66.10,68.17,3954500
2022-04-13 20:00:00-04:00,68.57,68.68,66.21,66.35,3645000
2022-04-17 20:00:00-04:00,65.89,66.84,64.65,66.08,3188000
2022-04-18 20:00:00-04:00,65.87,67.23,65.09,67.04,3805000
2022-04-19 20:00:00-04:00,67.60,69.73,67.35,68.12,5339000
2022-04-20 20:00:00-04:00,68.92,71.52,64.09,64.25,6071000
2022-04-21 20:00:00-04:00,64.18,64.77,60.73,60.86,5262000
2022-04-24 20:00:00-04:00,60.43,64.86,60.20,64.70,6626000
2022-04-25 20:00:00-04:00,63.87,64.29,61.29,61.30,4976500
2022-04-26 20:00:00-04:00,61.32,63.15,59.93,60.06,5187000
2022-04-27 20:00:00-04:00,60.85,62.38,59.33,61.73,5961500
2022-04-28 20:00:00-04:00,61.24,61.98,57.53,57.80,6013000
2022-05-01 20:00:00-04:00,57.71,58.90,56.71,58.40,6456000
2022-05-02 20:00:00-04:00,58.40,58.80,56.73,57.31,5069500
2022-05-03 20:00:00-04:00,56.84,57.70,53.55,57.47,11359000
2022-05-04 20:00:00-04:00,60.60,61.28,55.16,56.90,13191000
2022-05-05 20:00:00-04:00,55.82,55.90,52.65,53.27,7995000
2022-05-08 20:00:00-04:00,51.95,52.38,48.73,49.04,10737000
2022-05-09 20:00:00-04:00,51.76,53.46,49.10,52.36,13170000
2022-05-10 20:00:00-04:00,52.32,55.75,51.88,52.19,15667500
2022-05-11 20:00:00-04:00,51.40,55.48,50.80,53.33,10798000
2022-05-12 20:00:00-04:00,54.51,56.70,54.47,56.31,8673500
