Date,Open,High,Low,Close,Volume
2022-12-14 19:00:00-05:00,62.66,62.66,59.68,59.68,1318200
2022-12-15 19:00:00-05:00,59.68,59.68,54.71,56.44,2307500
2022-12-18 19:00:00-05:00,52.72,58.67,52.72,56.20,117200
2022-12-19 19:00:00-05:00,57.69,57.69,56.46,56.90,22200
2022-12-20 19:00:00-05:00,58.68,65.92,55.20,56.65,290700
2022-12-21 19:00:00-05:00,58.12,60.69,56.69,57.29,3253200
2022-12-22 19:00:00-05:00,57.78,60.32,56.69,57.19,125800
2022-12-26 19:00:00-05:00,57.67,58.67,57.07,57.14,26500
2022-12-27 19:00:00-05:00,57.62,57.69,56.69,57.19,514800
2022-12-28 19:00:00-05:00,58.19,58.46,57.44,57.69,374800
2022-12-29 19:00:00-05:00,58.43,58.68,57.42,58.07,351100
2023-01-02 19:00:00-05:00,60.35,60.35,55.57,55.70,1794100
2023-01-03 19:00:00-05:00,53.84,60.38,53.21,60.17,33338500
2023-01-04 19:00:00-05:00,60.31,62.64,57.83,58.68,8850600
2023-01-05 19:00:00-05:00,59.36,59.62,57.56,58.63,5902600
2023-01-08 19:00:00-05:00,58.47,59.66,57.42,57.79,5288900
2023-01-09 19:00:00-05:00,58.83,59.74,57.74,59.68,6663000
2023-01-10 19:00:00-05:00,60.12,66.02,59.75,64.64,9219400
2023-01-11 19:00:00-05:00,65.74,66.16,63.32,65.30,5819800
2023-01-12 19:00:00-05:00,64.65,65.15,63.40,65.09,3772100
2023-01-16 19:00:00-05:00,63.60,65.38,62.92,62.99,3774600
2023-01-17 19:00:00-05:00,62.86,63.16,61.66,61.75,2610300
2023-01-18 19:00:00-05:00,61.00,64.15,60.97,63.60,2585600
2023-01-19 19:00:00-05:00,63.62,67.46,63.20,66.41,4001600
2023-01-22 19:00:00-05:00,66.99,69.54,66.42,69.15,3724100
2023-01-23 19:00:00-05:00,68.66,70.25,68.34,69.23,2591000
2023-01-24 19:00:00-05:00,68.09,69.33,66.59,68.34,2802100
2023-01-25 19:00:00-05:00,68.14,69.08,67.44,68.85,2075900
2023-01-26 19:00:00-05:00,68.49,70.13,67.99,69.70,2810600
2023-01-29 19:00:00-05:00,68.04,73.55,67.56,71.12,4259900
2023-01-30 19:00:00-05:00,70.63,70.73,68.13,69.15,3084300
2023-01-31 19:00:00-05:00,68.63,70.36,67.17,69.63,2698700
2023-02-01 19:00:00-05:00,69.22,71.50,68.63,70.27,2776000
2023-02-02 19:00:00-05:00,69.26,70.25,68.73,70.17,3074900
2023-02-05 19:00:00-05:00,69.54,71.96,69.17,71.47,2227400
2023-02-06 19:00:00-05:00,71.20,71.81,70.72,71.25,1932300
2023-02-07 19:00:00-05:00,70.83,71.04,69.64,69.79,1111900
2023-02-08 19:00:00-05:00,69.87,70.60,67.84,68.04,1186000
2023-02-09 19:00:00-05:00,67.83,69.17,67.82,68.87,1968100
2023-02-12 19:00:00-05:00,68.15,69.50,67.55,69.06,2223200
2023-02-13 19:00:00-05:00,68.58,72.78,68.35,72.22,3036000
2023-02-14 19:00:00-05:00,72.31,73.15,71.34,71.93,1773000
2023-02-15 19:00:00-05:00,71.22,71.43,69.96,70.53,1829400
2023-02-16 19:00:00-05:00,70.59,73.09,70.51,72.78,2408600
2023-02-20 19:00:00-05:00,72.23,72.71,71.86,72.08,1835500
2023-02-21 19:00:00-05:00,71.88,72.61,70.46,71.55,2010200
2023-02-22 19:00:00-05:00,72.05,75.80,71.90,75.49,3763200
2023-02-23 19:00:00-05:00,74.44,75.36,73.82,74.61,2102900
2023-02-26 19:00:00-05:00,74.60,76.57,74.17,75.63,2139600
2023-02-27 19:00:00-05:00,75.63,75.93,74.90,75.59,3511800
2023-02-28 19:00:00-05:00,74.97,75.33,74.61,74.90,2534300
2023-03-01 19:00:00-05:00,74.39,75.07,74.10,74.64,1391900
2023-03-02 19:00:00-05:00,75.13,76.49,74.72,75.96,2082700
2023-03-05 19:00:00-05:00,75.50,76.75,75.29,76.27,1874100
2023-03-06 19:00:00-05:00,75.95,76.42,75.52,75.84,1709400
2023-03-07 19:00:00-05:00,75.84,76.98,75.69,76.22,1641300
2023-03-08 19:00:00-05:00,76.59,76.98,75.49,75.97,1683800
2023-03-09 19:00:00-05:00,75.47,76.12,74.10,74.57,3388600
2023-03-12 20:00:00-04:00,74.55,77.06,73.64,75.83,2272100
2023-03-13 20:00:00-04:00,76.28,78.34,75.94,76.73,1992300
2023-03-14 20:00:00-04:00,75.52,76.40,75.18,76.35,2326200
2023-03-15 20:00:00-04:00,75.55,77.03,75.34,76.21,1624600
2023-03-16 20:00:00-04:00,76.45,77.12,75.03,75.43,5803300
2023-03-19 20:00:00-04:00,75.09,75.40,74.11,74.80,1714100
2023-03-20 20:00:00-04:00,75.24,76.27,75.10,76.11,1401600
2023-03-21 20:00:00-04:00,76.45,76.64,74.31,74.37,1549800
2023-03-22 20:00:00-04:00,75.01,76.30,74.47,75.30,1393700
2023-03-23 20:00:00-04:00,74.86,76.08,74.49,76.05,1154800
2023-03-26 20:00:00-04:00,76.41,77.04,75.86,75.97,1196600
2023-03-27 20:00:00-04:00,75.97,76.53,75.74,76.49,760800
2023-03-28 20:00:00-04:00,76.95,79.04,76.65,78.82,1786000
2023-03-29 20:00:00-04:00,79.35,81.85,79.07,81.70,2188900
2023-03-30 20:00:00-04:00,81.81,82.15,81.14,81.59,1916200
2023-04-02 20:00:00-04:00,81.56,82.18,81.03,81.37,1913100
2023-04-03 20:00:00-04:00,81.56,81.72,81.03,81.15,1552700
2023-04-04 20:00:00-04:00,81.06,81.36,80.22,80.69,1410600
2023-04-05 20:00:00-04:00,80.54,80.63,79.66,79.73,1356700
2023-04-09 20:00:00-04:00,79.50,80.20,79.27,80.16,1579200
2023-04-10 20:00:00-04:00,80.16,80.25,79.53,80.16,1167000
2023-04-11 20:00:00-04:00,80.57,81.46,80.17,81.31,1232000
2023-04-12 20:00:00-04:00,81.21,82.73,80.94,82.50,1252800
2023-04-13 20:00:00-04:00,82.01,82.83,81.54,81.93,1163600
2023-04-16 20:00:00-04:00,81.73,82.79,81.56,82.28,861000
2023-04-17 20:00:00-04:00,82.35,83.71,82.35,83.21,1522000
2023-04-18 20:00:00-04:00,83.34,86.41,83.30,85.29,2422900
2023-04-19 20:00:00-04:00,84.91,85.86,84.23,84.54,1634900
2023-04-20 20:00:00-04:00,84.74,86.05,84.63,86.02,1850600
2023-04-23 20:00:00-04:00,86.14,87.36,85.72,87.32,2692800
2023-04-24 20:00:00-04:00,83.05,83.05,78.36,79.96,7291400
2023-04-25 20:00:00-04:00,79.30,79.84,77.14,79.69,3489500
2023-04-26 20:00:00-04:00,80.39,81.10,80.19,81.08,1557000
2023-04-27 20:00:00-04:00,80.76,81.29,80.58,80.90,1617600
2023-04-30 20:00:00-04:00,80.65,81.29,80.29,80.35,1355800
2023-05-01 20:00:00-04:00,79.91,80.22,77.47,78.04,1879100
2023-05-02 20:00:00-04:00,78.05,79.99,77.60,79.28,1748900
2023-05-03 20:00:00-04:00,79.19,79.83,77.27,77.84,1751400
2023-05-04 20:00:00-04:00,78.08,79.10,78.08,78.57,1077400
2023-05-07 20:00:00-04:00,78.46,79.06,78.19,78.99,842300
2023-05-08 20:00:00-04:00,78.13,78.37,75.71,75.96,2499700
2023-05-09 20:00:00-04:00,76.09,76.35,74.57,75.49,1792900
2023-05-10 20:00:00-04:00,75.30,75.30,74.31,74.59,1504800
2023-05-11 20:00:00-04:00,74.49,74.61,73.87,74.52,2577800
2023-05-14 20:00:00-04:00,74.70,75.15,74.30,74.53,1187900
2023-05-15 20:00:00-04:00,74.87,77.85,74.82,77.36,2668900
2023-05-16 20:00:00-04:00,77.51,80.18,75.80,79.87,3716300
2023-05-17 20:00:00-04:00,79.99,80.69,78.80,79.26,1483500
2023-05-18 20:00:00-04:00,79.66,80.65,78.70,78.91,1312900
2023-05-21 20:00:00-04:00,78.95,79.02,78.32,78.69,1357700
2023-05-22 20:00:00-04:00,78.57,79.38,76.68,76.81,1382400
2023-05-23 20:00:00-04:00,76.59,76.76,75.70,76.15,1431900
2023-05-24 20:00:00-04:00,76.15,79.66,75.23,79.46,3127800
2023-05-25 20:00:00-04:00,79.37,79.80,77.98,78.04,2243100
2023-05-29 20:00:00-04:00,77.86,78.66,77.02,77.57,1775800
2023-05-30 20:00:00-04:00,78.15,79.33,77.36,79.11,4501500
2023-05-31 20:00:00-04:00,79.33,79.70,78.50,79.43,2355500
2023-06-01 20:00:00-04:00,79.90,80.47,79.50,79.57,2404500
2023-06-04 20:00:00-04:00,79.51,80.32,78.39,80.09,1416700
2023-06-05 20:00:00-04:00,77.61,82.77,77.41,82.52,23800600
2023-06-06 20:00:00-04:00,81.08,81.85,79.79,80.08,3883900
2023-06-07 20:00:00-04:00,76.96,78.01,76.37,77.36,15048600
2023-06-08 20:00:00-04:00,77.71,78.11,76.68,76.72,4894700
2023-06-11 20:00:00-04:00,76.86,77.92,76.52,77.88,5545200
2023-06-12 20:00:00-04:00,77.91,78.06,76.32,77.40,4122300
2023-06-13 20:00:00-04:00,77.79,78.41,77.09,78.14,3322600
2023-06-14 20:00:00-04:00,78.27,78.78,77.83,78.71,3277900
2023-06-15 20:00:00-04:00,79.10,79.70,78.10,78.26,5390600
2023-06-19 20:00:00-04:00,77.97,78.77,77.36,78.51,3151100
2023-06-20 20:00:00-04:00,78.40,79.60,77.90,79.22,2805700
2023-06-21 20:00:00-04:00,79.54,80.35,79.18,79.81,2229200
2023-06-22 20:00:00-04:00,79.46,79.95,78.62,79.42,7973000
2023-06-25 20:00:00-04:00,79.62,79.90,77.35,77.41,2500700
2023-06-26 20:00:00-04:00,77.56,77.96,75.81,76.69,3250400
2023-06-27 20:00:00-04:00,77.11,77.20,75.96,76.81,2920500
2023-06-28 20:00:00-04:00,76.88,78.31,76.77,78.29,1908200
2023-06-29 20:00:00-04:00,79.02,81.00,78.92,80.83,3429500
2023-07-02 20:00:00-04:00,81.00,81.05,79.50,80.29,1086900
2023-07-04 20:00:00-04:00,79.97,80.88,79.54,80.25,2655900
2023-07-05 20:00:00-04:00,79.60,79.87,78.61,78.73,2595900
2023-07-06 20:00:00-04:00,78.59,79.71,77.91,79.22,2892600
2023-07-09 20:00:00-04:00,79.73,80.38,79.60,80.26,2263000
2023-07-10 20:00:00-04:00,80.10,81.04,79.81,80.85,1793100
2023-07-11 20:00:00-04:00,80.88,82.25,80.88,81.28,2124800
2023-07-12 20:00:00-04:00,81.32,81.59,80.50,80.99,1476300
2023-07-13 20:00:00-04:00,81.09,81.75,80.83,81.41,1791900
2023-07-16 20:00:00-04:00,81.33,81.95,80.68,80.79,2343200
2023-07-17 20:00:00-04:00,80.70,82.48,80.35,82.06,2842800
2023-07-18 20:00:00-04:00,82.37,82.53,81.25,81.34,2781700
