Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,32.63,32.73,32.14,32.20,7075600
2018-07-02 20:00:00-04:00,32.32,32.54,32.21,32.26,3167600
2018-07-04 20:00:00-04:00,32.38,33.24,32.26,33.24,6755300
2018-07-05 20:00:00-04:00,33.35,33.66,33.09,33.38,4302600
2018-07-08 20:00:00-04:00,33.38,33.65,33.13,33.20,3777200
2018-07-09 20:00:00-04:00,33.20,33.51,32.82,33.49,6012200
2018-07-10 20:00:00-04:00,33.42,33.65,33.21,33.49,4057300
2018-07-11 20:00:00-04:00,33.53,33.84,33.25,33.41,4524800
2018-07-12 20:00:00-04:00,33.50,33.74,33.43,33.65,2922300
2018-07-15 20:00:00-04:00,33.70,33.70,32.86,32.94,3954200
2018-07-16 20:00:00-04:00,32.90,33.29,32.88,33.14,3485800
2018-07-17 20:00:00-04:00,33.08,33.11,32.24,32.29,4526400
2018-07-18 20:00:00-04:00,32.24,32.54,32.09,32.48,4363800
2018-07-19 20:00:00-04:00,32.48,32.65,32.32,32.49,3427400
2018-07-22 20:00:00-04:00,32.45,32.48,32.01,32.14,2988000
2018-07-23 20:00:00-04:00,32.12,32.40,31.96,32.29,4801600
2018-07-24 20:00:00-04:00,32.42,32.70,32.21,32.63,3375900
2018-07-25 20:00:00-04:00,32.81,33.49,32.81,33.10,3849900
2018-07-26 20:00:00-04:00,33.24,33.74,33.16,33.71,5342300
2018-07-29 20:00:00-04:00,33.48,34.46,33.44,34.41,5746400
2018-07-30 20:00:00-04:00,34.52,34.74,34.25,34.52,7127700
2018-07-31 20:00:00-04:00,34.51,34.61,33.77,33.78,5684200
2018-08-01 20:00:00-04:00,33.71,34.31,33.27,34.28,5298600
2018-08-02 20:00:00-04:00,34.42,35.80,34.30,35.40,8204100
2018-08-05 20:00:00-04:00,35.37,35.61,35.18,35.29,4034300
2018-08-06 20:00:00-04:00,35.29,35.29,34.70,34.83,4347400
2018-08-07 20:00:00-04:00,34.92,34.92,33.84,33.89,6007900
2018-08-08 20:00:00-04:00,33.91,34.11,33.74,33.92,2498100
2018-08-09 20:00:00-04:00,33.82,34.05,33.55,33.86,2566300
2018-08-12 20:00:00-04:00,34.07,34.11,33.67,34.07,3489500
2018-08-13 20:00:00-04:00,34.22,34.61,34.18,34.32,3093900
2018-08-14 20:00:00-04:00,34.31,34.80,34.04,34.64,4976800
2018-08-15 20:00:00-04:00,34.71,35.26,34.69,34.92,4127700
2018-08-16 20:00:00-04:00,34.79,35.42,34.79,35.38,3374000
2018-08-19 20:00:00-04:00,35.41,35.75,35.35,35.65,3717700
2018-08-20 20:00:00-04:00,35.56,35.59,34.52,34.57,3774600
2018-08-21 20:00:00-04:00,34.47,34.51,33.99,34.28,2936200
2018-08-22 20:00:00-04:00,34.06,34.38,33.91,34.16,2788000
2018-08-23 20:00:00-04:00,34.20,34.64,34.08,34.46,2231400
2018-08-26 20:00:00-04:00,34.55,34.67,34.29,34.37,2179700
2018-08-27 20:00:00-04:00,34.35,34.44,33.93,34.01,2499700
2018-08-28 20:00:00-04:00,34.01,34.24,33.88,34.23,2275500
2018-08-29 20:00:00-04:00,34.09,34.37,33.92,34.20,2681000
2018-08-30 20:00:00-04:00,34.34,34.73,34.26,34.48,3628900
2018-09-03 20:00:00-04:00,34.47,34.67,34.31,34.41,4056400
2018-09-04 20:00:00-04:00,34.22,34.76,33.92,34.13,6033200
2018-09-05 20:00:00-04:00,34.14,35.32,34.13,35.23,4913000
2018-09-06 20:00:00-04:00,35.06,35.68,34.91,35.63,3982900
2018-09-09 20:00:00-04:00,35.70,36.04,35.40,35.54,3285900
2018-09-10 20:00:00-04:00,35.50,35.54,34.90,35.03,4303600
2018-09-11 20:00:00-04:00,35.05,35.66,35.03,35.60,2651300
2018-09-12 20:00:00-04:00,35.72,35.80,35.41,35.66,3015900
2018-09-13 20:00:00-04:00,35.65,35.79,35.38,35.78,4884200
2018-09-16 20:00:00-04:00,35.59,36.05,35.59,35.80,7788400
2018-09-17 20:00:00-04:00,34.89,35.20,32.65,33.07,16268000
2018-09-18 20:00:00-04:00,33.23,33.96,32.94,33.17,10130000
2018-09-19 20:00:00-04:00,33.28,33.41,33.09,33.25,6018800
2018-09-20 20:00:00-04:00,33.39,33.74,33.07,33.32,8076200
2018-09-23 20:00:00-04:00,33.26,33.59,32.95,32.98,3365600
2018-09-24 20:00:00-04:00,32.99,33.17,32.69,32.81,3735500
2018-09-25 20:00:00-04:00,32.86,33.01,32.69,32.75,3669500
2018-09-26 20:00:00-04:00,32.49,32.79,32.12,32.24,4580400
2018-09-27 20:00:00-04:00,32.28,32.34,31.93,32.16,4950000
2018-09-30 20:00:00-04:00,32.20,32.27,31.83,31.98,5797200
2018-10-01 20:00:00-04:00,32.21,32.63,32.00,32.39,4008900
2018-10-02 20:00:00-04:00,32.62,32.78,32.15,32.22,4350500
2018-10-03 20:00:00-04:00,32.12,32.54,31.96,32.48,3368100
2018-10-04 20:00:00-04:00,32.48,32.78,32.47,32.59,4341100
2018-10-07 20:00:00-04:00,32.64,33.33,32.54,33.26,4931600
2018-10-08 20:00:00-04:00,33.26,33.36,32.63,32.80,3639200
2018-10-09 20:00:00-04:00,32.76,33.86,32.66,33.29,6114800
2018-10-10 20:00:00-04:00,33.36,33.48,32.32,32.47,5175900
2018-10-11 20:00:00-04:00,32.60,32.76,32.16,32.66,4272300
2018-10-14 20:00:00-04:00,32.67,33.26,32.64,33.01,3148600
2018-10-15 20:00:00-04:00,33.01,33.66,32.89,33.62,4004400
2018-10-16 20:00:00-04:00,33.49,33.69,33.15,33.39,2857200
2018-10-17 20:00:00-04:00,33.46,33.67,33.01,33.07,3092900
2018-10-18 20:00:00-04:00,33.27,33.92,33.27,33.75,3852000
2018-10-21 20:00:00-04:00,33.74,34.02,33.23,33.45,3436500
2018-10-22 20:00:00-04:00,33.35,33.79,33.14,33.71,4377600
2018-10-23 20:00:00-04:00,33.72,34.40,33.71,33.96,4000800
2018-10-24 20:00:00-04:00,33.82,34.10,33.42,33.70,4140800
2018-10-25 20:00:00-04:00,33.65,34.04,32.77,32.98,5142600
2018-10-28 20:00:00-04:00,33.15,33.86,33.15,33.45,5483700
2018-10-29 20:00:00-04:00,33.75,34.52,33.60,34.48,7296600
2018-10-30 20:00:00-04:00,33.86,33.86,32.67,33.19,6805400
2018-10-31 20:00:00-04:00,33.30,33.73,33.13,33.58,4365500
2018-11-01 20:00:00-04:00,33.24,33.39,31.63,31.95,9583100
2018-11-04 19:00:00-05:00,32.03,32.81,32.02,32.56,5852700
2018-11-05 19:00:00-05:00,32.49,33.29,32.39,33.20,3773300
2018-11-06 19:00:00-05:00,33.33,33.39,32.68,33.23,3631700
2018-11-07 19:00:00-05:00,33.11,33.76,33.11,33.67,3676800
2018-11-08 19:00:00-05:00,33.70,34.42,33.70,34.33,4825500
2018-11-11 19:00:00-05:00,34.29,34.95,34.29,34.61,4211500
2018-11-12 19:00:00-05:00,34.62,35.11,34.25,34.46,3719500
2018-11-13 19:00:00-05:00,34.29,34.73,34.11,34.32,3837600
2018-11-14 19:00:00-05:00,34.01,34.42,33.71,34.27,4013400
2018-11-15 19:00:00-05:00,34.23,34.45,33.42,33.48,6056400
2018-11-18 19:00:00-05:00,33.51,33.93,33.10,33.51,6875900
2018-11-19 19:00:00-05:00,33.70,34.17,33.32,33.48,3717300
2018-11-20 19:00:00-05:00,33.43,33.45,32.65,32.82,4111900
2018-11-22 19:00:00-05:00,32.88,33.07,32.61,32.86,1114600
2018-11-25 19:00:00-05:00,32.88,33.07,32.07,32.11,4636800
2018-11-26 19:00:00-05:00,32.00,32.32,31.74,32.17,4094100
2018-11-27 19:00:00-05:00,31.79,31.79,31.35,31.73,5269500
2018-11-28 19:00:00-05:00,31.71,32.11,31.60,31.98,6458000
2018-11-29 19:00:00-05:00,31.91,32.27,31.82,32.06,6085200
2018-12-02 19:00:00-05:00,31.87,32.08,31.11,31.45,7978500
2018-12-03 19:00:00-05:00,31.57,31.79,30.47,30.51,8535300
2018-12-05 19:00:00-05:00,30.57,30.60,29.79,30.10,12064800
2018-12-06 19:00:00-05:00,29.98,30.08,28.92,29.16,10226800
2018-12-09 19:00:00-05:00,29.35,29.51,28.85,29.20,6664800
2018-12-10 19:00:00-05:00,29.33,29.89,29.13,29.35,6570100
2018-12-11 19:00:00-05:00,29.51,29.79,29.18,29.22,9250000
2018-12-12 19:00:00-05:00,29.22,29.31,28.85,28.88,7061000
2018-12-13 19:00:00-05:00,28.80,28.85,28.20,28.32,6719500
2018-12-16 19:00:00-05:00,28.35,28.57,27.60,27.84,8633300
2018-12-17 19:00:00-05:00,28.03,28.29,27.69,27.81,8108700
2018-12-18 19:00:00-05:00,29.40,30.60,29.10,29.21,14213500
2018-12-19 19:00:00-05:00,28.94,29.73,28.35,29.60,10024600
2018-12-20 19:00:00-05:00,29.55,30.63,29.36,29.41,13092200
2018-12-23 19:00:00-05:00,29.35,29.45,28.44,28.48,3958000
2018-12-25 19:00:00-05:00,28.65,29.12,28.29,29.11,6692700
2018-12-26 19:00:00-05:00,29.04,29.57,28.30,29.57,8036100
2018-12-27 19:00:00-05:00,29.61,29.90,29.17,29.37,5779600
2018-12-30 19:00:00-05:00,29.35,29.54,29.01,29.51,5292900
2019-01-01 19:00:00-05:00,29.41,29.51,28.88,29.12,6478900
2019-01-02 19:00:00-05:00,29.08,29.86,28.94,29.57,6359800
2019-01-03 19:00:00-05:00,29.64,30.26,29.48,30.17,6326100
2019-01-06 19:00:00-05:00,30.16,30.87,29.92,30.67,5695600
2019-01-07 19:00:00-05:00,30.91,31.23,30.79,31.13,6609400
2019-01-08 19:00:00-05:00,30.94,31.27,30.71,31.00,4521300
2019-01-09 19:00:00-05:00,31.00,31.78,31.00,31.76,8279800
2019-01-10 19:00:00-05:00,31.79,32.07,31.50,32.06,7417400
2019-01-13 19:00:00-05:00,31.94,32.06,31.76,32.05,3874400
2019-01-14 19:00:00-05:00,31.96,32.25,31.79,32.13,4486300
2019-01-15 19:00:00-05:00,32.19,32.44,31.97,32.42,4905600
2019-01-16 19:00:00-05:00,32.42,33.01,32.36,32.95,4664400
2019-01-17 19:00:00-05:00,33.13,33.51,32.99,33.34,5564800
2019-01-21 19:00:00-05:00,33.37,33.53,32.88,33.16,9260500
2019-01-22 19:00:00-05:00,33.50,33.96,33.45,33.75,5208600
2019-01-23 19:00:00-05:00,33.32,33.74,32.88,33.37,4700400
2019-01-24 19:00:00-05:00,33.40,33.91,33.14,33.20,7013900
2019-01-27 19:00:00-05:00,33.30,33.41,32.85,33.40,3552900
2019-01-28 19:00:00-05:00,33.47,33.53,33.13,33.42,3431900
2019-01-29 19:00:00-05:00,33.35,33.75,33.32,33.52,3140900
2019-01-30 19:00:00-05:00,33.54,34.10,33.34,34.08,4730000
2019-01-31 19:00:00-05:00,34.28,34.51,33.60,33.93,5061700
2019-02-03 19:00:00-05:00,33.92,33.97,33.43,33.61,3462400
2019-02-04 19:00:00-05:00,33.61,34.23,33.50,34.21,4625900
2019-02-05 19:00:00-05:00,34.11,34.27,33.57,33.63,3527100
2019-02-06 19:00:00-05:00,32.98,33.88,32.82,33.63,4021200
2019-02-07 19:00:00-05:00,33.52,33.72,33.07,33.70,3362000
2019-02-10 19:00:00-05:00,33.80,33.89,33.36,33.73,4027900
2019-02-11 19:00:00-05:00,33.73,34.46,33.73,34.39,4349500
2019-02-12 19:00:00-05:00,34.39,34.46,33.97,34.10,2993300
2019-02-13 19:00:00-05:00,33.89,34.32,33.67,34.15,2867700
2019-02-14 19:00:00-05:00,34.39,34.74,34.33,34.54,4188300
2019-02-18 19:00:00-05:00,34.51,35.21,34.36,35.08,5193200
2019-02-19 19:00:00-05:00,35.08,36.13,35.05,36.00,6591700
2019-02-20 19:00:00-05:00,35.85,36.21,35.61,36.00,5108200
2019-02-21 19:00:00-05:00,34.23,35.74,33.84,35.72,9796000
2019-02-24 19:00:00-05:00,35.84,35.89,35.14,35.43,6076800
2019-02-25 19:00:00-05:00,35.70,36.07,35.54,35.94,6002700
2019-02-26 19:00:00-05:00,35.85,36.11,35.67,36.11,5274500
2019-02-27 19:00:00-05:00,36.16,36.29,35.84,36.14,4245600
2019-02-28 19:00:00-05:00,36.23,36.35,35.91,36.21,3342400
2019-03-03 19:00:00-05:00,36.27,36.31,35.45,35.87,3450400
2019-03-04 19:00:00-05:00,35.75,36.04,35.61,35.90,3609800
2019-03-05 19:00:00-05:00,35.98,36.06,35.67,35.90,2905100
2019-03-06 19:00:00-05:00,35.67,35.89,35.47,35.58,3081700
2019-03-07 19:00:00-05:00,35.72,35.80,35.42,35.71,2440800
2019-03-10 20:00:00-04:00,35.63,36.00,35.59,35.97,3158700
2019-03-11 20:00:00-04:00,35.98,36.11,35.86,35.91,3066800
2019-03-12 20:00:00-04:00,35.91,36.33,35.91,36.10,3924200
2019-03-13 20:00:00-04:00,36.43,36.62,36.27,36.40,5222000
2019-03-14 20:00:00-04:00,36.43,36.59,36.18,36.43,8548000
2019-03-17 20:00:00-04:00,36.36,36.66,36.33,36.52,4196200
2019-03-18 20:00:00-04:00,36.18,36.57,36.06,36.23,5196900
2019-03-19 20:00:00-04:00,37.07,37.96,36.94,37.03,12337400
2019-03-20 20:00:00-04:00,36.99,38.49,36.99,38.37,7582700
2019-03-21 20:00:00-04:00,38.51,39.09,38.49,38.91,5314500
2019-03-24 20:00:00-04:00,38.76,39.24,38.66,39.18,3267600
2019-03-25 20:00:00-04:00,39.26,39.82,39.03,39.72,3734600
2019-03-26 20:00:00-04:00,39.63,39.79,39.32,39.34,4201300
2019-03-27 20:00:00-04:00,39.43,39.63,39.24,39.49,4718700
2019-03-28 20:00:00-04:00,39.46,39.85,39.37,39.69,4884900
2019-03-31 20:00:00-04:00,39.68,39.73,38.82,39.10,6089800
2019-04-01 20:00:00-04:00,39.10,39.12,38.84,39.09,4857300
2019-04-02 20:00:00-04:00,38.97,39.02,38.55,38.57,5171100
2019-04-03 20:00:00-04:00,38.67,38.76,38.46,38.54,3342600
2019-04-04 20:00:00-04:00,38.54,39.03,38.49,39.02,3686800
2019-04-07 20:00:00-04:00,38.96,39.40,38.92,39.35,3642500
2019-04-08 20:00:00-04:00,39.23,39.70,39.12,39.51,4412800
2019-04-09 20:00:00-04:00,39.48,39.95,39.47,39.91,4208800
2019-04-10 20:00:00-04:00,40.04,40.06,39.72,39.92,2666400
2019-04-11 20:00:00-04:00,39.77,40.01,39.60,39.94,1959900
2019-04-14 20:00:00-04:00,40.02,40.13,39.84,40.04,2331900
2019-04-15 20:00:00-04:00,40.04,40.39,39.69,39.85,3025000
2019-04-16 20:00:00-04:00,39.98,40.13,39.71,40.07,2420700
2019-04-17 20:00:00-04:00,39.94,40.24,39.88,40.04,2321800
2019-04-21 20:00:00-04:00,40.04,40.18,39.92,40.07,1732000
2019-04-22 20:00:00-04:00,40.03,40.26,39.34,39.50,4866400
2019-04-23 20:00:00-04:00,39.40,39.68,39.07,39.24,5687200
2019-04-24 20:00:00-04:00,39.06,39.21,38.73,38.88,4034800
2019-04-25 20:00:00-04:00,39.14,39.56,38.94,39.56,2812300
2019-04-28 20:00:00-04:00,39.44,39.56,39.36,39.44,2248400
2019-04-29 20:00:00-04:00,39.54,39.98,39.45,39.85,4730600
2019-04-30 20:00:00-04:00,39.92,40.05,39.60,39.73,3563700
2019-05-01 20:00:00-04:00,39.52,39.76,39.22,39.69,2978200
2019-05-02 20:00:00-04:00,39.67,39.87,39.57,39.63,2408000
2019-05-05 20:00:00-04:00,39.59,39.93,39.34,39.84,2224400
2019-05-06 20:00:00-04:00,39.53,39.82,39.42,39.63,3548000
2019-05-07 20:00:00-04:00,39.68,39.68,39.19,39.39,2645100
2019-05-08 20:00:00-04:00,39.44,39.91,39.32,39.80,3621400
2019-05-09 20:00:00-04:00,39.62,39.96,39.22,39.91,2921700
2019-05-12 20:00:00-04:00,39.60,40.19,39.46,40.10,3053600
2019-05-13 20:00:00-04:00,40.08,40.49,39.88,40.24,3254200
2019-05-14 20:00:00-04:00,40.19,40.62,39.88,40.58,2355800
2019-05-15 20:00:00-04:00,40.59,41.04,40.24,40.34,5230400
2019-05-16 20:00:00-04:00,40.30,40.70,40.18,40.57,3954400
2019-05-19 20:00:00-04:00,40.53,40.94,40.45,40.81,4319400
2019-05-20 20:00:00-04:00,40.86,40.89,40.49,40.56,3501400
2019-05-21 20:00:00-04:00,40.64,40.88,40.25,40.81,2876200
2019-05-22 20:00:00-04:00,40.73,41.55,40.56,41.37,6855600
2019-05-23 20:00:00-04:00,41.38,41.45,40.87,40.89,3033900
2019-05-27 20:00:00-04:00,40.70,40.99,39.53,39.56,7617100
2019-05-28 20:00:00-04:00,37.98,38.02,36.99,37.36,11266300
2019-05-29 20:00:00-04:00,37.51,37.92,37.35,37.80,5388800
2019-05-30 20:00:00-04:00,37.62,38.33,37.41,38.28,4499300
2019-06-02 20:00:00-04:00,38.27,39.39,38.27,39.21,4230400
2019-06-03 20:00:00-04:00,39.40,39.63,39.19,39.39,4467300
2019-06-04 20:00:00-04:00,39.91,39.99,39.49,39.70,4372200
2019-06-05 20:00:00-04:00,39.75,39.88,39.36,39.74,3412500
2019-06-06 20:00:00-04:00,39.97,40.29,39.91,40.11,2749000
2019-06-09 20:00:00-04:00,40.03,40.15,39.35,39.75,2718000
2019-06-10 20:00:00-04:00,39.56,40.70,39.49,40.55,4044800
2019-06-11 20:00:00-04:00,40.77,40.93,40.59,40.73,3151800
2019-06-12 20:00:00-04:00,40.80,41.17,40.73,41.03,2496800
2019-06-13 20:00:00-04:00,41.16,41.50,41.11,41.35,2449900
2019-06-16 20:00:00-04:00,41.42,41.53,40.73,41.02,2884000
2019-06-17 20:00:00-04:00,41.25,41.29,40.57,40.61,3015100
2019-06-18 20:00:00-04:00,40.55,41.32,40.33,41.28,3321800
2019-06-19 20:00:00-04:00,41.31,41.96,40.96,41.83,4221000
2019-06-20 20:00:00-04:00,41.84,42.11,41.62,41.63,7342100
2019-06-23 20:00:00-04:00,41.81,41.92,41.27,41.55,3151900
2019-06-24 20:00:00-04:00,41.71,41.92,41.43,41.58,5883400
2019-06-25 20:00:00-04:00,39.02,40.21,37.61,39.73,15537900
2019-06-26 20:00:00-04:00,39.64,40.53,39.39,40.43,5996800
2019-06-27 20:00:00-04:00,40.38,41.04,40.23,40.66,6302200
2019-06-30 20:00:00-04:00,40.95,41.72,40.79,41.29,5734200
2019-07-01 20:00:00-04:00,41.38,41.56,41.04,41.46,3700300
2019-07-02 20:00:00-04:00,41.69,42.27,41.59,42.07,4190800
2019-07-04 20:00:00-04:00,41.93,42.04,41.21,41.95,2955500
2019-07-07 20:00:00-04:00,41.99,42.30,41.66,41.85,3483200
2019-07-08 20:00:00-04:00,41.86,41.95,41.27,41.65,3767000
2019-07-09 20:00:00-04:00,41.95,42.77,41.95,42.58,5428000
2019-07-10 20:00:00-04:00,42.71,42.76,41.64,41.85,5411600
2019-07-11 20:00:00-04:00,41.91,41.98,41.38,41.76,3420500
2019-07-14 20:00:00-04:00,41.79,42.09,41.12,41.51,3792000
2019-07-15 20:00:00-04:00,41.38,41.72,41.22,41.30,5142900
2019-07-16 20:00:00-04:00,41.15,41.50,40.97,41.45,3595800
2019-07-17 20:00:00-04:00,41.43,41.73,41.15,41.63,3415900
2019-07-18 20:00:00-04:00,41.78,41.80,41.22,41.23,2322300
2019-07-21 20:00:00-04:00,41.29,41.36,40.72,40.99,2444400
2019-07-22 20:00:00-04:00,41.13,41.33,40.73,40.93,3013800
2019-07-23 20:00:00-04:00,40.83,41.32,40.64,41.29,3110000
2019-07-24 20:00:00-04:00,41.27,42.04,40.98,41.98,4329100
2019-07-25 20:00:00-04:00,42.01,42.03,41.61,41.91,2788300
2019-07-28 20:00:00-04:00,41.97,42.09,41.77,41.96,2632500
2019-07-29 20:00:00-04:00,42.08,42.12,41.74,41.94,2588500
2019-07-30 20:00:00-04:00,41.97,42.03,40.83,41.50,4185900
2019-07-31 20:00:00-04:00,41.67,42.68,41.66,42.20,4957300
2019-08-01 20:00:00-04:00,42.21,42.36,41.67,41.96,3521400
2019-08-04 20:00:00-04:00,41.83,42.06,40.91,41.26,3763000
2019-08-05 20:00:00-04:00,41.18,41.41,40.72,41.03,3499500
2019-08-06 20:00:00-04:00,40.93,41.53,40.33,41.35,3183200
2019-08-07 20:00:00-04:00,40.97,42.24,40.83,42.21,3147000
2019-08-08 20:00:00-04:00,42.18,42.57,41.98,42.13,2579200
2019-08-11 20:00:00-04:00,42.13,42.49,41.89,42.40,3347600
2019-08-12 20:00:00-04:00,42.50,42.76,42.26,42.49,2970100
2019-08-13 20:00:00-04:00,42.40,42.68,41.87,42.01,3562200
2019-08-14 20:00:00-04:00,42.17,42.76,41.81,42.45,3398600
2019-08-15 20:00:00-04:00,42.86,43.20,42.69,42.99,4339100
2019-08-18 20:00:00-04:00,43.04,43.31,42.71,43.13,4191800
2019-08-19 20:00:00-04:00,42.98,43.01,42.39,42.42,3067100
2019-08-20 20:00:00-04:00,42.68,42.85,42.36,42.49,2843300
2019-08-21 20:00:00-04:00,42.51,42.84,42.36,42.72,2022100
2019-08-22 20:00:00-04:00,42.81,42.84,41.70,41.90,2715900
2019-08-25 20:00:00-04:00,42.06,42.30,41.92,42.18,3758200
2019-08-26 20:00:00-04:00,41.74,41.79,40.04,40.56,6000000
2019-08-27 20:00:00-04:00,40.65,41.55,40.61,41.51,3444700
2019-08-28 20:00:00-04:00,41.74,41.83,41.31,41.68,2194300
2019-08-29 20:00:00-04:00,41.98,42.49,41.80,42.04,3400600
2019-09-02 20:00:00-04:00,42.02,42.46,41.72,42.43,3414900
2019-09-03 20:00:00-04:00,42.58,42.65,41.79,42.43,3766900
2019-09-04 20:00:00-04:00,42.58,42.65,42.17,42.32,2622500
2019-09-05 20:00:00-04:00,42.35,43.14,42.25,42.94,3391800
2019-09-08 20:00:00-04:00,43.01,44.07,42.68,43.43,6216000
2019-09-09 20:00:00-04:00,43.17,43.61,42.27,42.61,4662400
2019-09-10 20:00:00-04:00,42.45,42.79,42.08,42.44,4218100
2019-09-11 20:00:00-04:00,42.76,42.99,42.23,42.26,3246900
2019-09-12 20:00:00-04:00,42.04,42.65,41.99,42.17,2971200
2019-09-15 20:00:00-04:00,41.96,42.90,41.94,42.61,3409800
2019-09-16 20:00:00-04:00,42.56,43.46,42.50,43.00,4909300
2019-09-17 20:00:00-04:00,43.47,43.70,41.90,42.61,6600700
2019-09-18 20:00:00-04:00,42.49,42.77,42.29,42.50,4449200
2019-09-19 20:00:00-04:00,42.61,42.65,42.34,42.45,6122400
2019-09-22 20:00:00-04:00,42.58,42.90,42.08,42.11,2165300
2019-09-23 20:00:00-04:00,42.32,42.69,42.00,42.33,3315100
2019-09-24 20:00:00-04:00,42.43,42.62,42.18,42.33,2830700
2019-09-25 20:00:00-04:00,42.43,42.97,42.40,42.97,2417000
2019-09-26 20:00:00-04:00,42.97,42.99,42.47,42.87,2083500
2019-09-29 20:00:00-04:00,42.96,43.43,42.90,43.07,2609000
2019-09-30 20:00:00-04:00,43.08,43.31,42.40,42.50,2448400
2019-10-01 20:00:00-04:00,42.36,42.51,41.25,41.34,3764500
2019-10-02 20:00:00-04:00,41.57,41.86,41.25,41.70,2953700
2019-10-03 20:00:00-04:00,41.86,42.43,41.74,42.43,4293800
2019-10-06 20:00:00-04:00,42.25,42.70,42.04,42.58,2377900
2019-10-07 20:00:00-04:00,42.53,42.53,42.01,42.31,3465500
2019-10-08 20:00:00-04:00,42.42,42.87,42.32,42.70,3612000
2019-10-09 20:00:00-04:00,42.54,43.25,42.51,43.06,2623200
2019-10-10 20:00:00-04:00,43.22,43.22,42.51,42.85,3114200
2019-10-13 20:00:00-04:00,42.89,43.04,42.45,42.59,4744200
2019-10-14 20:00:00-04:00,42.66,42.74,42.10,42.27,3847800
2019-10-15 20:00:00-04:00,42.26,42.31,41.48,41.51,4073200
2019-10-16 20:00:00-04:00,41.42,41.81,41.12,41.76,3414300
2019-10-17 20:00:00-04:00,41.69,41.83,41.30,41.43,3064400
2019-10-20 20:00:00-04:00,41.28,41.58,41.16,41.40,1927000
2019-10-21 20:00:00-04:00,41.45,41.47,40.19,40.28,4014300
2019-10-22 20:00:00-04:00,40.26,40.54,40.06,40.35,2954300
2019-10-23 20:00:00-04:00,40.28,40.45,39.83,40.30,2314900
2019-10-24 20:00:00-04:00,40.33,40.46,39.49,39.83,2898000
2019-10-27 20:00:00-04:00,39.83,39.90,39.40,39.42,3350600
2019-10-28 20:00:00-04:00,39.74,40.23,39.48,39.79,3127900
2019-10-29 20:00:00-04:00,40.08,40.08,39.53,39.98,4417500
2019-10-30 20:00:00-04:00,40.09,40.50,39.75,40.10,3711000
