Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,105.98,106.23,103.85,104.68,965400
2022-04-06 20:00:00-04:00,103.56,106.14,103.53,105.66,963000
2022-04-07 20:00:00-04:00,105.52,105.96,103.90,104.65,875800
2022-04-10 20:00:00-04:00,104.43,104.72,102.10,102.36,777100
2022-04-11 20:00:00-04:00,103.63,105.19,101.81,102.43,764200
2022-04-12 20:00:00-04:00,102.37,103.74,102.08,103.57,544600
2022-04-13 20:00:00-04:00,103.90,104.23,101.93,101.96,539000
2022-04-17 20:00:00-04:00,101.30,102.09,100.66,101.28,603400
2022-04-18 20:00:00-04:00,101.68,103.74,101.68,103.69,607200
2022-04-19 20:00:00-04:00,104.73,105.65,103.69,105.05,555400
2022-04-20 20:00:00-04:00,106.36,107.36,103.43,103.72,565400
2022-04-21 20:00:00-04:00,103.14,103.72,100.76,101.22,826100
2022-04-24 20:00:00-04:00,100.89,103.47,100.22,103.34,953600
2022-04-25 20:00:00-04:00,103.11,103.11,100.75,100.76,1471700
2022-04-26 20:00:00-04:00,99.85,100.88,98.50,100.30,2377000
2022-04-27 20:00:00-04:00,100.09,102.83,99.86,101.35,1285500
2022-04-28 20:00:00-04:00,100.56,102.91,100.41,100.52,1388100
2022-05-01 20:00:00-04:00,100.67,102.70,100.41,102.42,1231800
2022-05-02 20:00:00-04:00,101.85,103.18,101.61,102.40,779900
2022-05-03 20:00:00-04:00,102.14,104.78,100.76,104.61,731800
2022-05-04 20:00:00-04:00,102.97,103.35,98.53,99.62,750100
2022-05-05 20:00:00-04:00,98.44,99.09,95.92,97.13,709500
2022-05-08 20:00:00-04:00,95.43,96.64,93.74,94.08,700300
2022-05-09 20:00:00-04:00,95.59,96.16,91.45,92.74,832600
2022-05-10 20:00:00-04:00,92.26,94.21,89.42,89.72,870300
2022-05-11 20:00:00-04:00,89.40,91.87,89.18,91.12,759200
2022-05-12 20:00:00-04:00,92.00,93.79,91.82,92.85,571000
2022-05-15 20:00:00-04:00,92.08,93.43,91.37,92.77,668800
2022-05-16 20:00:00-04:00,94.56,96.15,93.67,95.77,793200
2022-05-17 20:00:00-04:00,94.42,94.72,92.01,92.70,1053400
2022-05-18 20:00:00-04:00,92.42,93.43,91.83,92.32,964500
2022-05-19 20:00:00-04:00,93.54,93.81,89.24,92.20,1250500
2022-05-22 20:00:00-04:00,93.25,93.32,91.61,92.86,579400
2022-05-23 20:00:00-04:00,92.13,92.65,88.66,90.63,1164500
2022-05-24 20:00:00-04:00,90.20,91.72,90.20,91.00,896300
2022-05-25 20:00:00-04:00,91.77,94.37,91.77,93.88,566000
2022-05-26 20:00:00-04:00,94.72,96.72,94.37,96.68,557100
2022-05-30 20:00:00-04:00,96.31,97.14,95.08,96.75,1837900
2022-05-31 20:00:00-04:00,97.96,98.12,94.11,94.82,738200
2022-06-01 20:00:00-04:00,94.81,98.12,94.63,98.01,592600
2022-06-02 20:00:00-04:00,97.11,97.40,95.66,96.01,418800
2022-06-05 20:00:00-04:00,96.41,97.02,95.35,95.83,570600
2022-06-06 20:00:00-04:00,94.69,96.99,94.51,96.91,503700
2022-06-07 20:00:00-04:00,96.22,96.42,94.60,94.86,592300
2022-06-08 20:00:00-04:00,94.21,95.41,93.32,93.32,674900
2022-06-09 20:00:00-04:00,92.30,92.38,90.82,91.54,581100
2022-06-12 20:00:00-04:00,88.93,90.23,88.18,89.34,925100
2022-06-13 20:00:00-04:00,89.50,90.13,88.27,88.60,905900
2022-06-14 20:00:00-04:00,88.79,90.11,87.21,88.84,874700
2022-06-15 20:00:00-04:00,87.17,88.08,85.40,85.63,1189600
2022-06-16 20:00:00-04:00,86.36,87.15,85.49,86.27,1803500
2022-06-20 20:00:00-04:00,87.53,88.74,87.08,88.28,944600
2022-06-21 20:00:00-04:00,87.36,89.73,87.36,89.05,1072400
2022-06-22 20:00:00-04:00,89.31,91.32,89.10,91.26,863800
2022-06-23 20:00:00-04:00,91.47,92.46,90.91,92.42,1450700
2022-06-26 20:00:00-04:00,92.32,93.64,91.58,92.44,796700
2022-06-27 20:00:00-04:00,93.21,94.00,90.51,90.62,711700
2022-06-28 20:00:00-04:00,90.66,91.68,89.70,91.40,726100
2022-06-29 20:00:00-04:00,90.21,91.50,89.47,90.68,739300
2022-06-30 20:00:00-04:00,90.68,91.29,88.84,90.90,749800
2022-07-04 20:00:00-04:00,89.59,92.32,88.64,92.25,916100
2022-07-05 20:00:00-04:00,93.16,93.45,91.85,92.86,655200
2022-07-06 20:00:00-04:00,93.22,96.38,92.79,96.01,823500
2022-07-07 20:00:00-04:00,94.81,95.80,93.98,95.05,1233600
2022-07-10 20:00:00-04:00,94.72,95.09,92.57,92.85,710100
2022-07-11 20:00:00-04:00,93.09,95.05,92.43,93.91,870000
2022-07-12 20:00:00-04:00,92.60,93.55,91.16,92.48,998500
2022-07-13 20:00:00-04:00,91.30,91.72,88.99,90.41,1092400
2022-07-14 20:00:00-04:00,92.01,93.19,90.87,92.20,5253500
2022-07-17 20:00:00-04:00,92.74,93.32,91.72,92.08,1211700
2022-07-18 20:00:00-04:00,94.08,95.47,93.52,95.29,895000
2022-07-19 20:00:00-04:00,95.70,98.65,95.58,98.04,1111200
2022-07-20 20:00:00-04:00,98.32,99.58,97.84,99.58,796500
2022-07-21 20:00:00-04:00,99.98,99.98,96.57,96.87,902400
2022-07-24 20:00:00-04:00,96.72,96.72,95.02,96.06,642100
2022-07-25 20:00:00-04:00,95.13,95.44,93.98,94.60,1242600
2022-07-26 20:00:00-04:00,86.00,87.97,85.20,86.35,3358300
2022-07-27 20:00:00-04:00,86.45,90.54,86.45,90.49,1722400
2022-07-28 20:00:00-04:00,91.02,92.06,89.49,90.10,1190500
2022-07-31 20:00:00-04:00,89.24,91.19,89.02,90.70,826900
2022-08-01 20:00:00-04:00,90.68,91.24,89.00,89.05,1042700
2022-08-02 20:00:00-04:00,89.44,90.65,89.07,90.29,831300
2022-08-03 20:00:00-04:00,90.43,90.78,89.69,90.28,548400
2022-08-04 20:00:00-04:00,89.30,90.31,88.49,90.08,579500
2022-08-07 20:00:00-04:00,90.74,92.68,90.41,90.96,838100
2022-08-08 20:00:00-04:00,90.14,90.34,87.70,87.79,1022700
2022-08-09 20:00:00-04:00,89.70,91.26,89.15,90.75,1117000
2022-08-10 20:00:00-04:00,91.00,92.54,90.61,91.07,1535900
2022-08-11 20:00:00-04:00,91.98,92.63,91.48,92.36,705900
2022-08-14 20:00:00-04:00,91.85,92.32,90.93,91.86,744500
2022-08-15 20:00:00-04:00,91.18,92.63,91.18,91.92,486300
2022-08-16 20:00:00-04:00,90.81,91.75,89.88,91.07,641800
2022-08-17 20:00:00-04:00,90.97,91.68,90.91,91.46,431800
2022-08-18 20:00:00-04:00,91.07,91.07,88.80,89.65,1078400
2022-08-21 20:00:00-04:00,88.36,88.49,86.91,87.04,1139800
2022-08-22 20:00:00-04:00,87.00,87.64,86.40,86.60,720300
2022-08-23 20:00:00-04:00,86.68,87.10,86.02,86.67,668400
2022-08-24 20:00:00-04:00,87.06,87.82,86.42,87.81,584600
2022-08-25 20:00:00-04:00,88.44,88.44,84.36,84.41,641900
2022-08-28 20:00:00-04:00,83.60,84.61,83.24,83.59,558000
2022-08-29 20:00:00-04:00,84.26,84.33,82.15,82.61,873000
2022-08-30 20:00:00-04:00,82.62,83.34,81.53,81.67,1304200
2022-08-31 20:00:00-04:00,81.47,82.69,80.88,82.51,861900
2022-09-01 20:00:00-04:00,83.07,83.44,81.19,81.69,639500
2022-09-05 20:00:00-04:00,81.88,81.88,80.05,81.03,1022600
2022-09-06 20:00:00-04:00,81.02,83.79,81.02,83.74,1320100
2022-09-07 20:00:00-04:00,83.07,84.16,82.14,82.99,1237400
2022-09-08 20:00:00-04:00,83.34,84.25,83.10,83.84,839100
2022-09-11 20:00:00-04:00,84.50,86.44,84.31,85.78,1014600
2022-09-12 20:00:00-04:00,83.23,83.89,81.66,81.96,1284400
2022-09-13 20:00:00-04:00,82.05,82.79,81.46,82.22,928300
2022-09-14 20:00:00-04:00,82.06,83.07,80.75,80.92,1172500
2022-09-15 20:00:00-04:00,80.28,80.55,79.65,79.78,2743700
2022-09-18 20:00:00-04:00,79.36,81.30,79.33,81.28,974900
2022-09-19 20:00:00-04:00,80.30,80.44,78.58,79.53,1301200
2022-09-20 20:00:00-04:00,79.76,81.23,78.52,78.54,1028300
2022-09-21 20:00:00-04:00,78.12,78.16,76.96,77.19,747100
2022-09-22 20:00:00-04:00,76.53,77.06,75.62,77.03,1210900
2022-09-25 20:00:00-04:00,76.80,77.96,76.50,76.62,1012600
