Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,11.88,11.95,11.73,11.76,13351100
2022-04-06 20:00:00-04:00,11.75,11.84,11.35,11.55,16652600
2022-04-07 20:00:00-04:00,11.51,11.66,11.43,11.50,11862700
2022-04-10 20:00:00-04:00,11.50,11.80,11.45,11.50,13312700
2022-04-11 20:00:00-04:00,11.54,11.63,11.15,11.23,12205700
2022-04-12 20:00:00-04:00,11.13,11.24,11.05,11.20,12387200
2022-04-13 20:00:00-04:00,11.19,11.32,11.09,11.14,10599100
2022-04-17 20:00:00-04:00,11.08,11.31,11.06,11.27,9989000
2022-04-18 20:00:00-04:00,11.42,11.74,11.31,11.73,16990200
2022-04-19 20:00:00-04:00,11.83,12.09,11.79,11.87,19033900
2022-04-20 20:00:00-04:00,12.09,12.43,11.72,11.75,24290000
2022-04-21 20:00:00-04:00,11.96,11.96,11.45,11.47,17257000
2022-04-24 20:00:00-04:00,11.54,11.61,11.25,11.59,18895900
2022-04-25 20:00:00-04:00,11.43,11.71,11.31,11.31,14514300
2022-04-26 20:00:00-04:00,11.32,11.39,11.16,11.25,14194600
2022-04-27 20:00:00-04:00,11.37,11.42,11.15,11.32,13683000
2022-04-28 20:00:00-04:00,11.32,11.43,10.94,10.96,19427500
2022-05-01 20:00:00-04:00,11.02,11.15,10.82,11.05,20107900
2022-05-02 20:00:00-04:00,11.16,11.35,11.05,11.25,14721900
2022-05-03 20:00:00-04:00,11.26,11.60,11.17,11.59,13541100
2022-05-04 20:00:00-04:00,11.50,11.51,11.14,11.35,12934000
2022-05-05 20:00:00-04:00,11.33,11.35,11.00,11.13,11571900
2022-05-08 20:00:00-04:00,11.01,11.11,10.86,10.97,10334000
2022-05-09 20:00:00-04:00,11.05,11.16,10.60,10.92,17119600
2022-05-10 20:00:00-04:00,10.94,11.14,10.65,10.65,12081500
2022-05-11 20:00:00-04:00,10.60,10.80,10.47,10.74,15671400
2022-05-12 20:00:00-04:00,10.85,10.98,10.76,10.88,11637200
2022-05-15 20:00:00-04:00,10.85,10.96,10.67,10.76,9985900
2022-05-16 20:00:00-04:00,10.97,11.24,10.97,11.23,11209200
2022-05-17 20:00:00-04:00,11.19,11.20,10.91,11.00,11414000
2022-05-18 20:00:00-04:00,10.81,11.06,10.81,10.93,16014900
2022-05-19 20:00:00-04:00,11.00,11.10,10.63,10.85,14067500
2022-05-22 20:00:00-04:00,11.11,11.40,11.00,11.26,12716800
2022-05-23 20:00:00-04:00,11.29,11.29,10.94,11.19,9667200
2022-05-24 20:00:00-04:00,11.20,11.44,11.15,11.37,8335400
2022-05-25 20:00:00-04:00,11.31,11.56,11.31,11.51,11114400
2022-05-26 20:00:00-04:00,11.52,11.61,11.48,11.61,6586800
2022-05-30 20:00:00-04:00,11.55,11.67,11.36,11.57,17286600
2022-05-31 20:00:00-04:00,11.56,11.59,11.15,11.33,10562700
2022-06-01 20:00:00-04:00,11.40,11.53,11.25,11.50,11480700
2022-06-02 20:00:00-04:00,11.35,11.40,11.28,11.33,9761600
2022-06-05 20:00:00-04:00,11.43,11.64,11.37,11.42,9936100
2022-06-06 20:00:00-04:00,11.34,11.47,11.20,11.46,10826000
2022-06-07 20:00:00-04:00,11.38,11.38,11.22,11.27,7312200
2022-06-08 20:00:00-04:00,11.26,11.28,10.90,10.90,8414900
2022-06-09 20:00:00-04:00,10.68,10.72,10.35,10.38,17102600
2022-06-12 20:00:00-04:00,10.11,10.35,10.04,10.22,19305300
2022-06-13 20:00:00-04:00,10.27,10.42,10.09,10.20,15460500
2022-06-14 20:00:00-04:00,10.42,10.65,10.30,10.45,19258700
2022-06-15 20:00:00-04:00,10.31,10.35,9.96,9.99,15281700
2022-06-16 20:00:00-04:00,10.03,10.26,10.00,10.08,26544500
2022-06-20 20:00:00-04:00,10.28,10.39,10.16,10.23,10190400
2022-06-21 20:00:00-04:00,10.15,10.32,10.08,10.27,10024100
2022-06-22 20:00:00-04:00,10.26,10.26,9.90,10.08,10933600
2022-06-23 20:00:00-04:00,10.12,10.57,10.10,10.56,14079000
2022-06-26 20:00:00-04:00,10.65,10.65,10.38,10.44,7184700
2022-06-27 20:00:00-04:00,10.60,10.68,10.36,10.37,10035900
2022-06-28 20:00:00-04:00,10.40,10.46,10.24,10.33,11418800
2022-06-29 20:00:00-04:00,10.08,10.31,9.93,10.15,16300600
2022-06-30 20:00:00-04:00,10.02,10.26,9.85,10.21,20518500
2022-07-04 20:00:00-04:00,10.02,10.24,9.87,10.24,13911100
2022-07-05 20:00:00-04:00,10.16,10.30,10.06,10.24,12583800
2022-07-06 20:00:00-04:00,10.36,10.48,10.35,10.45,9425200
2022-07-07 20:00:00-04:00,10.52,10.52,10.28,10.36,9446100
2022-07-10 20:00:00-04:00,10.26,10.44,10.20,10.37,8468300
2022-07-11 20:00:00-04:00,10.30,10.63,10.26,10.42,11522600
2022-07-12 20:00:00-04:00,10.38,10.38,10.06,10.24,15210500
2022-07-13 20:00:00-04:00,10.03,10.07,9.91,10.04,12813900
2022-07-14 20:00:00-04:00,10.20,10.62,10.16,10.56,12764100
