Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,108.80,110.01,108.53,109.90,2494617
2018-07-02 20:00:00-04:00,110.11,111.27,109.81,110.00,1380535
2018-07-04 20:00:00-04:00,110.74,110.88,109.49,109.98,2191853
2018-07-05 20:00:00-04:00,109.69,111.07,109.60,110.59,2092666
2018-07-08 20:00:00-04:00,110.77,112.34,110.61,111.88,2210672
2018-07-09 20:00:00-04:00,112.15,112.50,111.86,112.35,1909901
2018-07-10 20:00:00-04:00,111.53,111.53,109.59,109.68,2576313
2018-07-11 20:00:00-04:00,110.76,112.34,110.33,112.24,3447962
2018-07-12 20:00:00-04:00,112.20,112.73,111.62,111.94,2842213
2018-07-15 20:00:00-04:00,111.93,112.04,110.82,111.11,1968572
2018-07-16 20:00:00-04:00,111.10,112.82,110.66,112.69,2763949
2018-07-17 20:00:00-04:00,112.82,113.47,112.62,113.19,3369476
2018-07-18 20:00:00-04:00,112.25,113.07,111.79,111.97,3349218
2018-07-19 20:00:00-04:00,113.23,116.87,113.17,116.22,7139242
2018-07-22 20:00:00-04:00,116.21,116.72,114.70,116.65,4837132
2018-07-23 20:00:00-04:00,116.89,118.31,116.26,117.76,4225848
2018-07-24 20:00:00-04:00,116.50,120.08,116.50,119.93,4361898
2018-07-25 20:00:00-04:00,120.08,121.21,119.99,120.76,5301849
2018-07-26 20:00:00-04:00,120.86,121.22,120.18,120.93,3142099
2018-07-29 20:00:00-04:00,120.82,121.20,118.88,119.09,3453275
2018-07-30 20:00:00-04:00,119.56,121.32,119.56,121.16,3015237
2018-07-31 20:00:00-04:00,121.37,121.42,118.74,119.07,3735781
2018-08-01 20:00:00-04:00,118.15,118.58,117.51,118.32,2368972
2018-08-02 20:00:00-04:00,118.20,118.52,117.05,117.66,3282687
2018-08-05 20:00:00-04:00,117.47,117.79,116.72,117.61,3401357
2018-08-06 20:00:00-04:00,117.91,118.76,117.57,118.67,1803187
2018-08-07 20:00:00-04:00,118.64,118.74,117.70,117.79,1878905
2018-08-08 20:00:00-04:00,117.52,117.95,116.56,116.85,2772141
2018-08-09 20:00:00-04:00,116.44,116.59,115.76,116.18,1707431
2018-08-12 20:00:00-04:00,116.28,116.50,115.21,115.62,2253291
2018-08-13 20:00:00-04:00,115.89,117.54,115.68,116.97,2861586
2018-08-14 20:00:00-04:00,116.08,116.50,114.76,116.25,2512328
2018-08-15 20:00:00-04:00,116.87,117.86,116.76,117.55,2325357
