Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,87.14,89.96,87.14,88.71,1099800
2022-04-06 20:00:00-04:00,88.42,89.70,88.16,89.52,825600
2022-04-07 20:00:00-04:00,89.82,90.47,89.04,90.40,892000
2022-04-10 20:00:00-04:00,90.19,91.34,89.90,90.21,1151700
2022-04-11 20:00:00-04:00,90.05,91.50,89.95,91.04,918600
2022-04-12 20:00:00-04:00,91.00,92.23,91.00,91.96,597400
2022-04-13 20:00:00-04:00,92.01,92.68,91.27,91.36,519100
2022-04-17 20:00:00-04:00,91.06,91.83,89.85,90.14,500800
2022-04-18 20:00:00-04:00,88.75,90.36,88.20,88.92,882800
2022-04-19 20:00:00-04:00,89.20,91.57,88.95,91.06,668500
2022-04-20 20:00:00-04:00,91.18,91.69,90.46,90.77,445100
2022-04-21 20:00:00-04:00,90.01,90.11,87.22,87.29,608900
2022-04-24 20:00:00-04:00,87.15,88.15,86.22,87.99,430400
2022-04-25 20:00:00-04:00,87.04,87.11,85.32,85.36,873400
2022-04-26 20:00:00-04:00,85.48,86.17,83.89,84.04,857100
2022-04-27 20:00:00-04:00,84.22,84.79,82.08,83.37,1253600
2022-04-28 20:00:00-04:00,82.27,83.17,80.88,81.10,1266000
2022-05-01 20:00:00-04:00,81.07,81.58,79.47,80.45,1301900
2022-05-02 20:00:00-04:00,81.52,83.95,80.87,82.08,1454000
2022-05-03 20:00:00-04:00,82.44,86.48,82.00,86.42,1219900
2022-05-04 20:00:00-04:00,86.06,86.38,83.16,83.44,1293500
2022-05-05 20:00:00-04:00,82.97,85.92,82.66,85.76,1930200
2022-05-08 20:00:00-04:00,84.89,85.98,84.28,85.00,1173600
2022-05-09 20:00:00-04:00,85.00,85.65,83.07,84.56,1274600
2022-05-10 20:00:00-04:00,85.84,87.24,84.51,84.53,914900
2022-05-11 20:00:00-04:00,84.32,85.10,83.21,84.75,1025000
2022-05-12 20:00:00-04:00,85.29,86.03,83.33,83.51,998200
2022-05-15 20:00:00-04:00,83.89,84.67,83.20,84.21,700400
2022-05-16 20:00:00-04:00,84.77,86.58,84.55,86.42,634600
2022-05-17 20:00:00-04:00,85.76,87.28,83.41,83.71,720400
2022-05-18 20:00:00-04:00,83.03,83.79,82.15,82.87,715500
2022-05-19 20:00:00-04:00,83.30,83.90,81.76,83.45,780800
2022-05-22 20:00:00-04:00,84.43,84.95,83.02,84.72,687400
2022-05-23 20:00:00-04:00,84.77,85.50,83.03,83.94,699700
2022-05-24 20:00:00-04:00,84.15,85.55,83.70,85.18,450900
2022-05-25 20:00:00-04:00,85.56,86.16,85.18,85.62,512300
2022-05-26 20:00:00-04:00,85.62,86.05,85.29,85.96,521400
2022-05-30 20:00:00-04:00,85.58,86.03,84.54,85.64,1143600
2022-05-31 20:00:00-04:00,86.67,86.67,81.62,84.28,1063200
2022-06-01 20:00:00-04:00,84.42,85.08,82.70,84.98,697900
2022-06-02 20:00:00-04:00,84.89,84.90,83.22,84.17,360200
2022-06-05 20:00:00-04:00,84.10,84.86,83.76,84.16,331000
2022-06-06 20:00:00-04:00,83.69,85.54,83.57,85.34,435200
2022-06-07 20:00:00-04:00,85.06,85.08,83.20,83.49,433500
2022-06-08 20:00:00-04:00,83.57,83.93,82.23,82.24,505100
2022-06-09 20:00:00-04:00,80.96,82.05,80.37,81.43,493000
2022-06-12 20:00:00-04:00,80.12,80.99,78.34,78.82,637700
2022-06-13 20:00:00-04:00,77.21,77.54,74.36,75.00,1281500
2022-06-14 20:00:00-04:00,75.46,76.23,74.44,74.97,1252900
2022-06-15 20:00:00-04:00,73.92,74.61,72.00,73.17,1212800
2022-06-16 20:00:00-04:00,73.67,74.92,73.26,73.90,1385000
2022-06-20 20:00:00-04:00,74.79,75.56,73.85,74.53,818800
2022-06-21 20:00:00-04:00,74.49,75.55,74.00,75.26,840600
2022-06-22 20:00:00-04:00,75.57,76.03,74.83,75.76,695000
2022-06-23 20:00:00-04:00,76.22,77.84,75.07,77.29,985900
2022-06-26 20:00:00-04:00,77.56,78.05,76.39,78.02,923600
2022-06-27 20:00:00-04:00,78.07,78.60,75.90,76.02,1612100
2022-06-28 20:00:00-04:00,77.35,78.59,76.73,77.65,1052100
2022-06-29 20:00:00-04:00,76.83,77.73,76.00,76.74,1498100
2022-06-30 20:00:00-04:00,76.44,77.22,75.01,77.11,897100
2022-07-04 20:00:00-04:00,76.21,77.09,74.12,76.15,876200
2022-07-05 20:00:00-04:00,76.26,76.72,75.47,76.30,780900
2022-07-06 20:00:00-04:00,76.82,77.43,76.52,77.00,557000
2022-07-07 20:00:00-04:00,77.12,77.66,76.65,76.88,524200
2022-07-10 20:00:00-04:00,76.26,77.08,76.26,76.55,402000
2022-07-11 20:00:00-04:00,76.25,77.39,75.92,76.22,509400
2022-07-12 20:00:00-04:00,75.41,76.31,74.80,75.56,513400
2022-07-13 20:00:00-04:00,74.43,75.55,74.30,75.19,571300
2022-07-14 20:00:00-04:00,76.08,76.93,75.86,76.53,545400
2022-07-17 20:00:00-04:00,76.71,77.25,76.27,76.59,606700
2022-07-18 20:00:00-04:00,77.46,78.38,77.25,77.95,603400
2022-07-19 20:00:00-04:00,78.20,78.51,76.72,78.00,800800
2022-07-20 20:00:00-04:00,77.37,77.97,76.49,77.94,780200
2022-07-21 20:00:00-04:00,78.41,78.75,76.64,77.04,799900
2022-07-24 20:00:00-04:00,76.93,77.84,76.88,77.42,457400
2022-07-25 20:00:00-04:00,77.54,78.01,77.17,77.56,424700
2022-07-26 20:00:00-04:00,77.25,78.91,76.53,77.74,872000
2022-07-27 20:00:00-04:00,77.91,78.98,77.33,78.71,754800
2022-07-28 20:00:00-04:00,78.45,79.00,78.11,78.83,716200
2022-07-31 20:00:00-04:00,77.88,79.04,77.80,78.39,1070000
2022-08-01 20:00:00-04:00,77.00,77.31,74.55,75.51,1818000
2022-08-02 20:00:00-04:00,75.70,76.51,74.44,74.54,1283800
2022-08-03 20:00:00-04:00,74.76,75.72,73.90,74.15,1256000
2022-08-04 20:00:00-04:00,73.89,75.47,73.56,75.38,659700
2022-08-07 20:00:00-04:00,76.37,76.42,75.52,76.34,957200
2022-08-08 20:00:00-04:00,76.50,77.03,75.33,75.42,697700
2022-08-09 20:00:00-04:00,75.94,76.63,75.66,76.03,752700
2022-08-10 20:00:00-04:00,76.22,77.68,76.22,76.72,530400
2022-08-11 20:00:00-04:00,76.78,77.66,76.69,77.52,498100
2022-08-14 20:00:00-04:00,77.24,77.62,76.43,77.60,801200
2022-08-15 20:00:00-04:00,77.74,77.75,75.99,76.45,764600
2022-08-16 20:00:00-04:00,76.00,76.31,74.83,74.89,560100
2022-08-17 20:00:00-04:00,75.84,76.32,75.21,76.05,758900
2022-08-18 20:00:00-04:00,75.78,76.59,75.38,76.41,1015700
2022-08-21 20:00:00-04:00,75.85,75.90,75.29,75.82,879400
2022-08-22 20:00:00-04:00,75.62,75.78,74.40,74.65,878100
2022-08-23 20:00:00-04:00,74.73,74.73,73.64,74.17,593600
2022-08-24 20:00:00-04:00,74.17,75.13,73.77,75.11,688000
2022-08-25 20:00:00-04:00,75.35,75.35,73.35,73.39,981100
2022-08-28 20:00:00-04:00,73.38,74.53,72.87,74.11,760800
2022-08-29 20:00:00-04:00,74.10,74.10,73.14,73.42,810900
2022-08-30 20:00:00-04:00,73.71,73.93,73.04,73.41,1053600
2022-08-31 20:00:00-04:00,72.78,72.92,71.70,72.69,714700
2022-09-01 20:00:00-04:00,72.94,73.05,71.07,71.26,651200
2022-09-05 20:00:00-04:00,71.25,71.69,70.73,70.98,523200
2022-09-06 20:00:00-04:00,70.61,72.68,70.61,72.31,649400
