Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,426.26,431.18,423.08,430.32,834200
2022-04-06 20:00:00-04:00,431.06,439.85,430.12,438.52,1527000
2022-04-07 20:00:00-04:00,440.82,441.99,436.72,438.72,968500
2022-04-10 20:00:00-04:00,440.82,441.58,431.36,432.51,853300
2022-04-11 20:00:00-04:00,430.89,434.05,428.06,430.31,905500
2022-04-12 20:00:00-04:00,438.18,442.49,434.23,439.65,1146700
2022-04-13 20:00:00-04:00,441.82,445.84,439.50,441.35,1602500
2022-04-17 20:00:00-04:00,439.87,444.94,433.21,435.04,563200
2022-04-18 20:00:00-04:00,437.35,445.25,436.50,439.56,1148700
2022-04-19 20:00:00-04:00,442.10,447.63,438.79,446.08,852200
2022-04-20 20:00:00-04:00,449.53,449.77,436.70,436.91,839100
2022-04-21 20:00:00-04:00,433.96,434.33,425.70,425.95,715500
2022-04-24 20:00:00-04:00,425.44,425.57,414.88,423.12,1052700
2022-04-25 20:00:00-04:00,421.14,424.14,412.50,412.55,969900
2022-04-26 20:00:00-04:00,424.82,429.38,412.78,424.88,1184500
2022-04-27 20:00:00-04:00,426.57,441.64,422.89,439.85,1258300
2022-04-28 20:00:00-04:00,436.09,437.50,424.61,426.02,986500
2022-05-01 20:00:00-04:00,428.73,429.85,408.14,415.43,1031300
2022-05-02 20:00:00-04:00,418.17,423.66,414.92,415.69,597100
2022-05-03 20:00:00-04:00,419.41,424.81,412.48,423.89,669600
2022-05-04 20:00:00-04:00,421.48,424.25,412.42,415.90,679400
2022-05-05 20:00:00-04:00,412.43,419.02,408.58,412.70,784200
2022-05-08 20:00:00-04:00,409.35,411.11,403.93,406.81,896700
2022-05-09 20:00:00-04:00,409.86,417.71,406.37,414.75,1047200
2022-05-10 20:00:00-04:00,413.47,426.44,412.86,413.73,925100
2022-05-11 20:00:00-04:00,413.43,415.16,404.24,411.05,1065700
2022-05-12 20:00:00-04:00,412.09,422.33,408.81,420.59,838500
2022-05-15 20:00:00-04:00,420.89,426.30,417.49,422.59,461000
2022-05-16 20:00:00-04:00,427.09,427.36,420.19,422.22,564000
2022-05-17 20:00:00-04:00,418.55,419.16,399.56,402.52,948700
2022-05-18 20:00:00-04:00,396.54,417.70,393.74,413.99,1065700
2022-05-19 20:00:00-04:00,414.64,422.47,408.47,421.29,646700
2022-05-22 20:00:00-04:00,423.38,427.20,421.75,422.98,596800
2022-05-23 20:00:00-04:00,421.17,422.50,413.98,422.05,629600
2022-05-24 20:00:00-04:00,423.47,428.30,420.43,426.15,534700
2022-05-25 20:00:00-04:00,429.67,435.20,426.80,433.36,496500
2022-05-26 20:00:00-04:00,434.01,442.61,431.02,441.98,522500
2022-05-30 20:00:00-04:00,438.51,440.05,433.99,435.29,1028600
2022-05-31 20:00:00-04:00,436.75,438.33,426.20,428.93,521700
2022-06-01 20:00:00-04:00,430.28,431.38,421.12,430.80,474300
2022-06-02 20:00:00-04:00,427.79,428.58,423.39,423.96,256400
2022-06-05 20:00:00-04:00,425.47,430.28,423.03,425.58,365700
2022-06-06 20:00:00-04:00,426.62,431.87,422.98,431.02,400200
2022-06-07 20:00:00-04:00,427.86,436.51,426.82,431.73,424100
2022-06-08 20:00:00-04:00,431.69,434.97,428.08,430.87,693000
2022-06-09 20:00:00-04:00,425.17,430.05,424.11,425.67,627100
2022-06-12 20:00:00-04:00,415.90,418.20,405.72,408.50,984800
2022-06-13 20:00:00-04:00,406.34,410.12,402.04,406.25,686800
2022-06-14 20:00:00-04:00,408.06,419.67,408.06,415.15,820600
2022-06-15 20:00:00-04:00,405.65,407.81,401.24,405.56,982600
2022-06-16 20:00:00-04:00,408.97,412.85,405.00,410.57,1693400
2022-06-20 20:00:00-04:00,416.47,436.40,414.34,430.26,1063000
2022-06-21 20:00:00-04:00,425.48,437.45,425.48,429.37,932100
2022-06-22 20:00:00-04:00,432.10,437.94,429.92,435.68,1021400
2022-06-23 20:00:00-04:00,435.74,438.29,427.44,437.76,2498300
2022-06-26 20:00:00-04:00,438.01,450.26,436.75,445.02,856300
2022-06-27 20:00:00-04:00,447.46,457.53,442.33,442.92,912000
2022-06-28 20:00:00-04:00,444.05,452.79,439.24,449.57,719400
2022-06-29 20:00:00-04:00,448.72,452.95,446.19,449.32,1210000
2022-06-30 20:00:00-04:00,447.99,460.51,444.66,459.77,902300
2022-07-04 20:00:00-04:00,455.14,457.80,441.03,453.97,877700
2022-07-05 20:00:00-04:00,456.32,461.53,453.28,458.35,926700
2022-07-06 20:00:00-04:00,458.85,461.43,456.45,457.27,667800
2022-07-07 20:00:00-04:00,454.42,470.48,453.03,464.01,914200
