Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,236.47,241.40,234.43,240.30,947700
2022-04-06 20:00:00-04:00,239.96,251.60,239.40,249.28,1396200
2022-04-07 20:00:00-04:00,248.51,254.94,248.51,252.29,1501800
2022-04-10 20:00:00-04:00,249.31,251.79,242.57,242.98,1015800
2022-04-11 20:00:00-04:00,243.88,246.35,235.30,237.67,1237700
2022-04-12 20:00:00-04:00,236.63,239.95,236.08,239.31,897200
2022-04-13 20:00:00-04:00,240.12,241.65,235.27,238.48,931200
2022-04-17 20:00:00-04:00,238.83,239.16,232.52,234.39,653900
2022-04-18 20:00:00-04:00,233.77,238.57,233.77,237.87,687100
2022-04-19 20:00:00-04:00,239.70,245.20,238.63,242.77,765100
2022-04-20 20:00:00-04:00,245.23,245.37,235.39,236.17,733800
2022-04-21 20:00:00-04:00,234.01,234.43,227.93,228.16,1010700
2022-04-24 20:00:00-04:00,223.45,223.45,216.14,219.86,1480100
2022-04-25 20:00:00-04:00,217.99,218.79,205.03,206.73,2123400
2022-04-26 20:00:00-04:00,215.00,218.00,204.50,210.24,2570400
2022-04-27 20:00:00-04:00,212.53,220.52,209.08,219.40,2299700
2022-04-28 20:00:00-04:00,222.32,228.29,217.53,217.99,1818400
2022-05-01 20:00:00-04:00,215.52,218.20,211.30,217.06,1327500
2022-05-02 20:00:00-04:00,217.29,220.54,214.85,215.20,1093500
2022-05-03 20:00:00-04:00,214.73,223.73,212.01,222.79,1282800
2022-05-04 20:00:00-04:00,221.32,222.34,213.10,215.32,859100
2022-05-05 20:00:00-04:00,213.83,214.72,210.05,213.82,936200
2022-05-08 20:00:00-04:00,210.64,212.04,203.20,204.07,1239700
2022-05-09 20:00:00-04:00,207.03,208.67,199.67,203.21,1309200
2022-05-10 20:00:00-04:00,203.05,208.11,200.45,200.96,1097900
2022-05-11 20:00:00-04:00,198.99,205.14,198.11,202.53,1067000
2022-05-12 20:00:00-04:00,205.64,211.22,204.29,208.71,695400
2022-05-15 20:00:00-04:00,206.60,209.48,203.85,206.45,619200
2022-05-16 20:00:00-04:00,209.06,211.15,204.50,206.69,1025200
2022-05-17 20:00:00-04:00,204.11,205.74,195.81,197.26,1217500
2022-05-18 20:00:00-04:00,196.20,203.37,195.57,201.74,1398600
2022-05-19 20:00:00-04:00,204.50,204.66,197.53,201.83,861500
2022-05-22 20:00:00-04:00,203.90,204.24,199.42,203.39,723100
2022-05-23 20:00:00-04:00,204.40,204.40,199.63,201.99,779800
2022-05-24 20:00:00-04:00,201.90,205.31,199.69,203.34,866700
2022-05-25 20:00:00-04:00,203.64,208.68,203.64,207.73,850100
2022-05-26 20:00:00-04:00,208.81,220.73,208.59,220.50,1713100
2022-05-30 20:00:00-04:00,216.62,217.74,212.22,215.25,1604300
2022-05-31 20:00:00-04:00,216.05,217.02,208.30,210.11,910500
2022-06-01 20:00:00-04:00,210.25,220.30,209.48,220.06,871500
2022-06-02 20:00:00-04:00,217.20,221.17,216.39,219.44,987200
2022-06-05 20:00:00-04:00,221.31,223.20,219.31,220.79,585200
2022-06-06 20:00:00-04:00,219.12,225.75,219.12,225.23,761500
2022-06-07 20:00:00-04:00,222.00,224.73,218.94,220.71,636000
2022-06-08 20:00:00-04:00,219.01,220.30,216.32,216.65,800700
2022-06-09 20:00:00-04:00,213.11,214.41,207.05,207.37,959700
2022-06-12 20:00:00-04:00,200.22,203.92,199.09,200.30,1219800
2022-06-13 20:00:00-04:00,199.71,202.00,195.76,200.88,1182700
2022-06-14 20:00:00-04:00,204.10,205.95,198.85,202.13,1234000
2022-06-15 20:00:00-04:00,198.09,198.50,194.67,196.45,1535900
2022-06-16 20:00:00-04:00,195.96,200.76,194.85,196.95,1785700
2022-06-20 20:00:00-04:00,200.13,202.57,197.35,198.77,1543900
2022-06-21 20:00:00-04:00,196.83,204.16,196.19,201.74,1620900
2022-06-22 20:00:00-04:00,202.52,212.53,202.52,211.54,1418800
2022-06-23 20:00:00-04:00,214.13,215.29,212.24,213.80,2735800
2022-06-26 20:00:00-04:00,214.05,216.99,212.27,216.51,746300
2022-06-27 20:00:00-04:00,216.21,217.62,210.73,212.21,747300
2022-06-28 20:00:00-04:00,212.06,215.53,210.40,214.11,1143200
2022-06-29 20:00:00-04:00,211.27,220.28,211.27,216.99,1811600
2022-06-30 20:00:00-04:00,217.26,218.22,211.50,215.05,856300
2022-07-04 20:00:00-04:00,211.68,215.41,208.28,215.31,775300
2022-07-05 20:00:00-04:00,216.07,218.87,214.89,216.00,758400
2022-07-06 20:00:00-04:00,214.33,219.03,214.33,218.85,809300
2022-07-07 20:00:00-04:00,217.46,221.61,216.76,219.34,580900
2022-07-10 20:00:00-04:00,217.35,219.68,216.48,217.40,517500
2022-07-11 20:00:00-04:00,217.18,219.80,211.94,213.53,613200
2022-07-12 20:00:00-04:00,209.37,213.93,208.38,211.83,533100
2022-07-13 20:00:00-04:00,209.00,212.43,206.26,212.00,877100
2022-07-14 20:00:00-04:00,216.01,219.13,214.07,219.08,1016700
2022-07-17 20:00:00-04:00,220.24,220.39,212.13,212.87,863600
2022-07-18 20:00:00-04:00,216.05,221.19,214.89,220.50,1076400
2022-07-19 20:00:00-04:00,220.98,222.62,219.28,220.60,1089700
2022-07-20 20:00:00-04:00,219.00,227.42,215.39,225.63,1639500
2022-07-21 20:00:00-04:00,227.13,227.13,220.06,221.74,839900
2022-07-24 20:00:00-04:00,221.48,223.17,219.20,221.62,747800
2022-07-25 20:00:00-04:00,221.31,221.67,215.11,219.68,995900
2022-07-26 20:00:00-04:00,219.44,226.86,218.67,225.13,907800
2022-07-27 20:00:00-04:00,226.53,236.27,225.21,236.01,1315300
2022-07-28 20:00:00-04:00,235.99,240.82,234.75,240.27,2125200
2022-07-31 20:00:00-04:00,238.93,241.86,237.19,238.37,1415100
2022-08-01 20:00:00-04:00,236.01,237.51,229.63,233.41,989800
2022-08-02 20:00:00-04:00,233.94,234.69,228.59,233.21,864100
2022-08-03 20:00:00-04:00,233.19,236.00,232.24,234.34,637700
2022-08-04 20:00:00-04:00,232.04,234.98,230.29,234.74,678100
2022-08-07 20:00:00-04:00,236.03,237.42,233.23,233.66,498300
2022-08-08 20:00:00-04:00,234.11,235.41,231.49,232.60,562300
2022-08-09 20:00:00-04:00,236.89,240.04,236.86,239.69,572700
2022-08-10 20:00:00-04:00,241.44,244.70,240.01,242.00,1995200
2022-08-11 20:00:00-04:00,242.20,246.03,240.82,245.81,878900
2022-08-14 20:00:00-04:00,244.75,249.11,244.27,248.26,959600
2022-08-15 20:00:00-04:00,246.02,246.65,243.02,244.71,884900
2022-08-16 20:00:00-04:00,242.53,244.16,239.87,240.62,521100
2022-08-17 20:00:00-04:00,241.02,241.87,237.29,238.82,422200
2022-08-18 20:00:00-04:00,237.92,239.48,236.31,239.02,573500
2022-08-21 20:00:00-04:00,234.92,236.86,231.16,231.57,702100
2022-08-22 20:00:00-04:00,230.34,231.79,228.38,229.24,806000
2022-08-23 20:00:00-04:00,230.19,232.19,229.07,231.83,467600
2022-08-24 20:00:00-04:00,234.98,234.98,231.04,234.73,536200
2022-08-25 20:00:00-04:00,235.00,235.00,219.62,219.67,857700
2022-08-28 20:00:00-04:00,218.49,220.61,216.85,218.21,712300
2022-08-29 20:00:00-04:00,218.81,219.03,214.64,215.99,613200
2022-08-30 20:00:00-04:00,217.29,218.89,211.83,212.66,1116600
2022-08-31 20:00:00-04:00,211.72,211.76,207.31,211.62,921900
2022-09-01 20:00:00-04:00,214.10,214.10,206.50,207.26,862800
2022-09-05 20:00:00-04:00,207.47,210.52,206.21,209.66,891200
2022-09-06 20:00:00-04:00,209.44,215.65,206.79,215.14,757500
2022-09-07 20:00:00-04:00,214.07,221.33,212.68,221.12,932800
2022-09-08 20:00:00-04:00,221.14,224.65,219.34,223.17,623800
2022-09-11 20:00:00-04:00,224.41,227.63,223.55,226.74,563100
2022-09-12 20:00:00-04:00,219.89,221.22,212.06,212.51,1169100
2022-09-13 20:00:00-04:00,213.71,214.43,207.08,209.13,864100
2022-09-14 20:00:00-04:00,209.69,211.14,206.48,207.37,762200
2022-09-15 20:00:00-04:00,205.71,205.71,201.66,205.04,1516100
2022-09-18 20:00:00-04:00,203.34,203.98,200.51,203.70,916100
2022-09-19 20:00:00-04:00,201.90,202.50,197.78,199.66,740400
2022-09-20 20:00:00-04:00,201.45,203.43,195.32,195.52,733400
2022-09-21 20:00:00-04:00,194.32,194.36,190.46,190.62,956300
