Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,26.80,26.98,26.27,26.42,1625000
2018-07-02 20:00:00-04:00,26.61,26.74,26.37,26.58,592800
2018-07-04 20:00:00-04:00,26.78,26.89,26.40,26.63,1614100
2018-07-05 20:00:00-04:00,26.57,26.57,26.13,26.24,1053800
2018-07-08 20:00:00-04:00,26.25,27.35,26.24,27.31,2222200
2018-07-09 20:00:00-04:00,27.22,27.46,26.84,27.08,1211200
2018-07-10 20:00:00-04:00,26.74,26.83,26.48,26.67,1313900
2018-07-11 20:00:00-04:00,26.81,26.81,25.40,25.89,2447700
2018-07-12 20:00:00-04:00,25.95,26.60,25.91,26.07,1189500
2018-07-15 20:00:00-04:00,25.83,26.37,25.82,26.00,1221800
2018-07-16 20:00:00-04:00,25.99,26.30,25.76,25.98,1281800
2018-07-17 20:00:00-04:00,25.99,26.07,25.60,25.72,897000
2018-07-18 20:00:00-04:00,25.51,26.08,25.41,26.08,507700
2018-07-19 20:00:00-04:00,25.94,26.09,25.74,25.75,647700
2018-07-22 20:00:00-04:00,25.74,25.75,25.12,25.13,706900
2018-07-23 20:00:00-04:00,25.25,25.28,24.64,24.69,1087500
2018-07-24 20:00:00-04:00,24.62,24.78,24.29,24.50,1570100
2018-07-25 20:00:00-04:00,24.53,25.12,24.49,24.64,2625600
2018-07-26 20:00:00-04:00,24.90,25.13,24.39,25.07,1992800
2018-07-29 20:00:00-04:00,25.25,25.95,25.25,25.27,2493500
2018-07-30 20:00:00-04:00,25.42,26.57,25.42,26.47,2492400
2018-07-31 20:00:00-04:00,26.47,26.59,25.32,25.60,2417400
2018-08-01 20:00:00-04:00,25.59,26.50,25.08,25.65,2705600
2018-08-02 20:00:00-04:00,25.90,26.56,25.77,26.34,1655700
2018-08-05 20:00:00-04:00,26.37,27.13,26.08,26.98,1427400
2018-08-06 20:00:00-04:00,27.25,27.61,27.00,27.28,881600
2018-08-07 20:00:00-04:00,27.26,27.38,26.92,27.09,870100
2018-08-08 20:00:00-04:00,27.02,27.44,26.56,26.62,1436700
2018-08-09 20:00:00-04:00,26.55,26.92,26.47,26.70,1093100
2018-08-12 20:00:00-04:00,26.64,26.78,26.22,26.36,583900
2018-08-13 20:00:00-04:00,26.45,26.60,26.03,26.07,657300
2018-08-14 20:00:00-04:00,25.90,25.90,24.90,25.01,785800
2018-08-15 20:00:00-04:00,24.90,25.54,24.90,25.32,881800
2018-08-16 20:00:00-04:00,25.39,25.89,25.14,25.85,1229500
2018-08-19 20:00:00-04:00,26.04,26.45,25.91,26.19,849600
2018-08-20 20:00:00-04:00,26.21,26.45,25.92,26.11,483600
2018-08-21 20:00:00-04:00,26.06,26.15,25.70,25.86,965000
2018-08-22 20:00:00-04:00,25.84,25.87,25.25,25.29,739900
2018-08-23 20:00:00-04:00,25.33,25.60,25.21,25.45,1129000
2018-08-26 20:00:00-04:00,25.55,26.25,25.42,26.13,1200300
2018-08-27 20:00:00-04:00,26.13,26.44,25.99,26.15,822400
2018-08-28 20:00:00-04:00,26.28,26.70,26.18,26.61,777600
2018-08-29 20:00:00-04:00,26.55,26.70,25.85,25.98,631500
2018-08-30 20:00:00-04:00,25.88,26.07,25.73,25.87,453100
2018-09-03 20:00:00-04:00,25.87,25.87,25.24,25.30,609400
2018-09-04 20:00:00-04:00,25.18,25.34,24.81,24.97,1445300
2018-09-05 20:00:00-04:00,24.76,24.76,22.90,23.06,4134900
2018-09-06 20:00:00-04:00,22.75,23.41,22.53,23.11,2984600
2018-09-09 20:00:00-04:00,23.22,23.92,23.22,23.72,1543900
2018-09-10 20:00:00-04:00,23.65,24.36,23.38,24.22,1637200
2018-09-11 20:00:00-04:00,24.39,24.63,24.16,24.60,1961600
2018-09-12 20:00:00-04:00,24.74,26.17,24.74,25.76,3199200
2018-09-13 20:00:00-04:00,25.72,26.73,25.63,26.48,2025900
2018-09-16 20:00:00-04:00,26.58,27.39,26.47,26.57,1449900
2018-09-17 20:00:00-04:00,26.58,27.09,26.56,27.08,979600
2018-09-18 20:00:00-04:00,27.03,27.41,26.81,26.92,785700
2018-09-19 20:00:00-04:00,27.11,27.33,26.89,27.18,1086600
2018-09-20 20:00:00-04:00,27.27,27.35,26.97,27.18,3654800
2018-09-23 20:00:00-04:00,27.25,27.46,26.72,27.33,1476200
2018-09-24 20:00:00-04:00,27.46,27.47,26.87,26.94,1162500
2018-09-25 20:00:00-04:00,26.72,26.99,26.31,26.34,1365900
2018-09-26 20:00:00-04:00,26.88,26.88,25.66,25.94,1694000
2018-09-27 20:00:00-04:00,25.83,26.25,25.76,26.22,1010600
