Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,185.10,187.58,184.19,186.42,1086000
2022-04-06 20:00:00-04:00,184.96,187.08,183.44,186.23,1066100
2022-04-07 20:00:00-04:00,186.36,187.01,184.41,185.07,821700
2022-04-10 20:00:00-04:00,184.62,185.94,182.15,182.49,760900
2022-04-11 20:00:00-04:00,182.99,185.34,180.65,181.58,1009500
2022-04-12 20:00:00-04:00,181.30,181.75,180.54,181.15,1021400
2022-04-13 20:00:00-04:00,181.30,181.41,178.12,178.36,1540800
2022-04-17 20:00:00-04:00,178.08,180.23,177.44,178.69,968800
2022-04-18 20:00:00-04:00,180.23,185.00,179.63,184.83,956900
2022-04-19 20:00:00-04:00,186.88,189.60,186.49,187.70,876700
2022-04-20 20:00:00-04:00,189.60,191.38,188.31,189.29,1093000
2022-04-21 20:00:00-04:00,187.84,188.65,184.62,184.80,906400
2022-04-24 20:00:00-04:00,184.64,186.07,181.14,185.50,957900
2022-04-25 20:00:00-04:00,183.82,185.39,180.41,180.48,1046700
2022-04-26 20:00:00-04:00,180.48,183.31,179.72,180.22,1163700
2022-04-27 20:00:00-04:00,181.86,185.42,180.32,184.22,1113000
2022-04-28 20:00:00-04:00,183.20,184.97,178.51,179.13,1922900
2022-05-01 20:00:00-04:00,179.18,183.26,177.93,181.76,1881900
2022-05-02 20:00:00-04:00,190.75,194.33,181.63,185.57,1916700
2022-05-03 20:00:00-04:00,186.22,194.22,185.22,193.58,1786000
2022-05-04 20:00:00-04:00,191.83,193.26,188.00,189.18,1955300
2022-05-05 20:00:00-04:00,188.09,191.10,185.54,190.18,1612600
2022-05-08 20:00:00-04:00,188.20,192.59,187.46,190.33,1634100
2022-05-09 20:00:00-04:00,192.25,192.59,184.55,184.99,1554500
2022-05-10 20:00:00-04:00,184.89,187.62,183.59,185.23,1040100
2022-05-11 20:00:00-04:00,184.82,188.88,184.27,188.65,1590800
2022-05-12 20:00:00-04:00,189.53,190.15,185.80,188.70,1492000
2022-05-15 20:00:00-04:00,186.56,189.00,183.38,188.18,921600
2022-05-16 20:00:00-04:00,190.60,193.07,189.10,192.88,958500
2022-05-17 20:00:00-04:00,190.64,191.05,184.32,184.83,1208800
2022-05-18 20:00:00-04:00,182.76,185.07,180.76,182.48,1603500
2022-05-19 20:00:00-04:00,183.07,183.65,179.78,183.36,1179300
2022-05-22 20:00:00-04:00,185.57,185.64,183.05,184.02,1007400
2022-05-23 20:00:00-04:00,183.39,185.67,180.63,184.68,1169800
2022-05-24 20:00:00-04:00,183.78,184.64,181.23,183.51,870200
2022-05-25 20:00:00-04:00,185.08,186.61,184.46,185.69,835400
2022-05-26 20:00:00-04:00,187.00,187.96,185.50,187.88,792400
2022-05-30 20:00:00-04:00,185.71,190.00,184.10,189.09,2172200
2022-05-31 20:00:00-04:00,190.31,190.55,185.02,187.19,817800
