Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,32.52,33.12,32.47,32.89,5481100
2022-04-06 20:00:00-04:00,32.97,34.49,32.70,33.11,8079000
2022-04-07 20:00:00-04:00,33.26,33.77,33.03,33.62,6556100
2022-04-10 20:00:00-04:00,33.92,34.22,33.66,33.88,7380400
2022-04-11 20:00:00-04:00,33.83,34.11,33.58,33.77,5058500
2022-04-12 20:00:00-04:00,33.72,34.54,33.72,34.50,8202900
2022-04-13 20:00:00-04:00,34.52,34.85,34.45,34.73,7309200
2022-04-17 20:00:00-04:00,34.72,34.84,34.41,34.63,5822900
2022-04-18 20:00:00-04:00,34.57,35.09,34.47,35.00,5835000
2022-04-19 20:00:00-04:00,35.05,35.69,34.96,35.60,5487400
2022-04-20 20:00:00-04:00,35.59,36.53,35.51,36.14,9219400
2022-04-21 20:00:00-04:00,36.15,36.38,35.44,35.46,7307700
2022-04-24 20:00:00-04:00,35.37,35.46,34.55,35.35,6277500
2022-04-25 20:00:00-04:00,35.25,35.60,34.70,34.75,7364900
2022-04-26 20:00:00-04:00,34.64,35.56,34.31,35.22,7960700
2022-04-27 20:00:00-04:00,35.31,36.04,35.18,35.82,7386100
2022-04-28 20:00:00-04:00,35.65,35.91,34.96,35.01,6968300
2022-05-01 20:00:00-04:00,35.09,35.36,33.91,34.48,7637700
2022-05-02 20:00:00-04:00,34.57,35.04,34.09,34.81,6328300
2022-05-03 20:00:00-04:00,34.79,35.60,34.67,35.58,6499900
2022-05-04 20:00:00-04:00,35.30,35.74,35.23,35.43,7079100
2022-05-05 20:00:00-04:00,35.40,35.87,35.29,35.80,6368800
2022-05-08 20:00:00-04:00,35.69,36.67,35.55,36.29,9288000
2022-05-09 20:00:00-04:00,36.39,36.85,35.43,35.69,7641800
2022-05-10 20:00:00-04:00,35.56,36.24,35.51,35.73,6520500
2022-05-11 20:00:00-04:00,35.69,35.86,35.00,35.36,6604400
2022-05-12 20:00:00-04:00,35.33,36.39,35.32,36.38,7857400
2022-05-15 20:00:00-04:00,36.45,36.57,36.13,36.20,5795200
2022-05-16 20:00:00-04:00,36.14,36.16,35.07,35.45,7855600
2022-05-17 20:00:00-04:00,35.28,35.39,31.92,32.06,13824400
2022-05-18 20:00:00-04:00,31.84,31.95,31.13,31.67,8774900
2022-05-19 20:00:00-04:00,31.77,31.91,31.00,31.51,10146100
2022-05-22 20:00:00-04:00,31.90,32.41,31.72,32.02,6439800
2022-05-23 20:00:00-04:00,32.00,32.59,31.67,32.53,6215900
2022-05-24 20:00:00-04:00,32.65,32.85,32.32,32.75,5519100
2022-05-25 20:00:00-04:00,30.28,30.93,29.20,30.75,24785300
2022-05-26 20:00:00-04:00,30.77,31.40,30.36,31.39,13898900
2022-05-30 20:00:00-04:00,31.24,31.68,30.95,31.39,12744100
2022-05-31 20:00:00-04:00,31.45,31.48,30.70,30.90,11270300
2022-06-01 20:00:00-04:00,30.70,30.71,28.84,30.19,27694500
2022-06-02 20:00:00-04:00,30.23,30.62,29.80,30.12,12830100
2022-06-05 20:00:00-04:00,30.17,30.57,30.04,30.44,9601700
2022-06-06 20:00:00-04:00,30.36,30.84,30.08,30.76,10558800
2022-06-07 20:00:00-04:00,30.70,31.13,30.59,31.03,8893800
2022-06-08 20:00:00-04:00,31.07,31.57,30.90,30.92,8650300
2022-06-09 20:00:00-04:00,30.62,31.24,30.52,31.07,7858100
2022-06-12 20:00:00-04:00,30.71,30.98,29.79,29.90,9596200
2022-06-13 20:00:00-04:00,30.07,30.15,29.72,29.98,8743900
2022-06-14 20:00:00-04:00,30.24,30.36,29.78,30.02,6870100
2022-06-15 20:00:00-04:00,29.54,30.12,29.44,29.89,7694600
2022-06-16 20:00:00-04:00,29.75,29.96,28.90,29.52,16994100
2022-06-20 20:00:00-04:00,29.74,30.51,29.58,30.37,7112900
2022-06-21 20:00:00-04:00,30.88,31.50,30.48,30.74,13139700
2022-06-22 20:00:00-04:00,30.80,31.51,30.75,31.40,9289100
2022-06-23 20:00:00-04:00,31.49,31.94,31.24,31.86,7159900
2022-06-26 20:00:00-04:00,31.83,32.29,31.77,32.07,5325600
2022-06-27 20:00:00-04:00,32.07,32.36,31.15,31.30,6365300
2022-06-28 20:00:00-04:00,31.43,31.83,31.26,31.51,7501800
2022-06-29 20:00:00-04:00,31.35,32.00,31.18,31.64,7169800
2022-06-30 20:00:00-04:00,31.63,32.11,31.50,32.06,6971400
2022-07-04 20:00:00-04:00,31.92,31.95,31.09,31.63,7694400
2022-07-05 20:00:00-04:00,31.60,31.91,31.44,31.69,5178700
2022-07-06 20:00:00-04:00,31.77,31.88,31.46,31.59,5092200
2022-07-07 20:00:00-04:00,31.53,32.07,31.46,31.83,5511300
2022-07-10 20:00:00-04:00,31.92,32.21,31.69,32.03,6608700
2022-07-11 20:00:00-04:00,31.99,32.48,31.98,32.19,5837600
2022-07-12 20:00:00-04:00,32.03,32.72,31.73,32.51,7359600
2022-07-13 20:00:00-04:00,32.02,32.24,31.85,32.16,5684700
2022-07-14 20:00:00-04:00,32.23,32.41,31.39,31.53,7687300
2022-07-17 20:00:00-04:00,31.72,32.20,31.61,31.88,7908800
2022-07-18 20:00:00-04:00,31.90,32.46,31.88,32.14,16940500
2022-07-19 20:00:00-04:00,32.19,32.23,31.54,31.74,4469000
2022-07-20 20:00:00-04:00,31.62,31.81,31.38,31.48,4665900
2022-07-21 20:00:00-04:00,31.58,32.01,31.50,31.79,5585800
2022-07-24 20:00:00-04:00,31.83,32.02,31.51,31.84,6470400
2022-07-25 20:00:00-04:00,31.65,32.09,31.55,32.06,6343500
2022-07-26 20:00:00-04:00,30.82,30.85,29.29,30.15,21026300
2022-07-27 20:00:00-04:00,30.52,30.89,30.12,30.85,10672000
2022-07-28 20:00:00-04:00,30.33,30.66,30.24,30.56,9930100
2022-07-31 20:00:00-04:00,30.71,31.22,30.61,31.05,6924800
2022-08-01 20:00:00-04:00,31.00,31.27,30.75,30.77,5669800
2022-08-02 20:00:00-04:00,30.70,31.13,30.37,30.98,5461600
2022-08-03 20:00:00-04:00,30.93,31.09,30.67,30.72,4503400
2022-08-04 20:00:00-04:00,30.72,31.20,30.41,31.17,4683200
2022-08-07 20:00:00-04:00,31.35,31.58,31.24,31.35,4280500
