Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,11.21,11.21,11.03,11.10,7982300
2018-07-02 20:00:00-04:00,11.20,11.30,11.18,11.26,5716700
2018-07-04 20:00:00-04:00,11.31,11.35,11.19,11.19,7754400
2018-07-05 20:00:00-04:00,11.21,11.45,11.21,11.42,9307600
2018-07-08 20:00:00-04:00,11.46,11.56,11.42,11.53,8862900
2018-07-09 20:00:00-04:00,11.56,11.62,11.51,11.60,8600300
2018-07-10 20:00:00-04:00,11.49,11.62,11.30,11.37,10205700
2018-07-11 20:00:00-04:00,11.40,11.49,11.32,11.48,7365600
2018-07-12 20:00:00-04:00,11.46,11.56,11.38,11.40,8442000
2018-07-15 20:00:00-04:00,11.41,11.46,11.29,11.33,10771600
2018-07-16 20:00:00-04:00,11.28,11.32,11.18,11.26,12253200
2018-07-17 20:00:00-04:00,11.21,11.39,11.16,11.32,7864700
2018-07-18 20:00:00-04:00,11.46,11.75,11.40,11.46,19240100
2018-07-19 20:00:00-04:00,11.44,11.51,11.26,11.26,11396000
2018-07-22 20:00:00-04:00,11.32,11.36,11.20,11.27,8773200
2018-07-23 20:00:00-04:00,11.30,11.35,11.19,11.24,17547700
2018-07-24 20:00:00-04:00,11.16,11.42,11.09,11.40,14261000
2018-07-25 20:00:00-04:00,11.41,11.56,11.39,11.48,10606800
2018-07-26 20:00:00-04:00,11.48,11.55,11.28,11.40,12034800
2018-07-29 20:00:00-04:00,11.48,11.57,11.39,11.43,11211800
2018-07-30 20:00:00-04:00,11.44,11.53,11.33,11.45,19026700
2018-07-31 20:00:00-04:00,11.40,11.42,11.21,11.29,9874200
2018-08-01 20:00:00-04:00,11.24,11.44,11.17,11.39,17189600
2018-08-02 20:00:00-04:00,11.38,11.45,11.29,11.35,19225700
2018-08-05 20:00:00-04:00,11.37,11.60,11.33,11.56,12284500
2018-08-06 20:00:00-04:00,11.62,11.69,11.55,11.58,14014100
2018-08-07 20:00:00-04:00,11.54,11.59,11.51,11.54,9039900
2018-08-08 20:00:00-04:00,11.57,11.65,11.54,11.55,11918900
2018-08-09 20:00:00-04:00,11.53,11.75,11.50,11.70,12690600
2018-08-12 20:00:00-04:00,11.69,11.70,11.46,11.49,11398800
2018-08-13 20:00:00-04:00,11.55,11.66,11.53,11.56,7728500
2018-08-14 20:00:00-04:00,11.51,11.52,11.26,11.42,11341700
2018-08-15 20:00:00-04:00,11.50,11.62,11.46,11.48,10225300
2018-08-16 20:00:00-04:00,11.46,11.60,11.43,11.56,8150700
2018-08-19 20:00:00-04:00,11.59,11.60,11.50,11.53,8589900
2018-08-20 20:00:00-04:00,11.60,11.67,11.56,11.57,6507700
2018-08-21 20:00:00-04:00,11.59,11.80,11.59,11.77,9857300
2018-08-22 20:00:00-04:00,11.74,11.77,11.57,11.58,9733700
2018-08-23 20:00:00-04:00,11.63,11.71,11.53,11.57,9537300
2018-08-26 20:00:00-04:00,11.59,11.65,11.50,11.57,8176300
2018-08-27 20:00:00-04:00,11.55,11.59,11.46,11.47,6884200
2018-08-28 20:00:00-04:00,11.49,11.57,11.43,11.51,7969600
2018-08-29 20:00:00-04:00,11.51,11.53,11.33,11.45,9709700
2018-08-30 20:00:00-04:00,11.44,11.44,11.33,11.40,8973100
2018-09-03 20:00:00-04:00,11.37,11.40,11.30,11.35,9023600
2018-09-04 20:00:00-04:00,11.30,11.49,11.13,11.46,13386500
2018-09-05 20:00:00-04:00,11.42,11.51,11.33,11.38,10598600
2018-09-06 20:00:00-04:00,11.31,11.50,11.28,11.48,9290900
2018-09-09 20:00:00-04:00,11.51,11.60,11.39,11.39,11768100
2018-09-10 20:00:00-04:00,11.39,11.66,11.33,11.60,10708200
2018-09-11 20:00:00-04:00,11.62,11.78,11.60,11.69,14955800
