Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,34.27,34.57,34.11,34.25,9232500
2018-07-02 20:00:00-04:00,34.49,34.70,34.43,34.43,8214300
2018-07-04 20:00:00-04:00,34.57,34.97,34.54,34.96,11653000
2018-07-05 20:00:00-04:00,34.97,35.18,34.90,34.94,8733900
2018-07-08 20:00:00-04:00,34.87,35.01,34.71,34.76,7373100
2018-07-09 20:00:00-04:00,34.84,35.23,34.83,35.20,10606100
2018-07-10 20:00:00-04:00,35.22,35.23,34.94,35.06,7715600
2018-07-11 20:00:00-04:00,35.09,35.19,34.83,34.97,6331600
2018-07-12 20:00:00-04:00,34.99,35.05,34.81,35.02,5585900
2018-07-15 20:00:00-04:00,35.01,35.07,34.86,35.01,5831400
2018-07-16 20:00:00-04:00,35.03,35.53,34.97,35.42,11592200
2018-07-17 20:00:00-04:00,35.37,35.45,35.10,35.32,7351600
2018-07-18 20:00:00-04:00,35.22,35.56,35.16,35.31,10097500
2018-07-19 20:00:00-04:00,35.24,35.44,35.15,35.44,8588400
2018-07-22 20:00:00-04:00,35.44,35.51,35.05,35.19,9055700
2018-07-23 20:00:00-04:00,35.05,35.44,34.92,35.43,13786100
2018-07-24 20:00:00-04:00,36.01,36.46,35.81,36.08,21330600
2018-07-25 20:00:00-04:00,36.29,36.47,36.16,36.20,12673100
2018-07-26 20:00:00-04:00,36.26,36.40,36.06,36.17,10516900
2018-07-29 20:00:00-04:00,36.09,36.35,36.05,36.19,8967900
2018-07-30 20:00:00-04:00,36.32,36.53,36.25,36.50,12438800
2018-07-31 20:00:00-04:00,36.36,36.39,36.14,36.31,9904100
2018-08-01 20:00:00-04:00,36.38,36.50,36.15,36.15,12009700
2018-08-02 20:00:00-04:00,36.19,36.60,36.12,36.49,11462800
2018-08-05 20:00:00-04:00,36.48,36.69,36.44,36.52,10056100
2018-08-06 20:00:00-04:00,36.42,36.49,36.11,36.40,8632900
2018-08-07 20:00:00-04:00,36.39,36.45,36.10,36.13,6810000
2018-08-08 20:00:00-04:00,36.20,36.34,36.07,36.28,8924100
2018-08-09 20:00:00-04:00,36.17,36.34,35.98,36.07,7535400
2018-08-12 20:00:00-04:00,36.05,36.11,35.77,35.88,8143400
2018-08-13 20:00:00-04:00,35.94,36.09,35.91,35.92,6846100
2018-08-14 20:00:00-04:00,35.83,36.13,35.73,36.07,9686400
2018-08-15 20:00:00-04:00,36.09,36.31,35.98,36.18,10600700
2018-08-16 20:00:00-04:00,36.24,36.58,36.20,36.48,8885700
2018-08-19 20:00:00-04:00,36.54,36.69,36.47,36.58,6392000
2018-08-20 20:00:00-04:00,36.58,36.60,36.17,36.18,13986300
2018-08-21 20:00:00-04:00,36.27,36.31,35.95,35.95,7159100
2018-08-22 20:00:00-04:00,35.92,36.07,35.77,35.77,13144900
2018-08-23 20:00:00-04:00,35.73,35.85,35.68,35.72,10952900
2018-08-26 20:00:00-04:00,36.05,36.05,35.66,35.77,9581200
2018-08-27 20:00:00-04:00,35.73,35.80,35.44,35.52,8476800
2018-08-28 20:00:00-04:00,35.42,35.55,35.40,35.48,12410900
2018-08-29 20:00:00-04:00,35.44,35.48,35.14,35.19,9716500
2018-08-30 20:00:00-04:00,35.23,35.28,34.75,34.89,19834100
2018-09-03 20:00:00-04:00,34.91,35.15,34.84,35.04,11138500
2018-09-04 20:00:00-04:00,34.96,35.55,34.96,35.52,10554900
2018-09-05 20:00:00-04:00,35.54,36.01,35.46,35.83,11439400
2018-09-06 20:00:00-04:00,35.70,35.87,35.44,35.79,10208100
2018-09-09 20:00:00-04:00,35.94,36.25,35.85,36.06,8568900
2018-09-10 20:00:00-04:00,36.09,36.13,35.91,36.02,9278300
2018-09-11 20:00:00-04:00,36.13,36.24,36.02,36.20,13216400
2018-09-12 20:00:00-04:00,36.32,36.41,36.09,36.18,8294800
2018-09-13 20:00:00-04:00,36.25,36.34,36.01,36.31,7612900
2018-09-16 20:00:00-04:00,36.31,36.57,36.24,36.57,8527300
2018-09-17 20:00:00-04:00,36.62,36.73,36.26,36.26,9847400
2018-09-18 20:00:00-04:00,36.31,36.40,36.21,36.28,7119000
2018-09-19 20:00:00-04:00,36.49,36.85,36.43,36.82,9736700
2018-09-20 20:00:00-04:00,36.82,36.86,36.61,36.77,19240300
2018-09-23 20:00:00-04:00,36.70,36.73,36.19,36.37,10778900
2018-09-24 20:00:00-04:00,36.36,36.46,36.01,36.06,7919100
2018-09-25 20:00:00-04:00,36.13,36.37,35.97,36.20,10162600
2018-09-26 20:00:00-04:00,36.10,36.46,36.06,36.32,10826900
2018-09-27 20:00:00-04:00,36.31,36.46,36.29,36.46,9071900
2018-09-30 20:00:00-04:00,36.45,36.59,36.35,36.50,9364700
2018-10-01 20:00:00-04:00,36.54,36.76,36.36,36.72,7462700
2018-10-02 20:00:00-04:00,36.68,36.75,36.16,36.21,10542300
2018-10-03 20:00:00-04:00,36.05,36.24,35.86,36.20,9582300
2018-10-04 20:00:00-04:00,36.27,36.44,36.07,36.22,8734100
2018-10-07 20:00:00-04:00,36.31,36.77,36.29,36.69,9808100
2018-10-08 20:00:00-04:00,36.61,36.75,36.49,36.62,10824500
2018-10-09 20:00:00-04:00,36.55,36.87,36.05,36.06,13917000
