Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,82.23,82.40,81.03,81.81,6036300
2018-07-02 20:00:00-04:00,82.14,82.96,81.83,81.97,2193100
2018-07-04 20:00:00-04:00,82.28,82.51,81.75,82.37,3182400
2018-07-05 20:00:00-04:00,82.14,83.22,81.50,82.91,3818600
2018-07-08 20:00:00-04:00,83.27,84.28,83.01,83.61,2646000
2018-07-09 20:00:00-04:00,84.50,85.73,84.20,85.38,4547800
2018-07-10 20:00:00-04:00,84.94,85.29,84.14,85.04,3796900
2018-07-11 20:00:00-04:00,85.39,85.43,84.43,84.77,2995100
2018-07-12 20:00:00-04:00,85.37,86.87,85.26,85.87,5197600
2018-07-15 20:00:00-04:00,85.95,86.10,85.16,85.91,2502200
2018-07-16 20:00:00-04:00,85.89,86.63,85.70,86.45,2866300
2018-07-17 20:00:00-04:00,86.53,87.18,86.43,87.14,2922700
2018-07-18 20:00:00-04:00,87.10,87.94,86.94,87.43,2742300
2018-07-19 20:00:00-04:00,87.19,87.31,86.62,86.80,5424700
2018-07-22 20:00:00-04:00,86.37,87.51,86.35,87.23,3626200
2018-07-23 20:00:00-04:00,87.75,87.93,86.28,86.65,3017400
2018-07-24 20:00:00-04:00,86.55,86.70,84.77,85.80,4288700
2018-07-25 20:00:00-04:00,85.87,86.14,84.89,85.36,3063400
2018-07-26 20:00:00-04:00,85.78,86.13,84.51,84.91,3718900
2018-07-29 20:00:00-04:00,84.97,86.25,84.96,86.02,4518400
2018-07-30 20:00:00-04:00,86.12,86.78,85.74,86.07,3239400
2018-07-31 20:00:00-04:00,85.77,86.06,84.66,84.88,2942100
2018-08-01 20:00:00-04:00,84.65,84.82,83.82,84.43,4253500
2018-08-02 20:00:00-04:00,84.76,85.30,84.46,84.59,3546800
2018-08-05 20:00:00-04:00,84.50,84.94,84.35,84.70,3247200
2018-08-06 20:00:00-04:00,84.62,85.78,84.37,85.59,2754800
2018-08-07 20:00:00-04:00,85.61,86.04,85.36,85.67,1816100
2018-08-08 20:00:00-04:00,86.15,87.15,85.67,86.59,4206500
2018-08-09 20:00:00-04:00,85.93,86.32,84.94,85.18,3068300
2018-08-12 20:00:00-04:00,85.18,85.44,84.08,84.12,3399300
