Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,47.29,48.42,46.73,47.70,15845000
2022-04-06 20:00:00-04:00,47.62,48.71,47.17,48.19,10095000
2022-04-07 20:00:00-04:00,47.68,47.96,46.99,47.07,10449000
2022-04-10 20:00:00-04:00,46.64,46.73,45.50,45.55,16953000
2022-04-11 20:00:00-04:00,46.05,46.72,44.50,44.71,16778000
2022-04-12 20:00:00-04:00,44.97,45.70,44.80,45.25,11396000
2022-04-13 20:00:00-04:00,45.33,45.38,43.64,43.67,13648000
2022-04-17 20:00:00-04:00,43.21,45.29,43.18,45.05,16631000
2022-04-18 20:00:00-04:00,44.93,46.22,44.62,45.88,12144000
2022-04-19 20:00:00-04:00,47.17,48.33,45.93,46.10,20233000
2022-04-20 20:00:00-04:00,46.79,47.64,44.86,44.95,22794000
2022-04-21 20:00:00-04:00,44.71,45.22,44.08,44.34,20282000
2022-04-24 20:00:00-04:00,44.09,45.99,43.96,45.61,14124000
2022-04-25 20:00:00-04:00,44.68,45.03,43.73,43.78,14974000
2022-04-26 20:00:00-04:00,43.51,44.86,43.04,43.73,12413000
2022-04-27 20:00:00-04:00,44.83,46.88,44.29,46.39,16784000
2022-04-28 20:00:00-04:00,45.48,47.05,44.51,44.59,14050000
2022-05-01 20:00:00-04:00,44.74,45.93,43.96,45.89,12866000
2022-05-02 20:00:00-04:00,45.63,46.78,45.31,46.47,9578000
2022-05-03 20:00:00-04:00,46.64,48.60,45.71,48.44,11962000
2022-05-04 20:00:00-04:00,47.34,47.68,45.29,46.08,14578000
2022-05-05 20:00:00-04:00,45.64,46.87,44.51,45.79,10680000
2022-05-08 20:00:00-04:00,44.04,44.27,42.37,42.81,18487000
2022-05-09 20:00:00-04:00,44.13,44.91,42.75,43.96,14134000
2022-05-10 20:00:00-04:00,43.55,44.90,42.71,42.82,11793000
2022-05-11 20:00:00-04:00,42.78,44.24,42.61,44.08,15558000
2022-05-12 20:00:00-04:00,44.58,47.42,44.52,47.10,19093000
2022-05-15 20:00:00-04:00,46.57,47.21,45.86,46.19,9689000
2022-05-16 20:00:00-04:00,47.39,49.44,46.92,49.05,16356000
2022-05-17 20:00:00-04:00,47.92,48.69,45.44,45.72,17105000
2022-05-18 20:00:00-04:00,45.91,46.53,45.10,45.20,11193000
2022-05-19 20:00:00-04:00,46.00,46.35,43.13,45.39,17158000
2022-05-22 20:00:00-04:00,45.60,46.53,45.20,46.27,10578000
2022-05-23 20:00:00-04:00,45.72,46.01,44.59,45.09,9431000
2022-05-24 20:00:00-04:00,44.58,47.07,44.56,46.68,12887000
2022-05-25 20:00:00-04:00,46.14,49.16,46.05,48.75,12922000
2022-05-26 20:00:00-04:00,49.52,51.45,49.33,50.84,16526000
2022-05-30 20:00:00-04:00,50.24,50.36,48.87,49.79,15011000
2022-05-31 20:00:00-04:00,50.09,50.27,47.83,48.43,10261000
2022-06-01 20:00:00-04:00,48.16,50.15,48.07,50.10,11600000
2022-06-02 20:00:00-04:00,49.09,49.91,48.75,49.21,13304000
2022-06-05 20:00:00-04:00,50.43,51.02,49.18,49.43,7852000
2022-06-06 20:00:00-04:00,48.77,50.26,48.67,50.12,11502000
2022-06-07 20:00:00-04:00,49.97,50.18,48.63,49.03,9009000
2022-06-08 20:00:00-04:00,48.17,49.15,47.22,47.24,8652000
2022-06-09 20:00:00-04:00,46.45,46.76,45.36,45.42,10987000
2022-06-12 20:00:00-04:00,43.56,44.26,42.62,42.80,14833000
2022-06-13 20:00:00-04:00,43.55,43.75,42.76,43.21,11689000
2022-06-14 20:00:00-04:00,43.21,44.46,42.70,43.58,15659000
2022-06-15 20:00:00-04:00,42.42,42.56,39.65,40.18,19042000
2022-06-16 20:00:00-04:00,40.07,40.75,39.52,40.30,17917000
2022-06-20 20:00:00-04:00,41.04,42.49,41.02,41.60,12126000
